review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
vQiHh4zWCzZcX2LBVw05cQ,0.19537037037037036,2016,21,87
4S9yTxCQ5PqsTG3rpP0dSw,0.1125,2018,15,1165
TKtoZL5_AFioBaoc7pGuLw,0.22989302967563832,2017,12,528
GxOUzSgbc6MxDFoTjfpLcQ,-0.01751188409391533,2010,12,2
cj9J14q5T1I-N_kZAW-v8Q,0.06624999999999999,2017,11,218
9RUSMm5n9O1XP3i6bXBRJg,0.16330128205128205,2013,10,17
9A8Ao7T0ENm0EoIDcLTh7Q,0.4039930555555556,2010,10,402
PtjVUo35ZDDM0kSeMtIHtQ,0.19495453042328043,2018,10,12
d-9FBMa4CbHOZOf5yZduBw,0.32686688311688306,2010,9,154
qEeZQ47L8h7o-LG_98Hi0Q,0.08287037037037039,2012,9,344
7VxwC-DSyIaQTX72UhMlYw,0.19712301587301584,2018,8,21
Anm59zxi0uWjQ4xHN1g46Q,0.19046934865900383,2010,7,29
LlvkcvDJN5df-rWrS56gJQ,0.22470164609053497,2010,7,3
0W8hofl9jAGTEIQpMdwEBQ,0.16008597883597878,2012,6,98
TWabAZeYsQLzIjHdRi7iPQ,0.23744791666666668,2010,6,36
txopoeiIYmAg1d3bPP735g,0.1111349206349206,2011,6,150
dzDOuJqG4qQetVPPumCQZA,0.392075569358178,2015,6,20
ubj_8-rOht6zxYYyzZNl4A,0.21055555555555555,2015,6,106
UnWZx0HCHki0-9zMr5XB9A,0.30624999999999997,2017,6,25
7uwamsncvQrlHhYsS1EhoA,0.3402640633822699,2010,5,5
H2Ku7ZEQsYcqBgFtHQkL9Q,0.15426587301587302,2018,5,26
9c8Ox8ovPblgqa0L94KLqA,0.2532738095238095,2011,5,21
rnzePkmi_YfQbI7I1j_zyg,-0.006845972957084064,2017,5,14
ZUOKYWcHW_mQ9zN9VkXQjQ,0.26669642857142856,2011,5,24
5py71LfGaD8IY_-QsuHfOQ,0.40340909090909083,2010,5,3
E1NgVZ2hboGZAkgTJgtINw,0.16916556873078611,2011,5,51
3xMmQN-pQqIPcallo4UHXA,0.16974345099345098,2015,4,10
pfKkBR3o8Kp80dvYwTX6cg,0.6018518518518519,2012,4,44
CoPxIr--v9UoYJVdc3uf2A,0.30480769230769234,2016,4,27
MJAy8ueFKXBNMlY-RyKy6g,-0.3333333333333333,2011,4,37
6DBKCEgqLW31tqJz9sNyjw,0.3006410256410256,2014,4,50
Rkjcio2O0z0YkUk-ZDlYBQ,0.15032467532467533,2013,4,74
5G8ExvZJHWLdzRPKYL-KXQ,0.12916666666666665,2018,4,7
Uy8V1pH-cxe3HoIaHtzqDQ,0.06987373737373738,2011,4,41
puTn2qdiF4wk5z1LoBeOXg,0.325,2011,4,5
luAAi5WEPkN0jrUBdHQ5vA,-0.007539682539682497,2016,4,18
8eZx1C1mzfafyJf7HvovKw,0.083718820861678,2013,4,0
qCLoib_CxoJVo_dDspvDYQ,0.35403256704980846,2017,4,25
KOnyMV3SXkjDgPBbgKS75w,0.31591478696741854,2013,4,9
lqMfngeScJkRkrYup94ImQ,0.19068137824235387,2011,4,4
nhwtcTc1FQLoZTGsupBprg,0.3670776643990929,2012,4,53
qBjNJrogqGyfaN1Q8svMGw,0.1938723313723313,2010,4,25
MXEpSzfbe5-1yIdvyxFzwg,0.007570684523809525,2010,3,7
DQzQGiDu2H765olVn1dZmg,0.04821428571428571,2018,3,0
NNL7HSec81FdO6zCld_YEg,0.1888655462184874,2012,3,11
N_kjShNgFDNsjOIaWPfarw,0.32999999999999996,2015,3,1
ZEv8_syOgWAucQ7mFTQfCg,0.35555555555555557,2017,3,9
IJJsGzaA0Z2vg6hTgm1-GA,0.19995535714285717,2016,3,16
EardjWZ1almNIYq7-Lsa3Q,0.1872448979591837,2016,3,11
SDGLZpcFhXUFyWqEMRTH8Q,0.22123015873015878,2015,3,22
bpZuwheQCFE9GegHOFJrkw,0.24238095238095242,2015,3,140
2Sx4CxMN2pRB4sILfWuBAg,0.39649122807017545,2015,3,46
MVgnY1oQ2l_crjyzP4_5Ew,0.1859562266956676,2017,3,0
QS7-gN1n-n2FklbnEV1NjA,0.22597064393939395,2011,3,10
uYnH0CiJ0DoU4EBuHpjmBg,0.5125000000000001,2011,3,6
Y4WHfq60_5xvLEQZfSePpg,0.0024425287356321713,2010,3,7
pEHzLHrqbXo1jiurNOzW2A,0.28124999999999994,2011,3,55
9vey4jdR8zS0kLKTUJlVXg,0.1973214285714286,2012,3,1
SVTs_3bRDzoGtkvRUTcvgA,0.2141662934766383,2011,3,8
IKBPNjxdMT5nZ9TQquRZCQ,0.011458333333333365,2015,3,19
CtUnFnwYri53bO0ZouWWwQ,0.36175645342312013,2012,3,17
alvfNxuuNXOa5RjQmSncOw,0.14511846405228757,2010,3,51
fofPeBp_HdNS-5_zuCodUQ,0.1734090909090909,2014,3,11
xb9weCSVGJknQRQ7oqeYUA,0.428888888888889,2017,3,4
nSH4xnq6IYBsHYZ8KSSrJA,0.18823529411764706,2011,3,4
d1QDBMvLFgV3sro_Q9iAHw,0.48566666666666664,2016,3,4
