review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
xJs-HVrsqz9oEXXR8Fjmxw,0.23217391304347826,2017,17,528
bOomFtSjiN4AzME557hSkg,0.2165663992869875,2013,12,93
A3eo3DqwnJ6DqdX0laCssA,0.24666666666666667,2015,11,251
sMdiYfWNvT9w4osYZR2Kzg,0.07152777777777779,2017,11,26
V_3ZI1Rr0fhn34G8XjvyWQ,0.1411027568922306,2017,11,11
RZlpZk9LeruATwgriuBx5A,0.225,2016,10,18
_pBu_gjUMpD1i7MFU383eQ,0.13935185185185184,2016,9,78
W-kWU4bjYrNv4Q2rb8eCvw,0.3720889136904762,2015,7,18
F3tWUT_u2CC4uBNv_NVh-g,0.192010582010582,2016,6,42
GKTH02aRdAOobNGXbbURcw,-0.08571428571428572,2014,6,0
m7sWLqM4ECLnnRINT25iSw,-0.06944444444444445,2015,5,6
F1eQXi8lrCe0w21231wJDQ,0.25856365856365865,2013,5,6
YHOhr7QHv06PTayQhG2WVQ,0.28187925170068023,2016,5,10
YsAWafTc94SdvWD9MmwC9w,0.3485526315789473,2015,4,137
D9nekXxmr61vxR0roJJhwA,0.24537037037037035,2018,4,35
P40PHdm61Z03Bx_mSRgd6g,0.595,2017,4,112
ghyPw3QwfgrExR-bXB-wfA,0.0899659863945578,2015,4,5
krniiizMnZL2BtZ7gOEWlQ,0.10484544695071012,2014,4,0
1Nmr0aeR4ubkwq90NKuSyw,0.014285714285714282,2013,4,0
kKmshwmLI0HzFzfrJ6N6sw,0.3807291666666667,2018,3,7
4XErZ0Tb_o0lpUWXDyuWzw,0.07152777777777779,2017,3,26
NC2nIPawVG8mzR6vuw7Zbg,0.15208333333333335,2018,3,0
xYw7t4yEIebwCGOPr46sbg,0.41414983164983166,2013,3,0
PgpWfdlnr_IHhvgdDzm6eQ,0.30104166666666665,2017,3,7
oFliHJAiKbOfSaZKDOvVmw,0.04981325863678804,2016,3,9
L5orGVnmlaJOf0b_pssCAw,0.4031818181818181,2013,3,27
cyxEUGLpK63hWp4usKm9LQ,0.34074074074074073,2017,3,21
_7qY0GnyQefTAq2tl2WSaw,0.07975000000000002,2017,3,61
rrOZUPlRIlClUyCr2Yz_Ew,0.2804375804375805,2013,3,8
UtyLxBNBn-TjsDOFKlZK-Q,0.6383333333333333,2016,3,21
NowMItolZQ016PvTU3JHBw,0.26559523809523805,2013,3,10
350uAzs3zqNr0ppRDQoR4g,0.1435034013605443,2013,3,27
vkAiS_nJH8GOL6MqihNlDg,0.4305555555555555,2017,3,0
0VDjtFNEinH9CuZoznoElw,-0.026700680272108843,2018,3,66
HYcjft3u8NA3_qseNTOK2w,0.22890151515151516,2015,3,69
uv9TYG7VpvDk0xmVRI1P6g,0.07777777777777777,2017,3,27
AfnBRst1mjEe0A8b3sBqCw,0.6,2017,3,3
EU7TAnXdfFzMkGCyrJsaZw,0.44242857142857145,2014,3,0
ZgEHKhp7MmsIqz8p0KLuFA,0.22569444444444442,2016,2,2
SRwmoJKcsHTbMHuKvKbjDw,0.12130952380952381,2016,2,0
e4bndMZoIndB95YMyOscjg,0.45625,2015,2,2
y2gK-NmLjw58iyJWLFFhlg,0.08571428571428573,2016,2,12
j-rJKmBo5HdPLx4yeMhJQg,0.49642857142857144,2015,2,47
jov-y1JalZIGsIrja5nrjw,0.2138392857142857,2016,2,0
RmidOaNPXesl1PBWn3C_mw,0.1901700680272109,2016,2,0
f_Yqmv_joFtRqZz4fU3q9w,0.24611111111111114,2016,2,17
-_n0QvjMs4iMgoVcYSK34Q,0.30522762345679005,2016,2,0
Iwy6o0ZOcStC48UhrGRMfQ,0.5116666666666667,2013,2,0
Fq-0jy1EJBpFXuKVIbgCjQ,0.2930952380952381,2016,2,5
cBN_Agmz-sC_3hmuowUZ1Q,0.2972222222222222,2017,2,1
6wc5j5eGKiPEcjclbE13fQ,0.21398809523809526,2017,2,11
gN6ncTGODH0TGwdEmdaOqw,0.22871428571428573,2016,2,4
gV4CbkS8YL2JA8LkXDprXw,0.05791220475431003,2015,2,0
L-shmLoF229JI2VTIcICwA,0.3888888888888889,2014,2,0
DZmBm9Xw9HosfMjVgNDnyg,0.36750000000000005,2014,2,0
zV3E7xcy5Sr437XyT4WXtw,-0.009125874125874144,2016,2,17
dJuAILemtMFIZqQmGKrp_g,0.1749185999185999,2015,2,18
cvqPGeYmupbNHowLtmsgRg,0.15303030303030304,2014,2,2
SdgJEfeYVFXMBnxsSBK5hw,0.19718470418470418,2017,2,3
aiK48aC7vAvdsZEod_xYdg,0.09247685185185185,2016,2,6
16EvG7YiREuuhuP1oObyzA,0.18521589191232052,2017,2,21
F97cH1kGp3nSFFnhazUvHQ,0.010714285714285723,2015,2,3
yeH1ePaPulKgzy_hASLgiQ,0.3336956521739131,2015,2,0
EU0dxMefeUOuyjKBz-buXw,0.34655067155067154,2015,2,53
cJ3wraNHYHJx_vuaTnO9rg,0.30425,2014,2,1
gO8m2nhATbMaPx8D2gl0Dw,0.2548611111111111,2016,2,2
wufvuGHTIBCJnXDyTyQaUg,0.34714285714285714,2014,2,0
hsjx1G2YLxV_dwKlMGYrlg,0.08702768099109563,2018,2,5
fPFhoNNG5L09hHnga-9PvA,0.09313725490196079,2017,2,1
lGas7mOxGEDjotzC2mS_ow,0.13252937538651824,2015,2,5
R9Bq_WbgCCHTRoxX_3E1fA,0.23583333333333334,2013,2,0
QeNbX7N0k5IKF3J1JXCimA,0.10588235294117647,2016,2,90
yIXwSWZMqvrp3V_bOOANAQ,0.234375,2017,1,7
GMyQ9rDZVTyXrKtHoGy1Ow,0.4,2017,1,0
og6eYTt0RJSMioGYbFIZlg,0.7777777777777777,2014,1,0
E7-Ucfxgk3zdEAbvxENPlA,0.19416666666666668,2018,1,6
iiu6PNqvPlwOVQqHNOHWlQ,0.34322916666666664,2018,1,3
eR043_kibtx-vYAY6SWnXQ,0.5470982142857143,2014,1,0
esn4ADZyKWpqP0B8NNHCqg,0.3016087962962964,2017,1,14
VjMlWD0YHATtUjhtfO45mQ,0.15803571428571428,2015,1,1
boP8D2ZZQo3_s5pDr9sElQ,0.3292857142857143,2015,1,1
xC-bVeTLR-jcp2bTBxjpMg,0.03492063492063492,2016,1,0
OesoOXEnPWcP2lg6aMDriA,0.325,2018,1,3
4boxryvVQ542f0ny6LmeEQ,0.276521164021164,2015,1,6
t0WmyqnqsWrRKXKmIkQ-0Q,0.033333333333333326,2015,1,0
Nto-wmgrF-zM4ONl-lUZCA,0.3165178571428572,2017,1,0
m8DV4fLPipGO1RBCEfmZFA,0.14659090909090908,2015,1,0
u9An3gBCPljo_mTOB4rMAw,0.23142857142857146,2014,1,1
ZudJjVU119Xe69IFMY1nCQ,0.33301587301587304,2018,1,7
HNxPK4tD1R_a80bcp_B9qg,0.2866666666666667,2015,1,6
M6-lbr5SpPqHh9r0Q1dY8Q,0.3368377976190477,2017,1,1
