review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
4anu_FkzZGBhsQqGYJy_jg,0.18247448979591838,2009,69,254
qQX97OCpGes-njlWmyyuZQ,0.16977486559139787,2018,66,701
tWa80krFZZmgh5dLb-H8cQ,0.18925764614789006,2012,57,397
nvA7dmY93OIKPaG7xtDX2w,0.22237691187442613,2012,54,400
nnpUSU5IOw98IEhltFeHCQ,0.16083333333333333,2017,46,257
AajqinktMpIGV2dZoI5qKg,0.5894117647058824,2018,42,119
BAC-rhGCXu4gIs3ftuUung,0.31500000000000006,2011,42,1
kjgxKiC2ia9Nrvs06dJv5g,0.16552197802197804,2014,41,347
5_W3l7EFFH5S6ui7QQXYRw,0.21280997441711727,2009,40,625
bwz0ajFWmXR23NR5Lh9xyQ,0.1557035024154589,2016,38,378
5QM4zlGkeSbA_2q1qJxJqA,0.1597549857549857,2015,37,5
95c3PJunJiXWbBJx63JA8w,0.17916666666666664,2012,36,1169
l8dWCj1CthkZ-qyasloHPQ,0.7,2009,32,60
f60E_z-nwcF1zDmc-n15MA,0.19640624999999995,2009,28,246
r97EZX8uLB_UCWshgAqW9A,0.2017543859649123,2016,27,406
2tLIHj9KQ-vIxRwyQ_X15Q,0.22358352431881845,2010,25,200
4cUsTJ6h5qEubVOIjZhvnA,0.1494174265450861,2011,24,1698
W-2iT4vJLrQaYdkgs0-Edg,0.17590048840048841,2011,24,305
mJEa_Fx56VyomK9xuXvT7w,0.25049634273772203,2009,23,199
Fq68caxvFq32LfaXNR4j_A,0.16889078757499812,2008,23,28
Bmtqjng2pUd_pog8ayC4KQ,0.1962080262080262,2012,22,317
Zdk5yKB6sDC-NJ4IEP_nwg,-0.01166666666666667,2015,22,647
pqpt1X7bV_vRhwkia3A05g,0.1308214285714286,2010,21,1098
W8Wi-FSt7xRz1KYPytgdQg,-0.020857628765792047,2015,21,0
qhjZbAd1oYcsXeF5WhRvww,0.298132183908046,2015,21,172
WjwIjAGr1t6EJSd_URmBKQ,0.344453125,2013,20,77
96uRvSf3QPCFduXkmPK_-w,0.26314496314496316,2017,20,412
nfXC0hEkWEaKf-ACphFFAw,0.24188702501202497,2017,20,218
XGp70JCZdg4MUHdyS2wKvg,0.2479429271708684,2015,19,0
Qbg2d975VJThVawFnw_f1Q,0.4539999999999999,2011,19,364
w84k2eNiFz7ga-CqXH1glA,0.2744140625,2009,18,215
PrFfQd8nAaP1le0XSIpL0w,0.21681893687707643,2008,18,1558
8s3Dra0SJkS3mtGapTM1bA,0.26187830687830693,2017,18,7
ltxPqEhWfyAPOMfKtEwlYw,0.625,2015,18,1023
JxDKKKpmBG2awakSQQDFUw,0.00873694207027541,2009,18,140
BQ3qmDaSxix67ThL10icJQ,0.2832058244785517,2015,17,125
0sQ3piCDkVnzkdiZsdwLlw,0.1546875,2016,17,101
Q-6-NhH7WLLkm58f-B6YFw,-0.01583333333333332,2009,17,355
UtYfDyzEkMgl0KKt6ps3RQ,0.13194444444444445,2009,16,1098
Tg87FiP2qOzDDs5AhuCu3w,-0.055781250000000004,2010,16,258
l9DOCsn2_RutDitlxkw9UA,0.3818181818181818,2011,16,580
ZFtphCEQc3BGsPoFkI7RXw,0.2746835839598998,2009,16,46
qxE0f4t5qlyP14EbzwaHqw,0.15913382594417078,2012,16,10
1CUbyJhWBqg4AH948hwx0w,0.20104166666666665,2014,15,529
gUBOF8w3lQp7ODsR-irwrw,0.23896031746031746,2014,15,641
HSLXsQ_CqcbgESzHyOtgog,0.1604978354978355,2017,15,338
p01aGCx4h8mZTBhH56jKXw,0.41818181818181815,2016,15,47
7vQgdBaFYmTd42grJ0xr3A,0.13182823129251703,2016,15,1197
DJXR8ExM8jXvUXTjVZVROw,0.15130208333333334,2017,15,188
sdMoCU1ouQCn47rbWewSbQ,0.5875,2012,15,107
bYRVq-esbhahdFqecJO3OQ,-0.14587673611111113,2014,15,153
99mixBsAqKLZXfMg8LZqPg,0.07029220779220781,2015,15,52
sTZrFGELogFdSoRxv5PYgw,0.23562500000000003,2009,14,1010
xBjG_d49phzFMNWunntdXA,0.17095410628019322,2010,14,78
P_CObsPhV-ZO0QgMHmENNA,0.15802469135802466,2012,14,25
rl-RgWUVbJfeW-TcvD3dEw,0.16377314814814814,2009,14,103
S_aUts9uPZWQeRgm89Komw,0.09851902726902728,2008,14,343
