review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
56TnhSsJr5tntdwyuDgFBQ,0.16438492063492063,2016,26,93
NgOJd3Tsegioer7raa-oRA,0.38411237373737367,2018,18,45
IA9zvhTn7gyDMcIlJq5QqQ,0.4507142857142856,2018,16,1065
OeTvYbzkjKdauBK2WWazFQ,0.21040360046457607,2017,16,42
U5JY-dT55_7AXn51iYlHUw,0.19947916666666674,2016,13,77
gP04oEqNmNrQLkG849A0dA,0.2263273874719659,2016,11,102
XYcu0twjJ9YyCJtoqwFzcw,0.19262205387205386,2013,11,46
7CY5TYplXplXlP4D1luOIA,0.09031141531141532,2018,10,4
5FDKfBl_RXKMnfz0UASJfg,0.22625,2015,10,4
Yxwu-_jnX3aQV7qY8rmSwg,0.4564276303406738,2017,10,12
rfGpeuGpkovG3f38Dga1Xg,-0.010227272727272738,2018,9,46
qOqZbLGlgwnCIVnExKQ1mA,0.291068524970964,2016,8,72
GE9cs1kN9P6VMsFPoAYojw,0.3664772727272727,2016,8,51
vG1UPMUojtBmRq6ClEuBLA,0.25249867091972356,2017,8,41
-dQ1mIWy2SF68TyHYp6qGw,0.28849206349206347,2018,7,24
y1p6WDOK9kIkM9QwKNelHA,0.2939975845410628,2016,7,113
SDN-nhc0MeVga3DJjkTNLA,0.10495495495495498,2016,7,84
8srs6Fj1hvqkU_n9RKp5Aw,0.218125,2013,7,24
OLDkGD5uRPBOWYDRtLzXvw,0.3425294612794613,2014,7,26
GsPRf16FNjteiXCTIkhEVQ,0.5726190476190476,2016,7,66
AShXKylp6bw_GNKHUcVMJA,0.08869047619047621,2014,7,12
8iKz45eEv4AbV5k3CawPgw,0.3922619047619048,2015,7,451
B_cR83eDSQUZ_2aEJyPYyg,0.08472222222222225,2014,6,0
ZiIJZ_bruds9H9jVwvO_Xg,0.1151998299319728,2017,6,12
DhNtbSzGmJ7XInHxBp3oUA,-0.009479166666666664,2014,6,7
VU_giFV9BbLMwGzs3P_yYQ,0.2788888888888889,2017,5,11
HkwaNGjaHsodGPYmD9w7Lg,0.3501041666666666,2018,5,17
I36gCt3wR-pu-zNzghNYcA,0.08179271708683473,2014,5,2
tZOoo0-KrJ6_CCcIx0peZg,-0.0077678571428571284,2018,5,15
mgAMgv70PN6KfqAN4EAtrw,-0.14583333333333334,2014,5,27
Vd20zl_t2qHHbNO9XA1_rg,0.30314393939393947,2015,5,5
FlRixy78Ugz3IUwsYcHtvg,0.2192961800104657,2013,5,74
pn1bO_2YpmwMnDP0aMcYKQ,0.12908496732026145,2016,5,69
DCDSC0D-WRFIMnSKB3Cb0g,0.1380952380952381,2017,5,82
Wlw_XDNNb2jAS_jSZDsDwA,0.22858801717408278,2013,5,38
KVJFRy5RwbWgGF4012AO3Q,0.2504619047619048,2015,5,87
WozqytjWU5a1VvhY6QwHwQ,0.24029411764705882,2016,5,24
onB1AbK1YoBbW_yhE4s_HA,0.2881313131313131,2016,5,73
mjLZyQuQ_j-nlLrXveBMWQ,-0.0036004645760743348,2014,5,0
4HrgM6PKq0JfAX6fuM7NTA,-0.1680803571428571,2014,5,1
IYh2UfItuLKaOrsu1lGJ-Q,0.17958333333333337,2017,5,55
NPvNQ_IH24mvTMn-Bh7vpw,0.38,2016,5,42
j-h8m4Jf-jWYmGLhWTndiQ,0.30000000000000004,2014,4,15
3RqKQkyAm5ZpU45ytUmWnw,0.3394444444444444,2013,4,2
0mut9br9JRUG4Fj_2VGHAg,0.4166666666666667,2018,4,14
4NnEoV0JO_iJPhCdKlJCWw,0.08666666666666667,2017,4,2
BwjPxgj8TRytdBXhOMvEug,0.3666041666666667,2013,4,18
mC--MbId-yRkDtCnKlBfcA,0.04041666666666666,2013,4,0
7TaDSGiApQiIf2ZUmdtFng,0.45594582185491267,2014,4,111
JODd5Ccia-iFFmoqNb15og,0.12374531024531026,2013,4,103
4p0NAqvxD5ze4DoXDPDvEA,-0.12000000000000001,2013,4,49
t1b7DtKh1w-owLs76Ef9Kg,0.31010651629072683,2016,4,25
cD7Z1xOqtpl7GhE2yfYbOw,0.32628787878787885,2014,4,1
EHoGT85IcRe2Ng-4n8ZAOg,0.19150703463203464,2015,4,0
7BlCs_5CGUMtKiCm8ZsyLA,0.30437710437710436,2014,4,58
A-CyexJN-IcgBJlf-R-aEA,-0.03794191919191919,2014,4,2
tOP6J2EimTQ_AmU_wJyVHw,0.249025974025974,2014,4,1
1Ze-nzR4ga0gE_gdm7hpIQ,0.34522253787878787,2014,4,1
ZbN5EnIr64smP9dABB4_dA,0.3471590909090909,2013,3,19
ZT08K84qs7QOCgG_qY8hZw,0.6083333333333334,2014,3,1
lX4Q6RW24eKJSo4XmxhgRA,0.13356060606060607,2017,3,1
Itom906FHY5iGshKOfNELQ,0.11329670329670331,2014,3,0
B4IZLGpAdJ0IHPx3VsUQNQ,-0.06307692307692304,2014,3,1
0dhNgZtmtCnmwDzcjjBapw,0.10833333333333334,2017,3,3
ztRwqOx-U2fIqdVZXgcOwQ,0.2222222222222222,2018,3,1
Ks0I4v0R4c8QSaHKXiNuPQ,0.1970430107526882,2013,3,5
chb41cJnsxKq3kpNv4P-0A,0.1466425120772947,2016,3,18
DScW71tOP-8z5v5qDDQOKw,0.09200980392156863,2014,3,0
JcS3_NUAe5Fub28HGx0P5Q,0.22265151515151516,2018,3,250
IlMLM4Lg6Rm0I8ICWtV5zg,0.01486992945326282,2014,3,2
2fd2Bpc7NLKFeYcVpixe2g,0.4738636363636364,2015,3,8
fXhls8wu4dC9YcHtuqLAfw,0.050038580246913565,2014,3,15
kC5pFfjX_TbVQqHuvbQMsg,0.0003968253968253954,2018,3,10
HH_QIFpMqhkLkRQTwirhnw,0.058750000000000004,2015,3,1
Nq-fdy_aoqXp5AXkdjxTlg,0.2875641025641026,2014,3,0
k2q9RJylQ0v32J4QOqV0TA,0.34424019607843137,2016,3,36
QVW2L0pBJyW4hXM9CY4jpg,0.17809489362874775,2013,3,1
san0u4OolCgtNt7D2OthaQ,0.2878205128205129,2015,3,9
tDb5hke2R-3zgB0DYxxRHg,0.275,2013,3,14
f5SmzFSsopqpIaRqK9gwLA,0.0819047619047619,2015,3,0
vRZqzPUF271m6QW6rlZr0Q,0.2607765151515152,2018,3,2
UatwNwo_Us5USSThW9_ngQ,0.34319023569023566,2015,3,62
dpEOKm1fu_XA_m460Jzi6A,0.22840277777777776,2016,3,113
22cfYMct0mgUsDcmvU9U8w,-0.0020865800865800853,2016,3,4
zJeZ7FuAediNG1ckuEnu6g,-0.03113553113553113,2015,3,0
kZSQ_joXoadEj81UDGFm2g,0.25916666666666666,2014,3,15
_b80i13XeHA0m2tLPR7m_Q,0.31915584415584414,2013,3,4
yhSrDndIvLadTD-255AUpA,0.3606666666666667,2014,3,41
WrnaueNKxdY0f5ViWUc6-g,0.3575925925925926,2017,3,10
fYUCxMuCAJbEGMkSck75Og,0.2833333333333333,2014,3,0
5lN7Z3YLGqxQ1fSXCYj4QQ,-0.056060606060606054,2016,3,1
kgPgmz5iPKcpnQnzPX_TSQ,0.04722222222222223,2014,3,3
-tD5J9znoWFhThCGme5S8Q,0.24714285714285716,2016,3,9
Kq15SyWtSi4_JXYEQpE50g,0.4622348484848485,2014,3,19
oYjjwSWJ-uJEqAyAIMKK1g,0.15413401253918496,2015,3,93
93CAmIFkIiQJ2cCGEQWnqQ,-0.12136363636363637,2015,3,0
xii57zGLrXU5FcvFbWDJJw,0.2957664884135472,2016,3,40
pN1bNlXux0LjjYiQ8eahYA,0.25496212121212125,2018,3,8
MuEd3JEeYyZY-k_UJGMyDQ,0.23306327160493825,2018,3,19
Hpba2Z1MMr1h49BY2l8C7A,0.16275510204081636,2013,3,4
9tFq34yL96AOtzfVy4ZcoQ,-0.12095959595959595,2017,3,0
MUMIdMkcvmmixqq2a83Qzg,-0.09659090909090909,2014,3,1
8mzAnhnmvfJrdbzOy9X18g,-0.12109375000000001,2014,3,11
GLMx2T_w9E6cRghGmnC6cA,-0.031249999999999972,2014,3,0
l_HVlfb9LXlrR-2f977H6A,0.23072916666666668,2015,3,4
FqUj9Eue998wqNAqJx3zHA,0.12878373015873018,2017,3,18
wnqg2DFljbyJXnjCandfGQ,-0.06156400077786796,2015,3,0
eFczl8wo9YU-sIhaDi9XmQ,0.3085714285714286,2014,3,10
RRPuTkY2a6eHFw5Hjuv1SQ,0.36805555555555547,2017,3,31
68mOYIgZdIckU-_scnrpPQ,0.32662229437229434,2015,2,155
zGD5EmsBUVj5EvsNNgbNQQ,0.5173076923076922,2017,2,1
g2SSHko2DSPC8e6B43QB-A,0.4286363636363636,2014,2,7
WsogwtOm9bZuOVglOicAkg,0.31233766233766236,2018,2,1
6C7LWUT77vMuXqpezlfJrQ,0.21805555555555559,2015,2,2
J9pWQLCuLjODhc_agT-ZDQ,-0.006249999999999985,2013,2,4
WMEf97ySvjp85p9l6XA9bw,-0.10303030303030301,2018,2,1
ZvX1jAKb7pCsH3yWwESrNg,-0.2879999999999999,2013,2,0
L8KWMXUUcfE2mCDyeYJbsQ,0.3080357142857143,2018,2,19
nr1Ud0wIvLQfTD3UIyTcmQ,0.24010416666666667,2015,2,3
kkw8iKQaL3QEALbV64KfFA,0.35101981351981354,2016,2,14
maLqP4YgKXr1T-iq1TE0Fg,0.6571428571428571,2014,2,28
umsKOPElVLdD9CRAQIYRgg,0.01567307692307693,2014,2,0
t4iGgW0DDJ4HBr0MuMLRtw,0.41666666666666674,2014,2,8
