review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
9d8sp0j3NsO_KqD-3otE-A,0.013288288288288284,2012,177,109
Hb6ZY3IUNY9EwVnvANN6xA,0.1421376391465677,2018,82,713
Q6xG47px3x_NjjARxrxgFA,0.3776190476190476,2017,66,379
gTprhIzmVmC4rCm_Vd7oFQ,0.3414351851851851,2015,56,661
iiYJHutesIOmsl99BW9HHQ,0.17480837510442768,2014,56,340
-1-j-IzyWWj0-RdzdP9ZjA,0.21038976723759326,2011,55,295
oRj22Do6GgceiYgzmYcjAA,0.21247624636709142,2012,51,0
6Fdqf7X2ILIysyMSpYHelA,0.08888888888888886,2015,49,0
y6pF5A_NgK6wAfcA5pBkvg,0.2596790890269151,2012,48,411
p1JQLFC3rtrNZ9IQGbYulw,0.22555555555555556,2014,42,1169
srP8axX2dUquGeWI6XviUw,0.2582228535353535,2016,39,325
_vs02_d-AmmTl-Y5ZFBq7g,-0.02180134680134682,2015,37,328
oPz5XZ2wTaloLci6pzP6bw,0.06208642547928263,2011,36,1944
_XoIGMIxYgyK8iR67suz5g,0.29499999999999993,2014,33,1878
MFXjGhOMGyiApw9L5fhG-A,-0.20333333333333334,2011,33,328
JouzOasU_HpimlkWDUJAPw,0.12066443657352745,2011,31,1004
AW2rK8Vn-TFkPiSsHNGn8g,0.26785714285714285,2018,30,461
Cgfml90iKD2p07y8De4eFA,0.4535714285714286,2018,30,359
emzAKVdBvBRq-tMRbJ06dw,0.14166666666666664,2011,30,305
mzV15A_Z2IprkwWz_W5-OA,0.5419047619047619,2018,29,142
vgWe6T5ZDIOTaU1Q6a7xXg,0.1730068542568542,2017,28,1462
EQCz_i53qVN7a7L0HETYAQ,0.3367857142857143,2015,27,328
cJiDAfia0qPp6Ekd6KCmig,0.08114010989010989,2013,27,54
sKEmW8K-JQodvV1Suy85iw,0.15933035714285715,2011,27,908
JXjERX-ysbTzLeN_sqqhQQ,0.501,2013,26,1098
Vexya5Pha6XZ1U1rDxzG0A,0.47500000000000003,2014,25,5
TuZS4SA785CGuOeOhW7U6g,0.28843595498308616,2017,25,46
Gi-deLlGxZngfkVENpzjaw,0.14098800505050502,2015,25,262
37OSwPS81Sus1ZR4cUa10w,0.0387283633290578,2011,25,344
Z-WjMYZsp5X1bt9cobnsig,0.21047166149068325,2015,24,222
3XCBRWrEEpnYHsctO_c45A,0.14238528138528134,2018,23,230
ZvXXuc29WLMGIKXHTATRvg,0.2501322751322752,2018,23,220
PraIvxp_8MO8J9FhwoB3zQ,0.0406857638888889,2012,23,33
0PkgWLIETKQ_ued5HccAqg,0.0030860260770975106,2016,22,1
DrV2bUWDUd3XVQ9Rjs7b-Q,0.38151234567901243,2010,21,293
FPzLYLMNH0AAvoTpS0n9VA,0.25880325814536337,2010,21,697
OfkWupgbu4wpnQ1dxE9JtQ,-0.03388888888888888,2012,21,65
JK6LFIObiCeHnMfVnDlOAg,0.07474747474747476,2015,20,98
afekAZ7Egh9CYu_Zma7iaA,-0.09973866959064329,2011,20,119
dRnWMz6NZS5eVWdXOF6E0A,0.5105468750000001,2015,19,192
HgxOS9vva7kEh46LpALUXw,0.009090909090909092,2011,19,148
MP3aKpgZriXjHRic2AsniQ,0.2170601851851852,2018,19,127
HLZjGHq3I1vSUuAD3qYD8w,0.24492854072641307,2012,19,319
xf_J9eM3afhaC7wumw6zpQ,0.09855699855699857,2016,19,227
Zsn8420ynk8mKktV_CsOgw,0.2608995002287685,2012,19,172
8jb0Ie45LQKquSehunG3pQ,-0.018906249999999993,2013,18,4
fxraVBl-OO5qST_APfQ_kQ,0.17088628217660476,2011,18,1698
Drsk1WYN1DxS_whGi7TRTw,0.11502946127946126,2011,18,4
DO_0VJXFCqCxNFrnwyxsig,0.16342803030303032,2015,18,1
FExPCp8QZ7Jl09sQf6zgNw,0.15082167832167834,2016,18,136
0AEdVY6UAzuv0pIwPDYqgQ,0.17411507936507936,2016,17,354
jCfZbn_W0zwZutIwlqOjqw,0.03628236842522558,2016,17,52
T_9LVQZg4jePZQ69aha3NQ,0.19622288359788356,2011,17,1443
DiT7sTx7Wc67HEnEOT5W6g,0.22574404761904765,2012,17,16
FnL-sTJx4L8WYH9eE7tBWg,0.04683458491343446,2015,17,0
01CfPxSFtmUrnWXZV8uBHg,0.35116767983789265,2012,16,18
LpKMJk3BLnbywr-KIxTLZA,0.3093053551386885,2014,16,782
GPIcV-msHbpd1xdiwkA1ow,0.05078124999999998,2017,16,60
9xfcqct_NDVtuVmxWZ0pDg,0.12122071050642479,2012,16,134
N99F55b0txxs14habK8ePw,-0.01474292615596964,2011,16,48
734SfZ7I7wS1e2hBDGGmBQ,0.19566387559808612,2011,16,81
_e2epdkCpxfkCUk9hKhQIA,0.11362718089990817,2014,16,0
VV0nkT2P-pfmsDEtPvnU-w,0.29459490740740735,2012,16,0
aJz3fnVRa3sFAPaLBE1GAg,0.08602941176470591,2015,16,35
rWVRw9RrWfTs_8TkFs3Xsg,0.09749228395061728,2014,16,25
BEfMzJa7movpXP-O3tgffQ,0.12629319832709668,2011,16,24
hCrTbwhBPvQ-ADzdwafkpw,-0.04448051948051948,2011,16,5
KzHEdztm_PMPUJipcNlN2A,0.40443322109988783,2017,16,174
f1qKaLu9J766zOc6ryWYVw,0.20070609570609568,2017,15,152
k8mMQ1BYUGdeUXHqXFjLww,-0.032185803614375036,2011,15,2
2C1nv_uzVPa2rsg97Dg8FQ,0.21522675736961452,2017,15,539
Od-6jsqnwrd0S4uI70PN3g,0.06666666666666667,2012,15,3
5j6yy-n1zbNGA1qJTvatVA,0.16115726593667767,2011,15,46
n1GwAX0vWCEcxNf93ROGng,0.28708249487058085,2010,15,45
Y-lQ3lSpwnxurAdRk8j6YA,0.17863475177304963,2015,15,102
yKh2Gzb0TNNRMg1rMFpmqA,0.14067956349206348,2015,15,861
eI0Bo0wVACs_ZBniIyITUA,0.24787037037037038,2018,15,377
X_lJ_vwqSSTNIt1eDtpIEQ,0.03723544973544973,2017,15,0
mworUCkrDSRH79HEbZvYFA,0.04474796037296037,2012,15,18
ESg0sgBwll9E5JRfB5OxWQ,0.33625,2015,15,105
smCDaW4p5X-dzK5LYQvoFg,-0.23809523809523814,2016,15,28
RuANdndXJhrLNiILqSm81g,0.07133333333333335,2015,15,196
B7vdaIN-AbD7RuPo3U7xCQ,0.13969594256052592,2012,14,76
PCtsuUOKmz0xNDKbcmrUoQ,0.20124678249678252,2017,14,112
DCuYdJZARkjkxIlhtkDFwQ,0.19901785714285705,2012,14,5
0sD0jdey5r6uIGWY15WM6g,-0.07043589743589743,2012,14,0
gCALA3J_zqt61kNi4_AWeg,0.16597186147186146,2011,14,328
T1ReVqxm3NVyCnnlSNxRxQ,0.06626984126984128,2014,14,1
HJQHkiWaYfoj0RU39il0Rw,0.16037218087779884,2016,14,149
QUS3KuX3ybvuyiXmd_ZhpA,-0.05913742690058481,2015,14,2
OoIWGft1q_scMMbjDwdr-Q,0.07916666666666666,2014,14,0
IvYFTSw8HMh4Hl1him-ewQ,0.2682890286796536,2014,14,201
bKMvn26gE8lWkGfIVD3D4g,0.3090029761904761,2016,14,107
1T03FgNXMSM9mxMTid7KPg,0.44375000000000003,2017,13,235
_tTp4SM6Jg_2BD2VVsoenQ,0.1488835725677831,2018,13,134
5KoWTphFvtK6qlV5Ng4mVg,0.2456140350877193,2015,13,320
mJbeDxb-1995_EVIh_EJAg,0.13722609368950833,2018,13,45
ZFbdcbJqB7QVclORrZskvw,0.1432964094728801,2012,13,2
zUNhB2RflHX97cqZjqX6XA,0.15056022408963587,2011,13,3
m-IrCR-zrvvxgWCZye9cfA,0.3714285714285715,2016,13,80
NTJ4tctZsM_6Q0hlSfnHVA,0.2333971088435374,2013,13,1004
