review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
qDtO9fjdztxDW0Zy3j_3LA,0.2373160173160173,2015,19,344
ji9OtlGCwGVn9LDavERxhQ,0.13752121212121213,2015,15,13
Gkr09FJ9X_7CV7gDiuCPbg,0.0749652777777778,2015,14,19
Ig_iypUbf-agDqfpHzVQqg,0.33944597069597066,2017,10,8
YJcevgzAQgvGT4HmzGLfhg,0.2314814814814815,2017,10,218
fIvz0j_UXt0rkDnPbAV1wQ,0.2409254535147392,2016,10,10
zfs9pd1Qj667Z5xiyNFlKQ,0.1626190476190476,2015,8,74
QsiHwOQ4TlrHCVrXXJQMAg,0.1625,2015,8,20
fU2FQPbkzQ2NOeYwe7uHwA,0.1592592592592593,2016,7,9
3olqIFFLijz4SFyoGEMd4A,0.3405092592592593,2017,6,47
Wpd6yMzyH6RpKvVdx_jmqA,0.31439153439153433,2015,6,31
D1SACBo6rxCttPKEFRcCkA,0.21752823565323567,2016,6,52
XdNlBthvWVd3uyvQNHpgVw,0.5441558441558442,2016,5,67
6n4GNd36SNc5IF1ZqvshCg,0.1591386554621849,2016,5,53
RRS2B7UlSmQnCLI6V_olFw,0.3078703703703704,2017,5,142
EFpnE9MNt_Yzbg0L-hJmbA,0.09287518037518035,2015,5,12
5fsjsUfRtakqjcP74U1hQw,0.2067355889724311,2015,5,35
MiiDw6KCuNuLbfg8rD5-3A,0.25595238095238093,2015,5,6
BtpPmOkCZu7xKSZ6CJJgcw,0.4106547619047619,2017,4,4
V8xHIwOK9O4sP2z1Kfh9nA,0.18809523809523812,2017,4,0
zQGYM52lzde5gto3X793UQ,0.09807692307692308,2017,4,37
2hnjE3xvsWJlNbTkXnOXZA,0.2939625850340136,2015,4,27
oIEcFegWvviIMBtk1XNNxA,0.43809523809523804,2016,4,6
JVWPiEhPmL0RZlon1miS-g,0.2989583333333333,2017,4,47
ZWaOORcVZ5IdSedB_WFQ1A,-0.055952380952380955,2015,4,4
m6V6iJuF2EIeTsxUIDXVrg,0.30847505668934233,2015,3,15
5E_DkYVXPp-rREOi0mieqg,0.3,2017,3,0
ItnHGvOaXgo185bHH5kJwg,0.5666666666666667,2018,3,4
T94jDSi19RpakAuRiPFJKg,0.98828125,2016,3,15
0SJky0Is7MdroCkKqMnYZA,0.1322222222222222,2017,3,10
oQ9YtP8RorD4x7CPls4q6w,0.22884615384615387,2015,3,54
vpN9sF4N-p9chyJHDlooKg,0.20597069597069598,2015,3,11
0fSJhvF-JyQHcMJzjwQSJw,0.2996527777777777,2016,3,90
E1BS2BaFqeiTDZ-eWW_ddg,0.2988888888888888,2016,3,7
kdEGmSu0vKCoee6rOmAhVw,0.42666666666666664,2016,3,16
36XTOmdpPpCWfP3mYg4hxg,0.4657738095238095,2016,3,1
qLN7-T7XSRBqGZxqNv6RGw,0.30313186813186815,2015,3,4
qfE8eaNxgfCHrE_clO1FzQ,0.42142857142857143,2016,3,16
a0eIXLCj1WGrD3106xPxvA,0.32526041666666666,2015,3,26
zehn-xaSmOXQIDxcc7-BRw,0.3557823129251701,2016,3,0
iKRgJbVysNuxHoX1xroLJg,0.15570607553366175,2016,3,11
wHdekrCoOa5fonjJpuhIGw,0.20038651824366108,2015,2,28
iMTHSKEw3Z3H1OTNsZyaug,0.3393939393939394,2017,2,70
rigUVhq5JzgaattPHP3NKQ,0.2515625,2016,2,2
Jjc_jQO3YmZLxrZSoO20NQ,0.26522222222222225,2016,2,62
aH-4P_N-lLQ---4mNFoBSg,0.06231060606060609,2017,2,1
eO0rvgz_cRy3SoNlu5v3Gw,0.4229166666666666,2015,2,2
YOn46myNbdYim_pDvp84qw,0.1934126984126984,2015,2,38
FvHS9eLOYwxsguLIVztjSA,0.4454545454545454,2017,2,78
ONxyOlqEjxbJCiLDG6FvRA,0.33916666666666667,2015,2,0
oyl2YkkNG1049FkSkZqEpg,0.25873241341991343,2016,2,18
4D2SN06vzR4rd7OYc10UsA,0.10585317460317462,2017,2,35
J_c6kF5k34CSa040ZL7cAQ,0.3657142857142857,2016,2,3
HhwaEQUBG8ckCFk5APhSuA,0.6114285714285714,2015,2,0
14a0A4nCfqNwAlyGavMkVQ,0.65625,2017,2,4
XKh1PbtH-POZQluZGBnkhQ,0.2569444444444444,2018,2,27
