review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
4XE7zFFpcdkMerm-Nx1CWA,-0.01147342995169084,2014,48,325
ZSX5R2ZLPafPbw7_RfLK-Q,0.27431657848324514,2015,42,104
g8knU3D8ctmJSoyNSSzzBA,0.2076719576719577,2014,39,642
qIOEAp3FqtltI5wyxQynMA,0.05357142857142857,2018,34,67
YdjRD1G87488sf5c1Y4brQ,0.20155359990886307,2012,29,262
e7ItXJShygCudXtJavWdig,0.12111394557823128,2014,28,328
6fHAOIlQv6JeEf1hPpo_kA,0.38225877192982455,2013,28,469
OwBLFXDBeI9y7_MpVMWP-w,0.09260416666666667,2017,27,641
7oALmd5bzz7ODBbxrZrrmQ,0.3035119047619047,2014,21,336
8Ms_L7-y8XNOpohVyZDdQQ,0.13694444444444442,2015,20,99
vJS3CSxvwmkWgZukFTp4fg,0.23626543209876547,2013,20,95
pf8LTr53zYdfjyV9suvreg,0.16967592592592592,2015,19,376
n1aY44FlNqCnxCTceSB0vg,0.3857142857142857,2011,19,730
7YoZ87768bl7mpW5oUCTzA,0.2736607142857142,2013,19,214
F82boORnhjAqzGWGqLII5g,0.21369047619047618,2015,18,320
YM6m2hnBa-U3cVWNYyOrkw,0.2383239445739445,2011,17,730
R4S5NVjDN9oiMJCmUkBPJg,0.2218434343434343,2014,17,45
E4FXQkvOyvYVdWOO0bP5_A,0.14033374033374035,2017,17,142
sAYZJhCcTRUJ-TT3SlIyGg,0.31267696267696266,2012,17,201
36KlLmSezMoM-ahQ58alAQ,0.1654779942279942,2011,16,1698
BWH_yK5uczsX3ouTsbdYfQ,0.19972222222222222,2010,15,119
IyhUpQpsfQ8bj4LICg45Jg,0.24219978666737926,2013,15,82
zZgzbsbIY5MxLWnNCQRReQ,0.19819161551339287,2012,15,0
PIFvzTOWasl3V8oSMiws5g,0.06660055916305915,2010,15,18
7ywp-izFJix3kH8aoR_9QA,0.22439542483660127,2013,15,106
E5zhHSwtlNnXw16ozCJ3xA,0.24273989898989898,2012,14,300
HMm0NIEfrTuGSU1oFqm6UA,0.27253534226190473,2015,14,131
IWn_As-VbhjnDNeQoUX13A,0.30342553688141927,2011,13,165
8xCrJW1MBMuY7AloOT5EWA,0.006079545454545444,2012,13,0
_SjMfOwC2vkAj2phNtpbkg,0.17449494949494948,2014,13,12
Xq6KbA1zSXFqFSgDI4EO1w,0.37265625,2010,13,33
rB3QuubWZ-cW1j67y0hiuA,0.039000000000000014,2018,12,32
8tdaAFYSFXbsAbRD6x2qAQ,0.1749546485260771,2012,12,115
XYJ85RWfuETCA222hPkRSg,0.12517887205387204,2016,12,127
Uzprg6Uen7cumhQHSGbddA,0.27547380156075807,2016,12,28
PZUPUgx5Qy-IhKLpdwHzyw,0.059399350649350646,2011,12,0
hRErxK3QLTdzZpi_lmCakg,-0.09730769230769232,2016,12,79
W9c-r3fZGK-m9Imxd7q4cQ,0.24931090007516638,2012,12,123
VI9DRqTOYs23xOE7ES3XwA,0.2940412186379929,2014,12,251
ewhzy6bQOHdpDo3T4U-N4w,0.009025630454201882,2012,11,81
OzGkyHuRGbcPPpJbOKe6SA,0.312403409090909,2010,11,21
8pEC7Pg36JQRvtJ_JBSJvA,0.11196299171842651,2013,11,0
k7ZS7mPcgW-ops1qXZj5HQ,0.20947278911564626,2010,11,121
OLiCPElS8P-PtT-4Fqz7gQ,0.2220436507936508,2014,11,81
q1E02LdMuWbslU7yxEvY7A,0.1767857142857143,2013,11,12
86CFMw1paXApWhsClnmcpg,0.34598765432098766,2012,11,125
2A7DCrm9SkN58thbvSGFqQ,0.23193600135089498,2014,10,750
c74KrC86PchDhkxpXSw6kA,0.36169871794871794,2015,10,61
XEt43KABoklW_f3d4Zz69Q,-0.02490740740740741,2017,10,1
DIZiKXpk9vBWBiRGYj9CFw,0.3974777853725222,2014,10,51
nQ_mB3oWnGwhpNJkIcaU6w,0.13847826086956522,2015,10,99
gT-0B1H6cYq2QWq5UZ_JOg,0.34036414565826334,2014,10,5
Odg2bDBFBmT3N7eVCyherg,0.15731207423067886,2010,10,343
gFH_A35DxwFQDNgy3_QzDg,0.14468730674087818,2013,9,178
ow-0K8n_yqR8K4jDy-8wuw,0.10833333333333332,2014,9,110
Wk97W6HXlUIi6ZHw0BbT4A,0.4478409090909092,2010,9,697
2GXrFy7-sBn47FlCTtOH8g,0.25941043083900217,2016,9,127
esP09TMSCv3RhrnV4HYqXA,-0.08437830687830689,2012,9,2
u9fO9ok8Y1j6YCxAXTJMDg,0.3147208931419458,2012,9,254
KKaKjOF-4Hsk_8MrCT8qZA,0.399537037037037,2014,9,8
mTyu_QW9zv6REEZCuRiZmQ,0.23365497076023392,2010,9,19
