review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
v9qMi3quY1quM1NH_S54zA,0.12883184523809524,2018,63,411
X57tzhQtBES2E2naJ4-o_w,0.1945714285714286,2018,42,499
uZk79h5ZQVU1xGUH4B1rQQ,0.230410052910053,2017,32,155
C0ujTt1bX7Zxcg8Tl4awAQ,0.2222608740465883,2013,27,477
RwAlDfSllf9_I4DcKlHcwg,0.20214528668610302,2016,22,105
DmAwvNWyUTmQDZtcPF-BLQ,0.36315379825653804,2010,21,201
D5cRQnGxav2NNCX5PtbpQA,0.37402482269503545,2014,18,553
iQId5u0DHeY_vSs6mXT7nA,0.38085412549407105,2012,18,262
ApQKi4GLISOOVmHN-_TGaA,0.32442795299938165,2009,17,894
x9B4PHGCcroFMoo81aDcOg,0.17916666666666667,2016,17,641
roeNkB0jjsQwyKuSu4msjA,0.2927685950413223,2018,17,39
WUtNYP1DllPQhr8Pixlgzg,0.2644110275689224,2009,17,50
rDLBzuiW-EUZLRG2oOo9lg,0.21944405232448708,2010,16,551
dL0-aDChBnjsycLhHvO-9g,0.19353779390544099,2014,16,112
sWEIhgw2DpTvh4fELbq1GA,0.16332539682539676,2011,15,33
XKWJC75I-C45T3OE6ckgGg,0.1751666666666667,2017,13,9
xA_upwVTOVtXkS0NGISGng,0.06741732804232806,2007,13,199
j3mfFaTPyPzgcog5rAOkIw,0.37696158008658004,2013,12,21
BsvZIqeqc3aF8V9K8CxqBg,0.1535185185185185,2011,12,102
YZ0SxeXEVICsWo1x0M8bUQ,0.01457472855013839,2014,11,71
2WPpHlvBDzrBHtE3cb6Tug,0.42686868686868684,2010,11,29
Ljw9AAEDyC90K0ktkNLRCg,0.17841478696741855,2018,10,19
Jc7L0M61Sos3pT1gMZIOtQ,0.3336236933797909,2012,10,44
PkUGSF0CHfin52OFEm9OcA,0.19285800178657322,2012,10,2
OCYjvedyVEsd86uu7E4RHQ,0.2794770283479961,2018,10,435
30uPOLpPvecMHslA1hpahg,0.43212575259989056,2013,10,0
brTZJ4O8ixGKVsE5i-6Y2A,0.2831930138826691,2016,10,596
ZbCxaJIj0-w5AmDFOq7hUw,0.35217013888888893,2014,9,71
H_TXsIKPSdChEZ9JmtKVGQ,0.3032851557045106,2010,9,48
le5tlVa3q2-2nK0RlluwIA,0.28500000000000003,2008,9,65
I5PT-i4whqKtidmFqJb1Kw,0.20523809523809522,2011,8,3
APRwvHXcj2gVp6U0OyDU2g,0.5818181818181818,2009,8,60
onAoUzbe6d3KFHMEZM3Qkw,0.26351214574898785,2012,8,37
ycN3IEQ9STAA6zlCfzbxsw,0.18677248677248676,2012,8,62
