review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
w1WHT9pXcXlWLUrl86uMMw,0.3066117216117216,2018,53,436
sN73AcVCk0TpFSjvFVxZBw,0.18601190476190477,2017,13,101
9xCOZ0UXmWtfW75mXW_x7A,0.08995181405895693,2014,10,14
LLecfzr4_m7BWOjm7fFe6A,0.10037301587301588,2010,9,3
u0zcotgNWyyfVCDMl_q5_Q,0.13585858585858585,2018,9,31
FUKk-UpAAPMPtviWSNXx3A,0.4490740740740741,2016,9,62
k1QPX_8KETiwSlhV5hHXww,0.2878710575139146,2016,9,25
FPjbuxR3pq84E7Fc8SUZiA,0.20242895545314898,2010,7,5
cabXxzLjTTdGZzWIS8JMZA,0.10030193236714972,2017,7,452
h6RXx0FQk8OKgQPGcQ-vlg,0.014365079365079374,2016,6,14
3X3OB4TxzqZiL-6MioSKDQ,0.2351851851851852,2013,6,90
cZJAwN-t1YQ9sqVgOjm50Q,0.2927777777777778,2010,6,32
Q2Lfb3itdjW4hykU_hu2UQ,0.22976190476190478,2017,6,95
sAB4nH-o2OXKmC0WKSJvpw,0.07030075187969925,2018,5,4
bP8w62bUuS9n2pjnBysSPg,0.29086538461538464,2015,5,47
emJzD73O5mHJAomt0cA26g,0.20524691358024694,2013,5,344
gjSHluXQ57ocii7IGi_Wcg,0.20834165834165838,2015,5,15
4rddkjUayjWjQLzAjCP96g,0.325,2017,5,24
kW68GGkKmqcYGzhD_FuD5g,0.12120927318295739,2010,5,20
ntssnXdsC8tBSaAAMSCsNA,0.24722222222222223,2017,5,47
OQWHRFTlXEnbkC384GLjGw,0.2761363636363636,2013,5,11
_MtljWUqhaw78WpYrj889A,0.20535714285714285,2015,5,7
HfeSzPGegbwcMyQt-9lGdA,0.16732026143790849,2011,4,1
8R2LJn191AqrMj2ncHkzeQ,0.14892063492063493,2010,4,3
OhPWZzracZ3W8wnNn_Tjuw,0.04902777777777777,2011,4,24
M6feVjyfMk5H2JUKRv2Krw,0.21015037593984964,2010,4,2
7Pln7ScbSFHI4IaJ1dZEPg,0.049315268065268064,2010,4,53
gggzw358ZZTtDDMdhzZ1dw,0.2676041666666667,2011,4,36
1s-UUFyrTudoB8eOlOeQNw,0.3912629399585921,2016,4,2
1MWVgRk9vmpbappXt-9evg,0.11553030303030304,2015,4,1
fNuqAYoVPILsz3wHuW56yw,0.1645952380952381,2018,4,9
tRpOZopXaXfVd5fW-OUFeQ,0.14884353741496598,2014,4,1
WrdnZGJkkGFUZ0mIJGspYg,0.33491612554112554,2017,4,54
EbnU3kt7bPzUKxb6K-NHKQ,0.19589285714285712,2012,4,1
HmqHIQEZNvfjiV5c4vll0w,0.14882890365448506,2011,4,61
pcoenOGHYzFdGj2YHRMX2w,0.3409090909090909,2018,4,88
z5F3oVlRrToYnZe0eRB6Fg,0.21157407407407403,2012,4,0
i8oCDrwzWgJV7_LomM_XNg,0.209327731092437,2013,4,14
O-JIJeE14GNCsRQuMoUsQA,0.1478503787878788,2015,3,0
EWbx9hHbjlARtDib0XIXHA,0.2677083333333333,2015,3,53
eaYuynGgEZRfu1JUBhVVJw,-0.060416666666666674,2010,3,25
NHbpkj0X3x4cS-0m8zPxDg,0.14095356158992525,2010,3,0
6Q6kt0LCx7FofOVe04cFNw,-0.10227272727272728,2015,3,1
3YA88ThJAt233YerfXqAMQ,0.020920138888888884,2016,3,32
x7NZ8aWTxnGlhZvBI4IyKQ,-0.375,2017,3,4
QuEhnxys4lFwDjj-HQEszg,0.2317460317460317,2015,3,0
_ahlNaNWDqGBvoGCEDb1rg,-0.07999999999999999,2016,3,3
PMu7Ig1Fx3AC8JBbHPVQhw,0.28975694444444444,2018,3,10
xuo_f90LvTq2JxNIMRyt1g,0.3888888888888889,2015,3,0
HvnqAAnIptni7TyBszSmuQ,0.36702380952380953,2018,3,80
RQaL3d9SJ2Chy8A9kMLwkw,0.30520833333333325,2010,3,56
6nsLQnHnUr-BB2mIU8Axbw,0.08374999999999999,2016,3,13
Gy6wqC84XxuvVGftzicnSQ,0.1336996336996337,2010,3,402
7VJwaOOG0oqV-0fy0QNDtA,0.3464285714285714,2016,3,1
wfTqHXv0mLQtk0HJWtRIfg,0.27834821428571427,2017,3,16
egVUpOpEBug9DeYlI-4Wuw,0.11738636363636364,2010,3,4
c4CcY4HR2DcX-Yl-X02dkg,0.3442708333333333,2018,3,45
wNVWOzRyrody29K6m0pToA,0.11416666666666667,2017,3,4
dR_NlYj_4kIBAz-NhAKF7A,0.2839464285714286,2016,3,35
2XLvlVbdqz2w4nd30oRknA,0.4319736842105263,2016,3,27
cveSCfvMcU9BNMWj9quLZA,0.33961038961038964,2013,3,9
ICGHDsquBYPAKi6FPBxJaA,0.25194444444444447,2017,3,2
3S3iUTUUD67qbeM25kx0xQ,0.09185185185185188,2015,3,1
HF8p1qbjq0qEPJ97dJbyQQ,-0.09551282051282052,2015,3,16
BqBI_8c4BT4SpW5eNj2T4A,0.15760416666666668,2010,3,0
N7yPOkxsYp9VmLJltjsHlA,0.03434343434343432,2018,2,12
W-gvEIjqWnMZz4uO_DplNQ,0.044260204081632656,2018,2,0
bhyo8daei7g2keXCiwIUgA,0.38750000000000007,2018,2,6
OelWiIV3F13ecHXjfSazJg,-0.06892857142857144,2014,2,36
RxV9u76_EBKyVT53fAMnQQ,0.08888888888888889,2012,2,3
p7t0IpeRbqvxsbg-LnEkzQ,-0.27278846153846154,2015,2,0
d_yAw1NHFzh5j1n9ETjuOQ,-0.06875,2016,2,0
K0Dzyd4uS8J4rAsFzXhcuw,0.2662362258953168,2017,2,0
slodzK_bhz1zCjJg477KJw,-0.004807692307692299,2016,2,1
HSXVEB5QCzmBnMFMmi-M8w,-0.41250000000000003,2011,2,6
mLA52yGD7eno4WmUtjVhGg,0.4333333333333334,2015,2,30
WnFREl5yLvBCbb9DaxtPEA,0.1728219696969697,2017,2,15
8VmDuAn7rHwfDxRS-W8REA,0.1877993100649351,2012,2,23
3QLi0vtnvkdVJq8cx7rOXg,0.06606637112887112,2010,2,29
jL4cFG4UmUaVfkgpUs04nQ,0.16737544449598024,2012,2,5
zdDZeWY2sLsaUwyYoE9dTw,0.033333333333333326,2014,2,2
fZEg2jDY74OFmrOBseri7Q,-0.026293945312499997,2015,2,1
mBGalr_X1L324ICpqkwWbQ,0.2605404347425624,2010,2,0
UzMbEono5U0NJ1Gp7RTyoA,0.2744110275689223,2017,2,13
RQ6od5DaDirs6wsW8HiM3A,0.39972089314194575,2016,2,2
MPxGVD91d49eq1otImqaeA,0.1543181818181818,2012,2,3
i6xFwfTGaaGHFOr4PG_bTA,0.21053240740740742,2011,2,528
-Cn2yrtl1ksqGCZt2tUYYQ,0.5157142857142858,2017,2,0
z3NrkPtAA2llk2hq4VVveQ,0.16636591478696744,2015,2,9
xmzc8PuO3wu7C2yKuueMXg,0.08055555555555555,2013,2,1
7_P8qqqpgYH4NXEbSvhLZg,-0.07916666666666668,2010,2,9
6716CDhw2myW9ae5fAjaGQ,0.2995474045474046,2016,2,51
NkHJYsIkBMFBmOAVHExamg,0.85,2016,2,2
VQt9dw0cUSTe7TgYKnyeig,0.15613275613275615,2018,2,2
i-FrsAjUVaIhr1KHZIIwCA,0.17884887839433294,2010,2,5
pU-lAjUxCgdBgQlPzzeRyg,0.20099999999999998,2015,2,9
CLopjsMv5OVs8XzEHJV4hQ,0.37374999999999997,2014,2,1
5jhVijdRSGlv4ktuGtQM-Q,0.3040178571428572,2013,2,5
ER4heH7ZzHjvoRZqpwr2HQ,-0.11712962962962963,2012,2,0
x5rOEveuwCdzVgadreBvcg,0.2758333333333334,2011,2,55
kA4ky_dGZlJxDW21E8-BQA,0.029188649891774898,2013,2,0
yVVe3IH3NO9_2AfaaVvpGQ,0.11785074244751664,2011,2,15
TXEYM99WzExlfl9okupvmg,0.1786390692640693,2015,2,16
r5V3Kk-rQASQMP7whboKrw,0.04933333333333334,2017,2,1
Kpxbu-C5V5b2VMhIuxxdxA,0.1968181818181818,2016,2,4
9ZkTPgy7FL8hbAOSg7pxSA,0.3428571428571428,2017,2,31
vAVIJmU79ZlLHLL7n83QBg,0.15176804315476192,2013,2,106
6rqxfd-pn9uSzLQViN-hiA,0.3047222222222223,2010,2,0
-2BWQxa1wK3pxh30DfdC_g,0.5035714285714286,2016,2,2
E9rsc3JM769gkQUVjmFnTg,0.025000000000000005,2015,2,1
4Tzx7B4WFhcf2GgwloOehA,0.10950491307634166,2011,2,7
Hz0d8Nw11bfILsA7roJ8vQ,0.2833333333333334,2015,2,2
_MTpU0oidU-wH4CbKN6a6w,0.3757194616977226,2010,2,56
8Me1TePl2EOwdziRnAfQSA,0.29074074074074074,2014,2,44
em-E_wuuuVBHVOhUss0w5Q,0.07473649538866929,2011,2,24
0KIrMHyAO2-KAJwG45EgUw,0.35727272727272724,2010,2,0
trNJ40_DSYhj4gPpmJibiw,0.4033730158730158,2017,1,1
98-Tw0-8QFg4_cKAdMzKCw,0.11260504201680671,2018,1,35
woDL2cMex3mzQqE6mAyI6g,-0.15374396135265703,2015,1,1
lLsgujAATSmwwTnLknDO-w,0.014074074074074079,2016,1,0
mOhEGV-MtC0hVPkaZhtH1A,-0.3833333333333333,2016,1,1
-YrIFRdwZRPzEDgJzPFVkA,0.16341959635416667,2011,1,4
-nJYn0pM-DZH6VSODgVbSA,0.41500000000000004,2016,1,1
bI5j9F6KJRGOR_U7Hzj1Ow,0.19166666666666665,2012,1,0
gnPkX_CGXHNfDtzrfLpn9Q,0.29277777777777775,2010,1,0
4RhmrbtzRbZr2QW1ms20VA,0.39285714285714285,2015,1,21
eTz1pHWzBDh_A8vVYGuKcw,0.25767144097222217,2013,1,15
7Q6-2RLxE04o1qpQWp047w,0.24749999999999997,2018,1,14
Lc2A3kxKrIlt5tydh9e8IA,0.07261904761904761,2016,1,0
m6f8ssv9YFzJo3OGx7tapQ,0.13041666666666668,2014,1,0
1pD7lhYc0tuSqlGpo02lQw,0.6883333333333332,2017,1,2
Inzfi4lnrxAS-e-Hz3x5gg,0.1456456043956044,2014,1,2
Vk1dUt0hNzhmKqFXEAZe0A,0.4229166666666666,2018,1,4
D9v4HCmP7E_QXC0oZK2m2w,-0.048529411764705876,2017,1,8
JvUvJb9fRuo00qoXexRzAw,0.07076190476190476,2012,1,4
ZxdpdMNya-0tHolfrm5Hyg,0.09555555555555557,2017,1,1
5xshpQ_xbBYzoY0N6myCQQ,0.08194444444444444,2013,1,1
AnZz0i0o23glfffOzBIvOQ,0.25000000000000006,2014,1,4
ZklPplR-HP-kkfLtfv365g,0.0682291666666667,2016,1,0
vpU7jHemDtipvlt2A8oANQ,0.6083333333333334,2018,1,7
AgfzhpXB0TriV7hPgPu0Tg,0.3546875,2017,1,0
kOtMXazvXyOGbwlpvPpf-w,0.21982341269841268,2016,1,0
gjiP34humln0KtSlBjGyjQ,0.09255952380952383,2012,1,34
TNEfk3ZhXK89oH_oWip2nQ,0.18630952380952379,2012,1,0
Esghj_6Zwku66MEBsFST3Q,0.2,2015,1,1
HVeuOn8emjRrOUctmjaigg,0.1532738095238095,2017,1,20
kpLDrn9LlS3nGfXzP5fj0Q,0.4191666666666667,2015,1,0
iSfmrzdsbS5fpSXyZ3f-kQ,0.23357843137254905,2013,1,0
8GLyYsUqSbJC1YTr8NviJQ,0.375,2017,1,2
3raPTdJmC9EUS2x7yTc2nA,0.2502525252525252,2017,1,2
t_EUwl4WS5U_Tk2uuARhjA,0.5111363636363636,2016,1,3
4GEeeR0ohLoPIRO9jZvS3g,0.03571428571428571,2016,1,0
PBJMP9a-98E3RmzNaKcIlQ,0.24464285714285716,2015,1,0
0BfzhpipLyrQYnP3U8vPhA,0.3025,2018,1,4
8KO2GyYhPmu2H_IWlv_1mw,0.09788888888888891,2017,1,8
3t_IKkXI2n-_tRd1O48hwA,0.06938244047619047,2011,1,3
Lu8nEx0YWT5fMgGm49OukQ,0.44000000000000006,2017,1,70
mapmmQO31yQbVoXjTnqsMw,0.35000000000000003,2016,1,2
_BQt0gSsWZ5Ctew83oYLFA,-0.375,2016,1,0
yxRWY0SZaG-C0tStTJORjg,0.7999999999999999,2012,1,2
P4PdKhvd7UE6a6Bm8lnZsA,0.04291351010101009,2017,1,0
7FucXj38Zhmx8GJu0YuLYg,0.875,2015,1,13
_4l-JPxTSNYOB_855_Pq2w,0.23560606060606065,2011,1,10
bkzThSqucXq2PaUkLP7HEw,0.4666666666666666,2014,1,76
MR2INIbetNsryBXPeshqyA,0.40973958333333327,2016,1,1
6S_zGBjkDhE4MkcP65EEOw,0.5390476190476191,2018,1,4
SLAzUPsDLIlXphTfuErrkQ,-0.011640211640211654,2016,1,1
sZWPutE6FVPb8WeM7G4VzQ,0.19583333333333333,2013,1,1
zh4ZHlk6zqg4LLomCdBdrw,0.7,2013,1,0
O1YtR4oKywqcrdHuuShRvw,0.5675,2015,1,0
vIQQziK702PmX6SPInSInA,0.030753968253968245,2018,1,0
urF8iJdhVugSiEB_4X_YdQ,0.225,2016,1,1
QR9KIt383BzXqBDBTVctOg,0.10952380952380948,2018,1,7
d6kb7HZyqI6jUcDoXytELw,0.1431818181818182,2012,1,150
JmPAVDePr98TL5PuSOwWng,0.2948095238095238,2016,1,9
ZNu87u1MMeRoYoE6gy8dLw,0.04340277777777778,2016,1,0
KvDX7gl19GMhhCVhspUNog,0.7286458333333333,2017,1,0
sROey7FIujn6fZR6TZvY7w,0.0040000000000000036,2015,1,1
CGME8CLLfYJbA3CuFm9Z1w,0.0863095238095238,2017,1,15
CSkoT7XofUd5Igp0GKDEfw,0.21769230769230763,2018,1,3
h-jPvj7nIG9A4ZdAjJJCKg,-0.0011111111111111183,2016,1,0
3rcaS13UD7xED5C0pLnohQ,0.04635416666666667,2017,1,2
vh-u7LoVSV4p7Ujmp1wT5Q,-0.40714285714285714,2011,1,1
eDnQY0VPfrPKzhQxu9esvg,0.13472222222222222,2011,1,1
ttTEDddZX0Q7hvAjOEd9ig,0.4533333333333333,2016,1,1
v5CI6t1k-ocQ_dWNM5VRCg,-0.0524859943977591,2014,1,18
xm0fgiyn0K9G4zt49LdiQg,-0.022142857142857148,2017,1,0
mAtTbDQE5iLV02mtxGX4aQ,0.10905797101449276,2016,1,0
fyAx6lxM3dgUDpd42OfO3A,0.1919372294372294,2013,1,1
GQ4T129G9I2OVWiUETZ0Cw,0.17334656084656083,2016,1,16
-Olu1jW7TmTYZvENNMLD8A,0.1584467120181406,2018,1,27
G4L6e0jdJ1r4r_0Ph26P5A,0.00416666666666667,2013,1,0
9loNEpkwSfH8qV7Joecg5Q,0.14944444444444444,2018,1,13
FUVFxWB2iA-RjcfyweL_cQ,0.22708333333333333,2018,1,1
nb5mmGnsRYXlFcf2HE7-dQ,0.008095238095238095,2018,1,122
6FRD1izdZEQrwoCmf0UNug,0.1303703703703704,2018,1,5
QQupjy5DWT_lNIyGYrDEUg,0.14666666666666667,2015,1,1
wb4KMe5TjJM5ljvWQ-Gl5Q,0.2549603174603175,2010,1,15
NXDCxupfgtgVCDbxxKkwvw,0.06476190476190477,2013,1,10
xmkaFsx3rNfyYnPwkBxBXw,-0.014999999999999947,2018,1,0
F2OJ9EkgThYmraoqL4YCpw,0.35,2017,1,0
CVdMX8zKJ4Z_q_MuqY-0WQ,-0.015105820105820107,2016,1,0
J1zTOjkTcpCeGbvqSmYXmw,0.25972222222222224,2011,1,0
djS7VJRCxQ14Dhk81jOMnA,0.47245535714285714,2015,1,0
ZNuguRLCx83ANdjcXpZF8w,0.0666898148148148,2010,1,0
F0dzKWjhFfDQicxZklSWUQ,0.4197159090909091,2017,1,4
tTxDid0yBg56MltU9R57Zw,0.3416666666666666,2017,1,0
U1DbdQwdLfD_SdAoGbNKNg,-0.11538461538461538,2016,1,1
FkyqRr-oZQwHW_F6kNxNgA,0.4318181818181818,2016,1,0
cNCwlX3J3gIQouP1VDhL4Q,0.3352040816326531,2015,1,0
73l8um_Fhjr6KBBJZc9HSA,0.21111742424242425,2010,1,0
Z9z1jI1dEtbEz3xg6O1raQ,0.5,2016,1,9
SrxBqQYR1vOFVw7howaXlA,0.10779761904761906,2014,1,2
AxAQlkKtROcLVXisXENH1A,0.2566666666666667,2016,1,0
4rlAffo2FxVw0UuoiZX17A,0.3078231292517007,2010,1,74
ugSRDKAwrDh_M13nJ3yKBw,0.19238636363636363,2017,1,0
9_TvNg4FrTuZnSHVYBqVJA,0.4347402597402597,2014,1,3
NmZOlkl5MQZknWhI8YGxdw,0.4666666666666667,2012,1,0
5n3Lh_9Cev8YLNe4N-i6-Q,0.525,2016,1,0
J8HTtQ2Sev0NESNujOGatA,0.17291666666666666,2016,1,0
E4BPqwByxuu22-k7vLFn5A,0.04814814814814815,2011,1,43
F9Msnsd8KEetW8dfKTqLsg,0.20891308038366865,2017,1,2
_EWIq7VU8g5wSrpKfU2HtQ,0.07010582010582013,2012,1,0
M9rS8IRH8VJOcstDAQ8glg,0.5984126984126985,2016,1,0
rGx_chiayAaecQel6FFzXg,0.625,2017,1,10
mc1pXo-K2326DZOuaYPlzg,0.18722222222222223,2013,1,24
3NlGfMjOlmJaBL1rx6b7jA,0.07751322751322753,2017,1,0
wmbUy_sfP9pnnqF8mNTioA,0.10833333333333334,2015,1,0
xZoOTAxmeBnAcNks7brm6A,0.08727678571428568,2018,1,0
g6f40TI1rwhQTgk0b3TDRQ,0.20871212121212124,2018,1,3
GPZO_XUTBJaFW27hkQcPlw,0.07430555555555556,2013,1,42
ZdGrvp6Kq1hOt_3WPTOHhg,0.296875,2017,1,0
5xphxTiOMg7ApwySh9XHhA,0.07692307692307693,2015,1,0
yjrPAf9UWau1rPHWTUzoRQ,0.24178571428571427,2018,1,3
_8TYJ9Hi_uXYn7UFY8VUGQ,-0.1625,2015,1,0
TXSU-9rUrpeIV_0BQxoWSQ,1.0,2015,1,0
qsdx8-qib7zX5DB7FZXfwQ,0.2361225328947368,2011,1,3
YAuj-Qq-UTpK5joJaHCQsQ,0.3688888888888889,2012,1,0
UHcZ4RQoKKwfFMQyn780eQ,0.31803030303030305,2016,1,6
OhGiBuEXXaaGCj04a2J0UQ,0.00833333333333334,2017,1,0
uIhrSmjBY5_Ia9T5ymGvww,0.10733333333333332,2016,1,0
_c7Z_cJfsKxunvYYh7BO4Q,0.12361111111111113,2014,1,5
cs79h59Wvvf6Egp0b1ztrQ,0.18564814814814815,2017,1,5
VAzIjdyNpbaT1TGxqEyaCw,-0.045,2012,1,4
GlsW2eHwgpEW3QAvWR07XQ,0.1977777777777778,2015,1,5
a4JDvyaS-sBQoquJ2ZWMYA,0.1632111935683364,2016,1,0
6VavYte9Y4ud126LF_7LTg,0.17700000000000002,2016,1,0
RJlTjyw8u6hQrGWe76N0fA,0.17662337662337663,2018,1,20
vGGzz31QxmVqisLFL-CyTg,-0.6,2016,1,0
z-UorbNvLC8IltA59GQ_FQ,0.5596153846153846,2015,1,5
