review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
X3D0QWlY77VSSpAZZByjjQ,0.25,2015,122,668
9W-zLYREzEyGTe58KtRMiA,-0.003146464646464644,2018,104,738
Cs49hj6w412xJsyCU9drig,0.38086734693877544,2018,57,219
LFZWfo3EqADKDSj0REHafA,0.2557291666666667,2014,42,45
Ao-IRqi47CItw5Zy1bwARQ,0.19128191856452728,2017,35,263
q1abOM7gyzZTpUMuC0NFuQ,0.11724316578483245,2017,30,266
RgHrwJmzxxq8kekgU0HVsw,0.1700180041152263,2017,27,139
ej6LY8oY5lNIeQJux2rEIw,0.2081136363636364,2017,25,263
0ARFz2Ls46i1waud9E-B0A,0.33125,2013,25,286
fdElSkFVDTIjw-ax-b19Gw,0.13798076923076927,2015,25,229
-7ShyaA39i5i55iRcagL3g,0.07857142857142856,2018,24,359
zoZKebQMsq-9AqgMCn6Z3g,0.2712962962962963,2017,21,116
8At-1aOD1GCbfo17PBiP_A,0.12615626710454297,2016,21,56
Rf0Gw6NeNWTYipLUGzaF8Q,0.16609935332157555,2016,21,157
TbH2TETu2RAYC4wsK6b7mA,-0.13749999999999998,2017,19,15
0jScJBc8Xx2d7Bg8hoXNRw,-0.23709935897435896,2014,18,4
NW0SLwT3sFB028M3reeV9g,0.22825670498084294,2016,18,103
TKmqVSGtVvOX_a8_Rj37hw,0.11621944444444444,2012,18,124
SxHoVLg_t6Dk73ZYXbrsTQ,0.10238095238095239,2016,17,0
wIgbmz78dnbuL_qOxznVKw,0.07263888888888888,2013,17,969
pC7leweTkLlBiXRCGgM9jg,0.47510204081632645,2015,16,81
ZRwYgCD1Hf3DJTcmXqw0oA,0.0,2016,16,0
CwL2dhZ2jH8qF1-HdzPnqQ,0.15336601307189543,2017,16,218
71Au5Zi2Ly7hg4Fgz6UG-g,0.20665501165501166,2018,15,267
QYHapvKANNlYSour0BEYyw,0.015530303030303045,2017,15,235
Q3yzwdxucFzPHNJOXyotrA,0.012876984126984133,2016,15,26
p8U9Rx0CEkpCG-_z0eFLwg,-0.03666666666666667,2013,15,80
DwTjFxGmMEaig0pvK0imNg,0.0954184704184704,2015,14,172
GB0SWtmi9OJxrWFU_V-Yzw,0.07457482993197277,2016,14,189
