review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
SPecOXqZc2KN1wBbXJf_uw,0.1298611111111111,2016,41,738
O4uhgvF5_s1NI8vWfW8q8Q,0.5285714285714286,2015,32,46
_igUoEU5BEzHrOc32XvGgQ,0.29196428571428573,2015,20,266
--V3sVJbie76V6UGZaeBlA,0.3393939393939394,2016,19,894
45SGkMxhYgSksZjQv6_AZA,0.19715933248299322,2017,16,126
hVTjOwSlYERcokIWxvNeBQ,0.44142857142857145,2018,12,120
jz-F_pP8iMyNhFKE6yLjFA,0.2931818181818182,2014,10,69
SV3uhvNX84Ie4coJxtHjFg,0.4388888888888889,2015,10,451
1KoI257nV67gyFATvZIHOQ,-0.04999999999999998,2018,8,88
JqJeD4ln_nN3JYdBu50Wrg,0.2606944444444445,2017,8,49
Ma2DOMG5lHZ3c-0HPbf6IA,0.12849025974025974,2016,8,133
Glew7DJa7jCAM0w22J7pMQ,0.39681697931697923,2014,8,32
L7A5mgio-2hUsBx5LLP8-g,0.021071428571428574,2016,7,1
_oBYZqr_JC-54mrPud1hgw,0.5038720538720538,2015,7,18
Fw8hF089Nq0nc172erkTRA,0.31841736694677863,2016,7,41
pRzmgSo3_8ApzvQkOU9v9A,0.3807692307692308,2015,7,13
2VSauc5elpNnNkiMI4Kkgw,0.35122437169312176,2016,6,26
YMqbIRlWL4jzJi9twFYNsA,-0.033333333333333326,2014,6,23
nFUXWHpQCor5M0JMwy3BvA,0.07990815490815492,2014,6,1
NtCFhYOzbFpVR9nVlQ4o1A,0.35592105263157897,2014,6,3
JHKmkxARh3_O123afh6vew,0.1628348214285714,2014,6,0
aUmBJhg4uHDUa753GFcPDA,0.05147435897435897,2014,6,0
dY6OoCgxNMSSxkZ8MQN4Vg,0.16904761904761906,2015,6,8
p-lE794ji0EobxZFfQHZbw,0.0029120879120879207,2017,6,5
ExI921QGp_gWd6iwIdZSqg,0.018344907407407407,2015,6,2
lI6TjUjdDyupFiRDBveyUg,0.26666666666666666,2018,5,54
oxFeOxGFsf5Vli1vPYGBJw,0.1910714285714286,2014,5,47
-Db8Zi6hc2rztLRGsk5cVw,-0.0009982638888889062,2014,5,1
qC3kx6YWc4NERI_FQPJKPQ,0.034090909090909095,2014,5,1
OiaOLlRbeoR0U1_tz5KRdw,0.1569343434343434,2014,5,19
LP1uTznk1gFuEocvfDweJQ,0.17047619047619048,2018,5,47
zKEO8LAyaDPytDXMC8yavQ,0.4343480725623582,2014,5,8
Nz8_2D25KV7iU0pnQGBMxA,0.10824478551751282,2016,5,27
OD_yQK1DvJhIgelYx5anWg,0.26651785714285714,2018,4,5
EZCMGhWTjKgOByThK5cmwg,0.745,2014,4,4
Ox2tX5o7h04DJ8m_ALjLkw,0.5666666666666667,2016,4,46
6s3f8HwTh_iu77HEt-o0Nw,0.33525641025641034,2016,4,25
xKESPE7OwzMWIhYK6A2IEw,-0.06374269005847955,2014,4,2
MNJb_hMta4OuHPS61xQcrg,0.1396031746031746,2014,4,0
4O9Vz7KByV4vBLLYiunkGw,-0.094375,2017,4,0
kl3tsP-L_DcbGgy4Kvrrww,0.10509259259259258,2015,4,0
69uBvepJmevn13gHH26POQ,0.28347953216374266,2015,4,1
2QaGID0Q6R0X69BvhvnUOA,0.3293560606060606,2016,4,30
agvQHmv9FvwUzQ9U-Sr0hQ,0.3984375,2014,4,2
4SLPOfp4u4xwILBt6Kfupw,0.11309523809523811,2015,4,9
uMff5EgKRXaRLgyn96FRzw,0.1671090367965368,2014,4,31
qCweG-Rs0yKvOD9Okt3BFQ,0.3416558441558441,2015,4,5
LEdcHt2lqjeRQb7wHWHI5A,0.0,2016,4,1
_iBKff-1AgyCpiAC26jwQw,0.35856481481481484,2018,4,5
0hR8WB0BSreG2TrEEuJQpQ,0.223287037037037,2014,4,93
XCfkfi4AM9voCQnxUrGBQA,0.08750000000000002,2018,3,94
jm81-NclSoglZLE5fIk_oQ,0.06813371813371814,2018,3,10
78OjYk-_dFB1PcVHMnBsdg,0.2470430107526881,2014,3,8
ljQg5MmKLNtIXe2hzqXOWg,0.18212962962962964,2018,3,8
uQdQUYsgDJPYiTShymaVNA,0.12385531135531136,2014,3,10
ayhte3ACOPxno3Q16VsN-g,0.007354166666666667,2016,3,2
bHO7xMtEZSzyq-D9S0yTlw,0.13720238095238096,2015,3,0
guwOx793AYtF2r1l4CQkCg,0.21979166666666664,2018,3,1
rupBWqo67LN2jlCJWdejQQ,0.08636363636363635,2018,3,0
sbei1mGJNChFrE91NWw8Nw,0.24436507936507942,2014,3,0
g-P2WMhVqNlkMlE3CPSY4w,0.5633333333333334,2017,3,0
VBSPRBvOQuhoWCJ--5PVsg,0.1638888888888889,2017,3,14
yuUkoLe4N8z35RMULXYlhQ,0.019312169312169312,2015,3,0
XPcGncny8BZROFr-uUJcQA,0.09476495726495725,2017,3,23
tuupE_j9fzIceK8WOLly7A,0.1348484848484848,2016,3,0
C8WC1KThh8pG67cjLlrVuQ,0.30085034013605444,2018,3,4
X2EYyam6GSpEgBZ8Kx2zDg,0.3511413883735313,2014,3,2
WhCPcfA1689h5gOZUiVjTw,0.18083333333333335,2015,3,82
QWbFEdJ8GLtHYEVe77biIA,0.09687499999999999,2016,3,0
TvLR5AjDU-MHffXCYFzh5g,0.2764285714285714,2017,3,0
cfs19-c4hZTvp0a1zu5txw,0.5258116883116883,2014,3,0
_2QJkLQzDlPvps3CWtcyAA,0.2449074074074074,2018,3,4
bRw3eMkln4rNUjmgR_TTlQ,0.22746031746031742,2016,3,9
2dhSRX-CrmbfsdmfCKGnxQ,0.04504652435686919,2016,3,7
ibZ71c1uzAwMfOUc94OFKQ,0.18634259259259262,2016,3,30
kctuRLu9wvKTPFZt1fgF7A,0.1234126984126984,2014,3,0
KT1Hzwvp9ximnIgNF_i4qQ,0.20069444444444443,2015,3,0
vk4xF-hmw_1hbPbjCc2M0Q,0.18589743589743593,2018,3,63
j0JW4jajVSwcoNqsbk5K3g,0.25933333333333336,2018,3,35
QVDDQ0Rn9YuyPMYyjivmLA,0.2158333333333333,2014,3,44
6FDRYaUZoKYFPk0-fTMBkA,0.325,2014,3,0
8YR7M2tz1-ClqTip1YutkA,0.11536281179138322,2016,3,5
uBpQQRiW4QH_Sp_V38POhQ,0.3195578231292517,2018,3,10
5H4gjk2NtVB6_qENp31JYQ,0.255,2018,3,1
geytX63RFOuvhKedmPsW9w,-0.1273809523809524,2017,2,1
FQqOGrsmCVPcZ24a7_LCdw,0.2675595238095238,2014,2,2
7xtwyrKnbQCdA53TOKa7jg,0.32037037037037036,2017,2,23
t8Z50QVgIFNWv3ynWs-eRA,0.2029761904761905,2014,2,1
roUT4Md0wN_5xfYjorBJ3Q,0.37625000000000003,2018,2,34
J_44wgRVPwISRa8eTdTsRQ,0.24964646464646467,2016,2,1
YDcxe0IToFOCaJhpp6ro-Q,0.37857142857142856,2018,2,0
ts-pHuhcyiqvVaKX7_fqSQ,0.2680555555555555,2014,2,2
iNsIzpwKK8FDvjAJ9ujr6Q,-0.16666666666666666,2016,2,1
f0sSbQkz0mGv2R7wwzLzzw,0.2543216420767441,2017,2,12
0JjHcM0M7fzPQCI1ZzncAQ,0.1929050116550117,2014,2,2
-XSVC9cTcJNc4bcZcSgmhA,0.6333333333333334,2014,2,5
gn2oo4Z-4Ymtfph_R1BKEg,0.3066666666666667,2017,2,8
Iq7XFrlBqy3ZvaxPOW2WJA,0.35939625850340134,2014,2,69
y726iUOLi-lwiLdL9AXNfA,0.3162878787878788,2014,2,15
uuQ8L40RvtGPPxy9jGV8Xw,0.10003543083900225,2014,2,0
Qx3NwQqw4QAWhOhi_8vEHA,0.525,2015,2,22
rZ1m2EAg4hKzQCqutZLdCA,0.3147180134680135,2014,2,5
EX9Ol8zKv8wjGa8vnc-D7g,0.5145454545454545,2018,2,1
xHZWvGO3FXPbqrkM-nVfPA,0.2,2018,2,0
2W8tfaqWJ_FsMyYJL2IrHw,0.4701923076923077,2016,2,43
nv6Jdsg9m_NIO2nwf8R_zg,-0.0008928571428571397,2017,2,0
AQdbpeUaCiiREIRRCVgqXQ,0.08624971519708362,2017,2,0
QcY8GzKSc5yULkjquRCbbQ,0.41854761904761906,2018,2,9
kEmf5vm_55hnAh0vGpygqQ,0.1398148148148148,2015,2,2
3itJJc8e64Ohz6nNt15SgA,0.2014705882352941,2018,2,0
DFMIFIRAN734x1pqFMV7ew,0.24,2016,2,0
4MF1YU1ZGzaWHnVeNmVTJA,0.28291666666666665,2014,2,38
YQuYfmuiNYjr1UnHdjMmhg,-0.075,2014,2,1
d9HeyQJD2hMCXBnErKMQWQ,0.3297268907563025,2015,2,9
rVKI40xvyS9mUnuzQCwUOA,0.38666666666666666,2015,2,1
L4Lq01RiI18v0c8D4G7jlQ,0.309375,2015,2,58
50V98kUgTJNcD54vqKHenw,0.29686755952380955,2016,2,11
Kk_4NklK6bXaGEhui3tpHQ,0.1445473251028807,2014,2,26
HUL_383D4kZNASxoTc3Wdg,0.39375,2016,2,0
RCQYphZltse9cpdbayPCTw,0.04,2016,2,1
sKFCu1ZMA9k7Yjud5PF07g,0.016704598506069097,2017,2,0
uh0-2g2ebSui_EHUXr-TUw,0.4046703296703297,2014,2,3
m8h5cAfEi1PP-EIG2-gtiA,0.3529411764705883,2016,2,111
lzbT7ImxQwW5T4GWwldxZQ,-0.06273809523809522,2014,2,12
U4PV3TbIdhl9qQvlWSOFiQ,0.14340773809523813,2014,2,5
VXqeQt9ne5m3N_JfLn9-cg,0.5249999999999999,2015,2,3
oHieFUat9N9FvrYycq6onQ,0.0726190476190476,2014,2,9
AnSr8bDJ1B4m5YGNfpE8eg,0.274465811965812,2014,2,1
peRDyFKXl3Gafav2PxUj3A,0.2613095238095238,2014,2,0
dfbLjRqiCktMCe_VxcisrQ,0.359375,2017,2,0
3QpgJL3sdDLCkfoXyRPiyw,0.45,2018,2,7
mAfeMfy7B_4jdTii3vrQpA,0.27749999999999997,2014,2,0
umB8hCY8VtkR4rwaP6nfJQ,0.5149999999999999,2018,2,2
zvmcNJXlcqmZ-cueVwE28A,0.6166666666666667,2016,2,1
9hx01sUcxA8EDRlH7aRHLQ,0.566923076923077,2018,2,0
pCxVDT4HScWN49WIRbgJyg,0.20394736842105263,2018,2,2
4-dxD14mRi5QOyhvdtAfcg,0.1277777777777778,2014,2,0
sokRo0kFZS7Us8RHVlAp5g,0.24380952380952378,2017,2,6
6yTtuwCLPlOeI6ltuJQezw,0.31425925925925924,2014,2,4
jjXSlkwUwnbJoXFKwk88jA,0.45625000000000004,2015,2,36
9hSdjmf9bmXhJ8i36So5kA,0.156234335839599,2014,2,26
-CyxzDBZ3bAudX9OGAGD-g,0.20386904761904762,2014,2,0
SKgaoRvXtuX38lmc1CvyZg,0.23438311688311683,2014,2,0
Wadjapk50XP9i5ZEEGqyQQ,-0.05174825174825174,2017,2,0
Xq_xjZmq6oKd-hjAwxX9dw,0.26273437499999996,2018,2,6
6udMA-hyjlXR8kxeIIlyXQ,0.10769230769230768,2016,2,8
KQ_kCNnT8rnjjL-4J7B7hg,0.20856481481481481,2014,2,26
SqykYIzCM-tjvkgYG5CU9g,0.6416666666666667,2017,2,0
17nlpiXJJZm5rkncrDELaw,0.13968253968253966,2015,2,26
BFIaO1FB2G0YsWGnfHDEeA,0.24953703703703706,2017,2,1
chWvTmYO0JhuS6wCcmwRJQ,0.4833333333333333,2014,2,0
PVZDAaGkYi-QYPKSQd1XUQ,0.40694444444444444,2015,2,5
OrLPzKZc8ediCdX1-giDLA,0.2590847499384084,2017,2,3
BOYiuUgjS_-uAM7vp3oVFg,0.6666666666666666,2017,2,1
BytN8iv6aG7oJRpzJ8OpNA,0.3571800595238095,2015,2,0
YE_CkF4mAxrmswPX8ax9dw,0.288640350877193,2016,2,9
LEE_SRhK5nRvbCNMRDpX9A,-0.11000000000000001,2017,2,0
dDiOwHWNwo91vewNBTVGGw,0.26666666666666666,2017,2,4
rwz1QgDeueeC8wtneAa5Kw,0.53,2018,2,1
Bl6tpQRVfysVzuV7hig9dg,0.022240259740259758,2018,2,1
LeN0CGtt_pdn2cFi5TNjJQ,0.06897058823529412,2017,2,4
Qg11fK6FAcASYKxTiF5WvQ,0.19131809163059166,2014,2,0
6n7_YJr1VeogO1tAZrdkbg,-0.7930555555555555,2018,2,2
wYRK85IIansU8CY6lK9wrQ,0.01833333333333333,2014,2,1
_LPAn64S6hLbfWz_JOwc_g,0.23999999999999994,2017,2,1
5rbE4nEkvtEGfxndyCOB4w,0.36,2016,2,0
Cpvj3MTftkWrpibwVUt2nQ,0.22966167355371897,2017,2,21
52JOkkVk5stvkiXX3Jc1fg,0.3230555555555555,2015,2,79
DUiydn6nFIzTC45eTfWfBg,0.33541666666666664,2014,2,27
_s3aQ7HZ4YY8yyWHf5nInQ,0.2480555555555556,2017,2,3
D33giaizDt5OGrcZtzVvkQ,0.35931089743589734,2018,2,3
sduQywoW96BchYSnmg6diA,0.15694444444444444,2014,2,0
g7BYOV9jYoFTnhZF9nyrow,0.06979166666666667,2015,2,14
mdc61sevQobW1cbpId4gPA,-0.29333333333333333,2017,1,0
_ucPGB0fv1LJD24L_Ml_Ww,-0.07045454545454544,2016,1,0
_eBODJvdlZ04TYOpNnF5IQ,0.46111111111111114,2018,1,1
1GBoXB1UWn6max4goSiphA,0.041071428571428564,2015,1,9
8MrwSW2yFJxDhn9_N_yDAQ,0.6716666666666665,2016,1,2
21xJlCtvJMCMMoEwGAgZmA,0.44123376623376626,2018,1,2
GoNiaSp6-YGJE32Ir2pcZg,0.14650252525252525,2018,1,3
y9YISPCtiXmaSdb8zve-7Q,0.48955078125,2014,1,0
kjGhP-VXZ_NO2VMnETDb-g,0.12508201058201057,2015,1,0
nXUDBR2Fh7SnI60JNeNa4Q,0.26749999999999996,2015,1,1
Q6i3DPPvaq0W-GmLD4bWnA,0.3292857142857143,2015,1,0
gLUl6pa423aSiNgo4QYmsg,-0.18645833333333336,2018,1,0
