review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
gdv51KM7I_qcNzJXysnmOg,-0.13999999999999999,2017,31,2
fshjr5nPi1-BP1R1ppeZWg,0.17142857142857143,2006,31,1
HA_dj18kTG7ULp3kAl3leg,0.09704081632653058,2010,21,1004
F9KLtl8J5M-MzrKkvIXyNw,0.43324074074074076,2018,20,915
xgrJtH7zM88zXNP6SCZBHg,0.15715480486028424,2014,20,1004
mbX4dk-BDtJztl96XZOYnQ,0.2788350340136054,2012,19,263
U3aBZYJAbUm-MUeWlFdCJA,0.20435090702947847,2012,18,730
fmxcmVip3WLmLJjE1vQ0qw,0.24895833333333336,2007,18,80
O5KfEKQDCamn6txHkxiZzw,0.3211822660098522,2015,18,91
FH2Kj7xKshl9p3Dru2TSGg,0.32016927083333335,2015,17,328
rA_bdUPK4IPf30de9Hen1A,0.18354166666666666,2009,16,191
zDlLzl5K-oL7yVvH8nyBdA,0.13896124910688012,2009,16,250
Dk545UKrGBWH_YnCKO7Hsg,0.15753815628815626,2017,16,139
MwwoHFethf_9TSfZFF1OSw,0.2155701754385965,2018,16,80
mhyQvT96AZovGjIbD52lzg,0.3520833333333333,2007,16,696
C891D8Mo1F7e5SH9CR3H5g,0.4481712962962963,2013,16,182
C3bHI_8kOfLfjv6gP7BYIg,0.10800364758698094,2013,15,969
vzk_SjyKcRMstG8SY2BCRw,0.09762731481481483,2010,14,31
L2-rZ1AFqTKXMg2h2p0FiA,0.13009259259259254,2014,13,738
h62xbLfHCzkQlyMcCdvMqQ,0.3459368530020704,2016,12,149
7_hUiEq1cbC6qVZz8aJ4iw,0.23369565217391305,2009,12,52
-CDuVHBd2bXuKpKCxfDePw,0.3960545454545455,2009,12,263
xcLLz3jc4lEENJ5Teju9uA,0.17844444444444446,2014,12,571
uKXjo9ozVlFfcK8Mn9uPtg,0.26457142857142857,2017,12,140
QvuBHME4LZ54RZdBL_0b8w,0.27166666666666667,2016,11,158
u4tUnQtLu7ZTW7jJ0j6tLA,0.11754385964912281,2014,11,262
yrK47dy07wDr8KRCFApQ7g,0.29298941798941797,2013,11,113
TPuxcfb80R_L6-5An6MhqA,0.1595238095238095,2008,10,46
ajzwAE58cNakH87kS94LlA,0.205952380952381,2014,10,156
VjPwFtBhlT4LHoafZPyufA,0.174813122923588,2010,10,49
buS_ra1uLZlnbi8yqETcyw,0.1466346153846154,2008,10,28
h3j_i9C-sIpdxPGqlRWEJA,0.28272727272727277,2017,10,58
DuzGo8CeZ2M5oPCMvhc0Nw,0.29866666666666664,2013,10,19
d0DTeELwiIjYS0CPRsXklA,0.26302083333333337,2009,10,102
-3Uq7utLu5X43mIitOzADA,0.03749999999999999,2017,9,100
qfQf49fWzNWJUmff8Abreg,0.265126050420168,2014,9,283
7c_n8lfPXgUvM7ErYRYWNg,0.1470199692780338,2010,9,343
U0uricSQ8o3q1pe0LQOfIg,0.30624999999999997,2015,9,31
b-vwTYxRPpQtsbcohnoCoA,0.07487244897959185,2014,9,192
3XcT7SpR8g4YSGIEdSyQJQ,0.2312911725955204,2010,8,42
OXtD88etM6Af3rxru-9NZQ,0.24759497549019607,2013,8,251
zzFOqIRptLb4izK5TE-hfQ,0.24645061728395062,2011,8,565
ICmI42IT3krhQEmiqp-aJQ,0.21805555555555559,2013,8,178
hstHOAu37xPHfGoUEkwg9Q,0.20741319444444445,2015,8,204
L8SM4MMZ1CBcmXyjJy961w,0.47132352941176464,2009,8,56
nRaUAE8aYYZIsp0kIggCvw,0.525,2007,8,174
4BQj3Y8KIB8D74yxg4pKpQ,0.14742063492063492,2007,8,182
P5Oc46_xmwjtuDm7Q_94Qw,-0.09785970052083333,2014,8,378
2cNKOKd8VVIhr27I9ACzcg,0.2792796092796093,2009,7,69
3AcL-wDRhoYB37skoF7HlA,0.2654761904761905,2015,7,165
3tDkPtsSjlli68NEvn_ESw,0.28484504913076336,2011,7,58
EmNEGRylMEYCRICkDrIc9Q,0.0,2011,7,3
vBS4JO3fEfgIj-dAOTYCdA,0.2743165784832451,2014,7,25
pka5FbYA-s99WFkHVdPpDg,0.11000000000000001,2006,7,41
tWDlgKCmJtxTt0s25s6zgg,0.1834077380952381,2011,7,171
9H9HmC28dm0VwjKRt1u2zg,0.2390338827838828,2014,7,15
Sxbdi_ldin80Z1JPAHFQkw,0.1837205062205062,2013,7,16
3E7fj_OluSjZYlmHulZ8_Q,0.3544444444444445,2007,7,278
ONh_w8D9fnqAqS3deeoXsw,0.27,2012,7,11
yxVXXSMATwZogFOKM5648w,0.1516737891737892,2007,7,131
zYAJIB-nbAZZq9rgLVkF5A,0.2883928571428572,2014,7,219
YNW7LWlbOgD-UfHuZmIA5w,0.24674999999999997,2010,7,7
hUoZAT4gEO5rYTOt_xmjqA,0.10710784313725491,2008,6,28
n3r_CLvnV8fDpRWaZFRKow,0.07167892156862744,2008,6,236
fQRGPYMnuStwHxDCPwkmZg,0.04439123376623377,2014,6,53
hz0ebQN63CnYyNE3up8K-Q,0.15388888888888888,2013,6,513
xH2C5mGK2arVPhk7S0v4Jw,0.17047619047619048,2010,6,53
g6rStFOwlL35UdjqzZGbuA,0.22357825076941287,2012,6,54
bQ0jhldMXnN7gFjDX82i1g,0.2708333333333333,2014,6,23
I1n5W7iN0U3yz1-adyQHTg,0.17994306418219458,2013,6,180
sdI566DkTxmGWSrp4UuqTQ,0.1622695035460993,2012,6,109
d2ghERhPc9tIS-GcWWsFdA,0.05556077694235591,2013,6,48
Xp9dt-i540PVMTimve70JQ,0.14873383303938859,2008,6,32
4tIfqhZVx9ZWKDL-ohjGYA,0.21516955266955265,2008,6,5
ItQYxSgTyeR6odzyzwc5wg,0.18703703703703703,2007,6,113
qyQY8WKXlT9pf_0_aCzHTQ,0.29969187675070025,2011,6,58
5qbsTb0xXawgVR4ILk7Diw,0.13621794871794873,2008,5,143
9-_DxaE6sy6vkbcGtmo3zw,0.28509615384615383,2012,5,25
j3_zkQ4v0HjLPYjqnFeYEw,0.21856060606060607,2010,5,121
f2TXKlbhff2sAr3DLOMOYA,0.23784313725490194,2015,5,82
KogIOgwAQgI0Wmi1hDTwkQ,0.3333333333333333,2018,5,42
76sj5_3LnoXbw7WG10jKsQ,0.15488839285714287,2013,5,411
-_NrJ346JXXjfPn2K3T_Ew,0.25029239766081873,2009,5,29
F_O7xJ10hmGFmhIFmA6P8w,0.23095238095238096,2009,5,20
Dr8DiPIdWMg_AGqPcoFT7A,0.18566666666666667,2013,5,44
EjFXfmXNOKwdU0qwm6yccA,0.4239285714285715,2013,5,24
muY81zMTIex5qrOixv00sg,0.35509259259259257,2009,5,94
e5FhTBCrc_V3OPGfji4iEA,0.10585232668566003,2010,5,3
_Az5isIWaGVsBghSWpVB6A,0.16805555555555554,2011,5,15
7F01L7K3vOKyxkvMit7U0g,0.12083333333333332,2015,5,14
Kyc11CalkgXx5MAh24cwqQ,0.3093005952380952,2008,5,67
8LOASHGoL2SlUc76ELiAUg,0.1270744680851064,2011,5,10
rkNMl4cFCoSRD14KJapQPQ,0.23333333333333342,2012,5,44
v0Tt-ulGiNlFMZdGoqMH5A,0.3041666666666667,2018,5,27
P2v_AbLv2zjRWglKq-L4Sg,0.353015873015873,2014,5,55
qSWvszLR_hNpUnKBzfaq2g,0.18553921568627446,2014,5,136
N0qJM8uqau3emslIIr4CPw,0.13714285714285715,2012,5,1
MPjkCMYs3pcWofuOqSqM9A,0.22911654135338344,2014,5,88
Ji-bPGLvNb4h93t5IC37Lw,0.2946428571428571,2009,4,15
OPAa-FKxb6omRk0CviPx_Q,0.26657004830917874,2007,4,63
Gh347ZyUnaklkciZWf19ww,0.19208333333333336,2013,4,10
E0PhO45cbmXfO6fskPLE0w,0.08374999999999999,2009,4,56
jdKba1VPyEw2SWwQ9Zrurg,0.22291666666666668,2014,4,2
Cbdm0ikF6K9GlbGmEl8rgA,0.3272089947089947,2010,4,9
GDX1j6LD6DnTCpwi4Y_1pg,0.33505102040816326,2014,4,53
-hEKR2zpkVOEI_Q_BhsU-Q,0.10786749482401657,2015,4,48
7_QYjUBfnJgf-NguAn38KQ,0.24302565124933542,2016,4,78
8zXGznBVZFZR41-Ckc3JTA,0.21681839402427638,2012,4,63
HBqLVaNxRbqbHa1pnKGUlQ,0.35833333333333334,2018,4,67
siwcBL-vzd87RmYh58_fUQ,0.24507688492063492,2013,4,136
o_FoICA3pQx6wryzaR-2Vg,-0.045368598828420245,2015,4,5
hlJsDcxyBe53dlltapI3Sg,0.4583333333333333,2010,4,105
tXmLsRoyRW7lTQu_95OjGQ,0.25534587497550465,2008,4,912
sUmV5pi6x6iBS9Lb-SCUxA,0.24260637125220458,2010,4,273
tX5YzCzaT2suXeHD_Tcv-g,-0.0965741758241758,2010,4,24
vpKchkJpvXJ-uCWrHcAoXg,-0.02794117647058822,2014,4,0
ETl6adRx0aTHud1by06xsQ,0.14666666666666667,2013,4,293
1N4yi3ns_Hj3M3N-2EkcJg,0.20656140350877192,2013,4,84
6wlSrjCbq9EfQdM57yeCfg,-0.02166666666666666,2009,4,85
OGSks5I8EHw3HGsD9Frahg,0.30112179487179486,2011,4,102
x_KPIf6X_WMJPOemK3VIxg,0.1704166666666667,2007,4,266
L2aCvsXt8dL9eUP7osM2tw,0.3975925925925925,2012,4,14
X0vBTccO-2OvW9--c6BCUA,0.3111111111111111,2013,4,2
or7TBoe9t4zhzQfVi4m_FA,0.204256981114124,2011,4,7
Ph_Acdurj-cX-ZsNL7NMQw,0.2127333333333333,2009,4,18
mb4t9jNL4GyfXLi5ZYH-iw,0.23324175824175825,2015,4,102
-HVwkji6MZWm7a5wJHJEzw,-0.1818452380952381,2017,4,75
cMuAFNgOt7ByA6t2fm_u-A,0.2850666666666667,2013,4,45
uuNcOG9NPZrQX5TcaCqvFA,0.3292748917748918,2011,4,85
RQ_KsD8GB6e_9kr74g0Dlw,0.19652777777777777,2010,4,20
lEECp9i_v2DjMuojrzn8kw,0.28055555555555556,2009,4,19
VNjuSz-yfTYG53lLtrFQzA,0.3197677836566726,2014,4,55
8X8SnVIFidCH3Yo07YSKBw,0.3972222222222222,2012,4,84
i5C_U_QnvWIkHvCJluLmxg,0.24164021164021163,2017,4,7
aFgDag3VFqcYBsSlVXq9NQ,0.2546875,2016,4,7
JM2UazbaaglpMjBrDTU2Eg,0.2833333333333333,2010,4,90
ykZPnI6-QeEq6wOq50QSsA,0.2479166666666667,2011,4,139
GWSkhLwGGleNCRGiPiyEww,0.37083333333333335,2008,4,33
0FrRc8Cc87S5bve5XIp_VA,0.5428571428571429,2014,4,0
hs7_gK4x996FX5YiMRyjDg,0.1871212121212122,2008,4,78
nm8XjV86ZhFpU_iZiIiL5g,0.12425925925925926,2011,4,172
8TXi3DTNpL53iigOZ8Y51g,0.27164062499999997,2006,4,14
oC3jvtgUcijx0I-fE3YNaw,0.11071428571428574,2011,4,60
iuaPUON9dFV3ScBLdlthAg,-0.07857142857142858,2018,4,74
57dQMgnDSd4bVfWneimhYA,0.425,2018,4,19
nUfBJjq6g8RkI3snKeS_Xg,0.23261904761904764,2014,4,169
vPqC9j4CYVQEp2muLmF-hw,0.5,2016,4,0
bQhO4Q_ebjM8xaKHSaYcMA,0.3182539682539683,2018,4,206
O6xp_Vbet9trUYj2TuRXhg,0.14105747767857146,2009,4,547
N4Vqfg2HkgL4eo6mOhkk6w,0.47222222222222227,2008,4,8
m_itQwCD2vEkt85A2nbqCw,0.3613690476190476,2015,4,200
gv_zpWstcVYMU_6zRVeWMg,0.17184774766296504,2011,4,21
fWbvaSwpsskCHm1FcjZbpA,0.1262596899224806,2012,3,90
jIxPh9DV4Jvt9QoBtli4XA,0.09675170068027208,2013,3,36
vJIv8pylU80btM3q-xg5cQ,0.04547619047619048,2011,3,82
SfhwxYwMlhgdve50EqLGOA,-0.05792483660130719,2012,3,80
l8eRNIrbehtZo7AaRf5CuQ,0.1571428571428571,2011,3,8
sQzIFk7G4F0lZw57eN7qsQ,0.050845410628019325,2010,3,15
iqbt5JiKarrM9Fn-NNuWAg,0.04427083333333333,2014,3,0
R8TLkTXURuX1gKVLNzRoPg,0.23055555555555554,2009,3,596
7IwRBP9hUbNplIwKmKzqZw,0.07608225108225107,2018,3,21
ZJ2Nr_y5abKJ2l6SGK9CzA,0.3207936507936508,2011,3,41
YcF6JX4mKpLdYQrgkSA0qA,0.11546314796314795,2010,3,123
UXFFiMmqcRtp4wfY7Kd3ew,0.16365575396825396,2011,3,15
ZmxeI0cLrnQU8LorkSOPLA,0.6,2009,3,32
XwHosXczrhz6dZQqPBM59w,0.35034313725490196,2012,3,16
