review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
m5R7utb6OOOrPad5e4XCdQ,0.22044765840220384,2018,43,436
FW0ujKAvHWDkvqn1Q6QKNA,0.3222470238095238,2017,14,90
Hu8Y1xrPQ1op-mu9xSqSvw,0.15706542779713512,2017,14,74
a-kEz5G7Wz6SH0lhViMxuA,0.18055555555555558,2015,9,452
qdtIhWjSPBvLaWAbCq1QqA,0.2003815628815629,2013,8,344
ZrcL2vtP7IhJcvFGc7fOSg,0.3258996212121212,2018,7,218
t3iDs5a4wjZqv2DNZuKIjw,0.0022206959706959715,2009,6,12
uPzumdee6bDFUkStX5KyAw,0.18771929824561406,2018,6,50
d9pUFfaCg93R4FqtGhywQQ,0.35625,2013,6,0
--ny4Isa08OjBaqAwgm3MA,0.18366684755573648,2013,6,528
RgKn4l3kxPgNfHdjbHnS7w,0.28442218350754933,2017,5,37
RPqfQY6UQMF22QnUvsReUg,-0.019929253752783167,2014,5,0
N81aA5vwBAvxNCX0ymxNVA,0.24466666666666662,2011,5,2
guzZRO58m-Q8Z7PkQIJtpg,0.27116402116402116,2016,5,23
GuRt7OVIF4xdQigjrwQ10w,0.3086904761904762,2013,5,37
Oa_pshHb5rl5K0EuERbNDw,0.19778769841269842,2013,4,55
poIKIOrqJbwRecEqHBC2fQ,0.15610119047619045,2012,4,402
8GO3EQPTzC4fO7-j9kWhBQ,0.27711111111111114,2016,4,35
do3Yv7Q4pljMyZ5_7DisRQ,0.316875,2017,4,61
y5vdTS784Iz5YyLXB2jAIw,0.3288159371492705,2010,4,0
YDLdqfKdd7cB5k8nmpvPZw,0.36980555555555555,2013,4,69
FLbWThfBPENQT4FToeD2AA,0.23939393939393938,2016,4,4
LeZ-6IQRc-UlbnCZ2g2hfw,0.2568121693121693,2017,4,62
9Ndlh19qPaWzQoIoUh5EAQ,-0.0003348214285714378,2010,3,402
QQfXHGzIQZOr-sRh0574RQ,0.23989389233954453,2011,3,83
YrLmD04xY7e8kzWebviCWw,0.36179138321995463,2014,3,89
bU5w8o5fxF3CxFcGgc8kaA,0.1528095238095238,2018,3,150
dcDF1j9jgXJvlDO3Aee00w,0.85,2015,3,18
9QEg4Lgyc-rrOWYWwLWAvw,-0.03717069967069969,2015,3,18
dBx4-FkDYOJN1k2dtIEbMg,0.0853835978835979,2018,3,29
zHibLxXIFFQ_a78tUcDSVg,0.3122435897435898,2011,3,10
4RBLalBl6mu5ep4iCqZb_A,0.09871930538597205,2018,3,7
OHd6_fdYKmvTK4Px06Y4Nw,0.20223226152502463,2012,3,11
Cq-1HDUpKVmw7QtPK5dDgA,0.08810763888888891,2011,3,30
ORa9XYJz1MUo0mobAg-hmw,0.33717757936507936,2012,3,2
AJlJzBUBWYbBG2X3dP4_UA,0.4292857142857142,2015,3,87
OTD0lAXnRQjCLyGDpH7YlA,0.05151515151515152,2014,3,1
N5dQ_xRZYaZOaCJG4Pta1A,0.46388888888888896,2014,3,72
YuOjotEyHYz2FMggkajhRA,0.08337301587301588,2014,3,0
4MHyLMGx22wZl2wDCKbg3g,0.22669376693766932,2012,3,0
4Mo9cGauhUkcMIdIdVOjlA,0.16651785714285722,2010,3,3
lTEYmAYJ-mImmtYYYYk-rg,0.215,2011,3,203
sQAElOjU_Iv4gXo9tGIe7Q,0.3718686868686868,2008,3,0
mishmM6YOl10agjbvSbHwg,0.30999999999999994,2015,3,20
HkWglol_kxFeB7U3vAOknw,0.5527777777777777,2011,2,3
kzKTjHp6BaciDZRphRW6jA,0.09448853615520282,2013,2,31
YOg5awtXv0W3p79m4F7fYQ,0.47750000000000004,2016,2,0
7Lb_FtPaB6fswBrEJ9krDQ,0.2922123015873016,2016,2,1
WrDw7phY7Q53BgTYtcxvjw,0.17685185185185184,2015,2,0
s_sX4U9UKup_T9Qk0-BQbw,0.6916666666666668,2016,2,2
bTdGipntHJwvk9JlJ0XDNg,0.1235579648526077,2016,2,78
Qzv9XhNDSQara3Tg0awJ0A,0.16119588744588742,2011,2,48
D7gsoF0fXkOwfxVZ_J20jg,0.4758333333333333,2015,2,0
MO-DPOlhIp30bahCULAVOw,0.3303508771929825,2016,2,0
N_xSdG8PcImwbNzsvQhiWA,0.20967199900793654,2013,2,9
KfSx8C5hxQInKuOF-hL6qg,0.45627039627039634,2007,2,4
emJp35075G6ZDnu_NXfENg,0.5693783068783068,2016,2,1
XxGgxcJqlYvMStv8NlC-LQ,0.13446969696969693,2008,2,22
TXkM-eoZyzzrm3tyjox5FA,0.36388888888888893,2017,2,16
K8LQppSsNSdE5Ko6UCdhHA,0.6,2016,2,18
RB2Dczm9bUwMDqUhGAhYGw,0.07414965986394557,2015,2,1
YuohjGU65jljxg4id1wjxg,0.10816755022321428,2011,2,17
uBbzgSIY9IDnMqpdkXeFRA,0.4421354166666666,2015,2,27
LRr_3x8t8GsaSeq7jdd4fg,0.28966666666666663,2013,2,10
uXHWnsxyL_q37hB3Eq93Ng,0.29204545454545455,2017,2,27
nfHI2YFbTPWBS0DDwIxMtg,0.3172619047619048,2017,2,16
tJvmRYOxpW-oySZfr4W4pw,0.2824955908289241,2016,2,21
pcOpFl6JJhFjexUgkjDSFQ,0.1222169612794613,2016,2,8
uq37_sbaGuMhsaZh-gSXBQ,0.30778769841269843,2018,2,4
1tXFDhpUDOI_0uVK39OfWQ,0.3,2016,2,10
bqK5WSiWJyMZUrz82eWMiQ,0.55625,2013,2,0
hPsz6jbdsZYQWr-1TTRWuw,0.5,2014,2,0
RTnuEehXJP0rqNCwykUSqQ,0.24502615440115444,2010,2,258
YT-4TlJbnkCBK-Zgho3-5A,0.21218749999999997,2014,2,2
JdzKoRXRjCKLhnhcItqLBg,0.23091856060606064,2006,2,23
mDJAY26-W-IFz5CRqME4cg,0.36811688311688306,2015,2,0
tHg1r_C4WUmN7MIajDx3DA,0.11259920634920638,2010,2,23
zfXg_M7WW-eoeRKInqNx4w,0.13427083333333334,2011,2,106
Upybl0RHjPoXNJshE6Rydg,0.23013392857142856,2014,2,1
_wj5H7a6HRfXzQ_uEvj_bg,0.18107142857142858,2013,2,22
K1vPDGVKuXJEbDG5fxRlSA,0.1875,2011,2,23
klqwfggbL0fxe5kXkX7miQ,0.3738235294117647,2018,2,0
V32GafXdCDMTdh0Kph6UrQ,0.11015724471606826,2011,2,1
GnpsukHslFpt1a89v-QZUg,0.16463369963369964,2009,1,1
D1CYxciiOZp1QLHATFJG-w,0.5000000000000001,2010,1,0
TqTf1fzuNlY3bM28sUJLig,0.23799603174603176,2018,1,6
y97eSQlIJTwMk9P1-YB7cQ,0.3416666666666667,2013,1,0
YUiP6L-FCULxZy6X0JrBKQ,0.4398148148148148,2015,1,10
azV-tIXtDn6TgJrOCBNPRQ,0.2731544771018455,2014,1,2
mLZQQkm2M-oC9Zcz6dVIhg,0.28547619047619044,2010,1,2
GXngaPrqDCSBNXXtQ72hrg,0.3475757575757576,2018,1,5
ktgH1x4w0P3-JMggzCF8AA,0.24246031746031751,2017,1,16
dvkdUHliY4YjMjgIpIsELA,0.48125,2017,1,17
wi679S3-weoQM6NDHplxeg,0.3822916666666667,2018,1,0
zWpAdOT0HUl741v4uwOdaA,0.31626984126984126,2015,1,0
5KrVWJcdKFBo2pwNEeEJPg,0.2826923076923077,2013,1,1
_BLhy15TPevVSKl9F6kcSA,0.1310215957524985,2013,1,36
LYLTNOPlw2qu4t1JPv6SXg,0.7277777777777777,2016,1,0
RCGzzJNHb-FiLXqCMgWFdg,0.42239583333333336,2015,1,14
mYz8Xyq2h5tHrTkritHpOA,0.1361111111111111,2013,1,6
gDQFF98hcMt9ahcQf6xgpw,0.4840336134453781,2018,1,0
7YgQag8rcZLGSAlQ419tWA,0.1017857142857143,2015,1,16
xxo_3HucVfdVQLNlq9MevQ,0.2450781625781625,2012,1,2
c5gkpheOE0cc9qVJiIeaKw,0.78125,2014,1,21
Tvjvo3vBEzqt_4wxaT-d0Q,0.34875000000000006,2017,1,0
4YDfvk9bjNEn8M3dgh7oOw,0.11937499999999998,2010,1,6
iHcGaxy3_DSyomsX2Mcu1A,0.3384722222222221,2015,1,3
REF8masMgCDU80LQ1MbYhg,0.3383333333333334,2017,1,0
bGnseP0l12qCH2qRE7flFg,0.4714285714285715,2014,1,1
