review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
c6Fw4mqyhPDKWpgWNK9hbg,0.0005952380952380982,2017,63,648
deqXHzfHnkYQhsoYRUfNGA,0.11327483974358973,2017,52,648
LjoJK8XSWSGkJmoYFhzrGw,0.2647222222222222,2018,39,79
QZZllJzAwYNcAua_hDfb6A,0.1535147392290249,2017,26,648
LVDFjFl36KejfidmnQkVeg,0.20377473172367538,2013,17,124
PTkMgywcCiZstJ9K1jQ2UQ,0.6218452380952381,2016,17,37
hpdP8o5dy_rAKUNwPBn8AQ,0.4146296296296297,2010,15,551
qQoQIIdnTlqMgwLKIS_VsA,0.053645833333333316,2008,15,43
3Ro5l31StbBmobasuKfwEw,0.25716145833333337,2014,15,1105
W08Y9CAsmPlTUeJq66azPQ,0.07514467592592593,2017,14,210
vnDWROOxjBEIMROQSQV7LA,0.2725878159905937,2010,13,19
nP34xUFX14hvRtPF4EBNeQ,0.3822916666666667,2008,12,880
gx2aCOeK4UAv7h2_jBB3Ag,0.3474452101570746,2013,12,71
McQYDkwyEDLXAv5LDH0eyw,0.353030303030303,2015,11,451
kg_XR9ZJXfp1dkq02r5wuQ,0.11874999999999997,2018,11,66
EjhIr1qT6WRJTqvP78NYwQ,0.24285714285714285,2018,10,64
vaG2fYOrdv68MxLJ9FdDbA,0.21794871794871792,2017,10,641
3bzGYww1KRmuTm2hPbx6PA,0.43397758152173915,2013,10,35
pmjmV1py4aKmxTodFeaosA,0.22421875,2015,9,155
OmdwFA3tuQBEFh7j6dFYLQ,0.1924908424908424,2012,9,47
dzcS2XuBSyhqZ0m69XyVUw,0.3377777777777778,2009,9,894
TaKTY982mMt7PEZmlKVRsA,0.28084733893557423,2010,8,89
kR4_IIt45prS8hlRGizmQw,0.2737577639751553,2014,8,435
RWTC7UP7mDX0B3uJ9JUZMw,0.1640852838310465,2014,8,70
rt4sx1G8WAbAae9AewRHXw,-0.007331002331002338,2010,7,38
_bIQWJ7dVV6XJlGqwJFWzg,0.18576388888888887,2011,7,23
Pyvv93_HRE4_VF_qPW6tTw,0.445600818452381,2013,7,193
5MKlqGyGGkh6ccROPONWlg,0.0937101429036913,2010,7,7
0qB5rGJwRAD5N2y-0Q6s6Q,0.17478070175438598,2011,7,4
ZvaYesh2Lyp60fcfDejO8A,0.20388888888888887,2011,7,162
qFLleA9Rf2XHgUiFFY2UZw,0.3068549679487179,2016,7,0
z3fpSE8msGcJP7a66smVig,0.17219913419913419,2009,7,602
UvH7Wmz9qCI8_VPgVyL6IQ,0.20059228650137742,2014,7,26
P3tgFJQ9gUO0sLT2EtfKQg,0.25673076923076926,2015,7,36
7HknbmbhAHdJ07Wuo1zvXA,0.2957070707070708,2008,7,156
weWO_dnoedA134WEHvRIdA,0.2562916026625704,2010,6,20
T8A2bOU7q1hvlgqp7JMMEg,0.3875,2009,6,103
3uePDD6L5BrvxcaEZH_CQQ,0.23345853365384617,2009,6,156
Q3T6-B_27LyMLh_TS6FNPg,0.1025,2015,6,133
3rrZ45Oo3i3rDsjxg-KYOg,0.3333333333333333,2014,6,26
pprJMWV-8CRRW8GVJT9hkQ,8.487654320987593e-05,2014,6,1
ziax7rW6ZMnvzEJu6d9oyA,0.11406250000000001,2009,6,42
KRDKpVABK3eCgF1Yw6zLLQ,0.1893834351922587,2010,6,63
UMjt7fJlj7A2ib-S37Ed1Q,0.309375,2009,6,94
FLDfPPwifbeFf4WUueMrVQ,-0.1476190476190476,2009,6,1
4rmNt08YvgbtD6vPbtOvSw,0.08739130434782609,2010,6,29
EHOZo0W1iQEHIcDbA3498A,0.31755102040816324,2008,6,880
fPaLT2jk45q20tC-5v8Bnw,-0.043479437229437215,2011,6,8
i3exLWGbVV0zL7ALp-A21A,0.1296201329534663,2012,5,53
8CSSfRVIEPwmgBSlvhZr-Q,-0.037500000000000006,2011,5,1
L3wwu5MjHwy2_OjkuLzpHg,0.359375,2016,5,55
uUlXpHxq3yjDvKDbLtSOBw,0.09607843137254901,2009,5,0
am-d1TYLhOZ8A84zdYzBLQ,0.07078157349896479,2010,5,42
2s9qFawdnsz2P-aB6IvaDg,0.05234487734487736,2018,5,4
F8AbJpxnsfSXMPorvtO2uw,0.24643059604794293,2007,5,894
xMu7XZ12_MKehJdL6lkzng,0.25279017857142855,2014,5,133
GsHsZYYBN4wf9VuBhX9xIA,0.22485119047619045,2017,5,46
q4PbiG3xkMGwhRtI3DLmwA,0.17023809523809522,2007,5,65
9xlaV5wpF5IUyeY3FPkw3w,0.10454429083461342,2010,5,133
KwWEu_-yi5Pv4dQFB7bfGw,0.305103995621237,2015,5,90
H_8Tf6EmKXozu_633gnj-A,0.2808809523809524,2013,5,293
bWozxwx-9ckE2nGQYCKjvQ,0.20450476190476194,2012,5,912
5AI9J-0KjjVjSjjINLtVZw,0.27848932676518884,2013,5,123
fS8pgRlNupFHPm8gm4eGOA,0.1154274247577819,2014,5,82
pvVRykTL42rzzXnoRa84_g,0.3946043261054422,2013,5,193
-FogPboPFUEgZt5LMNqgPg,0.16908533385806115,2009,5,1495
qbRKAYVQv0DT8VWwm7ahew,0.4027777777777778,2017,5,28
xdQaali3mj8H5H7eIespTQ,0.12805555555555556,2011,5,5
PS8JyKqd22U0LIbz9FhOCg,0.14259259259259258,2008,5,1
UUfR058X2YfPLPKvbNVUJw,0.1820261437908497,2016,5,50
ZOV1xGq-GbjU16WrzpDCSw,0.1928571428571429,2009,5,16
015FWi5C0YOLv4JqX-4hag,0.1320742232451093,2007,5,61
4cXbhzxxtmExF9kRjmFViQ,0.2236111111111111,2010,5,249
41_87FuvPI7anVhyoSqzJw,0.25142857142857145,2009,5,2
XeSoEsxkSuLAKxh6xWN3Gw,0.18628350815850814,2007,5,1357
lMpAycaN5KmIg2ip2xvfmA,0.19999999999999998,2014,4,133
foDbbVhC5J0e1t8q-0Kt9g,0.2746130952380953,2013,4,7
ojoznmgf_5nDNazfJUorDw,0.4203781512605042,2008,4,207
cJZPnvRJDdnMqAMwc4R6kw,0.27142857142857146,2012,4,15
3EcJsC9n8emf22bCHwVRNA,0.01250000000000001,2014,4,26
f4oZrLSYWd-clfumDYHHxg,0.22919552669552667,2011,4,522
ea2NF23gdGPLfz0fPUY3uA,0.3098484848484848,2007,4,61
YplC0hNCBSN9Dp8og3dJLg,0.13583333333333333,2009,4,32
_DWG47PEWyv3HmVztED0Vw,0.2763020833333334,2014,4,271
NCmHGKV_Joacian-bJFXaw,0.2453170463416365,2011,4,36
p5kcS8Hgk43_f3nJutt27A,0.16009615384615383,2008,4,87
h3lmIt_fWLgwsjKfGXbG-A,0.2020833333333333,2017,4,41
gIH0wqBZiJCq6AKIvlvhVw,0.20320512820512818,2015,4,79
6aEPdDxhnnNPTX27iyKtRg,0.7150000000000001,2009,4,94
NRYTxfIQeD8NXgI-UA4tGQ,0.2947916666666667,2008,4,11
twqmCf6ysWEzfzsyeVLwTw,0.15339181286549708,2011,4,45
sfR_5RJdmbY7RZaUaHg5Ow,0.32588126159554726,2013,4,319
PGNxfc_Q-fseZBBrDBsKEA,0.18417277167277163,2012,4,0
Kk_7bJ0dXeEMM7Va4QxEzw,0.269702380952381,2007,4,179
WoPC9JpvtJw_UJV8ZIyDIA,0.2910878489326766,2014,4,46
rNPSDNphygDNezn-YrYEMw,0.30801834130781497,2010,4,2
EvnmkrfAHf7SLBDq1DlfPg,0.125,2008,4,31
vweIc2OHgcya2xC2vqHoxA,0.2342206790123457,2016,4,21
aasIR63F75MIF-rc_iRlRw,-0.10761734997029117,2012,4,3
hGkfgtDIsUPOwLUxOsKWaQ,0.4057692307692307,2008,4,33
maMYThcLfXfEtUtGinA85w,0.1194545454545455,2008,3,7
Vp3GXy0Xli0KHDx4LelVJw,0.1860006901311249,2011,3,10
FrIoxhwr4ebyyVsaQjcxtA,0.3235459183673469,2017,3,113
j4BneVs7IABRwcg_IdL_6w,0.11233766233766232,2011,3,105
wwL3J9c5JNig1sJ-Znu5qQ,0.0798611111111111,2012,3,127
ExRFu7NvXyUKxLVjlXtCww,0.23851562499999998,2018,3,7
W4zZyvbStVBhejDYkPLctA,-0.007621082621082611,2012,3,13
yJ_PHyt37hVYJoWkqa4GKw,0.28409090909090906,2012,3,0
Mfval1l_vOD3sq6sBHIevQ,-0.12819444444444444,2018,3,0
8dbl3HaMuAYs8EGHNHDCkQ,0.7183333333333334,2007,3,16
vy-zN4_FW_-3tUBrPAjIGA,0.25693877551020405,2008,3,10
vk9HiXKI_jPGmypKNGTkvA,0.155,2011,3,10
0RLxe6rC1u8Q4djOKe20-Q,0.2243181818181818,2013,3,57
WHvK-P3n-Zl1Ouks8H9LUA,0.38901515151515154,2010,3,19
gIEO9lO2dahUe1K4dInyYA,0.19083333333333335,2008,3,11
z7j73rZxIvrYWz-Tvtm5xA,0.36891025641025643,2012,3,4
daUaVP0xO0IbnuHX22VLMg,-0.05777777777777778,2011,3,5
VK-IRYAuQF-c27fxWm1h3w,0.2758333333333333,2010,3,3
YNBwfHGWnr3itNb_WwJrjw,0.35,2015,3,62
h-kodaKrqCBcZPfKbqbN5A,0.2761666666666666,2007,3,17
B-BxaxSAIBsmEaUwvl910g,0.12404040404040402,2009,3,1
l1TJUzdCltX6TrErDwPeew,0.4183333333333333,2008,3,789
asZDvrRD1XAGZAx5KxzNww,0.22181605975723626,2016,3,44
DmU4qPteaShX273z2cpHqQ,0.4015873015873016,2013,3,6
WWT6whxookGuMePSA7bk9Q,0.23931159420289855,2013,3,45
GIz3z8ERbiJiue6ouDMqKQ,0.26644557823129245,2014,3,48
FRBmwmI_XKxBAiBp1tT_sQ,0.265344696969697,2007,3,62
NhwpXit5q1jMNVoBxHVAHQ,0.3019477513227514,2017,3,13
3WCwufZPeHQzNuH7XgfubQ,0.15097222222222223,2009,3,2
nITIHbjgyxIH-0Ri-GEYeg,0.12544444444444444,2012,3,16
vTW7bRu_SKo5eDiEHl4FLg,0.13970588235294118,2008,3,28
HJoB0klxPlk0Rcsk9RJjwg,-0.325,2014,3,1
yYNKUTWkXvosaAcrWNwEsw,0.08570618465355308,2016,3,14
Hz1pxFgU7xIGA-GxDGTMdw,0.47438271604938276,2012,3,14
9RmGwwKC0OhBHM3i-z0qMQ,0.2583333333333333,2009,3,0
uWpiJntIcIAptz2GazMrYQ,0.3236607142857143,2015,3,43
t9AqWOlZN4k2QRL_wzuj8w,0.254995004995005,2009,3,3
1v595_nmnU1F5vurA2AOHA,0.3684027777777778,2009,3,18
qhSNWFPvPh767IrN1lhD6w,0.3041666666666667,2011,3,5
WKIAt5f0Owkk0UEOpbtYEQ,0.12239583333333334,2012,3,0
n5kcEviH3DfGCDe4T9r0KQ,0.2225,2008,3,1
4GxwRKtMUn-TyCYA4Zirlg,0.18708333333333335,2017,3,0
7gZMesYsjqa1MAtT6yU7rg,0.12414965986394556,2012,3,25
ijQ-HBYeM7akqKL1vc7GNw,0.30757575757575756,2009,3,102
wG5TbrBRZdf6K3S0Ip7CEA,-0.1,2014,3,26
76Ji0vZxidk_WmBLMMALZw,0.30069444444444443,2011,3,5
4MZDGLTse-ez0wsqTry00g,0.19952380952380952,2011,3,8
osidUoWPuGpZS7FS1nEQAQ,-0.1292929292929293,2012,3,0
UFEpmvXTS8LyLgZ72ptR1w,0.35625,2013,2,7
DiAM2DVaWc-crSu3Cx7-OA,0.2106547619047619,2009,2,0
-Wws-B0J2L8xraaZz6MN0g,0.2723086124401914,2012,2,3
yZiBsDWoHsaftjBa6L0iwQ,0.2766025641025641,2012,2,0
9yzywh2JIL97BEvnqAUbyQ,0.32954545454545453,2018,2,2
cAliANNcpp3NR9AMQdYiWw,0.44333333333333336,2018,2,6
iEarw4CCZ9N7bDCmLmNhjA,0.23666666666666666,2009,2,3
my1hzMCxi5ZJAaPdV2fWoQ,0.124328165374677,2010,2,1
7TmhjtSurrmxYEhnhHSqHQ,0.43164335664335657,2014,2,1
WLPyJeaF4g1rf_H0c4euZQ,0.3401785714285714,2010,2,8
INL-K_ibwTwsuIvuMdodpA,0.09107142857142858,2016,2,0
YEE0Ii2lFLZGmqVtCWo8Ww,0.04475524475524477,2010,2,0
-1dVxANjhaa2gxDgxe5qyg,0.284375,2013,2,17
AnzdKmWU0SR4zzTOa4qRLA,0.13472222222222222,2010,2,7
0oWCpdRiT5tRj4L1NXgXEw,0.2655532212885154,2012,2,212
