review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
-hRpmcavsC0UDI_QsQsUcA,0.13409090909090912,2018,235,358
poYyi5bbVAEfXo5Xw-bE5w,0.10771604938271605,2015,79,109
KKN_fRD_u2wYdIFgZ4EgJg,0.3137339743589744,2012,54,411
DLCJRIRCQeLJ7fKeGE2mlQ,0.2811321924603174,2018,42,108
_-77asEftEV42hQ3qxVj8Q,0.1859567901234568,2016,39,119
BaGyVUJ1JGRuM0h9uQfZFQ,0.16542658730158727,2012,38,730
asl5iE2UwVHevl0aLmuOWQ,0.17368551587301587,2016,32,332
ow1wYXTir3zx7RkgHnARpg,0.23915441176470587,2011,30,305
6rYBIY7hk0c7L76SzejauA,0.36111111111111105,2012,27,295
CfcwYrR9KHU5Xg7L7vUhww,0.4306547619047619,2016,25,198
dVxNYmkPDnOFiTv9_UH7kQ,0.010047619047619059,2015,24,32
Hpe7e4onLe8VygU-2QCu_Q,0.16145833333333334,2012,21,1169
kdV7JlybJvWIAyA3CHdGpg,0.16316522366522368,2016,20,261
EGtlbIz93MkFWSYbaCL2iQ,0.20656249999999998,2011,20,544
dmCyG9NWdD3_GJ0hPUlFuw,0.12439393939393938,2011,20,1698
4apoS98HrIMyxYwTg3C2bA,0.13479166666666667,2012,20,364
QdUX3TQDyyqbATz4OG8UzA,0.3386394557823129,2010,19,103
GG7MI6vgGBajqmrJ7AoFOQ,0.1642857142857143,2016,19,111
3YdkrQ2H1eUxPIB0Vlqi_Q,0.43051470588235297,2012,19,625
niWcT83lHHhGmB_1PNe2OQ,0.2789732142857143,2015,18,166
BalcCpB3PDRt_eHFkmcOUQ,0.14618055555555554,2011,17,78
P5jg5J0Atr6EG7x-9Ulesw,0.18326822916666669,2009,16,25
jAd0EKvsbZb8MJQMGrh6kA,0.3735863095238096,2011,16,33
hva4oJzUPQ-eO5KgkYeFNw,-0.0058974358974358924,2011,16,264
LI_bM_7kvi29-4FHMId1TA,0.07084573412698413,2008,16,432
jV1DL4Eis0zWB0-KZpXKwQ,0.27822420634920636,2016,16,49
ce8DP-TC6OKwSOwgEHqtiA,0.20885416666666665,2012,16,201
a-FqDc3nNUy7ppNIY8WTRQ,0.31071428571428567,2011,16,78
gdgBN4FvV8Bj1zY9Huq8Qg,0.16711601307189541,2014,16,293
b_5OqjYOopVgBJSYeV274w,0.375,2011,16,146
Ndch2SN7Opr_pJl-EeHmOw,0.1564814814814815,2014,16,947
dWiAJBusGBKcScbVUkfugw,0.12329931972789114,2015,16,772
l2SJV5IFUErthlvWam71uA,0.3783549783549784,2012,16,1004
KW5D9R9rs3ekHSlXhMMoUA,0.0615755772005772,2012,16,344
5Mqx1126YI-jlgWsjiglnQ,0.6666666666666666,2011,15,162
uX51LtbhRgey5nfKh0XQ2A,0.12727272727272726,2011,15,160
zLGB3eIVSexRU0vq1CUcSA,0.1633333333333333,2011,14,58
zRUJpyiymk8QCQREq-aDrA,0.09330357142857142,2014,14,120
QIpJcLb9jWmfyMvA02q-XA,0.13497474747474747,2013,14,158
Bsf39iUtaEsoM6jQT82n2Q,0.2816666666666666,2011,14,8
rCEJrFmkm-Y5nNg1MhO7VQ,0.24367816091954023,2012,14,1462
u6IXeyeRUO9fafju37Z6Xw,0.2138888888888889,2018,13,194
5LixnmFOMOMyv9bEEX6nbg,0.013666666666666667,2015,13,110
IS0tfu4hTuKava6IuY9mLQ,0.13936507936507933,2012,13,300
mygxtdW_8ARKLDdvQSOqTw,0.30633333333333335,2015,13,20
Lrvrjsb9ZzEtkpvqaPoUHw,0.33700980392156865,2011,13,171
qvp2QPq04stp1_nz3QNoiw,0.3066635594223485,2012,12,34
