review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
rrrXp36cvEdJJISpBiBVyQ,0.31572681704260647,2018,42,713
czjsbJVR5pi-3aIzODP3Cw,0.3357142857142857,2018,39,359
Zyx0SPMw-_hRs78pyoQkAQ,0.28227603768780246,2016,33,40
c-nsew5UM5WgYU4Syazr_Q,0.3405075187969925,2018,23,51
YTjAhG0Y1-6Myhq0dud6_Q,0.2629742063492063,2018,20,103
9jJpmHFVzMgD35i5bYyToQ,0.028754340277777776,2018,14,73
uxTuCdDmV_GhbSRfpEo__w,0.35415293040293033,2014,14,220
m9TKqwZOPG2nsm0LeW1Fsw,-0.525,2018,13,17
_XcdzgDM56M-ZpmqL0fOQw,0.2423763736263736,2017,12,51
nH1SwwLlOPaNGQqsSsRe5w,0.4149659863945578,2014,11,70
ccXljAlBcepjeWSU6LiCQg,0.236,2018,11,37
dW4XoZPyazW9uGRPGk6b_A,0.14752506265664161,2017,11,912
nW1txGtJ5KV5i0CMMjfXwg,0.20954968944099378,2016,10,12
9l1-L44G5tpP7EahUcisTw,0.3029012345679012,2014,10,26
bNHzHuW5UzyUIvhNjcc4Kg,-0.024354657687991017,2017,9,123
fIhSfA-1WHg00tOec_Jv_g,0.13299999999999998,2018,7,20
U28-Ds9ioFPA2oAP77fCHg,0.3451970443349754,2015,7,120
pqn848SM20jlefCw_Q2XqA,0.39999999999999997,2016,6,23
RcVjirC4LRjEXg9--n9Dig,0.4452380952380952,2016,6,28
UdoBFwSWF4M9JCH659QHNQ,0.2347222222222222,2017,6,132
UYP1dxVt0_Qu8ZMj9UhQPQ,0.24942528735632183,2015,5,2
Nrx8ugWGryYj1rMZixET-A,0.3604166666666666,2014,5,1
x9YeiwIb4L6C4GGEEOV2DA,0.23724937343358396,2018,5,16
qMBu3Db89JiDnnGSx3YD-g,-0.025873015873015888,2016,5,3
sX19gOvHRuwagiBZiS5YHw,0.04833333333333334,2017,5,0
CiQn2qA05ec-y9d3tzUE7Q,0.33358783143939397,2017,5,18
LKJZ_o5PhTknRtq6G_-T4A,0.23138020833333334,2016,5,80
83ShPRMewe6kfVUSHQDaAA,0.3889015151515151,2013,5,9
5UQspscWZyVhsumXpS1ytA,0.20055555555555557,2014,5,31
36jeq-LEIobiXS1oj_QKVA,0.4624399350649351,2016,4,19
WuY6GxAUHnR-d8ZsdWx-vQ,0.3229166666666667,2014,4,2
q3OdyJDcd4RrrkcUjoD-PA,0.3303342490842491,2015,4,1
PwKTKqUHaS4vcyJE-biuyQ,0.199124649859944,2013,4,32
yoMy7c8HtjsDWTb-JaL6Ww,0.14944444444444444,2014,4,1
q0rTc6KdONpUrdFFP6GeIQ,0.37603785103785103,2016,4,82
7sbTLV-dl__h4xzooqGHfg,0.33577681577681573,2013,4,0
UsNUf2Ed3dC1LmRdsukuOA,0.26152597402597394,2017,4,86
vQNuuePeXEXBYHf9aZ4G9g,0.3583333333333334,2014,4,7
dw8G1yHS1_yYQaFL9RzaHg,0.14855418019480515,2013,4,6
v64QFOZDYqYnNXRARYok7Q,0.2098605442176871,2015,4,1
vlyJsZnqLfIxwmdpxT1GZA,0.2895833333333334,2016,4,10
HeT6i8xwKpphrAASFhDFhQ,0.22249984539270254,2014,4,71
6za8cq0q0uvTymO3aZPWAg,0.22852756892230575,2015,4,44
KQ-kyQwgMEn_9c2qBfjaXg,0.30791979949874687,2014,4,0
DTLQ_TMWFiybBhYoFILLPQ,0.2946699134199134,2015,4,14
1MT762I3zkMCkaGWY0xJpg,-0.07666666666666663,2018,4,0
fN5OZtCQNON3ZUdq6z1duQ,0.275668449197861,2013,4,1
Hjn9mcFQzysI4oodVpZB9Q,0.46111111111111114,2014,3,4
ol_vH1JJ-g0wSilIeCBNZA,0.20331797235023036,2014,3,46
a4EadQCUwZ-OehiURXtISA,0.1583333333333333,2013,3,12
-WXH-Ab8wex4UZ8UrReFsA,0.11907297767591883,2017,3,5
6F28cuNYA2-TC9co54Qrqw,0.16560846560846562,2014,3,3
CDs0Y9xYfD38-1nqat0Caw,0.22261904761904758,2014,3,95
MBbO80EQsrxPUgRIBwDaBQ,0.5861111111111111,2013,3,1
GDSH61HJAl-7vVmFQqhGuw,0.7150000000000001,2016,3,58
Vc0D4psa9RLP7P6T-fzePQ,0.390625,2013,3,0
yB28ayR9T5gov0II1kEuow,0.2612148962148962,2013,3,18
5SJTfy-jzjjgjgcBCUvYrA,0.224375,2018,3,0
8J-ViRxfOS95RqN05Qj6ug,0.33717532467532463,2015,3,2
EmsyUqqkuKfp2s4yGXgLZQ,0.267987012987013,2013,3,64
s6HGUNPC3UrwsQGznb5fLQ,0.2227729677729678,2017,3,5
GOZnxMV2KBUi2Liy3DXf7g,0.3345238095238095,2014,3,0
9cXg8Sbvq2XhWbwXig1o0Q,0.2759803921568627,2014,3,1
Zr-KZPcXH9wVrgK4qutmQw,0.2761904761904762,2016,3,0
mE0R0R9BjuUv1S6Ff6MT8w,0.33933973418134367,2015,3,93
uIltR2-SeGQWe-6DSJgg5Q,0.202281093358396,2017,3,17
Nrkn5aLazyohFQSHVJvZmg,0.05,2016,3,15
QooYpxsVu12hZQwFxg3Qyw,0.03125,2015,3,0
j_5hOjS5fjGtlz2M46Hsjw,0.20717841682127394,2015,3,44
lfmktS89bC0XXVn0ocw1cw,0.10404761904761907,2016,3,33
2DRji-QVfUWR-trTwd6bqg,0.39074074074074067,2013,3,5
UdOuI_IXDINR0qefFLCm2g,-0.09666666666666666,2017,3,1
VkVsUxuD_B782TOOpQvfZQ,0.3523536706349207,2013,3,10
4Sm4m8rZjid6K6_-koC2qw,0.209375,2017,3,69
Slh-6Z9jUhhMd-W_2sAb-w,0.21740873015873013,2015,3,2
