review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
6NK_yZbY8cSwHWd7OqhNhg,0.3029874437337123,2017,47,550
UALz-wPqTyqH8qc9_jvSTQ,0.17890512265512262,2017,36,411
zZ_cNfGvf2ZWd9XUwRHnow,0.3735416666666667,2016,25,137
NGp7NCjam7xO7Q7JizTfXg,0.25003156565656565,2010,22,262
eoXpUynu9oWfhDDP6ZJeIg,0.2786470143613,2015,22,22
mbBaVp0VnYytZxMQqe_Krg,0.14410137559808614,2016,21,451
nmczqG1YRNueIyJphG0B1Q,0.296111111111111,2016,20,93
4Gv4PAdJxK3UWUsMilOu_g,0.14809523809523806,2009,16,23
uiRgh-zmxPhni9t5E2elXw,0.30136827458256027,2011,15,94
tWhopXEGl5bpEIZPYutNYQ,0.17083333333333334,2010,15,33
zHHYHbnVrvphMzR25c0SwA,0.4110294117647059,2013,14,36
VpedoDwjcLu6TYli5TWd1A,0.39192640692640696,2014,13,544
TRaGozEYy-M8kFSZaxJb7A,0.05133101851851851,2013,12,59
OwJw5iNTVm2yoa0ODFZ3yg,0.2772727272727273,2018,12,1065
a1jntVQEF_rP0nV_Gm00EA,0.2727447385204082,2010,11,62
8Br5nF7Mki3CvddaxNClBg,0.24531249999999996,2009,11,87
iHF0aQJMD-PNApHeRUYsog,0.28662131519274375,2016,10,271
lmyH5BsAoKNy2yFAiZCMXg,0.3121710526315789,2009,10,66
AJbqlv_WXF_6R3pcQ0yxYg,0.25875599625599627,2009,10,894
wQXTNK12sw9Y7NiNhIRqgg,0.10259740259740259,2011,9,65
YzvlXcKHDOk6qzH2ODqAaw,0.2369963924963925,2009,9,47
e9NW1bGGc5usNzJ_b4yIaw,0.17114197530864197,2018,8,46
pwZ6BGM-R3dMl5_ggWHBTw,0.17644253595866496,2009,8,29
c0yh2r4NR51sR5oOasAfoQ,0.40210084033613436,2016,8,30
j0_-i3eifjE_-6v1DAgXTg,0.11186406186406188,2009,8,46
_UyMXIyZh6i8pj1BoCq-vQ,0.2922619047619048,2011,8,551
uTdIX_oTEX-NV-8LetrkWg,0.2944444444444445,2010,8,103
6Dg8hScZzyt_Kdeb2_X60A,0.34081439393939394,2010,7,21
_ESHb1ePsDkVShUkbKt6SA,0.03388991960420532,2009,7,47
vFWN2xNwPvzMBq2TB1vAHg,0.28048253968253967,2010,7,83
kaneYh5wXkDdyETmTUULYQ,0.26243386243386246,2013,6,142
OGZAl5CH2qww2OAoB2yNDw,0.11851851851851852,2009,6,85
DKI1y5WcQyoYhSZKePPbJA,0.36200547138047134,2010,6,65
bKylg3ZEVKmv1LDPpe1pXw,0.24924603174603174,2012,6,33
HyaE1PE6vnO93kvOGdWIBQ,0.46875,2011,6,3
ghWY-VLn9xLtZcFgJr59Bw,0.14897118506493504,2009,6,11
4cm7GcyVoavUcTyIO6EGwg,0.36,2013,6,59
OyuQ8tAnT9H9UwTHGQxISQ,0.3181547619047619,2010,6,29
LDRyBJAbCmDI_Q7qcaaFxA,0.2822849025974026,2009,6,47
fm4BVm_pv5ndad6POTJRAQ,0.26463133640553,2009,6,32
5Z0yWo8oWRt4SAerM9NxgA,0.33959415584415586,2009,5,6
pPZZpsYyKM3QPizbJJ7K7Q,0.5134353741496599,2011,5,7
SVvgYFiNszipy-WQjvFE0g,0.43397435897435904,2011,5,7
ePbhkgfdWRB7IptafwMxTg,0.3,2013,5,12
c33vuSRQo0l9-xj2AVVB_g,0.2846547619047619,2012,5,10
AI3ruY235eKAGWrox4W2oA,0.18331696595585484,2016,5,5
x7E44MZ9IYecG4bnaiPDOQ,0.336046918767507,2014,5,82
Fg2R3kEJ0ezM9HdeDo9Hkw,0.25806277056277055,2018,5,85
4yQgpH9TwtR-TKwNWRuB5g,0.2750925925925926,2010,5,21
hl6rUbVtJe1FS4u40yv-rg,0.20718419312169312,2017,5,14
STYQlj2LZElbF9uH3IX_Rg,0.14204545454545453,2012,5,0
-7FgnqIs4gbqWKjA2mic5A,0.36359649122807014,2012,5,30
GwHzzHZhkFwnDg_OZ3u36w,0.43499999999999994,2009,5,38
1VCk4RktdRwTHl9YonnMMA,0.14444444444444446,2016,5,33
iXxawOCZbCrDLDwjnGI1IA,0.33055555555555555,2010,5,78
o8r4MiALtE-ADhhCAGUUTw,0.2611291486291486,2009,5,29
nFcTh99bUakrn0XzcOJWxA,0.32668269230769226,2010,4,1
YXBC_ySnA68FBh2zwprMgA,0.14791666666666667,2010,4,2
LtnMJkqvsNYQEWZwbQpDwg,0.11809800664451828,2011,4,90
j2-4QCkx3zzkdlHcNdDuRQ,0.22798295454545453,2014,4,271
FaouWCs5_qGuVtQeclk9PA,0.575925925925926,2016,4,223
iO2Qozif8B_ZaXQplF3fQw,0.4105379188712522,2014,4,143
Wy3Hx9M7CE6HjRm2XU7Thw,0.11951388888888889,2012,4,80
CB627zM_78vMXMQrGflqOw,0.1703125,2009,4,22
hEfwcTjcYzE9Md2I_AUV0A,0.01576537803281989,2013,4,16
oRjkCYb9ZRy0IbDPvXzO4Q,0.46644736842105267,2013,4,2
fmx4Uh15vvnBRPwPrYXezA,0.29377777777777775,2009,4,40
ljHKjUDzV3uej5sG02-25Q,0.3372260551948052,2010,4,155
lBPdcdSHf0WK09fumRcwKQ,0.2356829573934837,2009,4,65
h-KHTe0OMhzzCA8pQxL72A,0.3082611832611832,2012,4,83
SkApvNfpy3aHFG5yiYGQYw,0.21818181818181814,2009,4,14
4B9iNJUZUyAg5itDZ05tTQ,0.07708333333333334,2012,4,75
hN9UCMUPz_7fUfOYxz4swA,0.2857142857142857,2014,4,113
Kg2NsOVDnJyUjok6RPo5ZQ,0.1909090909090909,2011,4,69
O6b-XiAvKAOeZ2-kb8GhwQ,0.3973684210526316,2018,4,30
z8yANpiq2cUM2sTapxowAg,0.2435957240038872,2009,4,12
EpOqaG791O-9IuwnqHfpSQ,0.24280423280423277,2013,4,8
ZdOhWGrGVjgb_Idh0ZDatw,0.1867063492063492,2010,4,6
1ZFcWuk5m5R-JWBF-wmSGQ,0.3015652958152958,2015,4,72
JBMhAEkMTyOm0YKU32TnpQ,0.34209956709956707,2011,4,99
KkqR1phQZf-qJB8xXIVQMw,0.46428571428571436,2015,4,75
dpNZos_XLa8DQI8VRpHW7Q,0.2264125631313131,2015,4,22
7g2vNedwOJps_eZ1PWwcTQ,0.4097222222222222,2013,4,1
0KqbqAq7-MMJ0wdMwQbxJw,0.4074829931972789,2012,4,2
30GDxxCLJZa7F9K_UE68dw,0.3533392857142857,2010,3,6
ODEfNeTgeKr0QKNwydZdTQ,0.15000000000000008,2010,3,64
lZJN3KB45Wljp6K1xXo-PQ,0.19417621987066433,2010,3,7
p9ZZBnTDyZzfwjDR17bk7w,0.39249999999999996,2015,3,10
oQHpnDTufXv3Q8cKPZsimA,0.3625,2011,3,0
9c-I17r3wtO25bG-3vZVUA,0.14973544973544972,2018,3,36
d6cXFvkdu4TbVCDdc9gkIA,0.23201754385964912,2011,3,44
ENFrY1YriGTyj_442UpzBA,0.4583333333333333,2011,3,1
SaeDJChuopPdjPLZpq0vrQ,0.2336363636363636,2015,3,0
bOJvpVqxworgZV8r5Lvv0w,0.8,2015,3,18
9TWmpnsF71T1RGJAnLCDeQ,0.40042857142857147,2009,3,5
WFxgARPTAYZUj3Q6vjmO8Q,0.448452380952381,2011,3,26
N5bSfbAJkxMbg7i3SbiB7g,0.45851190476190473,2013,3,11
OTVIo78-ot7GWMZ_2mtIQg,0.2552083333333333,2018,3,11
SQ7QCAUMT2kfayB1uZ3FOg,0.13517549261083742,2009,3,73
m61Fa2v6yamgZaOn1_Tpbw,0.11410256410256407,2012,3,3
4WBO8TQ_vglTzOJa_DZ2yQ,0.16509259259259262,2009,3,55
6R3VnzLTOAOI4rvxhdceqQ,0.1873766233766234,2013,3,30
Ii84bql9kp6tsScISMH7cA,0.16125000000000003,2013,3,4
uIqaMAaoLPW_VYFRjUEW_w,0.1325851341442374,2013,3,2
UdyqYlVSZOFyCkABJOyRuw,0.6668560606060606,2010,3,9
4P4ugbUijSHGF84rZHUcIQ,0.3483405483405483,2012,3,15
szf9bpDD37XDh8OMrg87Og,0.43444444444444447,2014,3,27
mkGuFaEAnZHQlXCHwrnuxw,0.24682857142857145,2017,3,20
vnSBDTen1mdGf9kH3W6F2Q,0.25416666666666665,2015,3,30
QEdYWIU_R6wSg68m34Q09A,0.38773148148148157,2010,3,1
9WMkcBMLtkwmboFMX4-hHg,0.68,2011,3,2
e7bf7krUfiEBNEv77X325Q,0.35833333333333334,2011,3,0
fWEoYm_XHLPjNZLLOIr0SA,0.5088888888888888,2011,3,18
6Kfly3nUOFybda1nqkFRMQ,0.1584967320261438,2010,3,2
mMEcVwmHGXqXaLVZz-xhrQ,0.2990714285714286,2012,3,2
3qp9ooyJERX-JSeMSJCm1Q,0.43833333333333335,2011,3,0
hg_v-6cVgB6e6V1hvaLf_g,0.09538205980066447,2014,3,0
hxgsmBKI9jyoMBbM2Zq2Wg,0.471875,2009,3,9
v-U87PGAIykrbONZjvdk7A,0.48733766233766235,2009,3,3
h-ValjwyYxphvh-2UmtSIA,0.41468253968253965,2010,3,51
kpwoNdv6p4D5UMePWAegzg,0.3947916666666667,2009,3,42
Z2ruvrDyTkimZ-HxUr_D9w,0.55,2013,3,29
J7jQyg5w19tATh_f1fho2w,0.08076923076923079,2014,3,64
ePUJRhQNI9cA0uW_rYdL_A,0.23333333333333336,2009,3,87
Sf4nnk3OHkhz2OrapjkqoA,0.2750217770034843,2013,3,8
rfUbpvtl3ldJVJel6rP5HA,0.18676739926739927,2012,3,5
Tcxnt1_98YljlbtQg7u45A,0.43,2016,3,183
I65kPpkOw10OIp15Zxt-IQ,0.38888888888888884,2011,3,3
1YnXRcKQmetr3Gw0WP-6Ug,0.3264894005847953,2013,3,26
KIG28YudJZvwrUpMac2BqA,0.26558239962651736,2009,3,1
dtPI2CiCjWc_Iwb31_aJ6w,0.2814,2017,3,27
Shqz-e9PEvdwYA60RyxVOw,0.15416666666666667,2011,3,1
Rhk7hnpBBky8ctlO-QZoFw,0.2799242424242424,2010,3,285
vsQiWBkHyyojhY5PMxhMMw,0.32916666666666666,2017,3,59
xszMZDGZry72Iqch4umHSA,0.09243827160493827,2012,3,3
DLEL5XSc1J0zLb5W-FgPvw,0.29545454545454547,2010,3,551
REudTaLm_2gyo30nNlCVcA,0.030681818181818185,2014,3,28
0lNoVvB9Gi3ZKf1yUw36Dg,0.26446078431372544,2011,3,15
6s5WZptpRlNsKwCAw655ag,0.4393939393939394,2011,3,1
YVgw23VGgbC8WGNoPg9LXg,0.18472222222222223,2015,3,1
VyA5JcvLJD1W_BJhrQH13g,0.2385,2012,3,4
ugEDhN-y8BKedkvGyQg1fw,0.10638111888111887,2009,3,6
gPtmMevmHqpDOpJg_ZcNXg,0.18697916666666667,2013,3,46
i9XqPsXBQ0K4H3c3OzakZA,0.21509452160493833,2010,2,36
btEoKADLWIiuoRTlS3p-Aw,0.20844444444444446,2012,2,5
eo3jpG-gjHGJX_BqSysDdQ,0.2391812865497076,2009,2,1
HaVzjEY-UwALnKlRInnq8g,0.20716089466089468,2010,2,20
OAvy8Vehu1H854dRaIfQxA,0.10625000000000001,2016,2,4
2U3Ngr1BRNfTVs8w120SXw,0.3061111111111111,2009,2,1
sAcQgBJLvzol9bmw5w-X-Q,0.28529411764705886,2012,2,0
mQfn4V37SB2tKEi3MShQUg,0.5426020408163266,2013,2,2
gMjSOp9b84nrht9ooWZvzQ,0.384375,2012,2,7
na1kzn-4PmwrPurvkw9_Lg,0.15642491087344032,2013,2,0
7XAu0Ej46vDVMaxCafjWkQ,0.80625,2011,2,0
FkXXMujsZHwnSQYas3pohw,0.6416666666666667,2011,2,1
dedEkPITjMfVca6C8oGVLA,0.25078084997439837,2010,2,28
Yk_U7oohyPYiAErwQhceLg,0.26189728163992865,2016,2,3
BQjiNUKmFt0cT10ZJwHDBA,0.2474753694581281,2011,2,102
XadpL6mXd4ID7ZU7UFMffw,0.395,2010,2,16
WV_nk6ovNHbdzzbsdlr12g,-0.041666666666666664,2012,2,0
NNUa6adS4nWO7A-Bf4bNcg,0.15582010582010583,2013,2,102
P5CpItqzTDZ6YoVN2TatCw,0.31666666666666665,2011,2,1
V4lZxQvdgTyEnKFxc0l30g,0.2714285714285714,2012,2,82
7MooH8YvquUNniYCIsTNLQ,0.18498626373626376,2016,2,0
W3KtJUywIh7OxeqCyl5yzA,0.775,2009,2,11
zPLF8eT-8cGQ56Mc8RntpA,0.47691919191919196,2013,2,11
nsdWhYXmDAs2NRUq1USo9w,0.5296296296296297,2013,2,21
izLvkAbW56jDDw4U-qtDTQ,0.2687074829931973,2009,2,10
V7BN860RW6nrIz0qXt-tfw,0.32916666666666666,2018,2,11
fWMLoNHIKkPvjuzLgiW4sw,0.2088752052545156,2011,2,34
-iFkUO20ktgXJ1C3Dnsg8w,0.48500000000000004,2013,2,19
5c89F8N4dJ-3qTeFVMJLXg,0.39363839285714286,2013,2,6
Gu3YXKlgFsZEAfLxXEXsUg,-0.09666666666666665,2013,2,7
ggIu53U9DWB5ObQuG-GrBA,0.4308035714285714,2012,2,2
gRNlNv1cexXKzamg51tNug,0.38666666666666666,2012,2,0
5kptJoBwEKddwS8CIKEcrg,0.25985243055555557,2010,2,0
do2dKTmmfN6uhp5pmGSAFg,0.3875,2010,2,32
07PhGM0lPuNe8afO7qGmMw,0.1947530864197531,2016,2,1
b2w_UML3vRc29o1CiPDugw,0.44166666666666665,2017,2,0
jA9nHP4AQMxpJtf8c02ySA,0.2350649350649351,2011,2,1
BwyGViePHkJcMMrlcCRdoQ,0.2729269972451791,2010,2,0
2qfIJL7hupEJa4sCuSwkWg,0.8500000000000001,2011,2,0
eaNGNIy-znPZMoffeSbz8Q,0.5499999999999999,2013,2,6
98NtJReuPkjWkU3ufezvHA,0.16746031746031745,2010,2,14
PNbSysjyoixraEC1bI_Q8g,0.51,2012,2,0
zjB2g_HtzxZIh1OUB7B9vw,-0.0659090909090909,2012,2,45
dc8-xt4lxpmFrcgG6hYfNw,0.062277537277537286,2015,2,1
KVRletB96cBhF3ZKkfMuiQ,0.1553030303030303,2011,2,3
TIbCriZcfdR8qqz1mm8E2A,0.2227991452991453,2011,2,1
q-MTpnYYcPfnBoGSWlZ-Sg,0.26995421245421247,2017,2,36
ZIlpE0HZ5QPRRW7TkRL2fA,0.5382142857142858,2010,2,0
Oo9rwu7XZ7USJnx1VQ-W2Q,0.32346938775510203,2013,2,19
Dlh3vzUfMgjg6viqaaAQnw,0.6555555555555556,2013,2,10
NgGOJ1FJAknpL3sd9655yQ,0.27402427637721755,2015,2,3
OC23QdsdSaAIOMVQDAcyhA,0.18708333333333335,2016,2,7
EF5iCo2vE1BgW4EPOY4qmA,0.24999999999999994,2013,2,3
lJC1e8cShim2ceNnDZe7rg,0.5135,2011,2,4
ErmHa7DDUausO9XYgBtGow,0.4024088541666666,2018,2,3
2RPwUQp5kk06v_KBqmcp_A,0.15833333333333335,2013,2,1
iyFY5kgPsqK6KICjwZ0KdA,0.3014705882352941,2009,2,1
UNLFE7tLlEwX6bRNMJzHCg,0.26574344023323615,2010,2,1
W_yw2S7mf5VMhC7z7JB_AA,0.8999999999999999,2017,2,0
v58ABMV9BJlUZvHtOVE8YA,0.2916666666666667,2014,2,194
3clop5uOZI--U4-zn6bkGQ,0.51375,2011,2,0
ZPBybh5Pgp9rHYNYD_In4A,0.36401515151515157,2009,2,6
d4bxmc2vUZqisbIeFkLoHw,0.32911904761904764,2017,2,0
BUzf_cTt5yf0RrpzwI-XGw,0.36655844155844153,2011,2,1
3-LzvHDPH9yKik_ACJhHtg,0.1922348484848485,2009,2,8
csRqMx0RkWNTA7S2HN4_lQ,0.25321146245059284,2011,2,3
sqh7_dvQhWoV7x7IsNiEsw,0.33158333333333334,2013,2,12
PEJ0WG-wg6ArC5WTMrEH8g,0.2946969696969696,2012,2,29
dJa7oGi74Zt_TqQdPl6cGA,0.36388888888888893,2012,2,12
IaOHqTlcs__oyv_k2LctGA,0.19334992784992786,2011,2,1
Qpa6dCYxwEBfnfb7x0Or1g,-0.1111111111111111,2010,2,3
ggD1hojiCknz2lasvuwmIw,0.235557208994709,2010,2,43
Et0wxDXCMRLMQR9l8dI9VQ,0.3178571428571429,2012,2,1
W-QPuF8dgu6LgHzfGFajiQ,0.34375,2016,2,2
l_xVoH16KCgd9SKdT59Nlw,0.3008928571428572,2011,2,1
hhH27rwSw2YGJCqkUglfOA,0.2970238095238095,2010,2,9
NjxrLrqrwrT3cXpB1s0FSA,0.7,2011,2,0
LIyKyEHsYk20E9u35lWFmw,0.1742504409171076,2010,2,6
lI7ajYszqrdVnsrzSEek_w,0.8333333333333334,2009,2,16
mjH3izKLT57qlVfCkwNf7g,0.4883333333333333,2016,2,83
yrk8KsE-gJm6Ry8-AADvLg,0.23002450980392156,2009,2,15
1TAohdJwer5-P8tlM9N_Ew,0.44642857142857145,2016,2,12
BjiK2u1Ym38dDQ9uhb_YhQ,0.4340666666666666,2012,2,89
rgwRABprRjEi4F-G1NBjSA,0.1875,2017,2,18
6jmHVeTp6j-8kB-31lV1uA,0.3299319727891157,2009,2,0
nXbHT12ea0gzB9YCpbaTPg,0.11150278293135438,2012,2,4
7RkhQE2HUcv7qQ3GVfQM3Q,0.4912276785714285,2015,2,76
-yYgvD6m9Yoh0jxgHDm5Vw,0.41875,2011,2,65
Fxzt5_gSiyTAG8bEbd04YQ,0.28388888888888886,2014,2,75
uZIVS0fi5LqAZ-XJKTAdPw,0.27341269841269844,2010,2,41
wLuTnJVHfj3DCwbC4rYvJA,0.2979166666666666,2011,2,2
9osGh9ezus5OqWkhmJ7ZRA,0.25928246753246753,2013,2,1
OaCN-k_9RJvXRH_w1sdkvQ,0.44383116883116885,2015,2,2
S-8wmP4hXwNSX543_CCyXQ,0.334083850931677,2010,2,10
N_9Thc-atIc214HKijRgQQ,0.11145833333333334,2010,2,1
NPobZeVTzJlrgLdKHahTZA,0.2299323361823362,2013,2,0
Yyr4JnRkM2XqufPAhHNBdg,0.2625,2011,2,13
68yZBUR_52LBGdrtipObXw,0.6833333333333332,2016,2,8
ndUKHK2SmnQA39kv_rJfOw,0.23951465201465197,2011,2,180
fXNd8psewLQwO_vRkrmtSQ,0.28974358974358977,2009,2,18
008AvheMqKkATVr7_j0M6w,0.37250000000000005,2011,2,4
I28T0oOVWJ_Psk2y0Ukz0g,0.2724489795918367,2011,2,113
YwBEcJX3QaA_RKY497SeLg,0.2604166666666667,2014,2,3
ImF6pXRxveJSbqAXmcgQDg,0.44508928571428574,2009,2,8
NpELeqhrlycE0ukpEvMpXw,0.4058333333333333,2010,2,4
HcgNRGhw3npvJbhXxzzQ4g,0.40553221288515406,2011,1,0
6-GRNTN9n9hRpZejQDC54Q,0.2567918375484165,2012,1,49
