review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
gLzbpCOP1c_0jNQ8AC9Bxw,0.1386024972759667,2018,47,190
sqWE78jSGdwIG0jNZVbf4A,-0.09999999999999999,2016,37,337
IzmNx1qs4ZXEV4VqB8UoNw,0.19797619047619047,2014,34,263
tnsbCAJK_UN9iM0ZEaDdMw,0.2775784111721612,2018,27,220
fTS860Y-NvDsCYH8xDSk7w,0.022058823529411766,2018,23,354
arg5DDjELojkvN_UM9o-sA,0.1077644418423107,2015,23,86
6BxELT6zi_kBY39N6JVMvg,0.20502463054187198,2017,21,233
cCDkGTbcJo1jr9tS0zAWag,0.2764751552795031,2016,20,539
0tPEe9e4vmBqTg1Gk9Ud_Q,0.01184041835357624,2016,19,64
LC5yrxBqJmtkbRDFJXH43A,0.23664096320346317,2014,19,99
pgYXtYtjI2H-sIcLwm0gkw,0.09998069498069495,2016,19,156
auioA-EQbf0K2-BF3ISobQ,0.032923910304862705,2015,18,78
YghTt-eDj48AQBHG2HbKOw,0.033043710021321934,2014,17,319
8-RMbtSxGOUCW4ffnK2-fw,0.17261904761904762,2015,17,86
LHEmG-VtibE5Sk3zGGQM-Q,0.2496541950113378,2015,16,158
pF9kLjwP8gQ3SP8JhJ7u_g,-0.11346153846153843,2017,15,73
OsY8ufBeQmuBSRPcu5DEhA,0.18280705728380148,2014,14,283
ytdZ6kfFxQvqze1D8gdqnA,0.2955357142857143,2015,13,11
1ONvpl22IGfbOvlya_Zl1A,0.052651515151515144,2017,13,27
9YWOiF2FGfW4fvNC7OJjzQ,0.2389625850340136,2015,12,13
fO0vwZqoFday_e0b2--JFg,0.13511904761904764,2015,12,24
PhShlzLT7mE7KTJizYPe_Q,0.14939839240620492,2014,12,912
f-FggQeoV5afswtcBJPPCA,0.17986404220779223,2015,12,44
9VXFkTPC87jncITr04_0Nw,0.24993055555555554,2015,12,229
5AlHTJlxQQ1c16zXj_oMfQ,0.06459435626102289,2014,11,119
KSQD8Od1QKnSHsPmWpnS1Q,0.06258472758472758,2016,11,94
ykucn9j_N5LCYwI-aszl0Q,0.2678951678951679,2014,11,3
Or3UxJdn-uSUgs6Ve-KR_Q,0.14819892473118285,2014,11,92
Qk7Dw3DnqjyKJu7p6NHgtA,0.5907894736842106,2014,11,149
cfIuIxGVb4qrwQT2D1lnvA,0.45714285714285713,2014,10,64
v-cQk763VMhQF9OgQnZJhg,0.21847826086956523,2015,10,172
L_PP3smfCehdYIbHCiiO-A,-0.05932117527862207,2014,10,641
nC5lQyDALl9qIUSf5M7QmA,0.406453634085213,2018,10,233
peEfGxtSCEGK0pd-1aNrbg,0.0938700918964077,2014,9,44
JuXSdo2NIiA2M0x94Vie-Q,0.326063492063492,2016,9,61
wQFi8yRtZTQJnqdqCb9G3Q,-0.13648025101513472,2014,9,5
viZCkSsZHz3S7ySSSEOwsg,0.24833333333333335,2018,9,66
E3fftkf-zYboXHHO5iEujw,0.2833333333333333,2015,8,81
r-APlkHtHAz8uHlkF2mIeQ,0.05594618055555556,2016,8,4
6WqJGQBxvkN7ivOxrlgx2g,0.4993055555555556,2018,8,64
8LCCiMLkFQ96ewJPbb84AA,0.2163949275362319,2014,8,51
sibZYOLSVCDl86X0MN8bgw,0.021527777777777767,2017,8,337
PhgPBC-P0OBQba7iAQgmew,0.006478937728937729,2014,8,26
YiPyBdFa6DXQNHRfofaRfw,0.40350877192982454,2014,8,0
mdExHNbWwr17RnAtEc_q3Q,0.2900793650793651,2016,8,46
T4UUdSHnstv59ekKvabDPg,0.05995135073260076,2016,8,1
saxfZTmOWF-oqXttkK4jGw,0.09949203278990514,2016,8,7
G7Ofk7vb1O-1enQooiUi5g,0.2926971726190476,2016,8,108
E7Z_3Fus959o538beuoMMQ,0.15405797101449273,2018,7,38
6k7ItkoIlTn_8kK-OsRCzA,-0.13026984126984126,2015,7,0
IGg0MDYErkz4_45qQd_0vA,0.27983630952380956,2015,7,19
-qYDQ0cMacOOnpwrjE4CNg,-0.001978840125391853,2014,7,56
7tShg1wkegJrtGrSnUntNQ,0.09259868421052632,2018,7,82
rfbw4U9tYxe1M9BjCj_yDw,0.14796340023612753,2015,7,82
RJnJ2TWmDnlxVhxezyrL-A,0.19775000000000004,2016,7,192
gCarSr_piRIDlg6tmCltew,0.16613990554899644,2014,7,86
QELnIq6zVCBP0ZaOtqTGJA,0.13770833333333332,2017,7,127
DqDdYS9DJQG6LdAFBIdmUw,0.1246031746031746,2015,7,30
WmTRWYB0dx5bTM2eaffIaA,0.1667543859649123,2014,7,0
ZSRyO7Y8h1F3XpXaLfy4OA,0.36743827160493825,2014,7,23
9p350hcnUeNnBDAsAhgk5A,0.052272727272727276,2015,7,96
nOgrIa21WTeNlmVr8va0Xg,0.39849999999999997,2016,7,85
7tlfPfH1rxO2CRCEwdmbcw,0.032886904761904756,2017,7,4
ns3xX5GtjU7vXi4xC5k_eA,0.3866639610389611,2014,7,30
42Oo3QoNh7zz9L3UEhrjLQ,0.26052631578947366,2014,6,1
vEQzaIKrAx1vAp0Sjzm6dg,0.28257309941520464,2014,6,0
6RNJLlqEYAE4qvQQGrQIew,0.03539186507936509,2016,6,14
NK2CqSiKNfHXuckvdRjvDA,0.3088888888888889,2016,6,0
TOVlL39jwMV9JapON86ghQ,0.2086038961038961,2017,6,92
u1Vrm5NBD0iYwGu4447dYA,0.15757275132275136,2014,6,44
eH2BTIFULwfY9I79HtidIg,-0.019166666666666672,2015,6,2
ND63pWw1cgQ7gNonLvZxfA,0.4609649122807018,2014,6,1
6jHLVKkDgOY4_3zL3l9OzQ,-0.19874999999999998,2015,6,8
OHjqkc-nnDFHt8ETcMBoMQ,0.13564213564213562,2014,6,180
JfE4h9MGbYRJXAkIkZOGtQ,0.12516666666666668,2016,6,19
Kf82m6II0ymxANSgSsE-TQ,0.28531746031746036,2017,6,19
8KfAtkPHtYYlyIs7ILmegw,0.1560684083358502,2014,6,21
8KpxgjyMly7aaSF5aw15pQ,-0.1505456349206349,2017,6,1
qAIedA-2jSDaC6dEdNIAEg,0.07916666666666668,2018,6,4
J3-d7rmtOdFEDnJVh9DmCw,0.1294263085399449,2015,6,37
LviLvy2CxxJNtKjsaIqG8Q,0.05794871794871795,2015,6,43
M8n4OHJx9ILPa2gt3AeLqA,0.007837301587301585,2018,6,73
S0wfsm2go7bssgAcvYS56Q,0.2622258771929824,2014,5,86
M0f6DhNMVG0F4NXr1AOvbA,0.02061011904761905,2015,5,2
R-CED_u9VJ5_pFkaifhj_g,0.3684294871794872,2016,5,89
JgkE2VJk6k8EdbI0NOBYbQ,0.16584579854669143,2018,5,44
gflub8-ksYffvSdOW3qxgw,-0.046813918404827494,2015,5,12
NGnfnHBHLexX6NWKYX3z-g,0.30714285714285705,2016,5,18
w8txiazQYz7pwjKFHu7FUA,0.13301971326164874,2017,5,22
e7PzxoymcqPovKYjPox6uA,0.17226406926406926,2015,5,9
rbFzVYe64e16SgcZDl8tfw,0.24307854666063622,2014,5,149
K9_O9NjcGibMDlUv0LWnEw,0.1411111111111111,2016,5,52
3ugkX8wBQo9ERyGQZ9XAYg,0.17065042162698416,2014,5,36
EehKqB74QSuKj74HBsix2g,0.18352591036414564,2014,5,14
Ci4PkJsJ_OL-4J4_5YH-6Q,0.27633333333333326,2017,5,21
OJia98wl9N7r8ca7e1wK-Q,0.1574074074074074,2015,5,69
lFhgPoiLccrICv4w8SXnUQ,0.17142198381328813,2014,5,111
Zr-BIfOi76IDi8mymWQlvg,0.24659636445981556,2014,5,24
wlYbKy0QoL0GOo6J8majNw,0.11341380070546742,2014,5,54
6DiDdSMwqAnlT9Ww9WnaaQ,0.2820987654320988,2016,5,77
fwAEpIw7tUuAFX3aCQFmdw,0.053534226190476195,2015,5,6
xjuQaRossVjvCy9gx1VyYw,0.09996081504702198,2016,5,0
HBblSRkTzQMy7Wfhqa5mhA,0.39543542960662525,2014,5,122
qBdj7S5eIyH3ttKZ9rhSfA,0.12378246753246755,2017,5,33
WvM4d_P9jWA6t28eGlQnqA,0.08845238095238098,2017,5,25
hokshl8CGa3_lSOgEYwN1g,0.03513605442176872,2016,5,12
PCH4OOFdbdZKP9uCzuVbGA,0.26,2015,5,62
uuk3y15yvw69Y_En0OVm2g,0.08298921130952382,2016,5,5
_VXaDqvDF18s3vnPrs1fjw,0.2591553287981859,2015,5,16
eqUOuWXp4d3C_JYM-6Jxew,0.09537337662337665,2017,5,10
_n1KOx4chiwrM5y_0m0IcQ,-0.08214985994397758,2016,5,40
JXUe8DKBo6AafEVdRZ2ffQ,0.11386554621848738,2015,4,2
4ytFHucZvjbpjziqPuAJtQ,0.4153273809523809,2017,4,13
twhY8E0m4zlwnu9eHsxA7Q,0.17348484848484846,2014,4,0
NVANVq1rFVyVNadMWi-BvQ,0.24531250000000002,2014,4,1
Pp3ZQG-rMEzsTjLlDc_8UQ,0.2587777777777778,2016,4,39
SansNkhKi4j-9tWXkBUn6g,0.0989247311827957,2015,4,36
hiVeOoAMmYMf_zcFFSwehA,0.1436430940535418,2016,4,54
Tzeh4bwp65nrzk0A3okxWA,0.2896875,2015,4,1
E_WXLbaCl7lgd7xXhTlR6g,0.40937500000000004,2014,4,5
-q2JiH7dp1uLjNQzh5ivEw,0.06041130416130416,2014,4,1
kES1r9Ms2I3fCvZABrmQww,0.07756255739210284,2014,4,69
ANuZFrn5mzcC6FoyJO_rhg,0.04715686274509806,2014,4,25
VpDGgVSC7kz3z9Y5JvH_fQ,0.0757936507936508,2016,4,29
_tSMOnT6rMfmja79ALZxWw,-0.07698412698412696,2017,4,1
SDmNiBXfIqDrSlQCuFwJow,0.14770408163265308,2015,4,0
kKsByHlD4yOxcxViqD2gkw,0.3430208333333334,2014,4,16
8GZWoRBS5-p3VBJ4CbggMA,0.1688486800555766,2017,4,16
rwCcGYMIxx3Hv9P0SxnJkA,0.015343915343915332,2016,4,33
TuzTZnxN3t6exNlGqWtZIA,0.11191137566137568,2016,4,10
7jrKNvt8WMYKLKV75LrpuQ,0.029944178628389155,2016,4,0
d7gYOyJTuQk6eyEGpFtYzQ,0.3838235294117647,2016,4,1
jcuaYIPgnZtd13jStRJqiQ,0.2700694444444444,2014,4,3
NkfZdipfODhiiWYV3NX2Rw,0.0606060606060606,2017,4,8
8VtjZbviORvQ3KTvkQIGMw,0.4892857142857143,2014,4,4
DwE43rpUgyMTi4xKxII8cg,0.19636467086834736,2014,4,155
fqMosiV-Fc7PF_ZsG8Ghbg,0.24777943121693122,2014,4,0
kN8TrUlES5x2efbETCwElw,0.6700000000000002,2014,4,1
Lms5iKTelrLpSG6_GzXVvg,0.0723639455782313,2018,4,5
lzk26QxDzFZErx5a6iv2TA,0.0739375,2014,4,1
ha69b6RVJ0AdYe_XgxNBlA,-0.06495535714285715,2014,4,11
Dv68Wy3msnewThJOfuMXrw,0.1289141414141414,2015,4,123
UBLZTclBAMJgoI-SF6HqQw,0.3405864197530864,2014,4,24
0zjVhGaXJyMA33TIuylmJA,0.1153846153846154,2015,4,2
ePCTmZn6x388S0eXGZtATQ,0.3852564102564103,2015,4,12
9bZYY_oUhkXGnuMROsLO4g,0.10909090909090911,2016,4,14
H_4VBlqm8ZwrWCU4hg8GKQ,-0.08166666666666667,2018,4,54
7vhq5-SO_rs8vgd-ue2Rvg,0.21118707482993201,2017,4,28
aaQ94EQqIW2no_Zn245yzA,0.32447916666666665,2017,4,29
Ran97KIpEUf8OVJw9W4maA,-0.020299539170506906,2014,4,0
IKk2kSI_t0AboVq1vo_FWw,0.08425925925925923,2014,4,16
lxaH4X4-ofhIhpZw0l2brA,0.3277777777777778,2015,4,0
dy7VMbf9CFdjeFhKk8b2Ag,0.35833333333333334,2015,4,1
z6JEhl-pjjEgMFeBHqfJsQ,0.24141910173160178,2014,4,4
5dF3RM8aJo6ZcSnFkd9WnA,0.525,2018,4,20
Ghx5Fzjsx4ZZDnHBRF7fTg,0.6428571428571429,2014,4,0
ERJni6MuUeIH4gFD8re3dg,0.07911111111111112,2018,4,84
vb6JfVpLP9WYWcVNahELug,0.25040573372206026,2017,4,121
l3YFQUSN1dViKcY3nXJDCg,0.20625000000000002,2016,4,13
bVwYmcG__KQ0qKgisjHvMg,0.5006666666666667,2014,4,6
mKcbpp2uNydAPWcQsWhVZA,0.24363636363636362,2015,4,0
