review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
JFdeZ1UdeYLDC5Ve0WmhXw,0.24248268398268402,2015,83,697
u5FWveGPJ6vOs1BuDlnRzg,0.2666083054315476,2016,48,482
sZuQvHm5SsF6RICz_NU9dA,0.23759985297721148,2014,40,397
ZsyJLFLQg7RZjSvrTYgvLg,-0.012571428571428574,2014,36,1169
lpCD03XMnC3Dn37RYmnxzQ,0.33438740079365076,2017,33,328
VdpWa8-TVz8AhlOd8sR90g,0.31266666666666676,2015,30,1023
lx232ShflXDCdaBrM5Hg5Q,0.2680893031699483,2013,27,263
iOUA_YnAVf9c2B0zRMS0aQ,0.2624183006535948,2016,23,331
AGDdlr5lCWIQSAM_Z3TEyA,0.23170175618773753,2015,22,305
9BjkyNAdGtPoHBr04c6cIw,0.33954831932773105,2016,21,157
tpjlcQTpMGfagQtyQn6GYg,0.2939285714285714,2017,20,539
olM679eVlMS0u3Z5itOriA,0.2671428571428571,2014,18,192
UXoZJJQhs_Enbckyw6lBXg,0.11268918420081211,2016,18,115
Sn8U1BiMfwGCpFxkscMGjA,0.42523895790200134,2016,18,233
qCdJYYQqTA6lsb4ks0Py5A,0.34576254826254826,2017,18,896
QI33JKMn57cF31PmSrZpDg,0.2899076455459434,2010,17,236
AOU1lrQnpRpAOlo5dE61-A,0.2755364229024944,2015,16,64
KwYvDRCnibfLAiywkBQoyA,0.2538772821381517,2012,15,24
B6F0JY2LFAvLm-O3CaTCCA,0.2463895089285714,2016,15,164
65Y1F43t3JoY2R6-6b6yvg,0.30975783475783486,2014,14,155
LN0FeAhHIYFQQmkoWOqF5w,0.2512113195446529,2015,14,110
EBqX6IgwoKQjZKczsjzosA,0.3194444444444444,2010,13,40
Cv2Xeaf7A0DvOkaQzFuFBg,0.27510939510939514,2014,13,162
uC2ucFGPpgczK1UuqPo23A,0.31420454545454546,2015,13,228
TMy-MjnLuPPgcyjK6R2T5g,0.30238095238095236,2017,12,164
T1fM7tIJhe6SEd1h-qAqUg,0.32554621848739496,2015,11,121
wMhaZ8gpLBl9HM3l2atDGA,-0.01394262566137567,2016,11,87
QdH1OjLw_tgVT3-xoV8iOQ,0.2099307513575606,2014,11,32
tw80zGuzrnyhF7f-FOLkhQ,0.2659178187403994,2013,11,539
qKUPq1Dl60kpf6o2XrzvBw,0.3097424684159378,2013,11,32
bUeXofnXJS1c363RNUnDYg,0.20000000000000004,2011,11,52
rIcoMT3eAq-hvJsslXmX7w,0.3538247863247864,2018,10,39
5ZGI-XmgK-3Kd38uFDwCww,0.5577458592132506,2017,10,218
EE1MjNasBqUcL1VjjXgRTg,0.1420833333333333,2018,10,32
22BdlevIQM-c1FHW2LwsHw,0.3688675213675214,2017,10,47
VpLZm21nhXbhJlIgtSh_GA,0.008333333333333333,2013,10,0
tFk8N56HpED54wE4BCf4PQ,0.2462202380952382,2017,10,154
eqQTGfZbmZuV7oPchlTSpA,0.2175743177387915,2018,10,39
KWM18c0jvgatT_hPLMZltg,0.38475422427035333,2013,10,178
