review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
yKIPgYoL9FYseX7rmSUIoQ,0.14285714285714288,2018,71,1169
6GqtVitpZb1Vn3n9NDPSbQ,0.26041666666666663,2017,35,319
0siiCpKnDmyOeAhuG_UiRQ,0.21133333333333335,2015,29,99
p3vHOiGLF4EWDh44Uh4HBQ,0.1398148148148148,2017,26,641
szJxtV9TxUUh8BuFTHyUHQ,0.3272858897858898,2016,23,164
jGg22a6SWA2i4UCNeXb51A,0.2626960784313725,2018,20,154
vQMlBFNYqQdxIJc5F1CVbg,0.3766025641025641,2018,19,325
rjVjBGmkk_qdOAYKl-XbMA,0.046150793650793664,2015,15,132
3As0lvbRUNiefM2ZcDOUyA,0.18784656084656082,2016,14,912
mieZnQCO8Klk9ZjmIi1tSw,0.12078479186074123,2015,14,912
Cdp54pPADb2ytrGVa4oYRA,0.3094138755980861,2017,14,93
i8KPf9VYllpzkDEFNw49iA,0.3552678571428572,2017,10,283
yRKFk6ybt2y3byM1_zaEIw,0.10260416666666665,2016,10,127
mpGkywPEeSM900sxSvhQGg,0.26203199099750824,2015,10,283
kscdyvkS541zt1gUa6NpbA,0.2515151515151515,2018,9,7
-V-nAioalHMOFewhVEfRtA,0.013020833333333329,2015,9,158
x8hZElkUd_Olii31zi_FjA,0.1773809523809524,2015,9,74
_NqvIa3ZfzRBqypgWEBbaA,0.14677098857426726,2017,9,912
eyfOyaMxsmzaYFIIMsgFcA,0.1901190476190476,2015,9,119
AYszd6dEyL-IcoLzQdS5aA,0.2618082368082368,2018,8,229
aRxlEIXni_iMxCjbFD-6ow,0.130644166439621,2015,8,1
qPt7ghxlf2NwD_-l0GDzNg,-0.017156862745098037,2016,8,76
Udc1SQoNh5SPHlqH3xNNjQ,0.10232607767819037,2017,8,912
hf6NuJYNGPyw_hM2GCy9Yg,0.5859375,2018,8,44
B1G3Ziq4Etb3gmCLlLuudA,0.23324175824175827,2017,8,149
PfWdZXzUAZZwEAbaLOX2dw,0.49457738095238096,2018,7,83
qHdal4RS7cVwR8JUuo0yEw,0.16824477351916375,2017,7,180
k7B7DYFhfnOYWsb93nZOMw,0.26104166666666667,2018,7,85
SAYNoIIG7tJ_xt7RywglTg,0.39485454545454546,2016,7,95
Pjd9u62aqSlgCWaUwBwEMg,0.2547157622739018,2015,7,16
z1pJfaEQ2wUN2Yn_qF3u1Q,0.05016025641025641,2016,7,27
hjXtDdGcp19hAiEWiupP6w,0.4527777777777778,2017,6,124
qX6U_Z7B0g3e24Fj3OeKOA,0.1662280701754386,2018,6,25
kg0jv8XDxTEcGyR42LxEJQ,0.5827777777777777,2015,6,0
mv8mYc0Y1zBhBtlJLFXANA,0.625,2015,6,4
AlHLo6NObMJ7NWmF8rVMcg,0.39135119047619027,2018,6,244
MZ29qHcjEbgggzq9Xq6VwA,0.1798345154845155,2017,6,912
LvBVOx1g4lSWP7pcG0r1_w,0.3325,2016,6,16
jqeERmUTR1UVBYvHQDtqVg,0.18179541446208106,2015,6,912
4wNQU0QtodVIQbBGAC1SsA,0.3654320987654321,2017,6,49
n1SV7r2_xRRSxoHXOZqRQA,0.18749845392702535,2017,6,912
r6oen-Cu7v8Gbv9ypXnx5g,-0.029084967320261414,2016,5,87
LQjMxrsYe6eNM8LHCqNzzQ,0.1786152882205514,2017,5,14
MPyp-hJlElSvjQyEIAnITw,0.30229936729936735,2017,5,63
7Imxo8S0M14e2QTjpn7FZw,0.12466931216931217,2015,5,99
kAviiRQssDuPZo2Kr-YYzA,-0.09821428571428571,2018,5,0
znykXfv2yUXdAp-zrd5Idg,0.1273446573751452,2015,5,9
4Pdsn0SWKeJktDqEuyFX2Q,0.09111904761904763,2015,5,108
aGdwWCiFuMDOAsImj5Wj7w,0.2411398350077595,2016,5,0
0EL-Wqmsq5azXzNx8OwVSA,0.31549707602339183,2018,4,7
b-v0QZFGKzLzPtq5Tz9_pw,0.20555555555555552,2017,4,33
-c0Htctyt9-29FZ9W4NqOg,0.209375,2016,4,22
UHyW9YxI4cKVTsrZbnI6oA,0.525,2016,4,77
g8TULkLdF59PlsKzuzJVsw,0.11512345679012347,2015,4,0
Ur9HOxmvYN-reQjo3JSojQ,0.4032665945165945,2015,4,5
hFK6IgGmxdokbg_KNvLl1Q,0.8000000000000002,2015,4,33
0BecKlmLXMKjl04Rruwrgw,0.008052248677248667,2017,4,3
2izGn7Qj67HW9f_CMpi0lQ,0.2628003747795414,2018,4,70
TXwb0d_3e-gaDOhogK_vSg,0.15592834654522966,2017,4,912
-E4PH3xqjaO8VIZS3Gb5hg,0.15258704557091657,2016,4,13
EJ54alTW_GTZQ5EAuXL_ZQ,0.25753968253968257,2015,4,10
eMaoFrVCN2cW9C_eTnk7OQ,0.06736111111111112,2018,4,1
MQpSLTPwIayxGIXrk9CVhg,0.18601851851851853,2018,4,34
2e0EYNRSL5jC5eudJQuoBQ,0.2118055555555556,2016,4,22
19H3KgO6UHhPI1dhYuTLMA,0.1759714873603762,2018,4,4
W8JwRRyO_PTemBlD5XKVkQ,0.3198621553884712,2015,4,108
ImiMRFGshdnIg8x_pXLXbQ,0.4826530612244898,2016,4,38
pKy7_f6Vu4A5LqDmcUJYGQ,0.2744642857142857,2018,4,12
jx20TMWoUaZQ0g0glLfOAw,0.3122222222222222,2016,4,30
Qo548Hy_RWuW2tdHmfmi3Q,0.15972222222222224,2015,4,109
xam67BsOh1TXL1EjhoutTg,0.2830509768009768,2016,4,30
WTD_1xkA7yOzpHzbYSY8qg,-0.11295518207282915,2016,4,48
eDOa074fnNPdG2snVbRDKQ,-0.16576923076923072,2017,4,21
lFiITalEB5-OF6X7qOHuoA,0.3194444444444444,2018,4,88
rzi7BT5RMJSWpJ-Js-jyLQ,0.5666666666666668,2018,3,39
-9sw8ymYGkKadqn0fdl-gg,0.10916666666666663,2016,3,0
sejNK8DexG_Ka6I8gxM-Xw,0.11025252525252525,2017,3,49
