review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Y4-2i-q0mLZ_Hs9XZozhYg,0.28753047718564956,2018,59,713
L7FqiWYA8ZBIiExZ8FjgJw,0.1607638888888889,2018,30,240
hTwn78xvYWdpMaOMnRHd9w,0.3650568181818182,2015,30,155
xgPnZQvkukvX35xrB6pFIg,0.17890625000000002,2016,26,451
eZgILbiMqWroNONsNVtWIQ,0.2785,2018,15,52
FBr_lDWGDX9Vu1iuS71MBg,0.0896042471042471,2010,15,551
XeODGt9LImOf_DQm0YeZxA,0.15805835010060365,2012,14,648
gKc845LxaLKjZWoFJma3zA,0.203125,2015,14,193
nHwwb3uMEPtlqSOsDPiZAg,0.2887755102040816,2016,13,23
YS3A-3FxSEXdsirvoA9CCA,0.2484722222222222,2012,11,58
WIM2OhhzuEWghJBQj2hhPg,0.09699792960662525,2010,11,60
wJvDuxT32SkjbtnWrvl_0w,0.35664983164983166,2009,11,894
UoqbxqTl5-EE2nPkwe_56g,0.27466517857142864,2017,11,51
DQI-cpRqZNgNKoIhf7Xr2A,0.32859730848861285,2012,10,144
T194wVIufUfPuK2ziQ5bbg,0.3504135338345864,2013,10,78
XTR3AlQQ4yI3ySH9MAmfgQ,0.2574233058608058,2014,10,193
YQsWymc7MO4CIQT40a4F7Q,0.28067005458309807,2016,10,0
VBlpJ2JsRn6iE0-3y6yQLg,0.45763335622710627,2014,9,34
OtPWoX2JcyXHwW9E5-hf2Q,0.366875,2013,9,45
b2-7iF9g1GNWqca3oMOWfQ,0.237921095521542,2016,9,42
NkNsmYRUY_shH6oWxFEnIw,0.28030790441176473,2012,8,35
iC4aLSn0wKRqW0XbGW7tlA,0.24085833333333329,2008,8,1094
lBqUCEdIwrYMqORRwMF7Sw,0.291530910609858,2016,8,0
T4PE5b38nqrbbpIiVBCuqg,0.1636363636363636,2010,7,94
sFa1oBjRiD1KD5sjt0dz8g,0.260625,2017,7,76
DOVvnf6q44a-xI4JTlR6Sg,-0.08937499999999998,2014,7,0
VkJ9DiVpb9s3jPwn-DwHuA,0.12904491341991342,2012,7,3
o_udSvAyACmKImPHY0MpHw,0.09679487179487177,2008,7,8
QPZUlhkQ4u2ogcvWQXZtEQ,0.04301146384479718,2013,6,3
FG99QwrR-ECISPFY1DFcpQ,-0.03838965201465199,2017,6,37
ysWydIYR-IqYTEmSpk36LA,0.25,2018,6,17
AaIRofICobynVPez1GPScQ,-0.01109307359307359,2014,6,11
N2DgFn9Fha3EQDXvDYkRiA,0.06813888888888889,2018,6,14
FHwDduQ3hxCK78xAKOiSYQ,0.204954594017094,2009,5,334
EpeWh2W69YF8VwFK6qubwQ,0.2616792929292928,2013,5,70
V63gLTzzESfpz8TSwHV1OQ,-0.031013431013431014,2008,5,73
o2EtNUrOORZb1dHAdrrm0w,0.06309027777777777,2016,5,2
G5RCpENO014Jp07ztGsrKQ,0.40566406250000003,2016,5,0
UMPOkjbRU0WVTpAnW_zD1g,0.03444113756613756,2016,5,23
sHwu_wSdSoBxX_k-rHR-LA,0.25166666666666665,2015,5,40
0seNKGjiObFzFnBYV1nBzA,0.38499999999999995,2009,5,105
NOJx9NOhPbSKZ2hpTYSuCQ,0.21371693121693122,2016,5,1
