review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
F6roJbFAGNkdpu7qCIiddQ,0.16336206896551725,2017,33,101
Snazqohl9_H6M07zXKg-Aw,0.2582824038706391,2010,24,262
aLFOclwDt4i_1au4mXTgpA,-0.07149068322981368,2018,22,448
4Dar40YxYv-rfRRUfdPcVQ,0.5596223958333333,2012,18,35
2dximsI3IxvYlx27R8Mf-g,0.07071428571428573,2012,16,27
0mDfTp-rTAXM0HJn3A5xJQ,0.1468064657055483,2009,15,61
zt-SFOvwa58jBWtvXJwZrQ,0.4001838235294117,2013,15,193
b3AZiPM8Uv2UDjGBTEwTow,0.2818146718146718,2014,15,83
BPQnqug6aYmfwynwSIjZFQ,0.249448051948052,2009,14,7
X35vtV7NNl8HccTt-NzlAg,0.10045454545454545,2010,14,162
px099UFoDHCvrc1A9nt2rw,0.41909722222222223,2012,13,262
DjeTQomnSg-mnc-TNG_mnw,0.11004578754578755,2009,12,5
rHNU5u_ki3Cn67X18vU1sQ,0.27329782196969693,2011,12,78
vYf87NTXNjwDKUCOnJ6mKg,0.27800925925925923,2017,12,122
v1UE7UuIIOJoo7KC42TSHg,0.43571428571428567,2011,11,162
NmXzjan3sdcRUyIbmbw5mw,0.3812500000000001,2010,10,156
ZNburyfT_2HSCbOOEsksZg,0.05634920634920634,2014,10,73
K9O3XSi7wiA8L-VMD4g16g,0.1683333333333333,2012,10,85
KCake1zX5P5pfPKSXQ0e8A,0.3888716356107661,2013,10,78
ZMHhz6wo0m8MPodln7aYEg,0.24615384615384617,2017,10,41
jxbHbnZB3WyEt9LM_7sLpQ,0.1998968253968254,2010,10,47
QuEC_4utir1nMsRJoFCljQ,0.32666468253968256,2009,9,32
iSdXswO46dsF6KGgJbDsUg,0.20349025974025978,2010,9,124
H17SBjqMyNOwCLl5HBnjAw,-0.0313031462585034,2017,9,12
PnWFTlML_8Lf6J2rR6oNQg,0.18194444444444446,2011,9,63
KmryzulkUcIf5p-Eo9K-Ug,0.21078262786596116,2010,9,48
i6FdqjrnRoGrlOPBnrAJWw,0.4751190476190476,2016,8,36
v8dky-Z3pIjIbWZhR4a0pQ,0.31862745098039225,2018,8,46
GekrbdQSW1cgwsyGkvHg3g,0.23849206349206348,2010,8,46
zVVAGVltxrmWxucmoxYm3A,0.06553030303030304,2013,8,33
f_ZHj6KzgSW2Un1eSEzyyw,0.08960227272727271,2017,8,1
aai0Rv-g3p9aXMfVtkSfZQ,0.13432224025974024,2012,8,47
sCWiAz5Ig_-Zpo1tRh06pA,0.14299707602339184,2009,8,87
SKBhdUCUX8Ha_CYZmTQt_Q,0.30594780219780215,2013,8,37
43RE3rsDCcaMLkb6-XqdEw,0.11708333333333336,2011,8,69
_buumG_W4n5532iEQ3uIhw,0.49166666666666664,2012,8,57
_e1iih-o_OIy7mdq7tGiWw,0.252962962962963,2017,7,23
M9UBRo0X9VOkQNmu_xLZGQ,0.22597222222222216,2013,7,136
FVX21gXGRuJPnLi5WYfxIg,0.21957070707070708,2010,7,8
_dBfSmBkZNmITy3mY4I-IQ,0.16896666666666668,2012,7,47
jn6LUuU4Y2AHnvtoyagWNg,0.09611528822055139,2010,7,23
bciyg4c8rXOCTq3LhZB3Qw,0.31885964912280707,2011,7,110
G0IfhszA8sXm1leGOfd7yg,0.5148148148148147,2012,6,65
lyKUV32IGmfekTp3eMRWdA,0.5857142857142856,2010,6,43
_c451sRWQVy6K9qYLBtctQ,0.07595948827292111,2009,6,12
f3O5g3z-zztdwWY8dixhjA,0.22270114942528735,2011,6,6
Ukq-NxiHn4-OJw4vUMjm1w,0.545,2010,6,105
EVGi0VWtoVAH68iloxk3DA,0.3517468944099379,2014,6,14
fbFAdsz2tbcZUxf1KI2odg,0.28535385745207176,2009,6,15
J3YguSIWKNRmiZXqBw2P8g,0.2796296296296296,2013,6,33
ybu9Z6OQ0ietiSM0xJ-O5w,0.12779356060606065,2010,6,16
anWO8u3h7Vh5p9KyRRVyxQ,0.15668225623582763,2013,6,168
XuVHQhAzvhUc4K_Nq5G99g,0.3040700483091787,2013,6,82
Dcps3-CRT04JPq4J3Yw4Fg,0.16472222222222221,2013,6,99
aZ3iplnWcs9dM3nt5wMRow,0.0772793263646922,2015,5,411
meo9e2A0lbxCVSuKZWc2LA,0.19017620400432897,2014,5,70
Z0Svx-Bf3Ra0_lmtQJp26A,0.27268907563025213,2010,5,125
3ILtvFTmt6s9vyw-X4tAKg,0.19074074074074074,2012,5,80
Kk540iA_Cay0mJpN6lMKtw,0.3320332532051282,2012,5,60
yL1V3MLvSXv2ND6RcBOkjQ,0.27546008795309174,2010,5,18
77JCuLO4GFT6EbkKbejW2g,0.445625,2011,5,46
aA-r1QRBdK0PrPlWwTufug,0.11355042016806723,2015,5,72
GmgsellKPvmjN007x-fK0g,0.2993650793650794,2013,5,14
oGTLdxq52D4cqMdTS7EsXA,0.285752688172043,2013,5,123
SsHDdSpGX0tL_tNvcnzLtw,0.24058123249299718,2012,5,124
mlWHv5sTSDQkM630ViUzhA,0.26416666666666666,2011,5,16
EjADyISeSRKTO6s6XeRepg,0.2456845238095238,2010,5,36
0qZUikYTr6sz-On-vYPr0g,-0.01336996336996337,2014,5,19
hxDTVmdbIi_diiYhdI_reg,0.29598639455782305,2009,5,12
J1c242KwauS1KjlIkKWtfA,0.5011243386243387,2010,4,32
N0ucCLWIOxYVwgaX-R-Img,0.1642874053030303,2010,4,49
5BUWTdjknnTTDVKCWbxe1g,0.1652958152958153,2013,4,69
LjZs693La0RLTs_a-jha0w,0.20000000000000004,2014,4,4
cuonARRgxGFbqTkIBhANpg,0.08085937499999998,2009,4,94
GHfbMDpcE8aMvheZPQ2N_A,0.24892266824085005,2012,4,0
82Y-n7EncUTyrPsASu_1XA,0.16097587195413282,2012,4,73
l5zJckfzNccE8dS2guI6jw,0.2245098039215686,2011,4,65
aZSrlrGYvMy5d0mNk_I9iw,0.13035714285714284,2009,4,4
DE2aEs5LenDTlcgbQDxFyg,0.4484422599005934,2013,4,41
T0VY1yZ4_-TyQKtEPegKiw,0.2922864224253113,2013,4,15
NL1J8Gup4KWIo2S8vprhsA,0.21304840992340993,2014,4,0
4n0Vykf_BXw-LOFm1IiO3A,0.6524305555555555,2016,4,70
5Li93ELHIuuKGEKHcWgXMA,0.26385416666666667,2011,4,75
LISxwaXnTr-Y-K0p7GPqVw,0.21916666666666668,2018,4,16
rlMHhazChhhhTWz-iDH0oQ,0.4895833333333333,2017,4,0
-Q1oxySRp0DadwyhspaoZg,0.2968181818181818,2014,4,3
EY06OqXFF-CpX7kV-bymNA,0.001785714285714311,2014,4,24
P9jdADOh12d8wtTi_jKsJA,0.171875,2013,3,47
SWu0hiK2lA44XOqSELCY_g,0.24890109890109888,2012,3,133
S3iCl5qHxefXUd3r-fRc6A,0.18591269841269845,2009,3,28
T7j5gOIzIMIuMOes_bUA3g,0.22062500000000002,2014,3,0
B9y1O5NQyzanDK3Tf7e7uw,0.3984375,2011,3,4
ta7szDijGEbQiv3iz4_EkQ,0.23434444444444444,2009,3,7
SdvRfdxxiawyr02UhWSrgg,0.76,2011,3,1
MHARP4mKWbVC3aHHBxNCuA,0.3375000000000001,2010,3,69
tUVq73SObM37M83XQpSlUg,0.20894047619047623,2009,3,8
GndPE_7TbgX4eZ9gyeKNIA,0.43420445261437907,2010,3,18
riUDTQZueTMnY8KryX8rpQ,-0.4285714285714286,2011,3,46
eCvTy_E3HrgZnPGrWmZ6hA,0.12097069597069599,2012,3,5
RgaHzfns7tgYjax_7Lv8-w,0.30375,2010,3,5
ZyHpGR7n822u39Wt1yoiDQ,0.3730654761904762,2010,3,4
hhCx1NnVprFGLt37OH6MKw,0.27028439153439154,2009,3,8
ygVh7mYooJFU-5N_X1Xc1g,0.3071428571428571,2010,3,3
7bNIg2GzO3w6xc2n0Bq2Mg,0.13452380952380952,2017,3,14
KpmQnd8bmZtZA23aBTVjJg,0.43125,2010,3,0
oavRyCWnsMXs1c8JuDbMig,0.4894856770833333,2010,3,0
V9wlU-3tQ54pmiCQWRx7Uw,0.30473333333333336,2013,3,90
hp2kJVDWyCCvURp_HO4ICQ,0.17142857142857146,2010,3,5
ed0lTZg6NCEihLrQQbrWGQ,0.14610177404295055,2014,3,2
fV4DRu5PKukYf-2TOEz58Q,0.3164847883597884,2011,3,8
j7vZyujb6cTcGGyQlNvnSw,0.2665291305916306,2013,3,31
oa1JX_VzY0BeO3MCtpxLrA,0.2974747474747475,2014,3,17
tULtD4cxWK1Fv85FBFj1PQ,0.0767365967365967,2010,3,77
fwEV9m2nCBczkR0x4sZ5Eg,0.3235238571797521,2010,3,0
4aUkBHZhvChyAqbiCQBluQ,0.1282113413547237,2016,3,3
2_BubgKqMdlCyl9Zp0SLaA,0.5026923076923077,2016,3,8
2MnPlaY7AaaKqVmtTykIcA,0.27663628472222224,2014,3,155
6_UmV_-rPf6TE5eiHkLzWQ,0.2520945945945945,2013,3,29
nc0W7nJWTG1kalbGlk_yKQ,0.3596878121878122,2015,3,4
E-xTI5I0g2_mPqBdrcXZAA,0.16164021164021167,2013,3,102
S5PEuZGmUOHBPY_FEcmwtg,0.3263157894736843,2013,3,43
sj_C64LYT66Y-LHx50qt3g,0.343125,2013,3,14
jTLCtj7bC3zpvz5erxfxOQ,0.4666666666666666,2010,3,8
WqVUczlT1BCmWLC2GBYtdw,0.4067860633989666,2013,3,0
ncnl61cRsgxjb5DAuuGMqQ,0.4108974358974359,2010,3,12
SMpBl23OuyGoC4U3jHA2eA,0.4946581196581196,2011,3,6
ysflr0G3v0YOf4kQY0dWDg,0.33774509803921565,2017,3,80
bdCjNKig4UEOGtRV_7Xnog,0.35470588235294126,2013,3,2
BmONtOua9xs9an6XjLeUHA,0.3587320963541667,2012,3,11
9RO9tQJEcWZuTjJRzP1xgg,0.33571428571428574,2009,3,67
7sJ7ZHHYu2N1X1Eq156mfQ,0.19437421837421837,2010,3,1
9tUtEkxPUl2aRy3M06npxg,0.5714285714285714,2012,3,5
TwjU-ru5cEoLhUGzQNsm2g,0.21949189095928223,2012,3,7
B4Nv6vT9jsznIFOSaPIhDg,0.40116300366300367,2009,3,6
RTqNnK7IrYfS7WKyvHvl5A,0.365,2012,3,7
LowQM3MkfLBBlGodggHQeA,0.33555657305657294,2011,3,4
BVleqv1SlFUdVdIYYl6d2A,0.2537223947550034,2010,3,2
5SAsfIhijmG_eMndtBEosA,0.22875192604006167,2009,3,21
5A0ZfYDFcwvAQjIL390ICg,0.3490740740740741,2012,2,132
qLoZgHGJavPw53Ar87ii4w,0.4625,2010,2,4
AfdQT8hXqi0cjKlttMMEiw,0.2791702741702741,2009,2,1
MUFq_BraUrIShCqnVIKloQ,0.29230555555555554,2010,2,9
BYF-CdGc2eC40-5KvZhePA,0.6041666666666666,2010,2,103
Xtezhbsk_3EuFyY1oAnyBQ,0.1106182795698925,2012,2,5
4jn4VaGLAZ58GYPLSQtrfg,0.1457930179576521,2011,2,24
cuXCGigKGGOQ2uR78oC6kg,0.22230392156862744,2009,2,6
aVIkbJrgpGMURwwdY3MEEQ,0.1619047619047619,2018,2,23
J8yJusiOyTh4ysvvUgSGJw,0.27075714285714286,2010,2,14
u0cQ81rlnMqY8qGmZTLy9A,0.3450501253132831,2013,2,0
HVlm8sCS_0LCAueBfBNoTw,0.2652777777777778,2014,2,41
frWkMQOfQ6EsEaWohGf3bQ,0.4072860962566845,2009,2,11
36B5BSTWQNXWuhBluVBJKw,0.2830357142857143,2013,2,47
HnovHsp69VRuWd0QO_zs9A,0.23396214896214895,2010,2,0
jS98KHVGzO9wLS3ylwP6Mg,0.4825757575757575,2018,2,52
mt3TQhaDbFKNIjVec_0o4Q,0.20021524771524774,2011,2,14
PPXINqLiHzSc8dfu3F7IEA,0.37023809523809526,2010,2,31
ElRB0QU2BtqpLBh_sGqaFw,0.2603333333333333,2015,2,79
Zo-S1YQRnpnaapZkVJvjwA,0.3389423076923077,2012,2,2
wYwnyYwJVGo1wWKlBEho7w,0.534375,2018,2,25
QN4dmFI8t6JE9sHKJOHn-g,0.5372222222222223,2018,2,2
9Pm_Tha1iwWpqG8N04Tuyg,0.33208333333333334,2016,2,0
WjiF98fSc83BSxmNLiJCow,0.44330882352941176,2011,2,7
s4VJu9j_IeLCCK_1OPNHEA,0.18518518518518523,2010,2,41
kcp5S5fvCQv_HbKcF_MGkQ,0.06375,2010,2,24
KbiTbuvjyjqd7OD0Vey8vA,-0.05925925925925926,2014,2,24
QP-ICsHAQ9CFX13L44IENQ,0.4014880952380952,2010,2,7
CoVDYlxGgJduJQ7aWBvD5A,0.35882352941176476,2013,2,0
IcaHbSa0I6-XFHS-x_vOhg,0.3573955296404276,2009,2,8
pHTKRtbOHlvBOhZuZLkj0A,0.3269938394938394,2010,2,69
NzMWRGQke5OVOUJgNGKxHw,0.4098148148148148,2014,2,23
5eYc44c7fT2fVt3wJly1aQ,0.46049382716049375,2012,2,2
IrGAlc0w3x-RO0uoCPFADA,0.1511784511784512,2013,2,4
tS5sTiQheVdPyUoUrxnx2w,0.3178030303030303,2017,2,0
9tk9nPqrWNCl89G2qF9cdw,0.3135897435897436,2010,2,2
pM4Jk9mzmZDUXz9fX7ST_w,0.13333333333333333,2010,2,4
OR-M6ewVmjgwj_fBchl1tw,0.23593750000000002,2012,2,0
RwOh8x3JQMQN_TsHPiofPw,0.3333333333333333,2015,2,4
fWuLpREiDDQT-bdXSsATvQ,0.4223684210526315,2009,2,7
S9PUFp-sntixKa5heGHOsA,0.2544871794871795,2011,2,1
AQeeU9px7OrfADBVw9wi4Q,0.26334706959706955,2009,2,44
8P6VCAL8FLjG4xpGA2CZCQ,0.2212962962962963,2016,2,3
iSu5GFWus1rC7u2tnNiSpg,0.24396135265700486,2011,2,27
JDfJrkY3MuXSZ6Vk2bpaAA,0.26404914529914525,2011,2,83
it_X0A3iY9dPM7yFI3nSVw,0.3588257575757575,2010,2,24
N5Uw8vJl8o_f65qRKmB0Ew,0.15961008688281414,2014,2,6
mDsV0py9RVaQJY85w0XcnQ,0.4532467532467533,2017,2,1
E9Y2uaMuF_tGEY5YdNj6Yw,0.17500000000000002,2015,2,0
sllpAZ_FA_0jHlMg238nWA,0.3075595238095238,2017,2,3
ydxsQf9_oOcI-lOW1l4_ZA,0.1203125,2011,2,24
6nt2JH0nHYUhfB7WBOc_Kg,0.35989583333333336,2012,2,0
EXc0TEI1y0t5kmL_u4R8wQ,0.29965277777777777,2010,2,2
qH7BFC3BuUtBq3ZGSa8qQA,0.18928571428571428,2013,2,0
dzv0gVqpaINUa02Di8KkLw,-0.07613636363636365,2016,2,0
dgQR3ywPpsnT7ebqkdcimg,0.21791666666666668,2012,2,0
p6S7PtGgUmWeCqJDM7EAOQ,0.38068783068783063,2014,2,82
3yilhds-QErtxyWTBNrHjw,0.22833333333333333,2012,2,2
T-RKiLo-jIzWDnJUNWUbfQ,0.4008333333333333,2011,2,2
C93znEntlkZ6A_d5JZiSgA,0.405952380952381,2012,2,30
M-0StZntmSg9Sx6HWzbaSA,0.31025678866587963,2011,2,21
LRJ48UYN2cP8ubqsyauIaQ,0.381801948051948,2016,2,0
aRS79AglbXXRi5O4zQarSw,0.1646186440677965,2009,2,23
6rzg2TgGb6fqdqa804CpWw,0.27658730158730155,2015,2,11
c6-fiXalXBcdgA_yje6GEw,0.3658854166666667,2013,2,7
C58omik7vME2QqlbEy6n7w,0.4250744047619047,2011,2,9
0LBsRr9gczXxfOJr55NMZA,0.19875,2011,2,3
7e4KrDTVzc7d0s-F2goQRQ,0.2211392773892774,2010,2,0
hMeIZ7fjwfkuuXw1Tmcf4A,0.75,2012,2,4
KBx60saJSqZDLbjmsFbAMQ,0.29375,2011,2,1
GMxGRjfKXfGNKSMKkxPaog,0.03844135802469134,2011,2,4
QbbL03DhLIqchmwk7sz46A,0.53,2013,2,10
TC094SygqosMgA65nEpchQ,0.4257450076804914,2018,2,3
PY-D90WB4V134hLVV0PQJQ,0.24000000000000005,2012,2,0
NFtjbrFfchnFNQw477sTTQ,0.31999999999999995,2011,2,0
LEO1URGZY8cyavHBXLGiwg,0.36,2017,2,6
W1xODf6PuKFLxt3wby3p-w,0.01944444444444446,2014,2,4
vJILRrhP1dwmTv4lYhjRlw,0.1268783068783069,2010,2,13
J4iHdHhg661bJh_3FZ8PYA,0.25747294372294377,2017,2,3
gdbSUwkTndANtaq7s2jnQg,0.33410000000000006,2010,2,16
Vz77L8mkCGUj6uMNOYgESA,0.16624999999999998,2016,2,17
vHdhvqPYO20CyKCzuVPlnw,0.2605769230769231,2013,2,5
J6oOZedCXVNyQP3ViC3A3Q,0.3770833333333334,2012,2,1
kEx5uAfTKvh4e52TElGaqA,0.109375,2015,2,12
6mCcWcfqBfWTWIKZn-ZPxA,0.21071428571428572,2011,2,1
0tB0uqgtjsQqDZ_4a9ZPqQ,0.34375,2014,2,0
u3VJf5okqz3b7QSXRAdb3g,0.298046875,2011,2,12
f6X4KtlTrNfKp5QSZx2svw,0.4766666666666667,2011,2,15
dj1aR7MNy8inHfy-BaIr0g,0.3425396825396826,2016,2,0
UjuMbkRGMctSbf9Swn94Pw,0.07770655270655273,2009,2,2
_Yj0BGyhSia1VfuOryZAWg,0.75,2013,2,3
86hZZZbfW_TOe3Pa3vg4gg,0.2216145833333333,2010,2,113
dsbaeOGOQIRL0RQFsXSRow,0.0726190476190476,2011,2,2
dfIvzl16Mu2TOXiqcau8Ow,0.19684150725817387,2016,2,45
aFYTnGN-sz7SFN9w_51K1g,0.34161783854166666,2016,2,37
Jn2bw8yZee_VAPtrypSBsw,0.26904761904761904,2017,2,0
pSMPYkAPx3jq0DXYjVArCA,0.33041937229437235,2012,2,0
2L68mPtmtSRmtP6Pvh4hbA,0.20687830687830686,2013,2,5
KgOG6N-FX1ZOHB73-pLX4w,0.29732142857142857,2011,2,0
4lah2xn_FG_7tFsledCiEg,0.11000905040378722,2012,2,1
tJZ9Q5AdP9aMeG4jlKzQ4Q,0.20078046953046955,2012,2,1
sb3eGJ9B7zQF0Vg2ifLwWQ,0.0787878787878788,2012,2,5
hs-t5-vI6VADgdVX-vD48A,0.35755208333333327,2016,2,1
kZI7FpThwCD161iUxH0AFA,0.6584615384615383,2011,2,12
2Ds8ydBpZj60djLqoNufVA,0.19633699633699636,2012,2,3
WV5vFFC54RS_Aco5ZAQq7A,0.5151785714285714,2014,2,2
9oUcm6wKmXbfYZZ5ZqY8GQ,0.2246533613445378,2009,2,7
c0s5aWIP9A4K73MVuR3ePg,0.16575091575091577,2016,2,0
5bxoxUrzqFxIyrqmvgAvAg,0.18198653198653195,2009,2,4
NGQ60NUqJePxSOETxyrSXw,0.5275000000000001,2012,2,5
f5KzxBkgOsUUkxoGFF2BWA,0.2649659863945579,2009,2,12
B6Yua_tyBa8NKxqt-Rrdbg,0.19753289473684213,2010,2,0
