review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
PXA6z8v21fi32CTTBV8XYw,0.2973787878787879,2014,64,697
8540iW9t8HBhK-rE2LF4jQ,0.18108024691358027,2017,38,699
E6De7BJwYlHaoZxbzB77pw,0.17607326572604348,2015,35,540
uDJtljrpwGfPSbVLMknlaw,0.31424107142857144,2015,27,328
4ns_f2pCtW4RQrKH3kcoyQ,0.2510869565217391,2016,25,16
lif7hkDNeyIO3qo9GOplag,0.18595833333333336,2015,23,344
QJBZbreid4L3inZh6pOIyQ,0.2863636363636363,2015,23,544
5aLoSLURtfpQO_S1cOSOSQ,0.166577485380117,2015,21,148
WlAVi9oiARNDrePQyZCXuQ,0.24098958333333334,2015,20,376
AHBhCcrxt4nbps512cppwQ,0.31424107142857144,2015,19,328
hyGlEzW_MblDyOIyt7HHgQ,0.2123273074661964,2014,18,319
IrVW2CFq9JGVX3cBlNSxnw,0.03688230008984722,2014,17,111
1txmcQZqUYmOOBak7biOJw,0.26929945054945054,2016,17,262
MFSFcOwq7UlFhnXzrcOv_Q,0.1473809523809524,2015,16,641
GuY1hAWuhTY8QBNEuJEHqg,0.12086956521739131,2015,16,121
ofOP9coopbNvSTic3AsDSg,0.026351494034420865,2017,16,79
13uVendlEsdm8_9k6MfZWg,0.23100529100529102,2016,15,88
f86k1ubILV9p4aHkQQvuqg,0.30990773809523803,2014,15,166
-9kpos1t9P5YbJMmUp5IRA,0.1637820512820513,2017,15,49
cCEOJTbstf67Ah_ruvEGmg,-0.02351190476190476,2014,14,26
cqTl1Kyl2Ovkg4BgHQG-dw,0.03357142857142857,2014,14,251
T0_sWnWJAYtuADzo7aCspA,0.2556111111111111,2016,13,79
l8dxuWZjZ8iA80Jw0AI41w,0.43961190476190476,2015,13,150
jB4Q9JEGGB4XPqc0LwAEmQ,0.17526584974165618,2016,13,127
zHm3QZqf2xRDALatn8ubzA,0.18265909090909094,2017,12,64
TsiL-EFrJCCbaE62hFsOkQ,0.20628921012849588,2017,12,149
s5TEDwF6bQP29LwsodOTMA,0.1850140056022409,2017,12,33
jqhy1ntqrsDI4E5owfSzrQ,0.11206582633053219,2015,11,912
aY6t_9L1SOxXREWRp6virg,0.30738095238095237,2016,11,112
UZwaIWkX8hGt83_35OY-qw,0.3369714285714286,2016,11,218
6v9Zh4RW0wmgyr9-IUDqOg,-0.03000000000000001,2014,11,0
W_4Ek5u_Bpbm4UuonFrYrQ,0.36346706864564016,2014,11,99
ZXuEX152KBOaHub_ZYti_A,0.5689393939393939,2017,11,150
7h_EoPQh-9HDrzQvEmUgRQ,0.29332983193277307,2016,11,124
NtN608mIx5C2dma21cTMVA,0.19789802789802785,2015,10,88
80MaUzYSH6CGyPb8y1mh9g,-0.14358974358974358,2016,10,166
UHVYZeSbHR9YIcOzyA6qBA,0.34004629629629624,2015,10,99
fNdZkMAAm_4fga9rERiJ5w,-0.052777777777777785,2014,10,26
SOmm5piGfIOQi58InPvoXw,0.4288335675705468,2015,10,150
JtZ6aWAhNbamd4cqL-x_Dw,0.11226551226551226,2016,9,407
l8tllOjU7gVsdfQg7IOppQ,0.4144138755980861,2014,9,61
XKjvms7X8T9ovobRM8MmWg,0.12035714285714288,2018,9,39
o_mbK8eiDt4J0lFuAZyvxQ,0.46883333333333327,2014,9,12
b5ouvVKoLPec5WjqjaWOvg,0.07115384615384614,2016,9,58
TSgXsDnBDkoBtfuLGkjV4Q,0.07083333333333333,2015,9,283
E5a1xN7H53P5jx9R3J_rpg,0.2945859538784067,2015,9,124
WwBO0Mr5USUQgxbPVaHuQA,0.3592985284391534,2016,9,48
Tus1MNhxDGZuR55rpNsTRg,0.1285972707847708,2015,9,88
9PmJ62DoC-XL4o9y_uqDpg,0.3441488921957672,2014,8,2
ts_PszjyVkaWfrjEB4COUQ,0.3245454545454546,2014,8,1
6q_NfpgtI6PV0pr1oDd19w,0.07350970017636684,2018,8,1056
xsfkNgfDsyBxlAeXs-znQA,0.29551724137931035,2015,8,121
APv4t3eGLxiMy_QFO-iTpA,0.2837988604532722,2015,8,61
ya6TK_EKlAC3MZxEFe-_Fg,0.2132142857142857,2014,8,114
OATL6qBaWpAhWWkDv0sEug,0.23697638146167557,2015,8,17
ePyZDpNetR8dKoK0Gdai2w,0.13287574404761907,2015,8,33
_8tq2BHH5USOQwztbNW4Sw,0.26158963585434175,2016,8,31
Kz1_yPgQZICJurSgqaiCNg,0.24671296296296294,2017,8,150
7hLY-1deP0E8gwgs8FncTw,0.13666666666666663,2014,7,1
oYYAkT6nQN-knK05wPxTqA,0.25189229024943316,2014,7,2
asVLQgwC4Q6b6KAFxGBLMA,0.18126984126984128,2016,7,29
0zKd2vV6BmiIhKjqOABYXQ,0.28676366843033513,2014,7,0
tKxyuJA1G4LcAPys2NoD5Q,1.3216940769347101e-17,2017,7,154
2n_5SL9e7qRf_T1npSZlpQ,0.15404040404040403,2014,7,0
BX7pJO631xNiZz8PAugh7w,0.1940956072351421,2018,7,8
n5U34w2Btm-jqNEn7BdkBQ,0.40459821428571424,2014,7,1
xa4eJXesvz3pXZX0qZFnfg,-0.20769230769230768,2017,7,43
mkC0xMSqSID-3d0ukijjAg,0.27891081871345025,2014,7,262
REhiqleNyRKa-4l2ZN-GyA,0.18407995296884183,2015,7,79
4JiexDg_GZm6LEFQFkS8vw,0.16748511904761906,2017,7,69
ooH375vgZlKYkwM2zJVbjA,0.24793650793650795,2016,7,154
