review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
ni0SM2KktgVztBYz57Mjmw,0.2304032387365721,2016,23,168
VWpml0_W13HyCgZb15yDwA,0.22797146636432347,2011,21,262
PQp0bO3PVwT5fsaBk2cizw,0.18038854149965255,2018,17,210
KQ-9cQb-fRiJV1SKkF5ywQ,0.16541998053625956,2010,17,551
PB6-a0xoQrggwSNoMRyhFQ,0.16636519961519958,2016,16,47
SSeXUr2ETGenxeD2Ltc3Sw,0.26782945736434116,2014,16,7
-Gt3EFeklTE8nC_VdFoXUw,-0.11603641456582632,2017,12,1
57Wuoluxh5ZmG8k0DVDMww,0.08176406926406925,2009,11,5
r52o5OaWxtJxuP9gRBZYlg,0.34610389610389614,2017,11,70
dbXD66YoiaMTIWDTYmlnAA,0.16742642195767196,2012,11,193
ii-LJZn5x7_N3by4hbKPow,0.07888888888888888,2017,10,8
m_3jyCCMi6wrgMHoR-axnQ,0.0770061728395062,2008,10,40
ntluCV-NVUDmTWQvKDBNOg,0.10281862745098042,2016,9,0
gs1F7kqTYTUeN0c6uYG_3g,0.10493827160493827,2014,8,0
nj5-I6EBhR12JrqDCGxgdw,-0.07916666666666666,2015,8,0
S77m2LCBf-L3tVt-B5c8wg,0.15879228795895461,2015,8,29
kgqynnYtEN7-mNqntV2rPg,-0.027116958562271053,2012,7,0
_gYib8eA4hDfylSs17Zc_g,0.06671863189720334,2009,7,63
CGXoh1ojAtf5k9_KxgOByg,0.032407407407407406,2013,6,1
GlNDuT0Nn4cqfkMVnWEe6g,0.2146553884711779,2017,6,25
fIs4kZ1J2BFts4HE0wf-pQ,-0.5166666666666667,2016,6,0
WnbTa_3-ppeoVZXe4mPajA,0.2453814935064935,2017,6,73
3wlWs7XHZrccF_2XyKYf2A,0.19107142857142853,2012,6,80
L8coPPRHvHUo-edveZiQaQ,0.32875,2008,6,648
xCBUyNxISgYY4E2DUKh8XA,0.20200216450216452,2008,6,162
Spoe6XVky5uLbE6GlVDq6w,0.28120490620490624,2011,6,73
DP6xQd1--2EK1UOKv-6q5Q,-0.24517195767195762,2017,6,1
URsXrWSHlWh640yuf5UBag,0.14141098484848483,2016,6,6
OqAs_Z2xvzGPLMU-tJtBsw,-0.425,2017,6,6
tosHbEe0yaxmooXQMHRJuw,0.28744107744107744,2010,6,42
qcj8dEpqEPrBIaFexInciw,-0.10549616228070177,2018,6,2
N9LzGM1nY8FX9tHKZWrK8Q,0.38218614718614713,2018,6,9
Rvd5kQ_unswqJLAKLkH9rw,0.18106958870657502,2009,5,4
6HYBh4BiFf9AZZFtHRi9_A,-0.00549768518518521,2018,5,3
bgGIaDDaP_0xVOrp_3GvQA,0.285290404040404,2011,5,47
iavRdJkSkmGstWSLiFRXTA,-0.07714120370370368,2014,5,5
EcF36lY32T6fcdM2v4Bfbg,0.022499999999999985,2014,5,0
-a8lYFwjGn2oFn6e3j2QTw,0.04338311261388186,2018,5,0
0TUqA5zzBpj8izS96M_50A,0.2763144841269841,2010,5,124
hujjEXe3YRbvgigIod8xnQ,0.08316666666666667,2015,5,18
AzX6aFKulmH2OJQ4LmcCzg,0.26291486291486293,2013,5,68
Sauo0pfTy3KWgcpPFV3o4g,0.14709831231570353,2016,5,2
QeELu4GbDx6xj9-675rptQ,0.3354166666666667,2018,5,19
B3JY9TLOCQmGG8eg86fNsg,-0.32063492063492066,2017,5,0
EYniMUbw4tiESarK1yzUyw,0.01437169312169309,2018,5,0
RSM9gdSx9fgpNGLHAyzMpw,0.20255102040816328,2012,5,0
D3wuK16VqtGV1Li5FDuPiA,-0.15468749999999998,2014,5,1
2eRVbJk5yaXniixR3ep-Yg,0.18298462301587298,2013,5,3
CUvqkjii8bv6aiibWTWZxw,0.3598109513099748,2012,5,4
BxDtp_wjkG7jBsZYgOjsqQ,0.47882575757575757,2007,4,94
k7Ixbp08Kz4Q_o3cIF_S8w,0.17569444444444446,2014,4,0
GF__-JQdXKwzpB4g6QWhOQ,0.08134657738095237,2013,4,0
ticPh7VCdIoAdCBwLeCLAA,0.4595085470085471,2009,4,2
2aWW08xqaBnhvMPmQ64FSQ,-0.5019444444444444,2018,4,1
vwc1bPbeHMzPy_xLwntpLQ,0.20678203405017923,2016,4,4
ovMsXa5Iz_XBYswc7vRA9g,-0.08833333333333335,2014,4,1
hHODfSBbG46oBmL2fA_L1Q,-0.033333333333333326,2017,4,0
_iB3GInLq75N7H6RJ9vvCg,0.17006393989152607,2014,4,44
ky-bDS9dpDIyA8qH7ysBOg,0.15991214667685258,2014,4,0
QWBFUUl56sA_MoVwOO8Ovw,0.19291666666666665,2016,4,0
MoqZebpMJRpJSbzpwT6ULQ,-0.06822222222222221,2017,4,0
SXUzhmi6w9EAZ3cTUs89xA,0.08680555555555555,2013,4,0
UQXG-eRo2xwBC8v4Tb88jg,0.0599470312884947,2011,4,3
oUuDYor_YmStcY9oZLPCbQ,0.12641322917184988,2013,4,3
6MkTtDEdJU3c5jc-I8JZzQ,0.17230392156862742,2013,4,3
Ysp7U-spuIpvb96ii43HKA,0.3251973684210527,2017,4,9
CIL14k9no2FeeWbuzcVKvw,0.21644146825396823,2015,4,14
U1NEXOmX43RDCfwQ3VD2og,0.5147786458333333,2015,4,39
sVJaPvOgVRwK8lblTCfAig,0.2903722440350347,2017,4,76
SHeCu1ZB5WqYp-a4CE2kCg,0.4,2008,4,32
xVErQIsfuAsUgP8zxfbE1w,0.5499999999999999,2012,4,4
NXEKX6RJu-_kEVMJXRysIA,0.5055785123966943,2016,4,125
bIueT-AvcSZcY7uMgLNBOQ,-0.1175,2016,4,1
5BJdrEYFAjHvwIRzolEWew,0.169006734006734,2011,4,1
3IWB1dA9-t9tWph3uxwKHw,0.19961465302374393,2011,4,179
Jy_Tgrgp07if0mgX0a3p5w,0.16284165181224008,2013,4,6
_oRWJIm5IAJYSrDxJDpD9Q,-0.21180555555555555,2017,4,0
gJAehkJyZgdayaBNiL8ZmA,0.13717948717948716,2016,4,0
bt7E2Ad1oRoxWwt383ECcA,0.26197916666666665,2015,4,4
ezb90IvaQ4sKojatZC80BA,0.21596459096459095,2010,3,33
vlCcq2rzo-9ElB4QA7Unsw,-0.1373015873015873,2016,3,2
QIniclUnKdHIFwhy7yduwQ,0.2247222222222222,2008,3,2
wun37_GqxH2VxRfoBiTRYQ,0.060289115646258516,2011,3,14
GbyrjBUeKrQNwNaOOFon0Q,0.7125000000000001,2011,3,2
Q3AMhGmupj2iFDKyWrLm4g,-0.46428571428571425,2017,3,2
lXFgOdIvOc6kz567I_QdtA,0.20658369408369406,2011,3,66
D0O2eG3FqxzGdLh-Cc4r9g,0.15069444444444444,2014,3,0
WCf7u0tYHEMARhPn8br53A,0.0009672619047619449,2016,3,1
UwTkOj_ggZyjm1gec5G55Q,0.34084722222222225,2007,3,3
6qNzUw7fuSmhyhCtM0Lx5g,0.20985353535353538,2014,3,1
lJGyxHcp6BNBtsii6cjJaA,-0.06111111111111113,2013,3,0
jv4SldVSUV7rYcnrPXe4mg,0.21300696291660146,2014,3,0
W8jXfi1tPgtaqydcigWbdw,0.11318839075688387,2015,3,1
UEEyRC33C5c6JC8NCbLeCg,0.32360139860139864,2010,3,5
OjrM1_mIKAXihibwJ5KxMw,0.1041887626262626,2016,3,4
uYIKKcPHG1fjgqt2WUp89Q,0.36929590017825314,2009,3,4
fbSSe52TWSSFpBRwb-pzTA,-0.1675645342312009,2017,3,0
AjSKVbDLvbDztAKeKUGMUQ,-0.43888888888888894,2017,3,0
qShzzTJ46R9J64gmAhpGUg,0.11090000000000001,2015,3,0
dXrdGkG9kq-S36CjrrCD3w,0.3460317460317461,2017,3,18
Z4Gn6r07n-l0NLhVoDajfg,0.2683008658008658,2010,3,16
7ikURLFhf4_4--_QdWpzmQ,0.22343073593073595,2012,3,3
fv2aQC2omm9_aI0nZr4BrA,0.028344155844155845,2015,3,3
idxCgR2whSNVKjwAYzB6hg,0.09383835861108586,2009,3,350
8TvZg9VmqWhG06VKLT0lgQ,0.2111471861471862,2010,3,5
cJw3jISpLj0_WI215OSx5Q,0.2671703296703297,2018,3,0
FdJBRnuFn__rttqo64t0EA,0.21278082549634275,2013,3,10
DuyCuPqr2SBb4b1HYkXUgg,0.4555001546072974,2017,3,46
bSJSChmDfO9G1MnPUOQTBQ,-0.07722826086956523,2015,3,0
H2CGScDKHuo62K_ejrhjTw,0.20619834710743803,2017,3,9
WJIM7cG84gDkvOEBsct4eQ,0.34464285714285714,2012,3,3
IhgLrHIi08pouLxG4993Mw,0.08819277682485231,2012,3,31
jwGTw_vr-wlAV6eJBo0kRQ,0.15742753623188402,2011,3,3
LUaBGVBpNll5cf4LttNgyg,0.06490384615384616,2013,3,53
WlfXE0g3K97XpQ0D9bp9HA,0.18400900900900893,2018,3,96
079SGre2LffbOuLyQ1nXug,0.1882465963987703,2013,3,47
2Bv1X4HskKLVw_649xVZuw,0.1624468445386813,2011,3,59
_AifE6Ey0GeDae04QUDBqQ,-0.1416666666666667,2017,3,2
ZJ5w2kGYTvIsjcM3E-1zHg,0.23495002472275198,2017,3,1
OVAY7hB0zORob-K3Q2dtRQ,0.11697450697450697,2014,3,3
5bSDD-TH7Sa-FaMMvN6bBA,0.1206060606060606,2012,3,2
AQsEOpk8QXTvlPJu4-cT1w,-0.18645833333333334,2013,3,17
UXMmLqPg767FLzYJY4c8gw,0.2344145649036953,2018,3,4
TaRGbCAOuR173psXQOZ0eg,0.16358585858585858,2018,3,4
nLGKrsVNl6kz2twRcPPMVQ,0.033333333333333305,2009,3,2
pTPmvgNw5bz44YxermgwYA,0.051388888888888894,2010,3,21
XJWUpYI40kjKIkrKWE-gyQ,0.08318614034155328,2016,3,0
MLYAXRbxAhkLxfmpvtH72w,-0.06805555555555556,2015,3,15
SGAQwIUxQP05vsXzesu6Fw,0.3639750874125874,2016,3,32
32FugbpYYyPYw9MBIe67IA,0.18355263157894736,2015,3,6
PrxJqpyYSqZYP4enct0pGA,0.061922222222222205,2018,3,0
77tVfqbRfCU_ypABn_6DHQ,0.75,2010,3,112
bX5J6ufwbNkLjIgcxtoevg,-0.05519577149041437,2011,3,53
cgr1vvPC2UEKx8dikMkOuA,0.18614197530864196,2014,3,6
qgSWZbWpPJ6PqHG9l01SMg,0.17407894736842103,2011,3,3
YWj-FbyebqzXToSI_yDkCw,0.39590654443595624,2017,3,0
Sfu_KQ5h9uzzL25mDJAWZQ,-0.05465277777777777,2016,3,0
b-JWytylhi2h6S0J1OXX7w,0.3821428571428571,2013,2,19
sj3fsmITdiO1rUsY1UaJBQ,0.38363095238095235,2013,2,0
GHHUJbixdu71p4GP5WAwow,-0.06159722222222223,2015,2,0
tKXUjN5XqgPSUdCcEHUM1A,0.05287698412698412,2016,2,0
khjR6-pit637seVVhuF_iQ,-0.10797619047619045,2013,2,0
TXA0ZJUpnni4_TxF20PWkg,-0.16666666666666655,2015,2,1
4QoFe_TyWa96s-S-FH9xPA,0.0026289682539682446,2007,2,588
htS14bg7osNvK97PLb6Cpg,0.2488095238095238,2008,2,3
p5um_vw7WPRexSZCNTBpAg,0.41666666666666674,2010,2,0
NeYWCKqNkPqzl8WKKGxEug,0.018977488029212185,2018,2,0
RYTlDYUkaHkbRkbqGXu1pg,0.14843299062049062,2018,2,4
WohL1N1A3ZFIL5k7L-be5Q,0.15939317416590137,2012,2,14
IhuRBi3c4pN7GOThhbcAzA,0.0,2014,2,0
OgdJklYVtuUrWrotIxnnhw,0.05236111111111112,2018,2,0
MB57Gsfp8ls26l-LsZWcBA,0.15096434730581074,2018,2,16
YT_pKflolSpeBzmK5H6BBg,0.31643709825528005,2018,2,2
qRZk9STzIo-JaThfVWApIw,0.25475000000000003,2011,2,6
PzxV17W4E_Bnd8uJJK9SIw,0.17619047619047615,2016,2,0
QUirAwqyX17REZRTASjRGA,0.4051948051948052,2016,2,1
yzsftOG7ExrBIi52aSfiVg,0.10555555555555553,2012,2,6
c0YtH6yutUE_w4xKCcSAFQ,0.1404040404040404,2008,2,55
f9GBUe28P94yeaS2bT91iw,0.27125,2010,2,2
CDW5X9vgpTquYVZzCpsGPw,0.6,2015,2,2
m4RMvlnZP7Tm_7FJphFJFQ,0.625,2018,2,0
l4IfAaGtdT9O3ppxLTGwaA,0.71375,2011,2,2
4ukYQ1epKy3rFuJez1uz_Q,0.1914902998236332,2010,2,0
e3_XaZDGyYs5jTaEPtxfOQ,0.10969696969696967,2018,2,0
RFAhtAx8r3wT-Af1C_CAJQ,-0.0625,2013,2,0
PO6JhHiifEaQjO2O3O2-GQ,0.08094193817878029,2011,2,13
qmR67ipuRCiDxqnGr-h6Lg,-0.4,2017,2,0
x8oN-WwyiY3nrjMlJujGKQ,-0.36250000000000004,2014,2,0
9uEk_alRyxTvqEBi4DYFJA,0.15819444444444447,2016,2,0
t-OIQ0twjuCjFvvuYRL5Rw,0.06111111111111109,2018,2,0
k_-YiturCalZ7rQIaRo05w,0.40416666666666673,2009,2,32
7Pkva5yIK8WI3HD5mMNz8Q,0.27741935483870966,2018,2,10
x-U3KMLLnnJVgrrKXNwaCA,0.10851851851851851,2015,2,0
oZ8ZlK3qst83mQldiEIaUg,0.0964285714285714,2016,2,0
hrNHcV7ro5UPqEnqP4zmvg,0.01824712643678162,2017,2,0
OsxpI9QHKmLU0pULeh_y0Q,0.2333333333333333,2017,2,0
E8_ei-wBnH9RaKiWSAmAhw,0.27954545454545454,2013,2,73
z7Nff0AjUJ_LKrCMFFDV8Q,-0.05838345864661654,2015,2,0
PB_CZX3gMNQ1Yxeoesx9ww,0.4095899470899471,2014,2,7
buwEZg9YJbX0q3Ng439YTg,0.18484964109964108,2011,2,0
RujqdwuvqKXUP5JLK8AlKw,0.09013372138372139,2014,2,5
JZtEKg3HF-uGkmapTNZE5w,0.09238636363636364,2010,2,1
xEhrgSykG33-1LJgJ1g7hQ,0.15930769230769232,2011,2,8
Pvlw5PW8BkrqZttLjKpVGg,0.5746527777777777,2012,2,15
48ucpkZscvbtdB0VD4Tsbw,0.2569444444444445,2017,2,1
PYGLBf9-S8tKe0yyVTioKA,0.21775446775446777,2014,2,0
wEoJqGNVnVgGyisSkLegNw,0.14226641414141414,2007,2,56
AIewaw4x1WK03byGEArPfA,0.0826007326007326,2015,2,2
uyLxZgtMlI1cGs7M6BHqKQ,-0.2604166666666667,2016,2,0
KBKnqa34luYSRtC7CqwMLA,0.41625874125874124,2012,2,3
xWXn_0ja5GrkhBcdcA4-hg,-0.028512396694214872,2010,2,4
qmH-CRbb4Q-2aXxcv8unug,-0.0009206349206349144,2013,2,0
csX82zkFTSCiOmiXTQr1iw,0.3331730769230769,2016,2,7
QJsGZr5X7wNU0plT1tL39Q,0.05837977034785548,2018,2,14
dQOo6tZBO2eU9bo8l5mPVQ,-0.022222222222222227,2013,2,0
11qWKQHxaPU85vCsRpHa7w,0.29000000000000004,2015,2,0
Zu47T5TuBE_yt9AdlauN8Q,0.375,2011,2,78
D2tcpdxjqekofa-UEHrlCw,0.1966240889003673,2018,2,0
adBKm1MOffIa1B5ifLhCCg,0.30973781179138327,2011,2,31
Grwo4WJQVp2w9N0w7lofgg,0.0338169642857143,2017,2,2
hIz8Co-fcBtv7AqnALAyRw,0.15778911564625853,2016,2,13
yWwriwzuAtGnG_oOqu7aSQ,0.634,2011,2,0
m6eyqmjsn178AwVU-ZmXug,0.15333333333333335,2017,2,0
AeOXiXw3hiJcXGc3iCJj9w,-0.042142857142857135,2015,2,0
geWsd0Ap4--AVKDCdA1h2A,0.07999999999999999,2017,2,0
99HPca7gCxucbP8IUdXYxA,-0.05909090909090908,2017,2,1
CgdhIxr1_F1KntFSu8yFzg,-0.2975,2016,2,1
fciaBNVaomesY1qXBW9T5Q,0.3474358974358974,2008,2,20
uYI4irYTk6_9gWnMpzM9DQ,0.03363526570048309,2016,2,0
rp9mb2jd5NBaxm37fjLerQ,0.0943073593073593,2018,2,0
fvppVZEIgw1em7XJUYFOcA,0.43,2010,2,183
Ddvmmlyk469t-w3FRL61cw,0.22092592592592594,2013,2,21
M381EAEuiwD_eOkEw5M3Rw,0.12854764448514447,2015,2,6
VrC8M3mQQ_jFVgkXWw4HDw,0.2413955026455027,2012,2,2
URwQjt0eijoXBxdylungUw,0.13187799043062198,2016,2,6
fJLqB2sJQ396xukPpQTgSA,0.38221538299663305,2010,2,43
Wmzo8zA7X7gwk_rcA2qWvg,0.2784090909090909,2008,2,4
Z0HxHQTNDDmbqzhvM4YmLA,0.29333333333333333,2011,2,0
8UY_dEbBylndO2-MzQnmaA,0.39999999999999997,2011,1,28
lWoC9FrwkyCqewtth8MdtQ,0.14999999999999997,2013,1,4
