review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
06kFxT-CNnG1E2mLSveAYw,0.229047619047619,2018,13,62
CgJ6-IbjM7oq2lbLX0Y9rQ,-0.23377192982456138,2015,9,78
4Xlv_xLAG1RrCNqHJO-Oow,0.06666666666666668,2009,9,150
8oQF8W7no66w46cJWdMCIw,0.10166666666666664,2015,6,26
Sy4Q2rBLJK9JnC1NJPxpxw,0.19010225885225887,2013,5,90
9_itOwiWeDQHfGY4CzCjqw,-0.11874999999999997,2017,5,60
oCco8L13snuWrVeJGHPNPg,0.16887326388888887,2015,4,87
2MU8UbnSugEh4uVz5OPmzw,0.13966942148760328,2015,4,3
cHN8XIB0yxhlPLQu-N9PdQ,0.37793560606060606,2011,4,2
V_S0nWuhMkB9r0sQO_hu-Q,0.06247311827956988,2015,4,1
xSoFBz-H1WqPQG7HXT50lg,0.11570075757575758,2012,4,76
ZiRgAdMsn8oEOT2CThRwTg,0.10833333333333334,2014,4,5
4jE5RAOsS9dousIRFPt6vQ,0.18866666666666668,2010,3,14
pEInGFCx8bl6iXz21rcXaw,0.34868421052631576,2016,3,46
LHkeGgY6wl5tKPnHZpKwnw,-0.13333333333333333,2016,3,0
Ee6D1IyIqCIjVruFeIzjoA,-0.23719806763285026,2015,3,12
iQvc6pe_cr5JATXbYQrFrA,0.34814814814814815,2018,3,26
JEVFjsFfY0On3M3oqPqdNw,-1.0,2014,3,3
SZxCrj_2Tg82WQ-s4XY5NA,0.1708541666666667,2011,3,24
k8vvFa4YUj15D3S5RQrxOg,0.0996031746031746,2016,3,0
8X_EfETSEZ4I0J6Fg3-Ivw,0.08316387559808612,2018,3,52
WSWpvX4Rc6-0ikm_x6pObw,0.2814285714285714,2015,3,75
F813bToytGklZok1WVxl6w,0.05317956349206348,2016,3,57
Whab3Gd5hoykNAx0lfjl4w,0.33416666666666667,2018,2,4
q_uHmMLlARh6KsN3FEeSZg,0.1279310344827586,2015,2,69
Vn0WSeigFOaEuc08EpuuYw,0.41714285714285715,2017,2,62
dTX4_xlPwYRAhwPlbRnKWw,-0.4187499999999999,2018,2,0
AsiOuxivgklEr2aCIiYsJQ,-0.009090909090909094,2014,2,0
PBO2Q1efrOs8hdIjAewXVA,0.1386904761904762,2016,2,28
48eb5wYUGUvsO-AULaHUaw,-0.0464117538868959,2017,2,3
2n4RZYASVEKCsHMg9fbe7w,0.425,2013,2,4
1VMhsFEKkkVrs3PusgO3Dw,0.19742857142857143,2011,2,0
dmlaV-Q2bo7fNHrVRSQcIA,-0.06562500000000002,2016,2,55
WNF7OSJlQ_WCn8hsU5f0IA,-0.4714285714285714,2013,2,78
b5rzhw_7JyX7d05eJ9zH5g,0.08194444444444444,2014,2,0
0FZewHei4Qe8J1Eu2KJkhw,0.36764705882352944,2017,2,37
Lim1RECaW4ZDfCJoFj9K5w,0.2732142857142857,2017,2,0
RjmYJ0y3gMUV61XyJ0MtEA,0.0009615384615384581,2018,2,6
2jeUpIW27jwPvS5pSFJOxQ,0.13062500000000002,2016,2,76
iR-tLb7H7jelp9GGaYafDw,-0.08848484848484849,2017,2,4
59Wv8Ss1Ss8VKqHLbHG_3A,0.31453081232492996,2013,2,34
WkmvIb07uQOS0fxL7YJUoQ,0.3475160256410256,2014,2,16
Tb5y_jwIm_-bNdrFLkHE6w,0.48600000000000004,2016,2,7
01-9ihFxKbxZXtrhLQcg5w,0.05565907522429265,2018,2,16
ZaiSdLvrCK7ZNTaNNQSbBw,0.26666666666666666,2011,2,2
sIeBA82REMUNVHOCoNAydA,0.09859943977591035,2012,2,5
5UKlz7ZHbFrPUD8Wwz5NFA,-0.04831565656565657,2018,2,0
knTlrNck6lbXgguwEPWHRw,0.18134920634920634,2016,2,0
TM9PWFWEvb4M3Xp3x4RF5A,0.11285714285714286,2015,2,27
gh0IvF8fKM6j1tRICNO1tQ,0.3029761904761905,2013,2,34
519xV_h_CHLTeMz8oLjMvQ,0.21428571428571425,2015,2,11
slPNI79a2b_juB4g778hEA,0.065625,2016,2,16
lac1jLmoKUkYvvS8Cd0RHA,0.08850694444444444,2014,2,9
_mPgxWNSM9UVlT7biOUh4g,5.551115123125783e-18,2018,2,0
6x0MI4sDIZjaBjKd0QjO0w,0.5458333333333334,2017,2,1
mH1Udbb581tDA4uVeI4xjw,0.15140542328042328,2016,2,60
lblHcanoDhtF-jekCHepqQ,0.17727272727272728,2011,2,5
KaMJ7VkRz4q9PtV6jiDgPQ,0.425925925925926,2012,1,7
8FsPgsB3gYGXSD-MBqDmsA,0.01041666666666666,2018,1,0
JI-35UXE_AwcBNh6so3irw,0.3456666666666666,2007,1,6
D2mGWq0R9Ya7hEa5qnKHgg,0.1817587641117053,2018,1,1
L2sROXhUYEWUccnLcWrRXQ,0.1332589285714286,2018,1,5
rYxWb-hMi-IyHGL6mqiJJQ,0.21990740740740738,2018,1,6
ug7b2c2uk97ybQCblFpBPA,-0.11111111111111109,2016,1,1
w3xknU_FLTSDPamHcqeizA,0.23908730158730154,2016,1,7
H4pwgzOy5LKdU3WGithO0w,0.11933333333333332,2015,1,0
v5HD6RXjjL0S1LticxnWIA,0.21176587301587305,2013,1,5
2emOTlt3D0mKgPEHTRV16Q,0.040784313725490205,2011,1,1
sZ7NUHX_vJgvNML7eDYMsw,0.1397562582345191,2014,1,6
1sQtOHuFJufb7nrUfCthuQ,0.020000000000000007,2009,1,10
udmimy_1daRIFy2hCA0vIA,-0.012631578947368409,2018,1,0
6j9IrA54H2qBfD8eKJgfFg,0.21162962962962964,2009,1,16
kJbpRIZ8OMnaZ92Qc46kGg,0.28018518518518515,2015,1,3
nnPuirRWA-Fozv13L5hNQQ,0.18553240740740742,2014,1,19
RHO81fTRjNJjAeEXtsjnCA,0.2846153846153846,2018,1,5
t_9Y-Y7zVHZx1eapFjbZKg,0.3319602272727273,2015,1,1
bC0luWPQMJRZhEENEmgFUA,0.6214285714285713,2018,1,1
dygeQyVm34qhXFTh-rZ91Q,0.12500000000000003,2009,1,1
Xdc52rXL2Es-nn6NaM-FAQ,0.3111111111111111,2018,1,3
7z-YxqGfKOfmCAKGMjVlqQ,0.13845238095238094,2016,1,0
z_LqTy6wCuIIzRMxaOZ2vA,0.4113095238095239,2017,1,8
WGSXRIfslvGwLL3k7EdHCQ,0.12709677419354837,2013,1,32
opxjyu4mVZFE5Xk_PNt7mw,0.11857142857142858,2013,1,11
CEw56CVViD1tHggSSaYEKw,0.22000000000000006,2014,1,0
rpg9wBm7fuPo8ZT_e-pbHw,0.21875,2017,1,16
BlJ6Opt_JUFzJf_aYG3LFQ,0.16333002645502645,2013,1,0
Ct_lBjVeo-LREBgp-r8q_w,-0.1333333333333333,2017,1,16
5-TdRXAMBBzgQyzkpR8xMg,0.3611111111111111,2013,1,6
eDA7CRdOccEuSE6iVu1L1A,0.09765625,2015,1,0
dJiXzQ03hx6O7vWhequUaQ,0.2857575757575757,2009,1,18
25XwakXsd_F9qKBot3fqNQ,0.053873966942148764,2014,1,0
geHLBdGPoZr45wLJUUbPMg,-0.01818865345181135,2013,1,1
hZeLFIHyhK038Segf9PKlg,-0.047959183673469394,2016,1,0
yS865aO_I0VhX8CJeNQ4JA,0.33975757575757576,2016,1,7
GA85vpYJzqWJOPcuhChmCQ,0.42818181818181816,2014,1,11
9zWRUUo4JtFn-q5LFaOtOQ,-0.04270833333333335,2015,1,0
6odLdr5jrC_5vXFX8IQZHA,0.132880658436214,2012,1,74
ThacJl_LUAjgHC5792aHgA,0.05625,2016,1,0
GKK3kWU7Xq807Vqm9M2S5g,0.09642857142857142,2017,1,1
DKUka-L26wCrID7crk6A4Q,0.3536375661375661,2010,1,3
OrQtQxIP0PXhAWpbLDFDEQ,-0.5625,2013,1,0
37wLLkmcKCGH8Hy7FXou-w,0.2119345238095238,2017,1,32
WqFCF5C4OG43DCZhNPNqDw,0.2916666666666667,2015,1,1
WuFi1Nk2xDA1u9bVvyvm0Q,-0.32916666666666666,2016,1,0
EK9oX81su0w-HnHWJl0fJQ,0.13583333333333333,2014,1,7
TzFuMBchQFfso0g97rH_Fw,0.5075,2013,1,0
mJj30Y8GebwUUfS3q3NDYw,0.11527777777777777,2012,1,101
DQxgdQLMn9AHW-apkqq1rA,0.3243492063492064,2014,1,0
_cS81CjyNEzP8_m-dI5_7A,0.028509424603174596,2018,1,8
22cZyS_3brg3UVTjNrjRww,0.1371619047619048,2010,1,0
Nh3VPooK6HjHvd5-cUmKuQ,0.35097222222222224,2015,1,6
nrI-vBoZb7ipilpIayzsIA,0.08833333333333335,2010,1,0
tjd05ZoU1cHX957EFVXkWA,-0.17857142857142858,2015,1,2
-ObeKWdQGa9031e8AtbdYA,-0.0970959595959596,2014,1,0
duNqRDhJngFgGU9OKgFOuQ,0.21011904761904762,2015,1,2
WaqKDOnUr3wsPvd-HlToHw,-0.05694444444444446,2014,1,8
1wAeU9yxpEzfAedxSHOxMQ,-0.417,2016,1,0
n-VuHw9LkWAZlg-Or93yOw,0.0,2018,1,0
34p18BkvqiPV_39akxk-ag,-0.3794642857142857,2017,1,0
-VRsKXZSsk6PoPr5KhfbwQ,0.2628855519480519,2015,1,21
iurm7KS_5uVlcGuROBNckQ,0.36266420361247953,2016,1,55
KQG-nIM_IMxzjRpLUVUKhw,0.029040404040404047,2014,1,0
cO0wNNHJLexrq2239FBG_A,-0.03066620879120879,2015,1,28
dSF7ygUsPROZu1SpN-ueVw,0.08987500000000001,2015,1,2
eWiic-g2VOXJmqgx1polNw,0.15000000000000002,2017,1,3
mbqbnIfhZsWc0t7pKpX1rA,-0.013636363636363629,2015,1,1
7wVpHJezicMmr2SS1eLHww,-0.10138888888888888,2018,1,0
3YVZBCf38tpWunO-y0KP4w,0.016666666666666663,2015,1,0
pppt20Z-_rncMdHFzU6Xxg,-0.475,2018,1,0
6-ZH02B2De4jPk4VRzRxvQ,0.26249999999999996,2014,1,0
RI_Czxkx94OPksV4UVtw2w,0.3982142857142857,2018,1,5
_SELcNR6fpiY3ds-F4ROoQ,-0.013870851370851383,2016,1,0
5ZoIhGlfDjjPHmiFqCCvrQ,0.2187062937062937,2013,1,6
A-GJkYEH_F4qsAnyr1mOgg,0.18035714285714288,2013,1,12
A0WKiAZI8-gUsPd2Jo0tMQ,0.24047619047619048,2016,1,1
0jeZ8bPQEUXhD-MePaRexg,0.4212053571428571,2014,1,13
i8SMtOlp6AAioOW4S6FWvA,0.3740178571428572,2018,1,0
CPGUopFiNL9EfgyRa1kU2A,0.2833333333333333,2015,1,13
uXKYIGPS3K6cpfldxwuAlA,0.4,2018,1,39
3Q6j556B3lrWJgQi3dwsrQ,-0.11961111111111115,2016,1,0
bmi7BVsu5PQEoaAgjxVJGQ,0.20458333333333334,2016,1,55
8zzeoKgKI4yWzP9UX5Abdw,0.03674242424242425,2013,1,3
oZA2gNiabvi_pKX4itk-9A,0.49750000000000005,2015,1,1
vV3zhyB79NcpSrJnYEINQQ,0.16542602134707396,2015,1,0
-6QeB6TwiuTraDMB4Lfzfw,0.07825018896447469,2018,1,0
gaRnRnT2gXEWd47Nb1gEPQ,0.27619047619047626,2013,1,2
FU1AqdzDsjm-TBQS05LLmg,0.5333333333333334,2016,1,1
cl9kF7QX2HsdPai4YC-vEw,0.31057692307692303,2018,1,1
qEcDxJIjeySoeDm_LYiyOw,0.18808333333333338,2012,0,0
Qw_V2-4aOG74_z73iFpCag,0.1987179487179487,2015,0,53
OqBLeGH0AuMsA03kkwJI7w,0.04666666666666667,2015,0,0
cMuRgwivME17E2-SkzlZzw,0.3803333333333334,2018,0,0
YKlJ-a4zd_RD2kdqDD47wA,-0.08333333333333333,2015,0,0
HeBgqWNN5gbw55bfftW62w,-0.25,2016,0,0
qF9YaSdDfdDx0qegisS9qw,-0.11206153846153846,2018,0,0
jneEpUtYeWolRO88BsXyZg,-0.06666666666666667,2017,0,16
hzST-QM5JxhYA9Vi4gCQ3w,0.7178385416666666,2018,0,0
3j2kaKYifamDHNwnvz0njQ,0.40972222222222215,2015,0,0
VJWEQ3tY1vLa9D1rMhc26Q,0.31496212121212125,2018,0,1
V334TXkgk_8mH4px1vpReg,0.13916666666666666,2018,0,4
qDxQVdHJ3Z95mNjmIskCRA,0.7,2017,0,0
8usHn4slzeBfIZTAVV3J4w,0.35234374999999996,2016,0,5
Zz-M6GCq_Fbt8UGUV7o-Mw,0.1961798756798756,2018,0,0
RGDXQEhaCFHtjNinDKcyIQ,-0.1749074074074074,2018,0,0
xPnmVgSl6X1Zj7TMvdwiLA,0.18181818181818185,2018,0,0
I8nYS83QEl-LPMjTfk39YA,0.265625,2015,0,0
iSJU4UvapxHcLt4nkFxa_A,0.055573593073593074,2016,0,1
s-VvA4zsemLnqyi2fmXeTw,0.14544973544973544,2011,0,21
leTku1l-rhv27J04aG0Xlw,0.14499999999999996,2017,0,0
yzDBeipm0lK6RH5Lm_xYXg,-0.15211805555555552,2017,0,0
1Uam0Z71rmvgXGLO7Jn4lA,0.10643274853801171,2018,0,0
ClPG3gB4BwVc8JgOC1elrQ,0.6833333333333332,2017,0,0
eo0JUfFlUQfXjm_KEAMuTw,-0.31875,2016,0,0
7PvKFcayZKOQoq1gmJly-g,0.3043452380952381,2017,0,0
ATnsvPPAG7Y4Ig_CyeLL7g,-0.039965986394557826,2015,0,0
9o9zJvSJazkVewh9zkq-hQ,-0.19791666666666666,2017,0,0
9MWM7RrIKO4vaaKk4sAN3w,0.4875,2018,0,0
TU2-kfEoBpeBkWIp2ljyig,0.2812350780532598,2018,0,3
f8dhUCXlQ4fOOgx4YKaesA,0.2565728715728716,2016,0,3
43N7a2VYYrLIQ3dS2h8PNQ,0.17744897959183675,2008,0,23
6RCvcotvTt7FNqELggO1kA,-0.14935897435897433,2016,0,0
2EDW7HkOGhOTBQK9AT5JTQ,0.4277777777777778,2009,0,6
l23rbcHLdEM5Yfr2H2GkzA,0.11406015037593986,2018,0,9
1EaBP6q5aJXs6HmmMecc5Q,0.5651785714285714,2018,0,0
-rglKixXZXILHaez03V3Zw,0.25,2018,0,0
1qBGBXIUpZWJ3r625kkqhg,0.4083333333333334,2014,0,0
KYYhfAZjF71gkPTahkxGbA,0.003921568627450983,2011,0,28
37NOpaMAmUje3OVa8c7--w,-0.024999999999999988,2017,0,0
htprmKxyPTTI-ZuJECWsKQ,0.3,2016,0,61
-hkLXXYpLJcUg9Lywj2Glg,0.12683201058201055,2010,0,3
dvG0CeOHYUZ5I0-z4cpSlg,0.03125000000000001,2018,0,0
8Z70bH4Scn4N-L_ptyY0yg,0.15468750000000003,2016,0,0
bnWSVpLtx_3IbK9IuMwuDg,0.4017857142857143,2018,0,0
5mOfIbT9RHXTIAw3pxeh7Q,0.21634615384615385,2017,0,0
p2tgVe0STfXQ4hX2BPuV_A,-0.8666666666666667,2017,0,0
JX6ys9NOR3HGeKKiAeFRxA,0.154375,2017,0,1
_MWvkAnbd_dKCJ40DGz0jg,0.3462962962962963,2012,0,0
4qWQ_u96WADUQeS-3TDWNA,-0.434,2018,0,0
-5TGsuQGVBgrCpV15dNd6g,0.0857142857142857,2018,0,0
ur2c3m5R0zNGDWpW891Ugw,0.682,2014,0,0
-36FxA2Ay51H7AmJ9gJBVw,0.04749999999999999,2017,0,0
t74VMnRVOSy6_7Al8abvBw,0.20833333333333334,2017,0,1
VTHgWtV-WFbkwvIzRrwfWA,0.07961309523809522,2011,0,19
_-WHOeO38W7MRZ7Boz5ysg,0.475,2013,0,0
A-bCH5hEW3RqOr2Qdw_t6Q,0.37,2017,0,1
DvH58kgbSE3YDPGoSnlThg,0.22857142857142856,2018,0,0
5PoNID64f7Eqo6sy4AGfgw,0.051325757575757594,2016,0,1
la4xdimXjYh6u9Y3mdj86A,0.11746279761904763,2016,0,0
ypRuaeO9cbpcDSTc2cW77Q,0.2619047619047619,2016,0,11
MK4AnhJ7AoezvdgqYJlCYQ,0.12546583850931678,2009,0,2
fERv3S6I7AFzgp0A8FaVAw,0.006250000000000033,2015,0,0
JRvgMKwMTVmP0mhSLmdcJA,0.4403409090909091,2018,0,14
LbPLjTV-5yg7_z6kakC5EA,0.02072916666666665,2011,0,0
W-iLHMJ0aLstOex_kUA9Pg,0.555,2016,0,1
EKTNBGwWxVSzvWclWRJnJw,0.2120552818828681,2017,0,0
ZPRrbhwHSXmS7AMfg9G52Q,0.06115864527629234,2015,0,4
x4HHlJh6pRp0VcedHU9nVA,0.16901234567901235,2016,0,17
F05ZHmifOS9EOTFm5Hy0BA,0.08234989648033125,2016,0,0
GdS45t1b96U_8weM4x0qGA,0.4,2016,0,0
jtqcrrJjoPsAYeIO5PDjLw,0.1335780885780886,2017,0,0
CunPnnu8EfM3wTeZeqO4Lw,0.3499999999999999,2018,0,0
xINaypAEveL8SoYNTE_efw,0.1200425305688464,2018,0,0
ogGo6qwoMQgfYadqsyXFDg,-0.008275862068965524,2016,0,0
Z-_RjafraPo4UtKFY8XdXg,-0.00416666666666667,2017,0,0
xRZNVHirLy-ImDDt9L6W_w,0.45416666666666666,2011,0,1
YyFIbk1GPips13BJDRYi6g,0.585,2015,0,0
i184oAcqM-XpY-TS4HiYwQ,-0.12583333333333332,2015,0,0
R_aqtbEFZ_zlNvdOWjXRkQ,0.13181818181818183,2017,0,1
vfp94ODaRGW2F848Rark_A,0.20000000000000004,2012,0,23
zhyjXBvMJMND8OKJxlxEIg,0.2693999999999999,2012,0,23
KwLXjgWh1cicegthbh8Eeg,-0.36,2014,0,2
tpnALlPhphVwfBAXqJhYew,0.13999999999999999,2018,0,1
NAOAbfjd_mtpBaJy6pCjNg,-0.3333333333333333,2017,0,0
lfSCEW38hn3-GQza8Yw8Tw,0.06000000000000001,2018,0,0
G5BQMDgORQTJkoeVrF5_OQ,0.13750000000000004,2016,0,0
uSuB58oud7oArnBg0JIV4w,-0.006666666666666659,2014,0,1
h1DkNJ6ylr3O7REfl_h0Qg,0.39999999999999997,2018,0,0
3UOCrNAQAeXumAoyBCJJ6A,0.3,2017,0,24
K5QA8cpTMM2WQgVAaZWbwg,0.013888888888888909,2014,0,1
jeoApOXUIGdPeHgNdD6rqQ,-0.25999999999999995,2014,0,2
tJY5UY1_HIsgJs1s9IYkYw,0.6071428571428571,2018,0,0
3LnKYxVzUfWhBC7E535OTg,0.3,2011,0,0
aZsaby4AdU4Y_5fgpIRHmw,0.1548015873015873,2018,0,0
So8mMggg5erFpnSEdBGH2g,0.4511904761904762,2017,0,0
6TScbdJEThIXdVg9x28Zmg,0.10833333333333332,2018,0,0
htdSXquEmgFuafeI4-DGXA,0.34285714285714286,2015,0,0
PTMiyF4Ag3zd8bKENd9rcQ,-0.3678571428571429,2017,0,0
fkYrWGh0CVU1ugcrXsh7xA,0.3545,2018,0,0
neIFLMM3m_vAUvIoXimGag,-0.0976190476190476,2017,0,0
CNZtbtgOMgRrTisgsZAb7g,-0.0521010101010101,2018,0,0
