review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
SvGdXbH-5g0HOaY96R9-Hw,0.334702380952381,2018,121,122
nSSzclXLlqTM3tpZzEhjAA,0.1479861111111111,2015,36,73
64i9NTU33b9KRTdyfxcEXQ,0.16389690556357225,2018,25,79
zY_pdVrn4rhkbdLp4O-ALw,-0.04185606060606061,2018,18,27
PxpJzOJZ7VCiPzUoVsT-yg,0.039295883713987165,2018,16,71
_l6YrvFIrIDHpbLpD0lXlg,0.16363636363636364,2017,15,55
XjGfEY5mowg3myRNxd9jrA,0.2610162601626016,2015,14,71
Xs-YZlYSEXpp2Ha8Oksnbg,0.24111111111111108,2018,13,64
rPWoQ0s8Pt5l5A3EAxm0Ng,0.17542989417989419,2014,13,193
yjVOgQcXXMufy61uzROdGA,0.21478174603174605,2014,11,44
Qv120uyLR7KrBIYykEsgrw,0.19806723490934014,2014,10,57
SNaBTqhH3I6fiHGaud7ciQ,0.3344444444444445,2014,10,58
97-Fx_CR286FFEMiIP8dEw,0.26999999999999996,2016,9,44
RUCZpXaLd8iOW60Yz_abMA,0.39166666666666666,2014,9,285
Bv8znWnSWdzKIDSxYDChpA,0.27236652236652237,2015,9,2
jnFFOmEqfuaWmD4m9pg6Rw,0.039047619047619046,2016,9,49
OtMkoTiHM92zPK-leZcIAQ,0.3247101449275362,2015,8,44
2YLnGRpEvN2e1sew3H3FzQ,0.15162037037037038,2015,8,17
YfVHqOU8vMfIByzee9dlJQ,0.1207614942528736,2017,8,292
7ceDkcq5CF2FSLGqnWvBQQ,0.26529761904761906,2014,7,88
_IDWkAXl1IUlC75kyf66vQ,0.33945644149132526,2015,7,12
2UR_EoO2EOEm1oUEwPao-g,0.16244444444444445,2014,7,271
YOir14FQW1WlxuALxR-_gg,0.29969336219336207,2014,7,90
uICFOvnGLtQxsugeTUSxVA,0.12584262959262957,2017,7,93
eL4BCWYp8_2tknMUBVtXpA,0.14635416666666667,2017,7,29
SFTdilL7OQZ1mfu9uKIErQ,0.07013888888888889,2015,7,7
og_kUZwUKXQJdMcdqA61ww,0.39249131944444443,2014,6,98
WICSkeP3QE9uGC3mjgKbag,-0.15952380952380954,2018,6,12
ElSwPSiIlgOWS8hVMIcFKg,0.3372938443670151,2016,6,37
otgWXvMgW8cKQ3AnjxDT7g,0.2591176470588235,2015,6,26
CYaxGGj0hRhbKLnRfDqezg,0.12037037037037036,2015,6,2
e2PdQdJLH6Y8_dWG8ri7dQ,0.33588709677419354,2014,5,3
RoyGPLsH7vQmEDFvFOitfA,0.35666896235078055,2014,5,132
YozA7RAanMN_bDQob-gIEQ,0.211460588023088,2018,5,7
g_Pz57fpaSPFKkmuS_uDmQ,0.4461309523809524,2015,5,2
B9sJLNA_PQpbAusZjXdIyw,0.2025,2017,5,107
1gHQI3OdEgzEMBYy-qXpQQ,0.2044285714285714,2015,5,20
kGnRtLpXzsbJ9qvts8spwA,-0.15333333333333332,2015,5,0
w5nQ83yElY2VlcMG6u1EnQ,0.3333333333333333,2015,5,133
YPNXCztvrKhAjhj_TkfvvA,0.4469696969696969,2015,5,9
w82PHKhOHAUrMHR3rGG-9Q,0.10519607843137253,2014,5,71
vzc9Wtp8XEBnKRpVdJBqaw,0.1912202380952381,2018,4,1
iQmk1Cqk3-7d-g_CVgeEOg,0.3384615384615385,2014,4,0
M4abYvscDZrUH9is9ZLwAg,0.5037878787878788,2014,4,0
P2HcnugOfIQuYBGLxKNexQ,0.20714285714285713,2017,4,29
ZNwfO1zDqdktxq9ehSY3ZA,-0.40625,2015,4,4
eSTKWPp_ueAWAG42ezNk0A,0.15644570707070707,2015,4,0
Ft8He1CFZepoch8YtmpOHA,0.096875,2016,4,0
FEhE90RVHT746_C_JDB74g,0.09617763772175539,2015,4,0
1vEaax0CYICfCzxFXTw8BA,0.056785714285714294,2015,4,20
pn0xw32vexOfjx3P4Rw_Vw,0.38715277777777785,2016,4,79
qVoymqTw85BPZGUvy6TCuQ,0.03883333333333333,2014,4,1
Ztb23T9OBU8Dg2821rbDqQ,0.29100000000000004,2015,4,69
KnuCaExPEt6kDoeFVtT6FQ,0.4222222222222222,2016,4,24
OKAHAwU7RJIiSxLH2zzzyA,0.3281547619047619,2017,4,1
m2hcGPSbfQrkeS0SeNv7-Q,0.13012820512820514,2015,4,411
OKhHMfW-GPm9WA9oc8JsBw,0.4723484848484848,2017,4,9
CgVkaYt_bJmuMWp9OmSb2Q,-0.017916012558869703,2015,4,1
pfyxZmYnljyQNxhgo60HBg,0.18755102040816327,2016,4,60
0EUYRkM_y9WOIKdQol9T_Q,0.18935185185185185,2015,4,13
0oSZ9D-pWstBtZ8D87SlJQ,0.21813186813186813,2015,4,4
hAmtmeYA0cWiK-UgCp2H0w,0.10666666666666666,2014,4,0
zFn4yMRF2KvLGDD7U2qD7w,0.26010608315295813,2015,4,10
CqHyW7aV2_jqrMYZcrafcw,0.344047619047619,2015,3,5
0ZzSf3MCRfwthr1bW9OrNg,0.3901984126984127,2015,3,4
vSWi3tChNh8_9j_xR5p7Xg,0.65,2015,3,1
U4swuKIcqSM6TjO5fVh1GQ,0.13458333333333333,2015,3,42
T1g6FpxunBZ-Bz_Y88vWBA,0.08740530303030303,2014,3,2
1A1fDr54HxGdg_nw_lnGFQ,0.5279166666666667,2014,3,0
