review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
p6vHb5_d06C67ELljik3sg,0.25034493284493275,2016,14,436
2ZE2NaZRccS0BKMqjV8qZA,0.13280952380952385,2015,11,94
jh67BvF7eg-dTRpe81n1lA,0.12403549382716049,2010,9,402
pVyExZprfZFpOP11SsatJA,0.14940476190476187,2018,6,63
lN1xiBl0zVjvtenpdxB_yw,0.17314690026954177,2008,6,85
nUMIH8u8GOqXT7rty0K5ZA,0.0849,2015,6,31
XxM6GXETp1bIpJelroWPVA,0.15857919254658387,2012,6,3
winIYYJAghZPG95u9lJAZw,0.11766666666666667,2018,5,218
UviOMjLW7C3hPwJw03VZHw,0.13903508771929826,2010,5,15
IIUIx0Zpy_8DjgVoSAwNlA,-0.0013888888888888933,2010,5,1
ClW-Wy12fBm-43rA_9v2wg,0.31107093663911844,2015,5,26
SfJ4XLuCwHkmG0A449nEzg,0.12248677248677248,2008,5,150
lloJPK1DDHmrpGBmOH36Eg,0.19627976190476196,2010,5,10
cGqxKcF_yaCyRTmuuyk64Q,0.17361111111111108,2014,5,452
hQVHk7XXF7yYolllQJccLg,0.17246376811594202,2009,5,3
rEN7XqORtmL4MF_PuOBNHw,0.42083333333333334,2009,4,51
Qf9_BE2yWsXmkyvEDUMtWA,0.16958333333333334,2018,4,1
kuihIpBzncH9LebETkrXYA,0.06150044923629829,2009,4,0
M9I0Kq1NBy65-sBgww8VVg,0.062386363636363636,2016,4,2
MeOa2KTZl5TsRpc6o7oCCw,-0.0023148148148148095,2011,4,98
FVeGsHRv0VNmpOhriLcEMA,0.0513047138047138,2010,4,19
r-s5JpzW8RaD5uwmfMckKw,0.19886363636363635,2011,4,5
CEoHB6-ZQyoEeyHrc1M8Zw,0.46316666666666667,2018,4,66
FWjdNg3FljMsPFIMMuxiWg,0.24404761904761904,2014,4,42
h6zLCDv4evb6u0uzCgMp6A,0.1286160714285714,2016,4,51
EL1j6-htiVOn71HmxeZtKw,0.2583627946127946,2015,4,424
AfiEwL4ZNKIox02LHTmQqQ,0.20791666666666667,2010,4,4
wbKYkAIgb1LLsfqqexf4CQ,0.4381944444444445,2013,4,37
pbCHb7WC9R44fduuD89HGA,0.2784799119009645,2010,3,0
Psom4nqi6-zP5jxm1uLhPQ,0.3805121527777777,2010,3,2
vELZYym69a_eG8GKgdzEfw,0.11478110599078344,2014,3,21
B_F5BMRu0mYz_2KzeVfwXA,0.3178095238095238,2018,3,15
k62JO7KzMBXATcAcupuZ6g,0.019642857142857146,2012,3,11
eayg8-deuDTSN56lFxpFFw,0.10285216927680166,2012,3,7
bSvfGmj4WEm08KQJSf5CpA,0.29,2013,3,5
xNZajpeHm_gjf12RMvhmpw,0.16875000000000004,2010,3,7
pNLkbiO78OUTU21SxSyptw,0.17590379008746357,2013,3,14
8490_HZrPQmd4DgkA2_edA,-0.05384615384615385,2010,3,3
okvA8qyESgXS7-GxU5ssmQ,0.23573129251700672,2010,3,7
arNMZW8g5N0qrs_nIWgDWw,0.2240740740740741,2017,3,12
alfwSf30A69nrnxLmeStsw,0.3315,2017,3,5
V9nO5n03eqWbehIHWOFgPw,0.24586156597026165,2011,3,7
gsvo8ZDO7zac7od1dI5YcA,0.2200892857142857,2012,3,8
i8zln9U8H083YpKS3diNcg,0.1015811011904762,2010,2,29
_CvAMpaZq1JEbvkUO1KO8A,0.05,2010,2,7
GjXp1-YwdpK_uAgz_AFptA,0.07569564176245212,2012,2,3
B6-f3F_0kaHbeRBsB5S6Gg,0.32907986111111115,2010,2,20
6en5b3FquZndHoqJxJJgFA,0.1230282738095238,2010,2,2
fwqSii7uYo9UM5tnXFRJLQ,0.5,2015,2,2
lLGCcffAzyjOCEuwq2AVyw,0.3658125,2014,2,3
EyXUtYq2yBua8hEJBec69g,-0.18333333333333332,2009,2,1
uK7Mje_Kax-EoDr8FaWXaA,0.14312770562770563,2015,2,2
NeqZJiCA1r6HlRsm_mU3jA,0.19769463340891913,2016,2,35
FhZj8IeQwMW2vQu2YgU4XA,0.07433862433862434,2013,2,32
4exBeuToVUU98oDP-v2pbA,0.062987012987013,2015,2,32
L-oNdsO_oVU10iAjhjLTkg,0.1252873563218391,2015,2,55
TG4iJ9uMizrITH7-z1aMDg,0.25999999999999995,2008,2,1
MQq-0Jrl538etxa6CkPvsA,0.20089285714285715,2006,2,13
UdH5QNyPzMFHM0PyqTgufw,0.31166666666666665,2013,2,17
DETR511y_1Zg7omHBbEpLg,0.31193181818181814,2007,2,4
