review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
zwOtxYAGMiLSRRXqyIDttQ,0.003741496598639453,2011,40,1
lbo_1D1Bvq71ensWXOtVpQ,0.07219967532467532,2017,29,4
Cmz4gbSvqhHHsj-4dRbB4g,0.30666666666666664,2017,29,188
RHmQciYaFZnCPoHPF8tjYg,0.13974358974358972,2010,27,625
se4AEENCIf0fkPDXiaBdmg,0.18620967741935485,2018,25,539
x7TpqTGZCcJEnpztNZ2sGQ,0.26615384615384613,2012,23,1169
pKYrPqmrgCM-l_1k0W8gIg,0.3428819444444444,2010,20,391
9GtSTYMw2XXXekvYftCd3w,0.3523387096774193,2013,18,14
vDqHsDPCqC9JPmm9XJPW6g,0.2336875,2015,17,164
P3YIdYF9QgKJuVyp77T01Q,0.19561287477954145,2010,16,300
Sj2zHcCizeuIDXfzlZjGqA,-0.11465608465608465,2015,16,148
3qnA9p93CLhjImbcMrsyoA,-0.016535087719298243,2018,15,149
b3LwE9wiNVUiZyY_n-_pyA,0.06904761904761902,2016,14,35
8n5mxdmTykFdCSkh5sqJOw,0.20847549019607836,2014,13,11
QU0zvwOcVdxJltcNN9lx5Q,-0.17142857142857146,2014,13,227
Bka08nGEli7c3vsR7AmIrg,-0.026944444444444444,2014,13,258
8yBVzPZEE6WjA0zEewut9w,0.3541666666666667,2018,13,11
6-MNK5kElbCSm0GxvvdTMQ,0.22777777777777777,2013,12,18
HADeaTyYphbkWSas1YD0Tw,0.3148936170212765,2016,12,133
bYXZ2ulv9E3z3UCCdDlk2Q,0.23995098039215687,2014,12,338
EXopcPkw7GfgFmaT_hJUVw,0.1611111111111111,2016,11,258
4oschUEDkWb0BpmLvGIF6g,0.33692307692307694,2018,11,53
VbGUwg9-4Kkpu0Be1FrfYw,0.28667807886557883,2018,11,45
DbSHlsE97LFpR5LVjh5w3w,0.06025883838383836,2012,10,391
Sp0MAA6tgLwjaYsKQIwS-w,-0.1287037037037037,2013,10,0
bkT4blV7yz73-vf0pyyLng,0.07104938271604937,2011,10,64
TUgdtQYGltIO3sjM-p3JQw,0.15417483660130715,2015,10,42
G5DSatWlmOdokQzf2rFv-A,0.4721153846153846,2016,10,154
hjXKJhscKl01_Ugm8pw4cw,0.04609893875313284,2016,10,24
A2CSdb3klu5g58FqvYaxLw,0.17246376811594202,2017,9,169
MhGrKA4HHdNEKcqzkZuRvQ,0.20979949874686715,2009,9,358
HRLO05gDTtpRHlBWTm-NNw,0.12525879917184268,2010,9,93
0Q9FwuQOhJudntAwWXThRA,0.06332070707070708,2013,9,0
