review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
6EMwUjEoNdYlDWaTn7-d9A,0.2773398001175777,2017,61,220
SNU-iorBg6pu_PPB6TSOUA,0.5710714285714286,2018,42,359
u7WQL9UEpPFI6dzTpiukKw,0.3244761904761905,2014,26,113
KYwrYP3YpFJylXofu5ulHg,0.3010010822510823,2016,21,411
3lBGHU25KsthfaNlvDuWPQ,0.18988215488215487,2016,21,191
7fG0psyZY3TaYw1r5fASzA,0.2222222222222222,2017,17,240
zkY7cD0zqFcUsTcU7_7ABg,0.263997619047619,2018,16,49
J8PqAxOMD1kr6Jb-q0htlA,0.2787698412698413,2014,15,551
bKEeESz_3wI78-ysq_3BdQ,0.16242236024844717,2014,15,193
uTC9kbnDcqsAEPvbzNvdhQ,0.14508321308321312,2014,13,11
k1tj3-2F93s2yLAC4gOH6w,0.16695723684210528,2018,11,41
US43COHjedKSi4PJD0X6GA,0.1336015433841521,2014,10,70
bmCp_u-a8U-dro2pKd_U4w,0.3113333333333333,2016,10,255
wAoLYVfxoxTs3T1yEpNRhA,0.10559895833333333,2017,10,41
LyTWb6lIXL4O1HCpZtWK8A,0.24722222222222223,2014,9,894
azBWMFLBehtQ93FOPZuraw,0.6472222222222223,2015,9,102
lZrc4wew5M0OLbiGj9MEFA,-0.034260859303660206,2014,9,0
osjEKnJiTVNaYUuaLsq8sg,0.32970219435736675,2018,9,78
iTmuNfjGlfq2UoOEjB8JvQ,0.18546626984126985,2016,9,109
bonV9uoLGny7hWiVCCa6Cw,0.33232348111658455,2018,8,49
9IXea3fKQ1EE0mejuIRzZQ,0.2642951625094482,2014,8,69
Jg2Ogatvjj16ELXZzBvUSQ,0.20357142857142854,2015,7,197
gNEQVFXDKY25FYtVGd91ug,0.19408212560386476,2014,7,93
NjT94y0cAzlGR9AfJpCukg,0.2423076923076923,2017,7,33
w5tRPxlaitKBngWbm0d7qw,0.059240362811791375,2014,7,0
CsxMhmG7KIosnldCJG_2kw,-0.0928921568627451,2017,7,111
8wwnbncOTthw46lsF6XjFA,0.38882812499999997,2015,7,46
zgR6kVguSxilZ_LlCPKO7A,0.28741124873069324,2014,7,68
FtJ9jPFT9o-BtGUVyJQRmQ,0.03270833333333334,2017,6,155
XXvQPrEMLRdo1ZJL4pFQjg,0.04458333333333333,2016,6,0
_HPwNuGhT7dbcUmiaOc56w,-0.051964285714285706,2016,6,11
Ejd7KX7PFt4hJ-0md5s_XQ,0.2118246753246754,2014,6,13
cl10CfZcCWkTEI9UhVg5UQ,0.16583333333333333,2014,6,24
MzYf95jT872lbPEr21i13w,0.4637152777777778,2014,6,98
9ip53RZeYO_R5czUa9sC7A,0.32650269821502703,2016,6,21
fptTHt3-8r4Q-YxuViqJKg,0.2170253357753358,2015,6,12
t0g3eb8z_BWKGJHf4A5H1Q,0.17761757694641223,2014,5,5
u23zYucHnEiZ8fOldEYuvg,0.26954022988505755,2014,5,0
QEkym1lDV8xuyAgvm9GTwQ,0.3189814814814815,2014,5,0
Y166JjItXlycfYfuToCOWA,0.4972222222222222,2018,5,15
T6oVd6IblaZWiXFklllSPQ,-0.022857142857142864,2016,5,3
D2ozGmnkgTzblioeZxun5w,0.1531194295900178,2013,5,1
osRwse5b0t8nKmtwpDGR3A,0.31539115646258503,2014,5,58
-yKw9QxH3E2wvH76x4tnXA,0.08261154011154012,2014,5,3
hFH1m4IkrqeWPPIpAu1QUg,0.3070923520923521,2017,5,15
e0SGGxyL_huSdq7o2StwbA,0.4087066638380557,2014,5,5
u-ZV2B50bHbUs46vgIIsJw,0.08194444444444444,2014,5,16
ph3t8GhszvaAduiXdXHIyA,0.3395283446712019,2017,4,126
EBywVlb4tfuTRHD7qhm1Jg,-0.02310267857142856,2013,4,8
pqlY9ME2ZZ7qWr7dpsvPXw,0.38524553571428577,2015,4,451
SyymvwJSJcspm_P-GX0j7A,0.09945652173913042,2014,4,38
TZWcVnv-cPTb8EUh9xFYLg,0.308974358974359,2015,4,1
JKGgrbIeaCzxLSFegKmGbg,0.35525641025641025,2014,4,30
EZ0ZloaiWlnpoYxm1yn4rw,0.17989442946990117,2018,4,26
LxwoM3TvlVd_9wBWjk5aYQ,0.30000000000000004,2015,4,89
nsstrwt64rN1c38Hit03vA,0.13928571428571432,2014,4,45
ojEZbc9ir-Uie4lNoc3ERA,0.14515625000000001,2015,4,1
h9FEpk_QCBt_SvVaRzTc5g,0.10556818181818181,2015,4,103
_14P1_QgH7gLyNE8CjEo9g,0.23393141945773527,2014,4,51
cYWHJUYX5y6JFkxTYmqLpg,0.2495689655172414,2015,4,123
Zzc1u5bbR59i77Dn1LEyEg,0.14454229797979798,2017,4,0
-1JcVgva2g7B9Xfos3IUgA,0.25252252252252255,2014,4,15
RjITeBpGqJLd4InT_0hA1g,0.3397405372405372,2018,4,49
fajHOlc28i0uuEQjnoGNIA,0.43203125,2017,4,14
4oB_d4BUNj-5Q4ynDSTGjw,0.17934269811820833,2013,4,0
2CtvflyVGUB4VLNT4091gg,-0.125,2014,4,35
Us5C-Dd7f-5GSzAiKDk5Iw,0.23276175213675215,2014,4,70
FW_90UJ2wMXY8bE_fw1OLg,0.32162437343358397,2014,4,16
lZSXfxCvpP19pKucLMMbdA,0.2134129759129759,2014,4,43
3wdrJ_eWXFr9wwJqd6AUPw,0.14147465437788018,2015,4,435
1_Th8KdA3AbCPJ3fFbGodA,0.22642857142857142,2016,4,52
7zmMthZlVYikfJM7ughkYQ,0.01916666666666666,2016,4,59
98nWdCpZIFlwoGtnESlJow,0.46249999999999997,2018,4,137
go7vaxWQqZ-R7Nu4G1dtsg,0.5237603305785125,2018,3,29
CYzfL0Jjp6OgdDOk3AoM_g,-0.5,2016,3,2
h5QZHtVOuUKINNt0CY8Efw,0.40937500000000004,2018,3,0
mgVwOOCIJRuvttwHKfusfg,0.39247967479674783,2014,3,4
7oTQXWI1I2iLq7I8NRpo7Q,0.12272727272727273,2014,3,1
TiAB515cdLAwoN6tcqWeSg,0.10303030303030301,2018,3,16
qQ6uirRCDR4c6EX05Zo86g,0.14858333333333335,2013,3,11
hkehlYifbOJVcDMW3ZGwpw,-0.05619658119658119,2016,3,54
jW1itL4e5ClAt2nE-C9eEg,0.16174444444444447,2016,3,0
s-_IHeBOWl79TF9aIDyh_g,0.1259261501210654,2016,3,60
edKeXMgxjqX3YMImyN0hcA,0.19291666666666665,2014,3,2
7Z2ox-cAY0ML7gkj4gHzUg,-0.03579545454545455,2016,3,16
gUUdh7b4MHDMoczLnsj_8w,0.38726615646258505,2013,3,0
hZh3PsxUTXv5oJsZdf5oPg,0.3597385620915033,2017,3,33
RlJttFKFk29I34gqEInDyw,0.2512175906530745,2013,3,86
kNk-4C0rOHihme4pcW4k0Q,0.2019607843137255,2016,3,36
GmCWSt-LeAgUsPZFdU-jbA,0.3624,2013,3,0
REN4GKqLZJDs-y06qq-4sw,0.4602380952380953,2015,3,5
gyPx7TSLXgfWvP45tTODOQ,0.30735294117647055,2013,3,7
dQNlUTlxYZxdy_rO_y8rDQ,0.17314988290398126,2014,3,22
3cE_R3NyV6HpFUi5z668Rg,-0.018181818181818184,2015,3,2
gUcp37S3FlPBtD_7PUcTbA,0.21205357142857142,2015,3,6
