review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
JkkvQ-o6MmRvURkkFWjLUw,0.2485912698412698,2016,40,632
EKwswdkVIhZtbE3kXn6r7w,0.38968253968253963,2018,20,597
VBrJq4kEXp3KKAzeaOj0yQ,0.24126984126984127,2018,19,54
DqLPglxevEC2nQoTpCdFlA,0.20879629629629626,2017,11,528
Urs-Z0xteHjziFvXqATbnw,0.24285714285714283,2017,8,72
zL0sRBBC4iYh6SiDCaFnkQ,0.23801020408163268,2017,8,218
OyKW8ZW1omn_k42fNZRejg,0.19830246913580252,2016,8,423
gkJiU6O-xPaO3HWmx7B7Bg,0.1375,2017,6,452
HothDBQBj9rjriCXRkjS-Q,0.1267268915295231,2016,6,204
DBqF_hXj_QMJYt1z_bm4vA,0.20892857142857144,2018,5,78
7D3AHdettUfZeTbar0wFuw,-0.1689285714285714,2016,5,0
W8UDL6MwgOitVKGish7Omg,0.17083333333333334,2016,5,19
mZLavO322jyh6OMliwVNfQ,0.2629201680672269,2017,5,35
lLau4jVN7MHbTXxI4_n__A,0.24334975369458128,2016,4,74
T0L0sNH29q92HbQ7R8r8FQ,0.29472789115646253,2016,4,21
teC-LSW3Q_Wt4iM9fDYeYA,0.27486424394319137,2016,4,7
Y7YdHzFE42tBCCQq2WqRiA,0.215,2016,3,0
K-Xu7n-NUrLZsbeg3DM1Ig,0.04648944805194806,2016,3,51
9xT2Vo9D8rj7anMshlrlrQ,0.45406336088154264,2016,3,18
VetEFl-RN66PS9Zr0Zilbg,0.23245370370370372,2016,3,95
XJjxoiCyzwHk1v71dZHvgw,0.18409090909090908,2017,3,66
nNmIj-WV10yxcdIndbXdQA,0.44821428571428573,2017,3,32
XZgeJVV9Wb1r02DhDHMV9w,0.5222222222222223,2017,3,15
VfC5iRQsc6WJRevLSXzjpA,0.3161111111111112,2018,3,39
JToW26v1p00FXZN3583L-A,0.24781250000000005,2018,2,74
7YQbvYlFkp5VIfNzq0f-Hg,0.5020833333333333,2018,2,3
Wa-StUCKM5Ntde4tciZqkw,0.38619047619047614,2016,2,8
oLGpNgyrwIz3X8S9q8bHMw,0.22119047619047622,2016,2,59
4ecD7VYHpFSqHFdsqT3pAg,0.4305555555555556,2017,2,2
C5IjaTjOJaDBY-i8bGhz7w,0.20462962962962963,2018,2,34
nTKEMnp9RKNtnNhPpCMDcg,0.16465517241379313,2016,2,8
YtfnxOczPNuJyBhVALTM3Q,0.3733333333333333,2017,2,15
70sTC96725zgTPAOsMQDSQ,0.25157418339236526,2016,2,2
P-vtXISV8XlUGrdOCiQuPg,-0.14599358974358975,2016,2,0
fX4vSvfQ-LFpiUFqI7UVhA,0.3472222222222222,2018,2,6
ooG5qvk1i3ZTDxWEvR156g,0.30446428571428574,2016,2,16
mq0j04Myo_4f42Of-kih8A,0.15176427738927734,2017,2,15
cy-SWHQpc2U1p5cbQqRA7A,0.14871351766513055,2016,2,34
OQf_o-UrSYqED_egaq5wuA,0.36590909090909096,2017,2,14
v7rJyNqPBK0Aw2OCR2PHeA,0.27440476190476193,2017,2,18
WdkR2P-APl6qDPJEXcu30w,0.4,2018,2,33
KEM7kYPw_cQoo7kL5_c1Tg,0.28611111111111115,2018,2,27
rL-FZLj3Og0IdwPmleL4fQ,0.14086161387631976,2016,2,16
pi0GCj4srGBhW5GWPI3r5g,0.284375,2018,2,98
i1hcgElw24CIYyEPjWMdSA,0.27874999999999994,2017,2,11
TTORJ0vQBuECEn_3Zph2XQ,0.009302325581395344,2016,2,0
fgJwIGfv7-W1BvW4I8aYXA,0.3629637723387723,2016,2,7
hiS8lhRby4rKDdwI2POdPA,0.2785714285714286,2018,2,29
sxfCuFR75_rJPeFuoi3dVg,0.5125,2016,2,20
OvoIbD9FtMhU5oPrGcM5Dg,0.328125,2018,2,45
MK661jipRZw-WaCJ-hg3OA,0.325,2017,2,10
O1e095naAisLZ8buHLqW1A,0.33437500000000003,2016,2,9
YvmEPwe_fGfP9UMDQTlNlg,0.5125641025641026,2017,2,4
UUBUlVlEZFdyLQj61nNIyw,0.16981679035250466,2017,2,15
SvOW1pb34zWKfSksNLkn2g,0.24639880952380952,2017,2,16
BWUWI7Zxci4x2CO8E_bofw,0.5446428571428571,2016,2,4
y6B06jNEpStsuqQzkmOHjQ,0.625,2017,1,1
QFD2rk0mxeXuOhESP_GiiQ,0.27060185185185187,2016,1,4
sB2fRu7lPh1iEDJcIqnTGA,0.10924688057040999,2016,1,31
boOXe1X3cAfBOc2zb6MKzg,0.16266233766233765,2017,1,1
E9_CMe66M2LxxoV4ORBC0w,-0.09479166666666666,2018,1,0
JLvFtrVr8V5C9MR7sLB4dw,0.2050090267756934,2015,1,8
N0iLDI000i49H4abj-mEEQ,0.453125,2018,1,1
pZIwgneFl1wPWMfz4qslBA,0.13712450592885375,2016,1,10
3bjTrvn4HYruDZbC9g8rYQ,0.30612969640313387,2017,1,0
fhDpbSNkQ3b_1s0IKe902g,-0.050000000000000024,2016,1,2
6siJ2Apvcez2y760U514Hg,-0.05277777777777778,2018,1,4
YVBceyJ-d6EfKnz2RK_oEw,0.8,2017,1,0
dcmPOYo6vNKB0hWONA3GpQ,0.5486024305555557,2017,1,0
x3DmCPscL1n0JchD75ZBNw,0.2964285714285714,2017,1,6
Qi20zNnmXVTywsqcW8lEVQ,0.3488095238095239,2016,1,0
tVDFTo8RT8nScW7cIQ2T7w,0.291025641025641,2017,1,22
Ym-owRDtHYy-1d9BWESjHA,0.2942857142857143,2017,1,0
FCEEnpKdrujaW68DaNnl-Q,0.25491071428571427,2016,1,30
RzMRLK5J63lV7HPmqQ-cTg,0.46468253968253964,2017,1,15
ZWIl1VAIBl1OOu4-4OuxTQ,0.12425881410256409,2017,1,5
