review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Bvk3ZYV3SpLiaQRsfNOSuw,0.38776041666666666,2017,40,69
qDlRfAWcTvpvTwTM2UYp9Q,0.2854414682539682,2016,23,54
qIeiebCvzmz8nvk5AIuQ2g,0.23552631578947372,2014,21,46
pO7NjQPcP4gBykqFV959kw,0.35416666666666663,2018,18,120
2LhbmE9C-6W9B4wdW-vAKg,0.3495098039215686,2017,15,193
3mdO9dtt5gf1pu3DoQa1Tw,0.11324068088773973,2016,14,101
Ext45Jyu__-icmJRj5SZjw,0.22312500000000002,2015,13,451
cLRbvAOGSDA25uBcYqcvWQ,0.21851010101010096,2016,12,912
SMTBMKXTi28JsQp1IMQdHg,0.07776353276353276,2017,12,1780
iw5xl_8NVU09Td1t9LYSgA,0.3084935897435897,2017,11,41
Kjr1Cmcn63t4v-DEmH2DEA,0.22698252688172038,2016,10,55
o0zt0YeJjcuzo-yV-N5TJw,0.06487426035502958,2013,8,86
vK7ARz9K5zuJ971QVBm3gA,0.09113957030623697,2013,8,69
y2T9zDJSyTQR9jshFzEb0w,0.1903846153846154,2016,8,596
Y6s5m9XjiWGlEITGyP0TWQ,0.45999999999999996,2018,8,94
63TXwUvAOUu2ZCRQghN_EQ,0.3773809523809524,2013,7,132
lOOW7I_-oh9Am1Fjpe3Gpw,0.21096014492753626,2018,6,7
GfKTHvEl6LxclyhkTatXWw,0.06633049886621319,2013,6,7
UmHms2yJkVVcAJ2GOqMtrQ,-0.03287037037037037,2016,6,27
Bzd4k7Wbxa3zUJ9uMrfHlA,0.3666666666666667,2015,6,66
uBwofUx6rXw9rs9euOn20Q,0.29840613931523025,2014,6,90
h02TdODD2s41K0RUvI20lA,0.2883333333333333,2015,6,133
Y39HuybjwuoUvA7tnmDK-Q,0.13541666666666669,2015,6,1
u0rziTIiUF0_mi9sOVk5GQ,0.12212643678160919,2014,5,155
R2GUk70MaHVD5xDhnIVczg,0.24606666666666666,2016,5,38
EL83CXEG6tR3oPpAXmHjiw,0.10646497811131955,2016,5,133
rC9hl1e2iZ7hnr7i8uq4Bg,0.303125,2014,5,28
9Caay2gLLP410nfEC3PgqQ,0.14120617944147354,2018,5,75
m1zkOxAqS1ycJAk9JHFBQQ,0.312962962962963,2013,5,44
sUhhbckBacdmXAB_DaYWEg,0.21040372670807453,2016,5,92
snrWTLBHQlA_6JuV9DJOQA,0.13974358974358975,2016,5,6
n1vzIv7UE0Io5QV07eKiiA,0.1704656862745098,2017,5,18
L9FYkZhsiaorDlmM-OmI9Q,0.19687500000000002,2014,5,23
mE1pwqjWIcwwKXROXUnfGA,0.3071031746031746,2013,5,5
jgAWtN8VTdMk2se7ApjGow,0.3583333333333333,2016,5,43
4cxcrQ9n5Hnl8N3yE8v6Rw,0.4575757575757576,2013,4,5
umhOqMIWtekqFVvE55JXog,0.3932692307692308,2018,4,11
9v7wvr0JKlNJyZht2qoP9Q,0.05479166666666668,2014,4,0
OZ_SGTGX74fgJWb43SgmVw,0.3857142857142857,2014,4,1
eCuxx7ixGNqNYpvPqFPtjQ,0.157972582972583,2015,4,1
kwQQ5Qr-fuxfb8OlliODkA,0.40769782543038346,2014,4,90
NF-XfTWzm0oY-mzTVS8Rsw,0.17845864661654132,2013,4,1
Y9eAAsjyhVfMJALzHKiazA,0.2064236111111111,2013,4,57
ndr5RjF_mFyUU7gNf_y_Mw,0.07174551638837352,2014,4,4
RdUCK208cN4o3vmrc3SvYQ,0.4416666666666667,2013,4,0
YQ0SY-s7WSFG-JGl1Pug-A,0.24348958333333334,2016,4,50
D8ptOB1zW0wDc0ekDJUiHQ,0.30888157894736845,2014,4,20
W8PQUQF7zvvg0DA2GCuvIA,0.3203125,2016,4,118
K-W8hrHN9cdbTRKgDPGCAg,0.11400584795321639,2013,4,47
wwkZ3nmObOCc53z2K3zx8A,0.3263888888888889,2018,4,49
AYD5_aeD3mM71ZM5gQg4jQ,0.3405555555555555,2014,4,34
8mf7kk6XoFN5F90czSrhmA,0.276,2016,4,36
Ei8ZawMxqwPWlSo4Spd1ug,0.3301934523809524,2014,4,67
Xk9mXLVa3Liku_2eXy2HdA,0.2833333333333334,2015,4,32
ekaKhodZDddB0IY0CWerlA,0.2931111111111111,2014,4,6
n56jupzSLO3CPTirAlvzcw,0.30405701754385966,2017,4,50
j_LAl3ruMVqEbBpdg9zuBg,0.2450143325143325,2013,4,3
YgBHwM2huzAlY6-TPKP5HQ,0.6625,2015,4,1
hutZGZYIUFR6Tv9v9J2KWw,0.2865901199494949,2013,4,26
2oxXWVxZBfVwLYstL9IPgw,0.2998724489795918,2018,4,5
snkulHeCIPUmxGOLbyvuCg,0.2637745439084725,2017,4,14
dI-_8vSQddRSSgyAtICsdA,0.26154761904761903,2014,4,70
Se4o5mK9LJkwaJkkZOUWRw,0.2810190710190711,2014,4,36
EKLO39sbn5AYhHTfddbdaw,0.6253472222222222,2013,3,15
_WuOMvr5eRcorLlO7JEoYw,0.31361111111111106,2016,3,6
JoqjX8M9JHcB1Zj05wYtMA,0.13738839285714288,2014,3,0
h5qRY40JJuWSQVVbpsSM9g,0.35,2013,3,0
jmy1Mgb3rdOaLChc60zVRQ,0.25083930437378715,2015,3,18
5lSSLY5oR8W-N0uZEHMc5A,0.37557291666666665,2016,3,18
WuO7peru-1ojn9BySr-TMA,0.13,2014,3,5
JNvzcXfiO4E9z8TEhOLtBw,0.3166666666666667,2016,3,0
rsTP9fWT0BNRlqvmbKp22A,0.41011904761904766,2014,3,58
