review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
ArwIJBoHxXFK_7WGFdxnnA,0.3029201173222911,2016,46,738
WHbXsJe8XFVn6HJzpB8xKQ,0.29738095238095236,2017,38,499
tXz5iuaiwHLRKRIXLI0riw,0.09725378787878788,2017,37,92
1KTDoN9NLoIIPuaMqdaoNg,0.09707807668521956,2016,27,499
9mhxcEgUm11QHxD7FvS_yw,0.25595238095238093,2016,23,93
Qx1T9TaokR7WscYOmxa4_w,0.3742559523809525,2018,19,82
bCbtsldKdoW46R_qILA3QQ,0.3726044226044226,2017,18,255
VQofcVe05yCTmGGsJ-nmGw,0.2475533661740558,2016,16,44
nLOH4ZVqm-MJL_FK1pCOWg,0.475,2016,12,151
loYTfUT_iQBxbsTimAnI6w,0.1471412698412698,2017,12,102
ZI7Xgq8ln6KwZcNxKjW1Jw,0.15393762939958594,2016,10,133
uvGxAZKsCEZtX0pfcJlp1w,0.04589947089947089,2016,10,155
919lsbH61Iz4GVgm0BmivQ,0.13822222222222222,2016,10,113
rHWFtF9ljGI8W-IlGZ01Ew,0.14039950062421974,2016,10,43
s3W90zZ665OySU6JL8UMsQ,0.117921626984127,2016,10,88
bN3hOS7QQuDORLrK8i6BPQ,0.2852941176470588,2016,10,10
qxz5xemaGgxN8cC_T_36GA,-0.01333333333333333,2017,9,1
7P7QO2of5v9p0PTI8XXuhQ,0.2805555555555556,2016,9,45
D-3dNwRFa2JE6z4f_Ucg6g,0.2829824561403509,2016,9,132
JuV9u16gLkQ1V99d9x505w,0.0882034632034632,2016,9,69
oBQFyx_62w9r6DyKM06eBg,0.22735635576544666,2016,8,51
xfWAQiIwvywYCQ6CR9dI7w,0.46071428571428574,2016,8,44
dWLI3KAX8uCnQiRwLG-Tpg,0.14832704517704515,2016,8,112
rnPw7LX3Fe2_NoFHiTp8xQ,0.13653846153846153,2017,8,32
VO-en5bVwjvBJvWsuoa_Pg,0.27254834839073977,2016,8,7
H66S4zniWjAl0D3q3w3ABQ,0.18271593915343917,2016,7,11
HYKXVa8-NW5h7e3Dm2_Opw,0.14027777777777775,2017,7,102
JxpOEqSyoFeHB9YzWGFmpA,0.284375,2016,7,25
SczXbep4jrG-AD4V0Qfm1A,-0.0597902097902098,2016,7,1
fWCAoGjIvS0eDDB6n6KO7w,0.24839307048984463,2016,7,34
b4jHazNiNtJgrPAgeY-VNQ,0.21844720496894413,2017,7,44
n6bWvzjd0c5N3p0FF0I1eA,0.16078703703703703,2016,7,33
oX0pFrWDhKV4TcwdRJgoRw,0.14481203007518798,2016,7,14
AFGYyV4Og9nx7H8N7PZTxA,0.3379072681704261,2018,6,41
KGcjIGjVYbtNC6N0Jrx1GQ,0.08750000000000001,2016,6,24
FRFvdPwKmevyUKZ6VlC6Iw,0.20348956598956594,2017,6,71
hT54NkIcLY1bSDZzzeWbIQ,0.10798611111111107,2017,6,48
4gvR3Hkf0hOi4uB1z5oUxw,0.19172824302134647,2017,6,13
GQ2QFooCFuzOoBR1kBztlw,0.2169444444444444,2016,6,10
_aPcM-IjiHlbKvBQxx_B6g,0.12235389610389612,2018,6,41
hivEUwf-4sxESnDzYNHfOg,0.2146768707482993,2016,6,86
nZcT39CxHgbcsMRB5QKEQA,0.20348956598956594,2017,6,71
m6C8_V0aX3623HuGhqQZrQ,0.33745421245421253,2016,6,0
MiejSTlexEs8yifsqcOinQ,0.1608608058608059,2016,6,9
n8XGSHkr2tQlyCkWeqnGHA,0.07439393939393939,2016,6,44
h9NVJM5NAExe4sdHp4QbJA,0.09655172413793103,2016,6,0
8hAYk0isEfpNLPl41oOXyA,0.020405982905982906,2016,5,1
JCnzpQGNF1ogXHJsUd2plg,0.16835710585710587,2017,5,35
YS3ngKP7n66R12QRdNCqxQ,0.16409313725490196,2016,5,0
pzZFi2nCvczppEmYIm46qg,0.3172077922077922,2018,5,18
dTcuAcLkIVwuE_DChnjB5Q,0.25,2017,5,76
TCTV8I78rt7pX7oLjiBziQ,0.4072727272727273,2018,5,55
CgyFU_-DD9s6SgmpAB0wTw,0.3608799208603896,2016,5,16
WIp9LeCe1MdBuQe3i51kqw,0.181030701754386,2016,5,11
jZCrKUigf1gzkOuazpX62g,0.19461063627730296,2016,5,16
gE4AVfNque3bDikopHunKw,0.33666666666666667,2016,5,7
8wu1ANgOABYdpjGXnkXZKg,0.3196428571428572,2016,5,11
tM-60SBz2KmOdQffbkUjoA,0.08115079365079365,2016,5,0
T9AUlbcLGRLzdjZn3OE-yw,0.024993128564557134,2016,5,1
PTscc2FJbltr8Mg1POxQaw,0.4033333333333333,2016,5,9
imYgpkV1uXacp04YkmpQoA,0.21383477633477632,2016,5,18
Sv5mPd0EHXkPTo2esWq7aA,0.2426948051948052,2018,4,53
IZJA8znlj1XF_Rs5V_ibxg,0.2842361111111111,2016,4,0
K9Z1QOGzE6UjhMd_l6a9cQ,0.24705532212885148,2017,4,8
_pWCJQOO9fYPtqZforJNcA,0.07273888888888888,2016,4,1
14XdAQiDnjoWZT6ZP7dmsA,0.16144444444444445,2017,4,0
3yzkbS57a37QQmIh_fH1PA,0.215,2016,4,5
DIsI-UqLC7jy5wbEaKaNdw,0.4050000000000001,2016,4,2
QW5wA58dT6iZ7uIYOa79eQ,0.05707671957671957,2016,4,16
r3aLX7o_2j52ZpC_VfbaYA,0.10144230769230766,2018,4,0
kHroT9mUKHXvV7cc5OffSg,0.5583333333333333,2016,4,14
FIN_Y1Ckvij8Q-Ut1M_uew,0.22272079772079773,2016,4,62
JuYt-mwT52X4H3pnsBC-kA,0.10672496392496392,2016,4,0
MQWbAMAXHYuUUewatwKTBw,0.2875,2017,4,87
7sdciJPjkeZQWAQ73i0m4g,0.1727272727272727,2016,4,19
ZGAmw9xL-QNDWls0MfvI9w,0.16203703703703703,2016,4,1
gRWhDa_R3wVF5_5YSFr0kA,-0.010227272727272724,2016,4,6
BrAWswoUvYDXjxURF2WWfg,0.18570958646616542,2016,4,5
M55AN30AJrSnq8YusyEGcQ,0.40936147186147187,2016,4,0
wus7Rv-ItGgyiSTC5PwXgg,0.1730429292929293,2016,4,2
1lupTiV-CHr4Poc7An-PmQ,0.5183238636363637,2017,4,17
PWvzOBX5Dad1bWU5SPfA3A,0.2167630805408583,2016,4,10
D--Bf8qKZfvmNHfWNPJQyQ,0.1916510225885226,2016,4,1
7UcI41v-zyQqbDf6xpaRbA,0.36875,2016,4,183
9NZENHYXMHCTmUIJ0AI_6Q,0.2664855072463768,2016,4,44
IZkDLmiN8_0qrJvPLgTd4w,0.1292016806722689,2016,3,8
mYmEWOE1oCXOaXKXI_9u7g,-0.12236111111111111,2016,3,0
0fxN-YMFMrfjX7KZgEjLJA,0.31584520020392415,2016,3,19
jwiYIiHGg88mTQw2YnQtqw,0.15592105263157893,2016,3,0
VsuDkEXsJHgl1WL_7PMjdw,0.3092573051948052,2017,3,25
K9odG_lUJ4NraKijX2vS9g,0.11848694316436251,2016,3,60
1Fq0yq6dU4aB2FatTZzlRw,0.22145996603970744,2016,3,28
KeC1Ra96PNZI0DDIaEz9SQ,0.10535714285714286,2016,3,0
2ZC3nsiCmmj0ADTC2SWcSg,0.3975694444444444,2016,3,0
uVmHyt4gfAdBqmw27eZ_tQ,0.26458333333333334,2017,3,5
wGFbkxW90hMP4CvfiRMUqA,0.3925,2017,3,11
q6fVBcV2yp2VNQE-v1r8Og,0.2113095238095238,2016,3,6
SWdq4HQBkW1Tw_cmj7WF7g,0.15303030303030302,2016,3,82
WBHCSYv1Nkw4uibm8TC_oA,0.07153351698806244,2016,3,2
daaUxxFeUktvKGbSxuYGHA,0.0611111111111111,2016,3,1
wWX_YJ9dkIIUJWB6vpJvew,-0.11746031746031749,2016,3,0
mOpIlExjnCEPx5f7FLs-2A,0.39511111111111114,2017,3,0
HYwsMsfcGzAQ561IIwfxdA,0.13630952380952382,2016,3,70
ZkQaCsKBnvV407R_Mou36w,-0.0515335648148148,2016,3,2
0aQ4xbrNi5ag_3HHKmVSrg,0.244359410430839,2017,3,57
KiVy0rXcdDqBvFCT2kXKqw,0.06159060846560845,2017,3,23
5Y68RngFd7DMIlTcAD_Pog,0.05241301907968573,2016,3,0
j-JIoDY3tbpVhwaNlYH_KA,0.17136363636363636,2016,3,0
cRkAHgQcJDzWzVfLrI6LKg,0.27341269841269844,2016,3,10
BXmIVne3OaW88S-95Z0DCQ,0.19624999999999998,2017,3,15
UPB0UmeriTTUcnPi5EQTYw,0.2416436251920123,2016,3,7
Xgqv26aDhzy52fNoCYqVRA,-0.005460927960927956,2016,3,1
Mh8SUkqIvLRNctDerKy5qA,0.1848003848003848,2016,3,0
4Vn04vI8ErHHNI_1mdVHEg,-0.09415343915343914,2016,3,3
0HNrKUq9AlUMPbYrt6TJKw,-0.029619047619047625,2018,2,0
1VsP0BUwiNiaHdKHh0fMFA,0.2545454545454545,2017,2,2
u9TW5IYSyQa8jfwzsGKHuw,0.2575833333333334,2017,2,2
3q8ySAjgHaogaN5ULi_l-w,0.22733552631578943,2016,2,17
IE4hUC-91PI3-40hxNnR8w,0.355,2016,2,25
UdQXhhTqx15AjbGQjwtFuw,0.46208333333333335,2016,2,1
cyjexiLkghYOp2SMBsRxjQ,0.3375000000000001,2016,2,2
sBCbReTgww8kV53nSMQ_qg,-0.25,2016,2,0
sTMB5HB1CynAYVyROSNDWA,0.195,2018,2,12
X5Igtm90sSzssAt0hPRPMA,0.11675925925925926,2016,2,6
1F1V1-I0JnIyBuLxuAEkCQ,0.48571428571428577,2016,2,7
-uJq7k7DFmQMcF8K8en4vw,-0.07958333333333334,2016,2,6
7kTfF6vo2G4VJ7p1E323sw,0.5966666666666667,2016,2,2
k4lZUL6DXfAg_q3jm3UPYg,0.3625661375661375,2016,2,1
8cdd9OOPKxIO9gm-9tx-qA,0.33125000000000004,2016,2,3
2TTIGKaufJs-0K4cBtiRtg,0.21875,2017,2,4
pFigbScuamOSX2qJgSCv-g,-0.01282051282051281,2016,2,0
gT33BVknVvCGvn30CFBPhw,0.28437500000000004,2016,2,0
l1mxH4L2GBNR7yIRJkyD6w,0.6063492063492063,2016,2,3
nrNxTZglckNNoOkH551X_A,0.09143518518518517,2016,2,90
kUV1SsdqTb4cMJm-Xbsj7g,0.3666666666666667,2016,2,0
KtKBDIoyf1g3Bmm6_oPoDw,0.2015,2018,2,10
EwF764JN8GIru31F3WBdzg,0.20208333333333334,2018,2,0
1EM4yh5mjB9EX17H6V18-Q,0.31319444444444444,2016,2,2
xTr_UupgCPHvyoE3nJkp-g,0.23071428571428568,2016,2,1
spp_5mdA_GxjegnUSEr2HQ,0.2054751984126984,2016,2,3
SeluVkjDCdzYBac4NTesIA,0.30666666666666664,2016,2,0
QQPq3n1xJKJ7BYpF9MAw7w,0.2357142857142857,2016,2,0
12fQAFNUHibCVEgYN6b6xA,0.1687402597402598,2017,2,9
gKMUFNni87phK-gjH1P9Cw,0.3798701298701299,2016,2,0
iLKCrjWKgQmrC8k1_LbPLg,0.12874053030303031,2016,2,17
HPsfMjkLeM702yhIJVnC9Q,0.3318181818181818,2018,2,4
mGFNz_rOhCoa5kKse8geGg,0.5225,2016,2,2
hlQCuNMl7ubTECPxTBDdng,0.36053841991342,2016,2,9
azO1OhfHt4JKJSXcmjL5mA,0.1605332167832168,2016,2,15
x9uhE1pAWSSzMOVdLnfY6w,-0.20000000000000004,2016,2,0
KcmE3sZ6Jc5wVhBdJm01Gw,0.5081249999999999,2016,2,4
8EiwYLXp4CK4DqzekI46Og,0.13533333333333333,2016,2,25
byaZv792Dbm19qDm63u6tQ,0.2056216931216931,2016,2,16
2HjTdTAJduviDD5S_upEXQ,0.19230769230769226,2018,2,1
riH-lTscCmQJJwxBZWQ5hQ,0.1517261904761905,2017,2,0
Um_CEnCXpWjupLc1frRaTw,0.1583628492719402,2016,2,0
2_lFWv5xZG1a7xYoXtrgiw,0.14220853858784893,2016,2,0
nhKsZu5UqNdipoC9v5PIpA,0.3885416666666667,2018,2,3
vukyViSOrjlzYrRtaIXkFw,0.20582142857142854,2016,2,2
iQQhyYeUAMAZowecpi-A-w,0.24223561712908304,2016,2,15
65FK0Z9yYTw8Xcl4AGHhHg,0.26256550467076784,2016,2,3
L-U9Z8E5_YuBSuYSRz2i3Q,0.5625,2016,2,0
kgdqu7ytbCkuvNsV0xEHIw,0.22277777777777777,2018,2,38
1ZDd8ZAo-4Sc31uB5wg9tg,0.0,2016,2,0
sauf6qg2ZpXlLShi0qwiIA,0.25333333333333335,2018,2,9
6XutVCvzOMU0BmYmtJQHwQ,0.33769841269841266,2016,2,1
E8dSF4zZWBTiomTjmUe5ZA,0.21000000000000002,2016,2,6
7TBUnB7WgGyhzgL32DWfIA,0.08541666666666667,2016,2,0
QjuH7qOrbLFiKBrCOvWSfA,0.10122685185185183,2016,2,0
6AA-BqnsruWobPsqM1L3nA,0.2734931734931735,2016,2,3
NCJadgL0W7V51brmd3HiZw,0.3757575757575758,2018,2,19
dN0gle8p4yiu1aYj5g7kfg,0.08816201636904764,2016,2,16
f4bEN5HK5hAgOpwiZtt0tA,0.29833333333333334,2016,2,0
uF3EPQ0_JLXWi-3hyg-M9w,0.1601851851851852,2016,2,0
vG8tc3niRmzUWArQ140X2Q,0.02375000000000001,2016,2,0
UpdBoYKs-XPIdl1oIGxnaQ,0.26325396825396824,2016,2,6
KoDQ3BBz1opx_D-KxYcH4g,0.1871031746031746,2016,2,7
6GYLnrNWSXBg2oBdXKv2ew,0.21506211180124218,2016,2,20
n6PmIRWIeGgQavFG_6rIJw,0.4125,2018,2,20
c7yvM4CH1jLkLhWs6N6yAg,0.024305555555555552,2016,2,2
dIUWcPpBYK8hC_ZXHYSc5g,0.04270833333333333,2017,2,0
RN4OY6mIHNTbDzMRk1DQTw,0.23333333333333334,2017,2,14
xPobCqDNrrsQ3RBadR70Xg,-0.3125,2016,2,1
ycQrOXkxSxTG4NzAKOk8PA,0.4554166666666667,2017,2,4
qA6SYDL8mEo_M0kZQv3rvg,0.2392857142857143,2017,2,0
8jPX9fkF3zGYJA_c2Gcx2g,0.17750000000000005,2016,2,2
WhOR3ttdLykcfHSQFjd4rQ,0.08472222222222221,2016,2,0
HdeyYSO7KXl-xrn4KBeL2g,0.346875,2018,2,129
-ApWMsVrnlxdKeL54BdNNw,0.14682539682539683,2016,2,0
-1yLAgCBk7acJW-rrRf86g,0.3083333333333334,2016,2,2
MRwR4VuePjHFLHwGDO0ZRw,0.009659090909090905,2016,2,2
V5SlBlrhqNDxUMwgfQDvYw,0.08571428571428574,2016,2,1
p9VT190zShDBZs6IWpe7RQ,0.42545454545454553,2016,2,15
4Jzkw047wArj1kahSL8hNg,0.38495670995671,2017,2,0
3aas2NT4qaplKuA6XZ9J9w,0.15461111111111112,2016,2,14
ZmcJLKCbECIBOLGsiNYIJA,0.26421568627450975,2017,2,10
RJlagN2B2_FWp503YRsilA,0.48939393939393944,2017,2,0
Ht5W_BTSPtszH2EvTqb13g,0.17954144620811285,2016,2,3
VH33XsE0WSuP-Kf6qPLr2g,0.30003472222222227,2018,2,6
3QvEFwFx9tv963P02ca5tQ,-0.03916666666666666,2016,2,0
mdn_KN5Scrc0Vaf9jW9Siw,0.05972222222222223,2017,2,5
JsNdk5dI75EuQnSKfCU10A,0.48181818181818187,2017,1,2
mAc5HTH5E1IIc_L06iBHQQ,-0.00986904761904761,2016,1,0
WKd2X03jcn2Qr-vikYVV_w,0.35072916666666665,2016,1,0
uLhkxmQoICXbdX0SUwRWtg,0.3736394557823129,2017,1,5
k08NOTyD6j_LRGfKoSr7kQ,0.52265625,2016,1,0
y6SGdY-Wc7SlomNLlDeH5w,0.4972222222222222,2016,1,2
acU1fJRWbRffP4KfsSPvrg,0.23888888888888887,2016,1,5
qWc3nGdH0NiMPF9Sic-tVg,0.10525641025641026,2018,1,7
E0R6UCUoJ-ouygDg45UI5w,0.08522727272727272,2016,1,0
LoVSjYziuEBF3QhqnadZDg,0.675,2016,1,76
212AZ3Xi8UJvcn1eHni-oA,0.4172743055555556,2016,1,0
