review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
dWyoaLorFfUDoe_w3jMwSg,0.05938359155464419,2011,17,0
UbEhejiR-HxMMnHn6v9cEg,0.1973646723646724,2015,16,29
yzHtNUOnb65gax2Y7JTwzQ,0.28598765432098766,2015,13,452
CHVZ8GEpy8WnpTSlBAB3Kw,0.3145748299319728,2016,12,17
di3uLNQukOfxhr85ekoUBA,0.2705879494655004,2015,12,61
sb5AY6e46IFh0flJhGjtMw,0.22945906432748533,2010,11,402
mZv9hS4DQcxc_psxTxaM5w,0.33776958776958776,2012,10,344
SbmAvwXiY4Rxr4veYDsm6Q,0.2794871794871795,2016,10,559
XysAFRl-F3fdP7DlfX7I_A,0.2954396910279264,2014,10,15
rsPiYMqfshrrU8qPQBp19g,0.2121492704826038,2013,9,2086
WmIhV0-cZz-2rN9HffzKXA,0.23184649668325039,2011,8,24
sGW8vbFyblBAS2RzNnvzIQ,0.321875,2014,8,15
3nMPoPOunNBWeNWN_64plw,0.20954184704184706,2016,8,38
irMi609lS1Sbvqhfd5W94Q,0.6455357142857142,2018,7,218
82ZCqbqG1U7XizGYrZp3vQ,0.2990327380952381,2017,7,62
5qwNIYfPhHT191NkoKHPqA,0.24500000000000002,2013,7,1
x-mr0UCqS1nEYUiO8TtIIQ,0.002128427128427117,2010,7,51
s2_EVQDuyfLY4Q90N4ySHg,0.2020585317460317,2017,7,95
bqD0l4Y8Dniosy1n2kPYPQ,0.2252707431457431,2016,7,423
trmFqz142FUTJEcZq7PYVg,0.3097575757575758,2010,6,25
C9fBxZOpL-oS5wOfWA-VAw,0.33925,2014,6,69
3NS4S1_EnW2BI5sybnFEDQ,0.17786796536796537,2012,6,4
1uw36MuqYX7Frx4hLY9XtQ,0.16152846195949644,2017,6,37
WAjwt7m8dJcd8OfScnp7Gg,0.2239727663640707,2010,6,203
BUbWl9pAtE4QswFXxLIPBg,0.16666666666666663,2011,6,2
1RZKYWYKtN809DtFaP2S7g,0.21701388888888887,2015,6,55
u4H0uJKBvrzNrJihL7gYCg,0.15694768816617555,2012,6,344
H7sHYG8jLrh3ner6Q3KrWQ,0.2844618055555556,2015,6,31
pBVnVq9d4IJI62J_UV6Alg,0.12063605442176871,2017,6,47
rIDMCqIQl8F8zlbdfdXOvA,0.06427777777777777,2011,6,124
-zAlyMsyVEUnCrEg-q2VnA,0.4201923076923077,2010,5,3
vfGjXAgmZ2p9fqS2J3Eylw,0.23000000000000007,2010,5,154
2FLrOdO7UJNc0IDsBPo-Zg,0.2465909090909091,2011,5,5
pUp2A6UYYHGnFqdgH_1hPw,0.15448908730158734,2013,5,15
RwQ8NJ2PttY1G6qqTLnYLQ,0.35985491071428577,2013,5,1
dqDSJodZcJ9Qq0Mdmx7Vmw,0.10892857142857142,2017,5,62
2W7_E3XSDqqr0uGbBZe0YA,0.47386363636363643,2017,5,90
aNov6h5GBxvlem1ZdD3GGw,0.4014492753623188,2015,5,10
w_oGvbuMZskyPzma84nfjA,0.46535714285714286,2014,5,1
tHQWPvmDoQknlvz_iJFtGA,0.22727272727272727,2011,5,28
4oFwvtO_QmWpE5id3RkxiA,0.049305555555555554,2014,5,9
oaD0WW6jpaO0UMtka3m8hg,0.010317460317460319,2011,5,1
EnvAl8fgz-e2w2KYZyC6XA,0.14097222222222222,2012,5,18
Np50fg0Poh0IwmYEMWcwiw,0.1084640522875817,2016,5,27
