review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
rebydUKpgSDFCECkQyqgew,0.13,2017,39,79
rAQeOb13E0LJzwqmmkP5aQ,0.42237373737373735,2010,17,9
LhASne-hl0yFoX46pd3z6A,-0.11111111111111109,2016,16,0
8jU0kPFlm-5pFdVLpyPzag,0.2724637681159421,2015,13,64
7_tKC5XGNY12Dh3gpxmtxA,0.30167410714285714,2007,13,262
bftmQLCXggARwInmpzlFPw,0.27758658008658005,2013,13,155
JhQU5PjbACxHNsC7zDl5JA,0.2530047263172264,2014,12,123
DGn6nJGe279flI1yupkXZg,0.1902777777777778,2011,11,47
mjExcn4p_2xUh8ISlhtcTA,0.17128384687208215,2016,10,43
CdkRyVIoJndjUR6peLwDSA,0.3119482369482369,2009,9,83
xfIFOhIZVZqViEkrnszDdQ,0.14577519379844964,2016,8,49
tTvIuF1YDnx0ZpNTwPhbVQ,0.23285416666666667,2018,8,55
Jn3KRr4_6cE3SC1pvWGQfQ,0.2847402597402598,2008,8,43
Tf4dFVZfAHStQGMRwgHyVQ,0.17843094325852948,2009,8,3
IE9f1V_ZnDkhfdN68VkwZw,0.20729166666666665,2010,8,58
Mn5DRwtLuWyCAozRVThODg,0.3091666666666666,2011,8,64
N0gYPJ0xFrCtJHycxaWb5Q,0.2056818181818182,2009,8,2
Zxbnpg1HXeBOuk_WelNkMQ,0.11666666666666664,2008,7,43
eiVaRCvhihMCZU-6gGy4pA,0.15054788961038962,2017,7,133
pDedqTY7QSbppRSSWWfZYA,-0.12049696180555554,2007,7,52
LOv7jLq_NNTE4OiKtnb4ZQ,0.07381313131313133,2016,7,1
HpG6BSmcjcbwf0-xoaIPPA,0.24335585585585584,2014,7,271
iXHyfS_L4YB8pTpulW74uQ,0.3520238095238095,2009,7,144
vTmuOSouwZoVARaT6suqOQ,0.02124999999999999,2008,7,8
OSayy6ipS3Qu-uUszkrexA,-0.06736111111111112,2016,7,10
4XtnIIBOrqTY29bxlqft-A,0.24151905151905154,2011,6,0
MCpilyvcE1VK4KTInr57kA,0.10958994708994707,2015,6,0
QCOvLaRTupZjb6ZdsoVQfw,0.18463541666666672,2010,6,89
NsUEZPsDuEga9uY9SZno-g,0.016666666666666666,2010,6,73
7nKUlunUoEmd5b-KIAFrig,0.05128499278499279,2007,6,61
dCtujlmIlDHQBFMhSCBJ2w,0.06939655172413793,2010,6,133
lk5ZHWbWQdE61L_5bGgiCw,0.10462063492063493,2007,6,87
wlkykuH3nBAix8xV9Cfiag,0.07287608225108227,2010,6,3
UEv3SeAui0v29bNCdJHAMA,0.18509445100354194,2007,6,62
RZKppksQOuVOL3PC9rifPQ,0.0675391452519112,2015,6,4
u38ul4j4vQTdqYyMhiQHWw,0.23796296296296296,2007,6,7
mHnUq4M7ytgbt91Guq-UPg,0.29970707070707076,2008,6,105
5cPSfhbRRwPerFCDgovJQA,0.2041666666666667,2015,5,0
OodT1OARm1HwKNBBDFNizg,0.41464843749999997,2016,5,15
wsDCEepUv_osgyPwZG1DMA,0.20755562641723357,2007,5,894
9CUNMN1Dt87TrcRgRlLdYA,0.08607390873015872,2008,5,87
CJeMkDW54Hm2jIUjOHU-mQ,0.3666666666666667,2011,5,20
aztl9Uq7zniLBsLJg4itWg,0.3494444444444444,2016,5,24
UO1LmmyFEOcqu1UGg-sKIA,0.15504385964912282,2010,5,14
MuF63c6PbpQHdVk6nvlu6A,0.3930555555555556,2016,5,36
cvd4uzj8JpPZe77su5cpew,0.4100427350427351,2016,5,112
U_szrXhQhRW8SGywqXPs-w,0.06107448107448109,2011,5,3
w0D31__OEiiZLAwIIA780Q,0.27029569892473115,2009,5,8
1CM1DjkgIsZRUOcNRoWxlQ,0.08072089947089946,2011,5,2
XQDANXu1lzLz50W69_dYlw,0.3258333333333333,2007,5,56
4rtpbGr6cr-FVZTlZKMmNA,0.0435919540229885,2010,5,3
y3Qnn4OXPUzj8oIjx7sOvw,0.2420601851851852,2009,5,32
DsVYPewWmuSL24MF5uVzpA,0.06288311688311689,2011,5,2
ksFQKYfd7QRGq3IDFO71cg,0.10615384615384614,2014,5,31
oZrH-t3SV1huqkXo4kFkwA,0.16319444444444445,2009,4,1
JCWFqV5FI4IyCvExldTQCA,0.3198626373626373,2016,4,111
iF3fFE2bI1V10j9ZciNl-Q,-0.0917184265010352,2016,4,3
jc3VYiog0NMGRM8U0eDpyQ,0.0030303030303030294,2013,4,30
2GXSgYSzr1_Stzc29lfk-A,0.1434895833333334,2011,4,8
7eB3i4oOvu2Pt9BD9KR5fA,0.1155594405594406,2009,4,4
B2rhmqnlRSIwlNd3YiDtpw,0.23881172839506176,2008,4,4
8uSgsutcLRUW-SnBUu_GUw,0.21398809523809526,2010,4,102
xhBeoGRGf_hsXJso2N-s5A,0.38963809523809523,2016,4,16
Y_OW5A5SFk7IBd7pWSbiPQ,0.1877777777777778,2011,4,13
RM5dYivtxaRuShKI1M0zzA,0.03203125000000001,2009,4,1
T1CoIDep4MRDBOY8fPuaPw,0.19615384615384615,2010,4,12
8ed7IAIgTWL4t-u2Us070w,0.06458333333333333,2007,4,3
JEmlZtCg3grNfIRwShdUvA,-0.17927536231884056,2016,4,51
OOyGvpbs_qLwy5zWhST4vg,0.19292200854700856,2016,4,13
Uz2tw2q47j8yLXMzDYtbEA,0.16666666666666666,2010,4,0
iFEviNTzSN9LUM_thw3U2w,-0.037979282622139746,2018,4,10
jFmcbAxxgEOJPRGN_dBCYw,0.10929487179487182,2012,4,26
UWyB5e4x678zs_Wt70w58A,0.21897163120567378,2014,4,112
Fhv8_sR5KCKTDUWUyncFjg,0.0890625,2015,4,79
3ph-wO24rzgVmrmhxNmi8g,0.375,2008,4,30
tE5DEG5b_qqwJ0OB-2h19A,0.22254464285714284,2009,4,5
E69f3FYX0Me7tzvyayia8g,0.34722222222222215,2014,4,31
yjUJbFeXGKhcWwsMzFDvog,0.3907407407407407,2010,4,8
lfgUHi0iaR_yMiolKgy_zA,0.09605387205387209,2017,4,0
MWgPMan0dWIKtBnMrZjeng,0.3073511904761906,2015,4,40
k2cfSHgth9LYcV9-wZsONw,0.16763333333333333,2010,3,16
Ven-p6klO70-0P4-IBWEqA,0.3487654320987654,2008,3,9
6QpETgBGguMhTGddArkttQ,0.26999999999999996,2008,3,7
KR0r8n2lF66RZJ5qONmQOw,0.07142857142857147,2012,3,9
xjCw3mSQ1NJyk2fdfEZWvA,0.524587673611111,2011,3,3
mSvgHDPKSW85LJjV0Q6wsA,-0.030555555555555548,2016,3,1
s0A2PdH3VhXYtFqdFoNeDA,0.2758333333333333,2010,3,14
XFoohwrB02uZPHmGsioYhA,0.30057519640852964,2009,3,2
Uc48SHoFaocUYBoQZyvdqQ,-0.2303030303030303,2013,3,1
U_jV7gGUpdPn7oDMdVOEaw,0.20424107142857142,2010,3,42
Acq2CbFjCivLz6J_yIrrPg,0.3945512820512821,2009,3,1
8XdkKythbpp4PByhKoceOw,0.3505555555555555,2013,3,164
M8Vo7tyqSUsG9dSOJ5Hl8w,0.2533333333333333,2008,3,5
bCBVAKglE2hxxDgwOUPS8A,0.3611111111111111,2009,3,5
mdJj16s9ScMShPJhIsznQQ,0.3671875,2018,3,5
STmQVysHkN4WZHMp99A-5A,0.333125,2010,3,18
Va4U67A_GF7gt6QgAo-pdg,0.01766666666666666,2007,3,7
D72f8qNw3JDbwKqdgaQ-9Q,0.21894409937888198,2008,3,7
U3r_jGRDYabJKPG0vP_2bQ,0.3239012041598248,2010,3,29
K9lc6McMoAiIgK1yUOUmsA,0.2119047619047619,2007,3,2
RJAmCu_W0i7CudYYwJw-PA,0.15374149659863945,2008,3,55
ISU6ph64fK16JNHSYhcc0Q,-0.05555555555555555,2015,3,0
w54iqbAMwlZbnDrQl1b3JA,0.19613095238095232,2009,3,4
Pv2ccsxkCmbgu7DaMuAPkA,0.21327160493827158,2013,3,70
8CRnl0V2P_G9ck4eUZ_Ysg,-0.08666666666666668,2008,3,1
exFrLO6awipmVW3WY28pqg,0.2087585034013606,2011,3,30
mW75_IGDDc-Fc7eO5cAzPQ,0.214546783625731,2011,3,5
fGTiuZJAZudO3KaiLKegUg,0.2321759259259259,2014,3,20
f53vEnQBSpsF1Hs2k9dY-w,0.27125,2012,3,1
WBUcOmcPheVrkBe7SfKlQQ,0.33573333333333333,2011,3,24
DKf7dwNUCLpw_dJXKR2fgg,-0.004783950617283961,2008,3,47
