review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
dpk8zxGHr4odUmXPiAWYrg,0.11366484788359787,2016,59,738
FBnWHktvuWl27YFRqvbiJw,0.1300990675990676,2012,22,136
YSNs66KA9XXGP-9zt28SzQ,0.20758928571428573,2016,19,641
XCQImV-NwKY6odkwNl6dKQ,0.3322916666666667,2009,18,92
zNQvT2gEAsfXhEiZWMmmSg,0.15848214285714285,2012,18,18
sfs3qCV3pD_BC_iz_zTmsg,0.3604414682539683,2016,17,451
wELS3biYxiQ4XIAwC1P0Sw,-0.014583333333333337,2011,15,127
iU0ry5VN7PoOz7pcQfdjgw,0.17764355742296917,2018,15,218
2uSbEIQ-Nl8lMNvwWsxWcQ,0.3052840434419382,2009,14,5
C9HE_uoYrOQl91okvIXPzA,0.23775210084033618,2013,13,78
YwyqZg1FYkTXoYBr5tyN5w,0.6787037037037037,2012,13,35
xhoXNJTZzEEQYA1j5FjkRA,0.11506734006734008,2017,13,478
4HSdZW8uLDWmeZAJxs7kcQ,0.23472906403940882,2013,13,29
cXBbtIxoheqRUb3qGYVTEw,0.20196969696969697,2014,13,193
fL-55eMWU_0Jrn4zcRvDEA,0.24436274509803918,2007,13,262
34FXr5mrw_scV0r0mWLjVw,0.16915674603174607,2015,12,6
_UgAjDPtz6t3l_Nur3323w,0.10674413305992254,2014,12,124
yjKrbO6q88X4Tola-YGC9w,0.18511904761904763,2009,12,43
kUVhzaCeCDXZqoMmNnd01A,0.1225,2014,11,71
gDjy2OU-Z5JQmqUzbMM7Zw,0.48653846153846153,2013,11,48
zc_6Ynmq6dxDiVb3CcfD0g,0.3637301587301588,2015,11,21
so10uTnq4D0H7VApD_7jVw,-0.01770833333333332,2014,11,23
oksDnvR6nNne5o9x4nbiog,0.2534090909090909,2014,10,34
ckJGMYN1SZmZw43pvcZf6Q,0.124234225370589,2008,10,67
lHCU8omzrbOjArpEjtvoJQ,0.0712632275132275,2016,10,12
urtIr3E5Dc-a1RByc0tMKQ,0.23422922563547566,2014,10,1
X8iykoEQ5utbacGLJhhuKQ,0.29015151515151516,2014,10,47
1o6uTVMcpcZYdqNOxs3-IQ,0.21839430894308945,2013,10,1
7E-UwldPISbeRumY559kGQ,0.18128654970760233,2018,9,52
sUqOvbrDHk85upTn2y8U1A,0.21750000000000003,2015,9,79
ETRCDlP7q0eMq3hjzzU_Jw,-0.013179012345679031,2012,9,2
38eV6qpYu7DgVjte2Jui2A,0.19874999999999998,2013,9,1
65A_QDh_cVtHLT9IUVmhPg,0.07338435374149659,2011,8,0
Orau9SuGh2z_egXp9OHkgw,0.3383116883116883,2014,8,551
YmyAoBKJC0x3Qaw1zvXH1Q,-0.02742424242424243,2014,8,0
2_lFA1GYHCM19U4HKCKS2w,0.35454545454545455,2018,8,14
EB8gRV1LpWLv9MQDFYrNCg,0.16673480840147506,2013,8,5
N3o8sVw9j1iL56pgFKk-Lg,0.18458333333333332,2014,8,26
IHG8yi_cUr-oG3YEttJBIA,0.29424603174603176,2013,8,76
r-bQVB0N67yzwV3dDm2C2g,0.1948529411764706,2006,8,61
nC13JNEbzgwKj3MhGqHEEQ,0.12518382352941176,2017,8,112
QyoCkVNgnEFBDdFIDi0qrg,0.1931737588652482,2015,8,891
H0OddUgI6nwsR1Cv_RNcGQ,0.11631551184603511,2010,7,4
B4V3pJf82aehaeBt6uh6Ng,0.10811832611832611,2008,7,42
bqLXRxaws6YP9Vj6zHDUmQ,0.625,2013,7,94
TLFsbluwKV162obZiFLlbw,0.20420958351992832,2013,7,34
9PbE_ahZLdJ3kRx7GhoSAg,0.45,2017,7,49
4Lkj11MLJVeXN1fk7G-vkA,0.06866744366744368,2017,7,912
shGpBYG-dH_W0JT83RNcqg,0.21069324194324193,2015,7,40
lhT25-7mHrgRWuAwX_yZhA,0.08499999999999999,2016,7,98
J40IGrI8NN1x4t3kPKgCjw,-0.027827380952380947,2016,7,94
j5-EgvpbfGAqxAZSxYN04Q,0.15359848484848485,2014,7,3
M_q9yvmDQQL0y09_OKXW-g,-0.2214285714285714,2014,7,49
v7L82IHWJxriRxWREnLwSQ,-0.22142857142857145,2015,7,15
UCjkkSFaItTXtK2PacUvtA,0.07050000000000001,2014,7,485
RkPYuJAfby74I9rXiojxLg,0.4552083333333334,2012,6,23
FcU67D2rzL6E_m3weCRK_g,0.2752777777777778,2012,6,75
5g2wjP2e3_uW3WHuzZfTww,0.27029491341991346,2012,6,133
x2Lr8MYDoCykdRhAE-mbXg,0.2527091188381511,2016,6,72
uBszPApfhvEW7mvgb76jFA,0.13649068322981367,2015,6,40
_wm0ZDX4_-6ntiG2M6oneg,0.25105691056910573,2016,6,34
y_W467oIvAWDGR4ZM0qwFw,0.32343750000000004,2012,6,47
dwywmMzyveYuFlJ1kyJ3Kg,0.5301587301587302,2012,6,46
MCFqNtocA1QVhpi9EJYnjQ,0.07270299145299149,2010,6,144
uqZBcG2pke3_Wf_xFmBoJg,0.2885416666666667,2013,6,14
X0UDJ9-K75Hb2VNMgL9TLw,0.23618686868686875,2014,6,2
JzyahPsHqlrm2ZNh9Dm4uQ,0.5916666666666667,2012,6,69
0NC5dsHGqd0qxFMeBpucig,-0.0213235294117647,2014,6,1
8xixvG2alfuaFrQajurZiw,0.1453125,2015,6,6
aTg7yB0dP5T6lafLOcwb3w,0.12015873015873016,2013,6,2
2C8JSLq0IwrMwCwHHal5dg,0.3431818181818182,2011,5,48
IfivgfOMrgdDKQNA47hOhA,0.22949999999999998,2018,5,4
FOPIWn8UBQXo-IIzgAqXTg,0.20576923076923076,2010,5,3
qCTWLyjUBGSrlaSaDTjnqg,-0.09999999999999999,2014,5,0
gaZSk2P4h5tAoEt7F3W75w,0.23669217687074826,2018,5,7
MNAgkKR4_LX3sUBbmwTKGQ,0.22135416666666666,2009,5,113
w51eqLwJ1RZ3JsdCCCyB9w,0.0,2011,5,40
aOJfxktmCi_z3JpPBWOcyw,0.04176587301587303,2014,5,3
qN9VZkyissyfibQcUEq5ww,0.21308421516754855,2013,5,31
nDFu9DqgyVTt4QWdu_rwhw,-0.1333333333333333,2015,5,1
KUOUYBW5CYMdKGo8yCrpKw,0.4812865497076023,2010,5,7
F_oKTYxGdk1jMMWNi5ebdQ,0.19097222222222224,2017,5,26
xJpQfhRjjojPHfZUIfQcZA,0.4114010989010989,2012,5,37
4zBDo3etE37zEm0EeZAa5Q,-0.020151515151515153,2013,5,1
8J2LMwVuBk8wuwoe-IHoDg,0.4085227272727273,2010,5,2
n6CgAJtd5hJU258N-dZghA,-0.031240031897926634,2016,5,596
lIvThZywHlpnfZFW6ctvRw,0.12777777777777777,2017,5,5
AczK1EfqrhgB_XTFHF_KrA,0.42962962962962964,2018,5,96
jGJA4K0ZDC9VzZX7JvMFHQ,0.07822371177209887,2011,5,1
Od7VxUnMuKZBvPE3vU_poA,0.2704547942478977,2009,5,0
TDPunc7GLU-ixPo_7ivQDQ,0.09614197530864198,2012,5,1
bDZZxHr6GSTWpwffuYdqRw,0.023197115384615385,2014,5,0
9jMxWykTsI3Aq4k2aJ_yFg,0.049294211647727286,2013,5,0
cYst33UQNDuv2eLvO0kcPg,0.19439655172413792,2016,5,17
bM7IMOm5vcJR22YxYjadFA,0.17092329545454546,2013,5,2
FCu3xBpK1Q1qlUdBpKO-1w,0.3546099330357143,2013,4,17
KuTBme2y_HkthS4wDtCwWg,0.44386574074074076,2012,4,48
WmgPZe-LWndfu_-Ja_SSqg,0.28143939393939393,2015,4,64
M25J9bDF8gMXfYMjK_vwwA,0.15764502164502164,2008,4,22
zNz8UsuoKTJ4HgnEHOKewA,0.3407051282051283,2014,4,5
lUtkZdrMFndvN_W_ESfNgA,-0.05498866213151927,2010,4,23
qkXOPR0Gf82Xp8WrjG33mg,0.5825,2015,4,0
d4wRMBiakz0dXcZOCEF6bg,0.5333333333333333,2015,4,2
ExI4oEZKCIt_vES76O4uNQ,0.1547310405643739,2015,4,79
