review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
lZP_jItdudDmyA6FXEv6VQ,0.055517399267399285,2018,106,738
qIPzvjB4hAqjRa04wiN4pw,0.16292766373411538,2018,100,469
KQArgfAeaUrW8YcGTbEsXA,0.6083333333333333,2015,75,60
fKzn8zOv0-yoGFWD5K_bKA,0.30263888888888885,2016,72,444
b3ImhCclxP5P56KIjlJ-vQ,0.24609375,2016,69,701
oUVHy_LIxFgfTtng56yNeA,0.2514498808684855,2015,66,642
2OjgddaUGwRQ-vkX4nE3hA,0.0630322707595435,2017,52,309
ZCAUEi8qhNmRnIa9meDlUA,0.33193027210884357,2015,51,298
kW5MEQ4_dDix7R94L8v1eQ,-0.04031620553359683,2015,44,336
E2z3I5cF4qN8-ZlszWRbpQ,0.15659722222222222,2015,42,332
GF_rYIMiDa8EQIHodWsptw,0.27047571993224173,2018,40,68
icIbbVw8d1vu7F9o2jViuw,0.20496031746031745,2015,39,236
muX3rmtbuYHgga_8ZPZbZQ,0.11086580086580088,2016,38,109
3UZ32TJgcSwpPsH_h-SxCg,0.17739926739926737,2018,32,571
aFowAef4RhTYOFNNZL6KIw,0.025984848484848482,2015,31,201
heo5htPxr4uREFcZu_spTw,0.556,2018,29,382
hG95RwhzRDNXFAV3evfsbQ,0.1871510673234811,2015,27,544
LsZPozFdjTfy4h2nTgI06w,0.21666666666666667,2015,26,108
MWaL39udEX2ER-v6DIVfEw,0.3477272727272727,2016,25,326
Mw23QWsUhYcjEqgYx8G7-g,0.11858723287294712,2015,25,214
6Vgbae323e4_M6cZreatYg,0.23910076530612243,2016,24,284
XjQleMhaUl-wx4aCjcnIvA,0.21781597487479837,2016,24,507
FXWGwfzER33ILRVXg72MbA,0.37832633053221293,2015,24,580
VB0tXDzQogftryJmFYP08w,-0.03268125268125263,2017,23,263
2Ks_t55REwIUu1pShLOhwQ,0.25359848484848485,2015,21,446
b5wdM4VetNzo4miHPHPvtw,0.12404416703985668,2015,20,178
opRU0QzdgdGm9ACpHJMa5Q,0.20873517426451102,2016,20,106
IYbf3eZwVCXlZ38W9gsMlA,0.3721768707482993,2015,20,769
kwrTsbRO72RppgM4NmiVeg,0.17357142857142857,2015,19,324
2JNCrNW39fPi1s73ZM5PiA,0.3258922895286532,2015,19,151
g1Npb15UhozytzU_vzEPgQ,0.25372201451746906,2015,19,96
FBHSgTaTZQIRTLj-1IMQrQ,0.5795000000000001,2015,17,545
0q_chrQ_A-cuUMmn3fCmRQ,0.12111988390397482,2016,17,167
X189aHhECAemtKnphsMBrA,0.16592956592956595,2015,17,539
mcYSLjAXrcRBBzQ717PDuw,0.244527027027027,2016,17,157
0tpRhgfuEf4AtWfO3-phmA,0.32719494047619047,2016,16,189
AQ6YPCLLOOPViRe0ef0evw,0.17214285714285713,2015,16,376
uP1Y_BTegtSgEyoF4wobhQ,0.1673363095238095,2015,16,104
3J5sDeO5pQFGDJ-QNDpNEA,0.2065640880858272,2016,16,81
VFXcIrJblFwIqAgay86d4Q,0.16205357142857144,2017,16,539
4pI3G88u--3myTaQesBExg,0.19902597402597408,2015,15,136
T6xjFriRM7yLgEJVjamfTA,0.3985034013605442,2016,15,103
U3QbuWGzFLGz-WUnFNlsew,0.21019225872167047,2016,15,111
JwlPpvbIQ0m1bsqqZ-58Fg,0.24841075591075595,2018,15,9
egMDNIxkj3I98lh7ozmutA,0.26216108452950554,2015,15,125
l27hiBANfOaTS5CtP7qTcQ,0.33648732220160793,2016,15,231
MLJSdnkeak_eOoe9PZ0psg,0.1313131313131313,2015,14,219
3UnN3H30Pek3aMagXit5aw,0.14070378151260504,2015,14,319
FNYp1RtwUp8k8twpuLH6Gw,0.20110438803620623,2015,14,56
OeECfc6wfQ6RKzFUkabCAg,0.23188940092165897,2018,13,47
W0AFq1iaH4z21Do5PeRoZQ,0.3528571428571428,2018,13,32
6FZ9FMWDstA_uYLdwGckkQ,0.10241812426814988,2015,13,68
L_TqAs7uYdCA9ZvBw28uaQ,0.4137259693711307,2015,13,169
C0KAKRM3nzh9IVnmJNpMOw,0.08616780045351473,2016,13,366
JUwTUeQ21mT1rYxeLu0b6Q,0.1849196890507866,2015,13,177
lvdE_tgRg1SbdCWZmt2nug,0.28240098443223444,2015,13,6
1nbocd6aOpqnvZrV4dIyXw,0.21666823014383996,2015,13,123
tzzOk8kQA4D7s0PzjddvWg,0.12138848805515473,2017,12,338
y5Z09P2iJCAdAyQAJuLlXg,0.1534722222222222,2015,12,192
23s52ScFMQZ41pxw_DwHwQ,0.13575682937751904,2016,12,107
