review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
FL-mKHnY4J3vsY1Fn-UrZw,0.4815888798701298,2018,58,60
sHLVilfCscOeogQW51vF3w,0.24479343120647468,2017,24,195
sOTCb3YYes3sU6rf7MgwxA,0.4198809523809523,2017,13,162
JOdK-YazBYX18j6JurPWvg,0.07806122448979592,2017,12,235
8s5xc70LD5Rhrj7vOQit3g,0.4652777777777779,2016,11,59
bKTAfgSrymL-0BhmBTqgZw,0.17261904761904762,2016,11,1443
CmOg04FQXiHLkiZLUtzA9w,0.37220179738562087,2018,9,57
fEzg5aix74l5fD05s6ZAHQ,0.39935897435897433,2017,8,17
7am8FBeUoAtr29murAf3UA,0.23106951871657758,2017,8,40
tfoC4bJiqPWQnZETQBKycQ,0.18732638888888895,2016,8,119
BWu2aTjhCgXUyCPfyuhi-w,0.09999999999999999,2018,7,42
GRsx9ZM1bK7pB0uC6K2L7w,0.33369565217391306,2016,7,68
ULdIy32MLcTb_WxsJsSLRw,0.26401515151515154,2017,7,92
JsbaJffZwM2D5X4j1l98jQ,0.20785472972972974,2018,7,56
Z0AUBrtMM30VzovVd6ex6A,0.12396275946275948,2017,6,121
RbrkRC8UIQC0kKWxLAY37g,0.393939393939394,2018,6,37
e1JpBoJSTcmuU6gJeSNI9A,0.19750566893424037,2016,6,48
EXtl4yWZF6oWCc4k3kRKGg,0.2666666666666667,2017,6,58
ZtkYUnB_yXW4fPFmAngB9g,0.22837301587301587,2017,6,57
QFulg_cQ9-waqHiYNkf1Cg,0.3481570512820512,2016,5,8
ccGZECybdtGop1sy2_cDjQ,0.13229166666666667,2017,5,5
OXbXLP0lquQYRel_0IjyHg,0.10515101410934746,2018,5,62
9BiNDIJzH6sRXYU6gqEWGg,0.060096153846153855,2017,5,44
s5GYFt1OBffy4faiU_lcyw,0.39002178996598635,2018,5,24
5R38_Q1IPoxgIS18iAzYvg,0.37897727272727266,2017,5,37
ulmjWVy5Y5muHEqr5_3Gsw,0.028125000000000025,2016,5,7
z6QTbdv7T_4HZ66IlcCaIA,0.36712962962962964,2016,4,6
KP8-Q_5NwGHu1JTKvmitOQ,0.22610760971055086,2016,4,18
P1YkNkBDF0WI26cOQGnr-Q,0.1931547619047619,2017,4,142
_JcbgCCNibJwioU-inoxHg,0.1105489417989418,2017,4,48
e1HlWelX9nSzqEbAqq-0zw,0.23186274509803922,2018,4,33
4-e717McMsaXDuPFDLOYgQ,0.2082717569786535,2017,4,205
W56jPCzGILw_qmseXYddHg,0.019791666666666683,2017,4,2
FtXWfmnvIBkXRnxy7ePweg,0.45816326530612245,2018,4,9
4MMNhSdXekElTomEiUUZNA,0.16428571428571428,2016,4,46
m_aLplDNgzTYGviwR8FPNA,0.23779189560439556,2017,4,78
0Eg3ntklWwtFAWPyNZE27w,0.28912280701754384,2018,3,16
7EDKGmPSTBZpGLsuKgtcyg,0.29884552042160734,2016,3,16
wJAjjQlJdmhmAG4BZRNCmw,0.17179960317460313,2017,3,18
j9PowzOBJ2A6gcnnIAsPWQ,0.08549603174603174,2017,3,18
rFHsne_TLshiva97ugpUNA,0.2962962962962963,2018,3,33
Tp-we9cjnUhC3VRvO-YY0Q,0.2652216748768472,2017,3,49
1mJU4qy7nY_TZ8DVu7lm9w,0.10583333333333335,2018,3,7
YSUgFmbKRLux3xKqp2SE8A,0.22390109890109888,2018,3,0
kBrMTiVQraJ0Myy5w8a4Kg,0.3375,2018,3,82
