review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Q1rYgKX5EVSrOlc59XKybQ,0.07526881720430108,2018,26,762
OLDi2jcvlFulmnkJkXSvhQ,0.10268518518518523,2017,24,452
EfINS3YE1ltCGlEPf64bsQ,0.1518138227513228,2017,18,436
Wp9MoCvpKfwhm4ZlKtOmTg,0.20916593657665083,2017,14,37
2sTu4QWmf_4Qcd5g-GeseA,0.3181818181818182,2017,14,4
G_7zS97hEJBFbD7ZMW_mxA,0.2539444444444445,2017,14,1031
p8be7Pijpva8AYrcLiRK2Q,0.2745958259847149,2018,13,87
Jy2VEj1F2CpshlHVVAmD3Q,0.18689542483660126,2018,13,136
msxe485kIAv7k1I3Xl9xWQ,0.07371031746031745,2017,12,55
xcocnOVZcLzbDV9_iNHegw,0.3972653554175294,2017,10,95
A00XfjzgbtzKjDGl6EWHLg,0.022222222222222213,2017,9,36
YUa4mnAbdp-1dLg9-5NWoA,0.10983072916666665,2018,8,815
rrCEiaLssTUUstG3sRWS8w,0.17581128747795413,2017,8,52
KkTdjRusKQ6OoKfZEND-ZQ,0.308843537414966,2017,8,218
jvzWGyZjryW9sh3G2meDXg,0.23404744368286035,2017,7,55
zgfsRWQRKGpcsP9yGclGBQ,0.10330158730158732,2017,6,54
J_9Jy1IfoL9mjG4Oic8YSQ,0.17334199134199135,2017,6,0
UnI8KuY-BGJ8UADyE35jcA,0.19194904712146094,2017,5,3
hHef8xJdNawUxwHJs3LVpg,0.3606060606060606,2018,5,35
Ov-8HV7nMmeW9H8WVtLiMA,0.02733225108225107,2018,5,7
w02G2LsOHiMwK3tMmpA5vw,0.20948717948717943,2018,5,274
4aLcweh6KCtOj4fFReFbqA,0.12444444444444445,2017,5,6
-il9IjbdsA0Nj1eb-94mBA,0.3447368421052632,2017,5,539
i3gO9iVTXwVr9yzNXhO4mw,0.23571428571428574,2017,5,62
GSZvXTVS-cINaFKrZbjw4Q,0.07309814169570267,2017,5,31
ERiMlskSLgMmP962ilBdxA,0.1158352229780801,2018,4,172
cDJ7ZQCtWvUXDC89lPpmGw,0.38431372549019605,2018,4,12
PTpaZ5fw55skqCtXRCneiw,0.1406420765027322,2016,4,16
Oi2l6uu8IO1p59L9TunxwQ,0.0710868079289132,2016,4,2
YfXFJraLu6X79Qvg1gqQLg,0.25944337194337197,2017,4,19
HsHuliWUG2U4goCIGUO1iQ,0.23187761069340015,2017,4,74
yn3iDl1U6aH1jUCEf_oOLw,0.17723860630110633,2017,4,15
iymN0nlO9TbAW5agq_PWOw,0.40769230769230774,2017,4,0
sDGZZmLul8yO2JjbSfQqYw,0.3607638888888889,2017,4,45
bAUq3aWKTo517Bq6w_N74g,0.2,2017,4,0
qMAiqe_ptuTYSHVO95k5CQ,0.2371464646464646,2017,4,49
76HAxDIYnqbOZR1lZFWb2Q,0.041380178087495154,2018,3,6
Tujb14qvyDWUKIEwwgO13A,0.1590136054421769,2018,3,70
uY5ye39qN_BlHENaLRQnqw,0.17414221580888253,2017,3,50
k_8AYNWYPPA_wj-5noQZXA,0.15814661769207222,2017,3,26
