review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
1ZKW0z44_mT8-SzdbidfGg,0.32862318840579713,2012,17,344
OG7ZqyYeWuHHyPBVNUFOPQ,0.27970588235294125,2016,11,67
DTPyY3nSHlHWPrLavUXt1g,0.4603174603174603,2017,11,218
H6PKOn9ThidXyCSoVkGonA,0.20789473684210524,2017,10,452
AfzIRquoIZvt4N3O0fyYuA,0.09444444444444448,2018,9,63
EQfZEqrNopsGTeZ-M8OYNg,0.3653061224489795,2011,9,402
X4qefundAlFPEK2p3YzEoA,0.29325396825396827,2014,9,66
IHtAfCJ3rUCK52jnphIyuw,0.17905092592592595,2015,8,181
dpYMiRIm9H1xBN7zYTUh7Q,0.40754464285714287,2016,8,206
RVO21Ek4Wv7Dekb-9hXRXQ,0.19842436974789915,2013,8,106
G2jLPDq5cxuAp3bvKO6I1g,0.4212673611111111,2015,7,528
0vA9MRqQSOxMrgwyEjpSig,0.2812626262626262,2013,6,47
O9ZFKegK71vDbJeTc7x3Iw,0.09821428571428571,2017,6,72
7JmToVHgOHeFSPD1frmE5g,0.09761904761904762,2014,6,528
MDtL4jA4l4pN_97OGgNX9A,0.30276422764227645,2013,6,10
pGYnOJXbwrpxXNdk8XITyw,0.2792857142857143,2013,5,11
yoz8nV5ci63Fce-yUmmLew,0.23801587301587307,2016,5,31
K0EmBC8Wl8Job7wkDmv7cw,0.35394274376417234,2018,5,62
uZ6IlcZdTXAZwm3AaPRjCg,0.18430197497361678,2014,5,15
5VwjSTWpZSQG1qewACkWlQ,0.31521739130434784,2011,5,0
f9bNn8Lritj-f2jqQ2GlOA,0.33875379939209727,2016,5,423
7DJKh3_5A5rNVF_eRoqGrA,0.21856060606060604,2011,5,25
za4ph7fGlokzT644LokRQA,0.32329109062980027,2011,5,2
7fXoK_8bnam2q5XTt2nxGw,0.1705357142857143,2012,5,15
XwET8r3Cn9FfWu8jA4Ml-A,0.12012977262977267,2016,5,51
9JDD31GCak44xKlyqLzVLw,0.4016025641025641,2012,5,0
O-K60dGvgmtjXfRQAR4xTA,0.37406994047619047,2012,5,5
FMBdoSXTya3Lq5kDU8VWzg,0.14700292397660816,2018,4,160
oXea-7qWUWZOZ0moCac0og,0.14644817742643831,2011,4,3
T163qpZFhG69FVWw6bVihQ,0.19010984848484852,2015,4,1
