review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
z43gga2asc8Qlqg0TSDlTA,0.1529377880184332,2012,107,109
G3YIl7owZ4zKAHBfH5aMRw,0.14178482476427678,2018,60,230
uRGL97uRkow8V6GdyaLu0Q,0.3861979166666667,2017,44,298
KY4NrymluJmzMVC3IRufcQ,0.1018202861952862,2017,34,178
rQHH6B9VmYzBU0i5L1QU2g,0.26845238095238094,2014,30,1098
ivpp_WYcX4XMyeCuOkktCg,-0.14113562091503268,2016,24,133
OmxvdJJj0aVwqSkiUrooCQ,0.18174603174603177,2016,21,106
NG-ixNOa-33Ohya35KHpKg,0.2590344438170525,2011,19,697
5_QFj2KwZg4xt6i24ZdIqA,0.2023809523809524,2013,18,309
s6CnyJgB2N9xkVi5CWNKLQ,-0.10138888888888892,2013,17,102
rGGxVU_uWzTPuroCqfRKRQ,0.35390625,2016,17,176
Ij7Xb_3dlg-uZxLerbZraA,-0.06299603174603174,2016,16,27
3Wz5DyB3jaPYq0Y7Oj9gTg,0.11671875000000001,2018,16,15
WXbZtmnlbsGPemb9wrNSfg,0.11127450980392158,2015,15,258
gjaf-q1-xqFoj5-nAVqPuw,0.3458333333333334,2016,14,1197
vtqlOyEMNZspXH_5oPb77w,0.1966216216216216,2016,14,195
Ih02gdsoAwsTkKkYgrcU2A,0.23218253968253968,2017,12,127
O0iJGrle0oZyjj2h0COffQ,0.06864583333333332,2017,12,140
GQkOnyCwOOGt925JF4P_kw,0.19526515151515153,2012,11,219
b2HnMo6FD6-hJWagiFuM7Q,0.23038194444444446,2013,11,258
Sm3o9Jb90HKGp1ZJiu3nuQ,0.036111111111111115,2014,11,30
6LWQcYF1Mgs_N3YH1K35eg,0.03443627450980392,2018,11,62
qjWJBe4j1bRA6iW1la7C3g,0.18205128205128204,2016,11,302
nPds9EhMXYN02yHPgRyKeQ,-0.012037037037037032,2016,11,158
20HqHOY1BOkiN2jDiCLMnA,0.25833333333333336,2017,11,61
sz0VqpFjoPSAcsPI1kTuyw,0.2270026785714286,2014,11,82
D0jY4Lk-MFbb1XtsXU-CwA,0.31928418803418795,2018,10,31
vY2h13HwtxoMrdpNd5uqZg,0.09285714285714287,2014,10,11
AJx8qd4ISB1nK_jcCOrCpw,0.17972085385878486,2014,10,8
XPTWvyCtHWaZtNoWT3ypIQ,0.11238095238095239,2017,10,58
KzRMOIMlXA-yZyJxoDK7dA,0.35879629629629634,2018,9,244
E4Xz14VIBIygHtnZBIT2XQ,0.14307760141093473,2012,9,17
9TjzoxraPke4xVWJiwzpcQ,0.16826672335600912,2013,9,217
RDngybzZSS9t5-_gOYjKhg,0.09791666666666668,2016,9,6
31xnLRaMrEVRlHn7piBf5A,0.09813218390804597,2013,9,19
Xf93p4_p3LgXfcShvzrTeQ,0.06683919944789515,2012,9,183
MiCSoGGJMoourcDPG1oJ6A,0.08904545454545452,2011,9,33
nMYnhKDJmaEXDRyEcv5zFA,-0.16418650793650794,2016,9,148
xsm8KbFBYYE8BzxfOT9f4w,0.10960884353741498,2014,9,211
X8eBFlrVMxe94tXAXFg6IA,0.41040046296296295,2014,8,39
COqiPWjKVQAbLYgNmDdOWA,-0.3696428571428571,2014,8,79
V_-HgyvMtqRzy9Ky7iinjw,-0.006134259259259253,2016,8,71
cKvuJvxQ9Nmf2l8781SwCg,0.10104032604032605,2013,8,148
epb4Ym0IHSeLhmsrInzmRA,0.17202380952380952,2017,8,190
Z7r5XFmN3DloOFW3ZJjY3w,0.3293859649122807,2014,8,29
0_57nqHbBydvMXIre-pyOg,0.20386421614100184,2013,8,39
lfMiUJvJuGBFHb03O-5z7g,0.27223389355742295,2018,8,61
zV65dyD29LIS9ecZryL0cA,0.12842787114845938,2018,8,136
0sbv6y3lMr5-vr7WQW15XQ,0.1545108695652174,2014,8,319
ghGwi83L-fjHkDGIWLbI9g,-0.024999999999999994,2012,8,151
YXPBX9jH_gPbixxX6pcK2g,0.21266233766233766,2018,7,2383
xM2YFb5COpa-j2MVYIhbjQ,0.3063888888888889,2018,7,178
pTuJO-WA-DSnL9NoBkXMNQ,0.14781746031746032,2014,7,641
hZO0U-yAQ2YyJshoMubzRQ,0.1974746148459384,2016,7,692
QXx0rFyZEHP6AAyAcgZSdA,0.17361111111111113,2016,7,155
I4HLoyc5aAOAxyYsVOSh6Q,0.20079365079365083,2014,7,87
XW4q_tIoPgCEhRD6c1MgIQ,0.2856150793650794,2013,7,0
XHj06-klCM_HdL02TQgQKg,0.34351851851851856,2018,7,50
fS7dxWYy6NQHoo8AI-Sexw,0.16287878787878787,2017,7,91
Gnj2FvkKja437WdCM8H5tQ,0.14372710622710624,2018,7,90
jZVM801xp8z4hVIlqJu7Dg,0.18438644688644687,2016,7,56
B2wEXh0mNV_OkkXBYkLWaQ,0.2625,2018,7,216
YcFwJ7sIEhcxeCGMSxmSlQ,0.18351757369614513,2016,7,208
sBFNqdFvndrkyC6ftYeSaw,0.21111111111111108,2013,7,13
v68P2gcdUhYTlR0ETbZjog,0.20625,2014,7,59
1PfNThsZMFzv8QK0YFZdfw,0.41874999999999996,2016,7,70
MasXXb68QncsnXbPioGPfA,0.24999999999999994,2014,6,548
CbaKYj4k-YTyyPhq7zuZbg,0.11884615384615382,2013,6,105
8mPuQPd5ivY1S7qKaOZyqQ,0.20347222222222222,2018,6,114
UaHCEcwZpgearxQBQ4-sew,0.17857142857142858,2012,6,56
iYtmgx3yXbQv7MT8bbqRtA,0.10555555555555556,2015,6,5
owJaUpTIv3k8zpN8tOExpw,0.17512931034482757,2012,6,107
OikqzPVbRFaJva13qHg_LQ,0.21999999999999997,2014,6,222
HS35gtjA2ZPeU2YAkTqrhg,0.26666666666666666,2017,6,45
UqyfNYbyNLNHBITAD3FG0Q,0.37777777777777777,2016,6,46
FHieT7sZa_PLBPw4Ot5ijw,0.27898148148148144,2013,6,136
r-FIcKMxs52bmtXcON97dw,0.387962962962963,2013,6,66
NHk_Bp6RCwYq7CbR1qDf3Q,0.2716269841269841,2016,6,17
aJOStFkbzIR6f6kuD6fe9A,0.10006720430107528,2013,6,77
n_fQLffaj5NS6ZYrYkUZSg,0.042048229548229545,2016,6,1
5a4FsGCWVCbyMJpMGDdX3A,0.14411764705882354,2012,6,88
J8qEm6R9V0OVcOGcE6eVfw,0.19166666666666668,2017,6,17
OMC3NlmThNqAOw1IZkSQGQ,0.3360544217687075,2014,6,129
h3h_FLm6PKOAjR6D2OoPag,0.27331081081081077,2013,6,67
94LTKLTercfb7TdEqAKLrA,0.48885281385281387,2018,6,64
UVicS_Al_2gSscufSZuOnw,0.013131313131313126,2015,6,10
Ka7zJJoUAK-3tx8FhaO4kA,-0.01172839506172838,2014,6,14
klV1-yiN6AxqvR-sLcD6eA,0.07653061224489796,2013,6,96
Hp-ZLjyn1aNLGBZaNwcx-w,0.23134276437847867,2014,6,188
JM8k-O2uUeWpDEUTaYGlJQ,0.21014859068627456,2017,6,7
td3VgTIkU5hl6ZXXHjQU7Q,0.11800595238095239,2018,5,28
6OV9mLinttlcUyrQE4v4Kg,0.17121598639455785,2014,5,69
NyOwSvQ4EJ_5nRKyS6DEig,0.275,2018,5,49
hFk6VUMhXzBNimw2dcbR0w,0.25250721500721496,2018,5,29
cjvOFkQD4Qkh4GJUgDbBBw,0.21178571428571424,2014,5,155
hoK_ugrJfz9KLrj_1OQ-Ng,0.19398148148148148,2017,5,42
X_bCwWZl4JMa7DdzQeavVw,0.1838844797178131,2014,5,45
sewdxVJpFODnW8Y9MLB2Hg,0.290491452991453,2015,5,37
b55WhgCg6f4ohZGNOHNnpA,0.14764705882352944,2013,5,53
-QJawhCVauxGpRpOcNVBVA,0.2841510341510341,2015,5,137
mn2mG4iHgVIb4xq7OTD-Bw,0.2411551339285714,2013,5,98
2ov9LsmWQL4TxlvdOqQTZQ,0.04962962962962965,2018,5,11
iDhjvHCXHGPdfZS0NeMjBQ,0.18109427609427609,2012,5,23
_u1aVmIES_7J-dsr7pTJgQ,0.19693223443223443,2016,5,14
B-PO70DaFyqp0Fft_vAAlg,0.14910714285714285,2013,5,65
YWr97-UJwJcs3Kz0EvFS7g,0.4092948717948718,2013,5,132
u56l8kTg6zn3x_6OcJiwKQ,0.13478787878787876,2011,5,6
T_sXR6Cgyip-bnBUh7-Ssg,0.22850529100529096,2012,5,23
LqJ0R70BED98nM5UGy_Jxw,0.10138888888888888,2017,5,49
1oaQuhHyeML8Z6ysLeDInQ,0.06923076923076922,2013,5,74
QX09AOYR8w5nQpNFgZVvkA,0.18611111111111112,2014,5,39
JhVylLpiaWUxtp5kD6EowA,0.2390338827838828,2014,5,84
5U4gKIdXWZMFCUWSINx38Q,0.22545787545787552,2016,5,208
FcL4kuEeY4E5eX1YBt2gnw,0.10517939814814815,2014,5,119
2RBoxrubA9GJl5CKmxUPtg,0.23939393939393938,2013,5,24
yhKadEooltyE2IHDCrFX7A,0.25721275252525255,2016,5,79
oaye6iRYa4EnzRu9GajwTA,-0.0818181818181818,2014,5,76
7DUn8GyeUjkPQX2IkSUvOQ,0.12833333333333333,2015,5,62
NXSeQs3HQI3d78aJ7icdVw,0.09012605042016804,2014,5,128
NCjVcVL295sTckQwwEoD3w,0.18529166666666672,2016,5,34
cRVWF0KqXgojRqBKs0A8GA,0.40416666666666673,2012,5,73
9MYgf6YT6qSRbmiJw2Jr9g,0.06314484126984127,2013,5,39
9_22Iv8sXAB65sWCZDv2eA,0.33741258741258745,2013,5,155
WTTTV97dKwxy6SCOZRwVPQ,0.15714285714285717,2018,5,46
vaY_Xk5HC3PtgedZtaf5aQ,0.11062788018433178,2017,5,97
E2H1iyYyn5fYxp7maT0QUQ,0.4135416666666667,2014,5,219
ZDOMT-S5Uc6E5e0PerHZFQ,0.09260241301907968,2012,5,0
9586Shoxu8UHB8I1aw1JcQ,0.24880952380952384,2013,5,81
Ghtb0sR9boFv3__TGD3dww,-0.06021645021645021,2016,5,0
2bcE524kNpaxEqDAN4d-xw,0.31390625,2012,5,36
JNNvDE0QrB_5cLE2tURvxw,0.012962962962962973,2014,4,4
vIlEc0ekXBfTaeIK_3em0A,0.1789186507936508,2014,4,11
IX8nqSVVwG0R3RL0KjEMDQ,0.41250000000000003,2016,4,485
hHd3pddG0ddbpIHWIxDTdw,0.12786458333333334,2018,4,26
aqgXwCDodjMkfc6Tt1jkWg,0.06722132034632035,2018,4,58
0efnpBFszr4JwQVxuAtFEw,0.10843253968253967,2018,4,6
IpsRLnlFpTllOCHZZ9tSpQ,0.1410273368606702,2013,4,36
DsPxiBKKB0MZqzmLLqi9tQ,0.23554945054945053,2014,4,30
6KVo0W7EgiaS6u1p0eYUhA,0.3767559523809524,2014,4,79
uhnhsEfD4xiZzERQdDZNXg,0.12437590187590186,2016,4,21
tdJHMppY9gcyHntjjWrkJA,0.5466666666666666,2014,4,75
ZQyo5edR8VNRV1-uyBf-7g,0.3285416666666666,2014,4,41
j-FTXarisa3W1p3w7w9wNw,0.0837878787878788,2013,4,8
ab3iblna0otbTwI0QIWpNA,0.20181159420289854,2013,4,10
Ax7EmCraSYEtT_9H7FsiRw,0.42500000000000004,2016,4,1
