review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
i4A_5aYz0f8ukRITS4fhRw,0.28368131868131863,2012,18,499
Ttp_a2GJ2vVvt_v57C8T8w,0.16319444444444442,2011,17,130
gg07D3x_Io4DIAUOetxtGg,0.10696022727272728,2018,14,49
mnmGBN4DqLw3mqpTNOcYaA,0.2924174174174174,2008,13,894
l2P3xQahbAZTe15OqyTHfw,0.14990502119408372,2007,13,17
Tem8XzLuUxoth9mx4bBb_w,0.28084225344967534,2011,13,48
0X8ggsMgTewUKf4NPAXHEg,0.33235119047619055,2010,11,133
sRV11j7dwxJUGbn3vIpjKA,0.19062499999999996,2017,9,82
XIX7ARUNqgpJmQsTcZdPGA,-0.032930107526881726,2011,8,4
NP_cKSKgMu2MfIXNF8Ynkg,0.10752688172043012,2009,8,5
aGXCLRSvP6MlopIwz6f12g,0.25548809523809524,2016,8,88
UdZklXbNf8pAAXgioJe8Eg,0.12264705882352944,2011,8,32
xhkc136sCAjHTG_3Hr3mSw,0.04399092970521541,2011,7,1
AXSa9iug_IUnC-rg-3AkMw,0.20025703463203465,2016,7,79
A3wEtykxwahzu_JTMJHCDg,0.20484400656814447,2009,7,21
uw44dlUcxoaNzP_IuAEuLw,0.2388776655443322,2008,7,45
MRGvHSXZFKazAVtJ1Zjm2w,0.173828125,2015,7,155
__jm0j_Obgc-7OWLWcTPnQ,0.44616071428571424,2016,7,113
SHrYEj6W6zRTaeXTRd9EzA,0.06666666666666671,2010,7,0
tTXnN4owf6QtaqjQThhCug,0.24518518518518517,2011,7,77
s5zjEarh0X4wzgOyd2icQQ,0.33309523809523817,2016,6,220
-BkQ515o_p3qlQqkhx14LQ,0.12114583333333333,2015,6,1
GM0c_UjD4WQP99mVfYT1Gw,0.031996527777777777,2017,6,2
EmdjuLNNtAgZmy6aAHmJFA,0.16428571428571434,2013,6,0
zB00-81KPN52vEpiaQF4vA,0.2904292929292929,2018,6,55
eAfbRrRDq-e4Xnd_92yYqA,0.5109999999999999,2009,6,48
irmzoyojhQ-OIkzxBWvHVQ,0.04111111111111114,2011,5,0
c0-erXPuoBvDeZpY5e_B9A,0.14583333333333334,2018,5,33
O6p-_biFAd6qy7AGfOBHSQ,0.19115553329649074,2017,5,37
E00LGQRQc70YcUUtmA_0SA,0.23425324675324674,2008,5,13
wrvuUkpfvkDNvfmCnn20FQ,0.10000000000000002,2009,5,30
D-3nXvXldx9Q6rZLdjOsZA,0.31129870129870124,2012,5,75
uY-HjsHZxHfewytMloDrCA,0.3033730158730159,2011,5,18
FltmN_gIVzrGFKjT0w0WOw,0.19305555555555556,2016,5,14
-J3b3tCBAaZZxmhsAUWdQw,0.1673941798941799,2011,5,1
wLE98PNS8XpNckPKcU1Yeg,0.0032967032967033106,2012,5,19
iwb7gulm1bIHLnrTlXYaWA,0.2634391534391535,2014,5,2
WWYvOp1F6cFrR08JueL_CA,0.26770904195011336,2018,5,11
d7VqYxQmlwKiFfk0254n7w,0.2200952380952381,2011,4,3
Ypa4RtI3IJNoWO0lnFpa2w,0.25632846320346314,2011,4,33
Vo2LuyFA8v3w9dNkn70A9g,0.32245225694444446,2010,4,48
NqpQHtTo_hyGat9X9sOoPQ,0.12301420801420797,2012,4,46
6-ah1xhMX1DP7P0I0nsZAg,0.17326007326007326,2009,4,19
4ItBrjxdrfsy9Ysf93d3ig,0.027678571428571434,2010,4,0
cfRpYWpMqLN9ZFy-3JIttA,0.06466049382716049,2015,4,3
ON1swlqdnlfZVeITjGmXVg,0.26265873015873015,2011,4,55
LVqe4X-d9MlTDsrKIlaeFw,0.09425,2010,4,12
ufvMF6L4WEK_QJrLJr8azA,0.17589393939393946,2009,4,62
2_qI9X0OIT41Ky0-oWdzRQ,0.17529693486590037,2010,4,20
pXaT0x-ybvNqflu31FLvRg,0.11111111111111113,2009,4,1
ZMn4RLjX8zQWA0ieGknccQ,0.052329109062980037,2015,4,0
kJeTdRiojlyob7U-RcE0iA,0.08777777777777776,2007,4,19
ZEmaG9ieAmi6mzYn1XxMlQ,0.2007936507936508,2015,4,148
9DsPhTNk0vWumqSOaeN3zQ,-0.19902777777777778,2015,4,15
ykBLTaM6QwKenarHypoAwg,0.11619047619047622,2014,4,3
7bRAAleRSnoEE78i-ML6Gw,0.28500000000000003,2010,4,0
JqwG8K_VI0rfYAFE5vulkg,0.5402994791666667,2016,4,46
jWxmJp-qQoXt7Cgy8DDL8g,0.2608695652173913,2011,4,92
JCj8s4_S7f7ONOMTMvu6bA,0.022727272727272728,2015,3,0
XSBVHVawFsBeQBxjeIrOPg,0.33541666666666664,2017,3,33
qLPq3pUkXQbEgKsE_Ez_Tw,0.12611981887843957,2011,3,4
g4OY7u5a6Ig41TVv7gF_6g,0.2786666666666666,2015,3,17
rrzG70QmjbFUWMn6-BPCSA,0.13782407407407407,2007,3,2
zrOriMZmlh4JUh1VKLIqVA,0.18774509803921569,2010,3,0
uMyDUb3y-CMC3h5obuB6gQ,0.2340909090909091,2013,3,3
YI6O8XuktjmcnTggh4M27Q,0.50125,2011,3,1
NG1PpJ6Ua9KNxQNTr_NQNA,0.11282608695652169,2018,3,38
Sbvgnl7yHE8bI_fXS9wVMg,0.3244444444444444,2010,3,6
JTPV1ZQjwLgLKYKWqtv7tg,0.4294444444444444,2013,3,24
8IkrpY7-gJ8Ew1m-piEAgg,0.8,2010,3,111
7WghdPTg6ncEWjDgwUrh2g,0.3582936507936508,2015,3,3
YMl5G5ftPJSIRGX9eEIx_w,0.20072463768115945,2017,3,51
566ZqOLRnDxTbKZ34pwQaA,0.21235431235431237,2010,3,2
of3NdPDlrX29p5k3dHQwPg,0.2623164682539682,2008,3,60
8DjpTpMoAsPLbloZbNyJeg,0.02843137254901961,2010,3,10
lZoIRfAq6bhx13WTVCAq6Q,-0.10535353535353535,2013,3,15
sFk_DxHj1DaVT0Lb4aSFSg,0.3252331002331002,2012,3,37
Tarscjh1IIver08DtE000g,0.11666666666666665,2012,3,58
A27XjcIs1yDgn5LV3D320A,0.29953703703703705,2009,3,28
x3C3XAEOJumzBW-oLez1UA,0.305,2015,3,26
