review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
EcXmKEEUYswxXE8uqaevJA,0.16720085470085466,2016,45,336
5nEkMAejTPVr9r1TUHmpmg,0.06067614079909162,2018,44,536
j63CH-oalEYTHSJmeCrv5g,0.31401887175324666,2016,37,249
e9ch_CN7hODHsey0tLB9bg,0.2164492753623188,2015,36,896
-ESOkH9OiBzGyBB6id8yeA,0.24636904761904757,2014,31,145
-PYqvmC5RmkhUl-pUIhwyQ,0.15863095238095237,2017,27,326
0fV41BJgKPi3LJU-w0LuMg,0.1178113553113553,2012,17,65
DEsqU8xyEjqCc0sjgJbGOQ,0.13938525242873065,2016,17,99
LdanOlTtV9QFY5mpg5wxvg,0.39785714285714285,2018,17,154
GYGK9F2icvmPVG05h7T3kw,0.32048611111111114,2014,16,328
uFcWPEKntyJIP3_4DHmQbw,0.18439625850340133,2010,14,343
1aVuPyb81RIuwGcDO-Yvkw,0.2856121010772174,2010,14,22
J-s5WghjOdpP1LJLoafv-g,0.08396103896103894,2017,14,124
zL7AN73ni-N5wBhqjJQiUA,0.21683673469387757,2010,13,697
68x3VfzwqMI4yvLpEKNE_Q,0.13281250000000003,2011,13,82
vaCDA0MMkaCxoj_Ca6Epug,0.11433340251833402,2010,13,1
lTq6ZN6B5a7KBnQkBJvZUw,0.29950396825396824,2016,13,117
UhoGfD0RK2XpgHa3CUGeZg,0.1149016563146998,2016,12,240
QiwXvBo1Wxj0FBRme7VqXA,0.15093984962406012,2017,12,241
J-0UFwhGCDMD0eyz4KmQGw,0.1626877029220779,2011,12,88
wIdNwgV_mlc07QD6bQmf9Q,0.04862745098039216,2017,12,108
S0jOhAm5ahuYH71ND6IMng,0.35653061224489796,2015,12,227
ttOwTgZZ8vxpivjSEsz6ag,0.12053571428571429,2011,12,25
2Kq9EDTwc2KgSMNIm6EDiw,-0.01475308641975309,2018,12,1056
Hlzgn8fb3NPLaqGJHvt6oQ,0.2849396825396825,2015,11,448
38q_-myzpKXBQUy6FjlEsw,0.13484848484848488,2014,11,34
YgQnFEigmzvS2Z-KESm9Pw,0.34489850427350427,2010,11,54
Uc9Frax9Oaf1lyNhSxDV0A,0.006488095238095221,2016,10,124
FrSUI880YjZTWRHcD3lyCw,0.2931818181818182,2010,10,54
jBYMuer3HZGm3rv19z1eXA,0.17576923076923073,2010,10,329
