review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
9GsIY2lQeL6JwTsKBdWSGQ,0.08178037240537242,2015,12,204
0xE7TPWWrwA54DUv_0LYFQ,0.31999999999999995,2018,11,97
R5FrUHfF2Srkz8dSjtH3Hw,0.17815371762740187,2010,8,17
dpARHWEgezjWF7QMU9Wt6w,0.16292912513842747,2011,8,402
WEeGztRmh2FpcBYQwiEOxA,0.3414434523809525,2015,7,16
UMj6QhuDh8na5GlHpTgYXw,0.2802120181405896,2011,7,36
unVhNyvbe2G4_xDwX7ruZA,0.3808184523809523,2010,7,7
T2Sf8HU0IN1mR1LImLAYwA,0.22411858974358975,2013,7,61
S_D0lTJZIydhI8GihE-2lg,0.30627976190476186,2017,6,3
Vvdm_dvVxXgDKIzyx2tT4A,0.30920542635658904,2011,6,99
3stnsRDusQJct7xDaRkZkg,0.2318681318681319,2010,5,27
GfRyZm9UyQaYCfvugwjcBQ,0.3835401348039216,2013,5,5
pe7vvSwZPsUZUJqOrBRrFg,0.4227698412698413,2011,5,11
4AMXt1aQMukhhATDwm-mTA,0.1716666666666667,2010,5,101
Ya8jl6JmhSwjp25vYI_bcw,0.23720238095238094,2015,5,72
MbZVYhWx6I2rJ5Euig4YXA,0.10631720430107529,2018,5,22
VSFIcZH8MkBkrgm8D0L5YA,-0.11249999999999998,2017,4,3
barhg3D1jmyzh2jvSbdD-w,0.23079545454545458,2011,4,15
OUG7hos0VX9viWuiPMRH6g,0.2416666666666667,2014,4,30
mZ4A_6Lwk85tJEVzjIYb_Q,0.24672619047619046,2016,4,1
V5gmUTaQ-I9MV19xrvOW4g,0.37968750000000007,2011,4,2
gAHXbBmWmL6Zxr5_4L3w5w,0.21635120435120436,2011,4,0
uECBcORGzbNURZcNL9tBuw,0.5391666666666666,2017,4,2
38zzid3e8XzhdsbcwPrsyw,0.31110994397759095,2012,4,24
S7bQ0CyBfv60BfhW__qm5Q,0.3215097402597403,2017,4,0
7OsF-YSzhWA6DT8ExnaFyg,0.22851449275362318,2013,4,3
6z5A5r9umQONOK03u4E2Tg,0.2894616977225673,2015,4,22
g0EPpWqsmKCeZjqUTsRXSg,0.22736928104575166,2013,3,4
WzQNylBbxBrmfWF8Q1vnnw,0.07478835978835979,2010,3,29
n1ahE6tewh8Lia5BVvr8DA,0.1837333333333333,2018,3,7
yFnQdyP2M94rx6ITW7Kl2A,0.20064102564102565,2011,3,29
hMmlhdjfCYFApB5Kl-YZzA,0.3142857142857143,2012,3,117
hdlBGriEEG1ch37R1YmjyQ,0.15757575757575754,2014,3,24
v0MvvMEOP_GKH5nHT0jHbg,0.239014880952381,2010,3,124
D2VgxEI31A_04Cz2LeWjwQ,0.2992481203007519,2016,3,16
xNnhj61bwdoM4wgNj1qwVQ,-0.06956845238095236,2018,3,23
tpNkkoUyXwsr5mOF1M1Ksg,0.3648782467532468,2012,3,21
FAee6ZGYBQybkKznI0RyVA,0.26396103896103895,2014,3,0
i_OJWOPNbXuRWbT2Wk2r8w,0.008815426997245185,2013,3,2
OwERNqwvzhqTB3gmwHRj1g,0.2546796875,2016,3,1
ew-Foa8kw2lQD7fGa-sfzA,0.14221521942110177,2011,3,106
NPpO42lq0EL8qfUUVQgbWA,0.1818685190778214,2010,3,29
kDFq8f9LMO1uF3XXlQlhRg,0.6375,2012,3,35
Bmq8mDkMkI3_EQrstWDP-g,0.24735389610389608,2014,3,89
QIaHptOWykhpMQQWYCdvfg,0.16818181818181818,2012,3,173
5ZIMfe_p24kuX_COkcNo3g,0.09154867123617122,2011,3,0
yBrZfSfoN-GAX6jYEea4sA,0.12028100775193798,2017,3,35
U1_VaF82EzV0WS2jdZijyw,0.09505494505494502,2015,2,109
3N5JRPIPzsMuqFW4guFp8A,0.39305555555555555,2011,2,10
Afz6baY54axqxYC8lrWvIg,0.09858276643990933,2014,2,1
C7SLHJ0GY_cnhNqDM2jSGw,0.21659188034188034,2011,2,37
8f3H-EWM9yw5ukUgvQuNYA,0.1946774193548387,2017,2,93
WN_r8GJjxdqZfwOT4Su7MA,0.19036796536796538,2014,2,13
GkvrL52y78NDKy9U59X0Fw,0.010851587301587298,2012,2,0
7k_4d73n4TcpBCQjK-WuAg,0.478125,2011,2,55
h51IOYW2NaYBPd_IKve9tg,0.24742857142857141,2011,2,2
oUhGuoscerEHRIYK7KPr3Q,0.12239583333333331,2015,2,3
EdQ1wPEzi9NWAElpKosd6g,0.4385212121212121,2011,2,178
0bRE3hCgf83A0i5cL63VqQ,0.1996880570409982,2011,2,1
iXSeMDrJBhDcApf7DUVmjA,0.06444444444444444,2018,2,2
rItrYYz2ifWz0eApsANxFA,0.29430158730158734,2014,2,1
QjMxzoClgPH3gAB48vxDFA,0.2501984126984127,2018,2,1
-Yb7GUipgJPbYMlzm-iK0Q,0.028906249999999994,2013,2,56
0Y-d-tLHf7uJenUcP5IGXQ,0.17156249999999998,2017,2,14
hJky6Fo7qufgFq05CNfXsw,-0.09313725490196079,2014,2,82
obPOBQA0p3uTE_OEE9zy_g,0.36153013653013644,2011,2,17
cDqjkn47WEGA_9vPlc7PDg,0.18119940476190471,2017,2,8
_iW46U4jkspHC5A8fEczHg,0.5666666666666667,2014,2,39
mntXv1gQalDyIb7yPjoN7Q,0.04423076923076921,2012,2,220
90iAOSeQyDGRHGrxOCuMYg,0.3729166666666666,2011,2,26
pC471gCTYLjFIyDXl0Qbkw,0.5067176870748299,2012,2,17
tKzjMVa23z4TpXczWcX5aA,0.16392045454545456,2012,2,1
Q_IpS-TBABuqdIC2UC1phQ,0.04734882842025699,2017,2,72
p9Di5ouBZiHfivAxGeokFw,0.3421875,2017,2,0
5wAcdwD2Fxp_01Z7W_k_8w,0.3499999999999999,2011,2,5
61zKVB-hRJQqxD4puQLGbg,0.19166666666666668,2012,2,13
5cvkvkQo4mL5IQhRl69wuA,0.3497395833333333,2016,2,0
EjvFQz3T1_pi1o1wOpTEDg,0.022569444444444434,2013,2,0
3yDd-5J7UtMKmiNwSgWNKg,0.13721560846560843,2012,2,8
u8NDED3X_N59Y-9tNSefGQ,0.325,2015,2,2
Ji347QIlCvjExeqRMwaMvw,0.5476190476190477,2016,2,5
_JkdD_QhnNQFqR24uzEm3A,0.4741941391941393,2015,2,9
2quLQ0mCZmmdnJBpgJCvaA,-0.02055555555555556,2011,2,27
eC9hCEJvW_i8swgyrkn7NQ,0.35,2011,2,6
xXcrk-tiyfvLJS-MNNKqpQ,0.3698412698412699,2018,2,12
FOtpsMH3k4chf_GjCQgzug,0.2635974702380952,2017,2,3
HXLMCojEzPjdr8A1uERM4w,-0.4,2014,2,7
Sgzww4ImRxDIJBMWauQM3g,0.22344444444444445,2015,2,0
kemxoEeyCGz_95Cv7SRQ5w,0.35,2017,2,0
_Ty_pUgDOl6MdF-m9f9kPw,0.22760416666666664,2012,2,20
JBUMK0P0Hb0LEzrmxFLHhA,0.18333333333333335,2014,2,1
r9s4CdqmZO3y3xtwX6OtAw,0.30490196078431375,2011,2,5
LzSYF9I1EIFfu-QG4JWDqw,0.4325892857142857,2016,2,24
1IgrHB8CBnbcYoduDd3zNg,0.20781249999999998,2013,2,0
c5VMQFyEycvqHdEe8OcXIw,0.24283333333333335,2011,1,2
G7DvJJLy-alB41HSYaZDXA,0.5125000000000001,2011,1,2
rzqzeHOX2Aaua_-zj6i4Rg,-0.08124999999999999,2016,1,0
OFsfcFA0I5G01j64O8sUSQ,0.027777777777777766,2017,1,2
NeXRT3LA4-6VHhlY9NXKig,0.2072375253292806,2018,1,18
3J5cW-PB38XSMZCL1Ut7Tw,0.2608333333333333,2016,1,16
GdEx0vx8Jiznw5mV0MTcWw,-0.14055555555555554,2018,1,0
zGiALfByf9O67SGaqcU_hQ,0.3391025641025641,2013,1,1
npnBH4ztgB9ifVE0h5tTIQ,0.35192307692307695,2011,1,0
UHMTEDELBWMNh7P5VPbc1Q,0.8,2013,1,9
JXIKdcjTNqeKpYe_8woGww,0.0,2016,1,0
ySNxLROM6GB_2YHXLLVrRg,0.18681972789115647,2018,1,74
1yjHiDGHxiiftBAeDV-TWA,0.09568965517241379,2017,1,26
laeLYf4AltuNWDkd6pp1kQ,0.20057720057720058,2011,1,6
-9_wnhMrnYHpCH73nAD1Cg,0.17273809523809522,2016,1,0
8Bc23FZZb2MZlwgxeQ4FsQ,9.25185853854297e-18,2013,1,1
z_gUYfc-O1wU00ph2ocZGg,0.24727272727272726,2013,1,4
pw5eaiA-pGOPUbati5Lq_w,0.0666666666666667,2014,1,14
Fn7F-anG8gJ7KZTz5H_j3g,0.2242290249433106,2013,1,0
TS4VjPAyFc0laPW8n_XK_A,0.3138888888888889,2018,1,12
eMrsLCZi6C-jq48UYoQZXA,0.3304830917874396,2012,1,21
TYXPz1cqPDFjiKrPpbM4tw,0.46833333333333327,2015,1,0
dZQ0J-dWRRu7d2XJ5voH2Q,0.2614583333333333,2018,1,17
nQeFDKXlWAGlpTqh2YiGSA,0.1831845238095238,2018,1,4
dGS9AuCERi97OqhHVwZhMw,0.23124999999999998,2017,1,0
DM9qrcKciSqLJw_id50CDw,0.23925000000000002,2011,1,93
E8J0qFjOZl-nl5FGVmWLYw,0.30500410509031195,2014,1,4
soxAOLMCcGDn24_BitNuDg,0.27933106575963723,2017,1,17
w2zU6AXGOEOv9s4iw5vPHg,-0.10759443929086786,2012,1,6
7qk-DKpCbJEbCDxYPqsVgw,0.1692777777777778,2013,1,1
Pf0bMoVB6JcgNO3OAlN8OA,0.3786255411255411,2012,1,0
ixzKoHICU9jDalpLlAIdRA,0.375,2014,1,0
ZJumpJ0j5Wwj4NxoLxLF8w,0.45714285714285713,2011,1,25
0gpzVa4vldbPZgqIhSmAQg,0.6666666666666666,2016,1,0
g7zuJJdi8WUa4bhlS3LwJA,0.30288461538461536,2013,1,1
Sy68NQoXWjprF8q588ZXiQ,0.14297902494331063,2015,1,1
XC0Tjpo7N068povrPiqslA,0.2680681818181818,2015,1,0
J1eMpDs5_VkPYVET8C-C_w,0.10606060606060605,2014,1,23
QmzjyycgbXMzfLz7e_qGEw,0.44527777777777783,2016,1,8
LZzkyiTjs7xb_1fOerOG_Q,0.40816804407713503,2016,1,5
RAG9p8n9jjS9l0dwDKCC5Q,0.25999999999999995,2011,1,0
ooMYof2Y9ZDUoIgMJD7-6Q,0.20249999999999999,2016,1,47
LdrhcW-cwV2za2oX-Gugkg,0.2658465608465608,2011,1,117
aRIWgJo4dBMzrpDklebD8Q,0.11119791666666667,2016,1,36
VarlpnLdk3i4IWlpbCh7Mw,0.3286213786213787,2016,1,5
UZxvvRXdJlWb2CjjTiQpnQ,0.5918181818181818,2013,1,0
p7rsT_sh1URrIGtrUv7LsQ,0.2306172839506173,2016,1,5
tiBTlyu0iLy-G2_1xWiWdA,0.3825,2013,1,6
zzW40S_WStrOapO0YPlcQw,-0.04654320987654321,2015,1,1
Fkjsn9QNgkQmOcB2llDSQg,0.2836339586339587,2018,1,0
DN4rGIwrh_zxAOSEe8y1Lg,0.2333333333333333,2012,1,1
d0r2BGdtjJC-eSP2AaQB_A,-0.002614141414141405,2018,1,0
2rumRLHwQxNYk3P167o0Mg,0.335,2011,1,0
3sxc7yBPcPY3SE6WABfZLQ,0.3125487012987013,2014,1,63
9ljoJ1YGEa4JVwrlmfDp0g,0.2933333333333334,2017,1,6
LT3bT9C_YrwCwWE-vjjIYw,0.5666666666666667,2011,1,4
AMcAmUllOz1VNzF7RIRv4g,0.21969829598506066,2013,1,10
xRDIDdVYAVB0n6Qqhmfr4A,0.8333333333333334,2016,1,32
M2aRwsjE8AOOR3NM67l3Kg,0.6953125,2012,1,1
WKkWOlatDlMuHVxj3MxUSQ,0.06420995670995672,2013,1,78
RtlN0H01elGWOFy8nyntlw,0.65,2012,1,2
c_z8FkjQxPUhxH4bCBFVcw,0.13541666666666666,2015,1,0
hcAZq9PgjCskP-OQnX1sbg,0.020833333333333332,2018,1,3
it4PBvlGt3b6Fzz7aA_66Q,0.5416666666666666,2016,1,7
utq4AotEGqwU-lTQjAoz-g,0.45000000000000007,2014,1,0
YGVPUtsdZG-TKDnFLSDT7Q,0.35759259259259263,2018,1,0
do9hO0cGeQZgoqOxWY6NFQ,0.297877358490566,2011,1,1
savRnYVStaBsQV7tqawDaw,0.48183333333333334,2018,1,2
KaOqFqasTB5isjKtl-TVoQ,0.50625,2015,1,2
kjNUGDStT_-xfKwupIhiQw,0.575,2013,1,13
pL0_b5ix3npojCTTWbmZYg,0.29921875,2016,1,1
ni8NdDM6CoOB7aNffKPvVg,0.3916666666666666,2016,1,0
Xbgrn5oRhIxb6kDt7hLXxA,0.09147058823529412,2012,1,0
fkFqoKHFuDLp1-U9Y47w_g,-0.07500000000000001,2015,1,0
eAZJGUjDauoJwrDR5rDbxw,0.66,2017,1,0
5LTAXrds2Z5HUB9wiGIg1g,0.2236253842775582,2011,1,5
4jWPltcaZNsytnO5WtCj_A,0.35700980392156867,2015,1,8
ClDHZVpocIK2pT3M9x1Gzw,0.21875,2012,1,1
ImfEGlDU98YsPTx5ZfWIRw,0.45625000000000004,2017,1,2
UPzBJ2nnZBg58Eczgz5yig,0.07261111111111111,2013,1,5
igLGmiOstVJVo3Ex0ZlCZQ,0.32602040816326533,2017,1,2
BxrjnqE85vek9MKXtTBn9g,0.26136363636363635,2010,1,2
Z7Sk0bcqO0Ma-99b9Mw96w,0.25425791528732705,2016,1,0
GoYhBW_8VV6t6ESmedqy0g,0.22083333333333335,2018,1,1
yR4pd5r6sCO7w-KL35_iJQ,0.24866946778711488,2018,1,0
Y1LTbyrmBfSgiJuIQ9ZWKQ,0.45625,2012,1,20
B8Xd2XlSLSUWu1E0bgFlAA,0.26742867405582926,2015,1,35
z25CUDmQxa2JvRqvInxMlg,0.06444444444444446,2015,1,1
UdqGNf7q8aFgPug000F5EA,0.15,2018,1,2
lZpziK7kxO5LNUM7B8j4aw,0.5453869047619048,2011,1,2
sChvt1yumS9RYUMMzPxY5g,-0.095,2017,1,0
upNzn1grvNw-A5p-2rtHlA,-0.0375,2013,1,78
5gy2Y0v5sfaMs15PFWnWVA,0.21428571428571427,2016,1,1
B8DSKPbbXAmYVJKlUTy9Mg,0.03366071428571429,2014,1,12
UwNZtXwrcgDbHeOszK5V9g,0.4571428571428572,2016,1,0
DQ1d1hOmWuJ1BstZUHntXw,-0.15595238095238095,2017,1,0
VCJTguVG7QL3RKPn3J4kVQ,0.27139550264550266,2016,1,38
NmelPCvxCTy4LpsimnyrEQ,0.24300691244239633,2015,1,9
O8Bjjk9w0NgXxtEr9IQvUQ,0.26992424242424234,2014,1,102
mR_dVHN_hiA_SlaLRGlNIw,0.04722222222222222,2011,1,7
A-6pWVdQUw3gDtzNSz-lEg,0.3379385964912281,2014,1,0
Y8BGiHOq7HdeWCpFX1F-7g,0.17129629629629628,2015,1,0
bMylKiYLaDbaIUfC8pnH4Q,0.4742857142857143,2017,1,0
iKTthIizSIEPcBq-C37P5Q,0.21736111111111112,2012,1,3
_eubTZWiUUaTE7ZFp82JZw,0.42027777777777775,2017,1,5
YarPP4oYMZo41GibtWL_EQ,0.016309523809523798,2015,1,6
Ob5vkU6caRqBzAZ-0aJB8g,0.2666666666666667,2012,1,0
AcbyF3m2VBIrxkYn6U-hhg,0.3909313725490196,2016,1,2
G3yjBWBvToNuqIBVVuEaEg,0.2890306122448979,2015,1,14
wMr4gptHNEnS_6GbJJRaPA,0.26950757575757583,2012,1,0
hgJLp8dt9Q_wQTRZQewsVg,0.3179971988795518,2015,1,9
_tXKgODdA9mjl1v_xqasEg,0.2543092105263158,2016,1,0
trxBimIU1jSzUcNodeA5rA,0.37544642857142857,2016,1,0
oXXkiUPr5ulSmXhB8Kw7WA,-0.22989596739596743,2016,1,1
ePKUhLa1etArn9N3vz-DHg,0.23197115384615385,2018,1,7
iXIBbmQGfyRxgC6X9Ru4RQ,0.17404761904761903,2012,1,17
5187vl-sDf6dG-t0sHkFlw,0.0030612244897959074,2015,1,0
FySsoaKXEtVT6Hm_9yYpWA,0.8,2016,1,1
beLgh6xxmLWrJ4P7vt7dLQ,0.1624691358024691,2017,1,0
ljgb03GCGZH2wI9iSvazrg,0.35584415584415585,2017,1,7
2EqtyI6TtEmFOxy10-KOhQ,0.39444444444444443,2016,1,1
ofDl6TkS6qk-Dbij8rqpUQ,0.2141053391053391,2015,1,0
zrdEyvqzxHfg4GdK68RnYQ,0.04701298701298701,2017,1,0
JjXzpHQo_fIElo7w8Sekqg,0.32166666666666666,2014,1,0
lETi5iFVIkuUiythTvpuIQ,0.3352957091927681,2011,1,0
7PiUD58L9126ysfj3BLqTQ,0.23004761904761906,2011,1,2
UO3BcP3JGSgyHXAkPEk0wQ,0.31671717171717173,2016,1,2
MlGrJnmCqIa1IPb8tvhfiw,0.3434523809523809,2014,1,0
KRz1D-BPg1wwtqsrr8q0dg,0.5026136363636363,2016,1,0
5eHaQ41Jw-0XOccOTXqL4g,-0.20999999999999996,2011,1,2
iEfLRm8YqPZ4lJ1Qr-hhPQ,0.22962962962962966,2011,1,1
vhicv9wxsQ-bHZ96sUzQ5Q,0.28725949975949977,2016,1,9
90mi3nZD1cYFJgW3FLWtPg,0.1875,2013,1,0
