review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
47zDFSgz3NKsHrQ5yOy5lw,0.4139367816091954,2017,210,1023
4zES7MtNZS3tJAoQ6hYWbQ,0.273368635332921,2016,44,274
0jpanb_bN9u4ga6XSLTJaA,0.1426470588235294,2014,35,73
gTak9u46HIo7MX5Jb3iPTg,0.29290123456790124,2016,19,411
hqtB9Lj7fqgIpT87rxkgpQ,0.32557984400656814,2010,18,262
X7oUbaomcjKB588oiGzlQQ,0.42706349206349203,2009,18,350
ibsyaLxBy0M1kZnUiZVUUg,0.06229395604395604,2016,17,101
Kr8Rbcfi7ka-bUKWo6Mz-A,0.2331359989648033,2016,17,103
DsRdl3ADuig0n_XC4joO5g,0.31267424242424247,2014,16,511
Sk6ZbHIEn9yXXYtEd4r0pg,0.24021618625277164,2015,15,201
suiWgWbRuqf_RblO_rrvtg,0.3328884711779449,2018,14,154
d0pa7wES-GKLxmMuMDnyIA,0.2009552845528455,2015,14,43
XnE3fu7InQOrA2BxKS0hdQ,0.13253968253968254,2011,13,551
shK8R0W1LnFejx8_GULp5g,-0.048828125,2015,13,0
Y9uEdTfNvh9404IpiVVXzA,0.22179584599797367,2016,12,191
suyTI2A7effl-g-_5JwDWg,0.36328643578643577,2016,12,82
zNquTCD-h3MyBxJ2u85bQQ,0.28926799886621307,2012,12,193
1TPDA0XhKJa4ZW63HnVhoQ,0.38547243572753775,2012,11,47
ecysUYoTqnMrWvcJPX2jZg,0.3299526178630657,2010,11,201
REuHkcjaiVA7-o7W56dfeg,0.22202380952380954,2010,11,112
SU2Uu16D4dG89sLSCftR7Q,0.22274470899470897,2016,10,42
YJZGP1nzOHFkGIQ5YnoSEw,0.38662037037037034,2016,9,55
S49OcNi7xwgDr_SgI8oB5w,0.35439814814814813,2014,9,37
UHO365-ozAmroN-vlbQk7g,0.45,2009,9,112
rsdvPEHAqs0giv7IVPioXA,0.39285714285714285,2008,9,7
vcAq7bRJd5ygwtX7sRyd6A,0.3267197554697555,2015,9,162
h6MYBKbOsc4c0Q_TJp_bSA,0.3339743589743589,2018,9,69
QKnIjFncxJtXt4OcdbcyEw,0.1450280112044818,2010,8,14
JOv2X-P5CHMat0nOi-zQ0g,0.19217807616112698,2014,8,18
7CwyqsKdDuxS6gJqvdFuaw,0.36584325396825396,2011,8,62
oBcK5k4L6T_U6R_WxxHa2w,0.09699018429487179,2008,8,28
Si1Susry8NZVtjz8HPUBOg,0.24235491071428572,2014,8,0
uR9nMduTKp6mISgD8s2mgg,0.5300765306122448,2018,8,424
cVUszZfJ1HflgDq-60o1IQ,0.2853120978120979,2011,8,29
KUIur0_sWj2IZ5y_MExWNg,0.26349607182940515,2009,8,60
Xplzx3TXQf3yq6yI7M6FGQ,0.3615277777777778,2017,8,350
Ff5TGeUJQDmluwz0hUac4w,0.29041666666666666,2008,8,37
B282-z8gyTRj0tvQOOiRpw,0.4451680672268908,2009,8,60
rr59MdoW3Ebw2NYk9siJVw,0.375,2015,8,133
OUqZH9Tl5s_VegDcmf9lwg,0.5675595238095238,2016,8,77
NacQNM8c3uktiKLIaeDxHQ,0.3998993347338935,2010,7,134
boSqHXBysda5QVj-hXX1-g,0.44333333333333336,2007,7,28
FvzFsTEEX-F59dDFrlzWqg,0.5276136363636363,2009,7,2
noKPBEvKcG1yEDKPxjxGzg,0.5220721187025535,2018,7,52
Ase0UdQmccnH9jB9Zc-PvA,0.061987433862433855,2013,7,0
lB19OJ3iz6Ho2P0oRWjrUw,0.3524440836940837,2014,7,32
_LFvZqDHJa9Bh2ohiZuBUA,0.1726190476190476,2015,7,251
8N-f7mXqK1BrHwC1TA-tQQ,0.2810639880952381,2010,7,73
XAflBFktXmwTxk3EKcLkRg,0.2510443722943723,2018,6,49
nTMRRoUa-oL0cNWgGg8jYg,0.2874999999999999,2017,6,17
ByBQX1KAQRo5v2Dre6a8aA,0.4409420289855073,2011,6,12
hsPMBziBNHeGgOVemW1F1g,0.369053872053872,2012,6,5
KLU0lnU-znF12fnox-Ndqw,0.22604166666666664,2017,6,37
-rHcwwawwGEfmkQHTzpYHA,0.1476825396825397,2014,6,86
ZxInfVSqyfSysUMxWj68zw,0.16733500417710942,2011,6,8
-_89KWIWZdA_Kvhh0OKVkQ,0.42599999999999993,2013,6,2
XomzBdF8RclMXrkL7ZLUrQ,0.37553986710963455,2017,6,145
WajIigYUSOApASAf81H1PA,0.14855952380952384,2010,6,48
eAgn-_0dEmZb5Sp2_lXD5g,0.21805555555555559,2012,6,140
xQ56K61yW8MW5-yiwjDVrQ,0.25316675388103954,2015,6,112
E7On8ew4IgQbfsB3HukjhA,0.2652777777777778,2010,5,112
WZjgkesiJdJid04RYTkHJA,0.23409090909090907,2010,5,48
XqXrf2d0Z2MtphIJ2-NeoA,0.22372727272727275,2010,5,199
k9TUTFHxHiCqlPPIx5ajxg,0.5035714285714286,2018,5,22
k5p4FP65KG9kqJCt-4K9aA,0.2100718390804598,2017,5,16
1yOoIEc8b-zgYUA-mUVs7w,0.3774810606060607,2012,5,47
WhPG8iCJfwkJ2AEG93q0qQ,0.055937499999999994,2009,5,7
VK-EXQIyyeG2S-zhC0JOfA,0.21809895833333331,2009,5,69
JLpSkRrD4313IRmFDuLkmg,0.37507575757575756,2016,5,74
-I3LRWNn47AZ_86nnM2leQ,0.425,2015,5,66
mOeGhxCr2BANUE3mdCuOBQ,0.24745370370370368,2010,5,69
wjhXeDtwFEGpNSmLJ8aKBw,0.35000000000000003,2017,5,120
B3dN2Eba9bJa7-75LixYVg,0.5240601503759399,2013,5,16
qwRH9WYAXvaF6wA0BYdrOg,0.09680555555555555,2018,5,10
RPJ0-zwcRwSlpU0BVaQg5A,0.273513986013986,2010,5,132
OkX6-TKSQMAz7Q4tfq3zkA,0.21178262213976498,2014,5,49
7OOgXTwaeVS8jcbHLUuwtA,0.42854938271604937,2010,5,60
rmK1xP_5T7jqkjoXt-W1VA,0.07043650793650794,2018,4,33
H5kOYwrK8HBzqrSlCIu6XQ,0.4277777777777778,2016,4,58
niajBmX5DbJViJGByi38TA,0.45054563492063493,2009,4,0
-JP8WzO3MHCIHXeig1NwNw,0.49007936507936506,2010,4,2
oZJ6socyteIcrGrDnai2ag,0.3562053571428571,2016,4,38
G8CW1tWYXx1RQ6ysOt7osA,0.0861672278338945,2011,4,9
1uFIkVhLG_hPrE-QmXeP4g,0.2968137254901961,2014,4,45
MzUdGhquSNwSFWSOg2fnuQ,0.2273615950445219,2009,4,19
kxRMWQ7EI9-teFSfFvSr1Q,0.6300000000000001,2016,4,359
SiOeM8aNQDjyqBrP-Cr06g,0.20894123606889564,2018,4,118
40jU40uu2nGQFV__Yx5pdQ,0.26104166666666667,2010,4,49
SQP30Z6likBSerBzxQyeqA,0.2469866071428572,2009,4,6
-9CIfMqroEoajaYl1FwpMw,0.17636054421768713,2012,4,1
mRUyX3OGVDHa1qGrru_79A,0.22554824561403508,2015,4,7
jM2GcmI-MyJxyXlCZAFaUw,0.16896551724137931,2011,4,29
1vHNh6lZZv5gp2yqZiw_gg,0.12459876543209879,2014,4,2
ZM07tsFp45zMepbBmLud9w,0.1666294642857143,2017,4,21
Ii3OVZ2TR3XSFBYYwyDLFg,0.18559027777777778,2015,4,59
__SMf25RfkUjzZwvBn-lBA,0.24047619047619045,2011,4,12
XjnQW4PYwFlPfRxPZgRfTw,-0.05060763888888888,2011,4,14
Bkz2J7T9VUrlzq6RRDFjQw,0.3338669950738916,2008,4,25
LeK3kyIQbmCMGMzapQvaEQ,0.32122023809523814,2013,4,50
_-YhAX7M6505DV2eNu9oWA,0.2576636904761905,2014,4,17
sETCJljzr6ywaMhnV9Mudw,0.3077097505668934,2016,4,24
1drCj299IF_hCI-i2KH7Rw,0.31481481481481477,2013,4,3
5Q_6T-C1zQfOBchOBNS1Ow,0.364102564102564,2017,4,26
2GJ_LBSLn-vk9l8dU6xEkg,0.3048245614035088,2017,4,12
Hah-roPiQuLPP3dPvuhT1Q,0.3153198653198652,2009,4,3
bg-nofNFA_UNnzsqBzRLmw,0.19503968253968254,2009,4,21
fTP3vW6k8vDhf6sRWJMEcA,0.20231481481481478,2012,4,66
k4yM2dJXsarQMajRYK049A,0.3369270833333333,2014,4,68
6HxWWMBHpkTrWsNYpcK0HQ,0.2366953262786596,2014,4,12
CbyeqD8v_ScBPgsln8z86A,0.434469696969697,2016,4,3
qVxOKO7ru1CYRMEHg18V7w,0.398287037037037,2011,4,72
eaDPiCJeJQm4BOG70UsRgQ,0.047212885154061635,2010,4,18
A9ZLFxChFQl5tqgDaBowyw,0.27741935483870966,2013,4,24
_6gvNycXw7dgnBeGUkODRA,0.31303571428571425,2010,4,32
E2UlULOe7OQTMVdjQc-AYA,0.3125,2018,4,14
t9n15JXcZptdani4eJOhLw,0.16562500000000002,2012,4,0
7H9vp3fQ_-_77z-XZmBFKw,0.32879629629629625,2010,4,6
jaXDeGasN5Z3Bi6k0UJf6A,0.05443278943278943,2012,4,0
Tjk_AYdVOQe3oU9Mi8gtjg,0.6810714285714285,2013,3,7
yWZvrsnkXcmbINrKfN9BLg,0.16569859726836467,2010,3,33
G5kgvZOrhStzsxDzTlGkhw,0.2385990338164251,2011,3,13
brr5sw_1l1OODsONDFGTPQ,0.32423469387755105,2011,3,16
yWUVS8mBtxz2aZs5yWfvbQ,0.18541666666666667,2009,3,21
jIO2k2SlZP3fXT6x1BWgRA,0.17410101010101006,2009,3,43
Yl5zWYU3_V86WvanoDqL9A,0.36875,2007,3,12
2Einvff5mc1hB0lXBXOQag,0.5608333333333334,2016,3,6
Vd3X3fP5yLsD3jeZUmaRZA,0.14375000000000002,2011,3,25
ZjEopoqqohz48h-kNaNVSw,0.18497942386831276,2015,3,127
JA859gCZIS9Onye61rxifQ,0.07083333333333335,2018,3,8
27BrnFLT6pHXpUm-Yy-9jA,0.309375,2012,3,31
EeYf9huYdEPkovLl518FvA,0.2531605848861283,2013,3,144
U5HZ_e1r8HRfcnTYxznBPQ,0.25851648351648343,2011,3,1
GGDGsCIW0xWDtXGCnqxbdA,0.21040702160493827,2014,3,336
OVDcNm9DViX67dZhC9zQQw,0.228125,2011,3,20
nMmHgFqQzk_Or_pJZimdpw,0.13608120680489103,2016,3,43
SuBMHWTAbYZxa6uIVqz8wA,0.26145833333333335,2009,3,2
4DE8C559SiMccA8igc0ueQ,0.3738541666666667,2015,3,51
3_uVWHLSuCXoWHQKxxe2lA,0.6613541666666667,2016,3,9
oJK1XlQ2_AnncIGRoWi4PQ,0.29549873737373733,2010,3,43
q5vvjlJrAhhTU41P27DTEQ,0.21428571428571427,2013,3,3
MGn_gWOWUqUHbU50PBlk4A,0.17187500000000003,2013,3,18
_hV98mFRQLZBHJh9LIUWfg,0.24003108003108004,2018,3,17
_dUzniAhsR4bAvxYDk13dQ,0.3388888888888889,2017,3,7
L1lVNwhCAvl_LURj_SJV-A,0.28125000000000006,2017,3,22
5NSmCGJqBZZAmMwzHPbqXg,0.5104691876750699,2011,3,5
uJSMPPpK_aU38mEE9jRM7Q,0.20465986394557825,2016,3,1
LzU53eVmvqG6fDjlEyxN0A,0.14083333333333334,2009,3,33
HPjh9VkPIC8Vnjv5EceFnw,0.46294642857142854,2010,3,110
vAbD1Zpbj97qU1rKqOWs9Q,0.390297619047619,2013,3,78
CtrBi3MZ80ufphJntz0xMA,0.35833333333333334,2010,3,59
z0_DQJxq-pma-4CTd_VCXg,0.43636160714285716,2015,3,5
j-3QSV96th0s40XQAsd8jQ,0.356359649122807,2011,3,2
F-1cuq07qGNWZao2oS8dXA,0.2951388888888889,2011,3,6
tJAWwkhMopacuCh8KWAYrQ,0.06317082388510958,2013,3,0
hc6_3CFP8YfTeHY11yMoAA,0.3366402116402117,2015,3,78
4HyrWtXEE1ujc1OduP3iIQ,0.825,2011,3,0
WVfqNkfvz1nquWsNE2Sh3g,0.37916666666666665,2018,3,39
UlAJ6VvcITseHXvqjHqqpw,0.5237499999999999,2014,3,1
FO7OmrF0WvfbMrD9BZxKxw,0.18976507269574497,2010,3,7
HwczB1bfkTpFqo0iFLRrMA,0.3992630385487529,2009,3,60
45ql3zc2HUJ2OWBsugfLTw,0.16093434343434349,2017,3,19
8NwhzIdyqvJ_y9F7khkJdQ,0.14977272727272728,2014,3,1
iLKsADtAXWXeoV9kMCPdIQ,0.3271604938271605,2012,3,29
Ibeg79z9ZDc24bmy9ZvMGg,0.2144409937888199,2008,3,2
DDBehPLCWbvLye-WAeKV8w,0.535,2015,3,54
mNiXWeUoAkXeHjLJ-66M1Q,0.248828125,2010,3,37
sEQTvRsnaBlJE_Q-bvvOrQ,0.3714285714285714,2016,3,1
_gPY2NbCA0Qes7o-U3QdfQ,0.13745947315096255,2016,3,25
jpWJdhec498YAisdQfd1Mg,0.28597883597883594,2014,3,2
Hi-YwO1oyTR9BUwBHkoSpg,0.3082212885154062,2017,3,12
87BMK798A_Ft1n3fgQomiw,0.005357142857142838,2013,3,0
LFcNeIDBlN4mLBMlKUvRmw,0.19104560212514754,2018,3,4
WCDFR4Zc_0rg0r2tZb5jbA,0.3593197278911565,2010,3,2
utHW_jF3V-Ju7f5CPO11bQ,0.4571428571428572,2008,3,32
YCo2f-9wa4rpyGtv0w_5JQ,0.4711805555555555,2008,3,10
4iiDEtXyoPT0cISFGwLdNQ,0.32949419642857136,2017,3,2
YiOAiSe5bmp_XPsqrO4WeA,0.1822189153439153,2012,3,0
4R0thYTIBWEnddgAWxSi9Q,0.3980282738095238,2013,3,5
qbpXqdcV9lYr0rRjpIECuw,0.14377670940170942,2014,3,1
9psNRYYt22kJW8EBe84KCw,0.11774691358024693,2016,3,1
B49RncoGnCpvQzJN0GkqAg,0.2836324041811846,2014,3,94
AcNH4Rz8P3zriFb2FkvCpg,0.10721243042671615,2010,3,11
neltG70Ua3aL-cS9Q5AUWg,0.2484848484848485,2013,3,6
AQW5lQxrfw8hvMRn2jymWA,0.2390957190957191,2011,3,0
d5cr3tnZqXfuz1Lb2mAi7w,0.3070685207048844,2012,3,3
HLC0mcrJhkJAlM2PEwDuYg,0.2250388198757764,2013,3,38
d2vYfhcW_AKdS-jGz0864w,0.22385057471264366,2010,3,69
s9cCSh6gfVIjH2OzO1wPew,-0.3067901234567901,2016,3,3
mEc5pBtfLRkrfjXVShfbWA,0.2855,2006,3,9
7_DvX7KGOmUtTXJB7XPnDg,0.3683407738095238,2016,3,3
zUE-LKX0uwhRZSU3N8iEaA,0.3128205128205128,2010,3,42
tREPK7IcWC2U4e4BnyGC8Q,0.25467171717171716,2014,3,38
JoEl-5dzSJdAKIR-uhHY8Q,0.28695216049382716,2009,3,32
cwgwqYETxii6vwugeHuDLA,0.41223379629629625,2012,3,6
ectp0rr2bJdzhy92sBGzpw,0.41640625,2016,3,27
1p0cKbL605VHL8R5CDTR_A,0.3388333333333334,2013,3,64
ayyJXv_AFfreDjHR79ca-A,0.19272486772486772,2012,3,0
CVKuofH3iwYakHhs7sqHzw,0.26803943452380957,2012,3,2
KPANycADhgd9JM85PiCYmg,0.4902462121212121,2009,2,46
tWHdVCX20ZXypYtH173MIA,0.21368243243243246,2012,2,2
Q0EDpnnpCRoJBPGrumuSaA,0.34545454545454546,2016,2,3
_eltfjg6JILVzA_BIJe5zA,0.6791666666666667,2010,2,42
C3DgpjaR7ur0xKHZB6xKTQ,0.2994047619047619,2013,2,62
PUXf6WQen-0z1HMeazZEOw,0.20337096332785984,2013,2,19
ae6mj1wn5-dtvv2BrLvESQ,0.16984126984126988,2018,2,0
jLcLkZHINGiqa_P54DOQnQ,0.24791666666666665,2014,2,11
yYx-l2qVFqQqQA6vwcOENg,0.4,2011,2,2
cOIjqSVY1rr3As3lfvmKFg,0.8,2017,2,0
RYbdO2TN8SqkikVbwN1KNA,0.765,2015,2,1
IhZDcK-auHGWrGIPbDAQmA,0.3119791666666667,2012,2,40
_N98sVIt0B_5qApHOpoiCw,0.3183823529411765,2018,2,1
q_HmOt5ZsLmUmz025B8KOw,0.8000000000000002,2017,2,1
2ONQuLX4xTZBYiuWWL0_Lg,0.19861471861471863,2008,2,2
QI4gUXTbs26wnlbNLyypCQ,0.3464285714285714,2015,2,26
ghDHssHg7riOqLvZUU6bwA,0.23500000000000001,2015,2,3
