review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
uQuw61tOo8GT2VXipj-I_A,0.36307142857142854,2016,13,528
Qg9YuOpXN1AvtrbS6dq2VA,0.24957482993197275,2017,13,218
zQGI5F9-5RNwbSzgFdP6NQ,0.16934391534391532,2015,11,508
thRzuOM0UHEz-1a7TFI9Gg,0.00029761904761903816,2015,11,29
pyjzGmpzYMF_35rFasROmA,0.3800015262515264,2013,11,61
8wE7aHnOaXBFbiQ1yop_Lg,0.18047761449077235,2014,10,90
zmKM1csBO2B7DOud07r39Q,0.1091515873015873,2016,10,139
-prbN_6OOAp3XqrRXqXsuA,0.49642071638039376,2015,9,16
O9fm4NaLWvYu9IzZ8B7fIg,0.1982449835280024,2016,9,423
gEPsHUKIxrps9UBvs1lKCQ,0.05054347826086957,2015,9,43
YQBF3kslXxigo92qy8eLaQ,0.12109374999999999,2018,8,90
n_bzAxNFvEPZWgrknAyjVw,0.13888180272108844,2013,8,32
IT2JpzEEjVEKbB0h1HZ0Ig,0.2895277777777778,2015,8,38
Wchel8eMfCXOV6AnDAXQmA,0.1329166666666667,2015,8,37
O3sVeRfeTQ2B8jIqwIkiCg,0.38431372549019605,2018,7,35
dqE-KMgIsYywo0CEGTzOPg,0.05618344155844155,2018,7,95
n01Firbe9KlocxvzPthZEQ,0.2724489795918367,2014,7,101
F2iIfuHfNRhaFX3qJnUP5w,0.07511904761904763,2017,7,62
f_CyCz8_1T9EgJss8iuwog,0.19379984051036683,2017,6,29
V22-l28NiDIVmF5oWH5GTg,0.18481157328983414,2014,6,29
PpGGhdUGBfff9csLVe5Q1A,0.0853733766233766,2017,6,95
a0X-uW_VZ77RXV95-Ip_QA,0.175,2015,5,14
hL6iWJpw2eyYJjoUQoh3wg,0.06594387755102041,2014,5,36
bBemskBoAsG6LOmlNGkFWQ,0.18666666666666668,2014,5,0
j9gflobGMb_0fPLCq_NAdw,0.01865625000000002,2015,5,14
YXpHkC7CwTi9jBCwPcV-pA,0.15220238095238092,2014,5,27
R0Yi35pteNuEv-Sxy8L1Uw,0.1720833333333334,2014,5,15
6IzS08thQnSB9wo8lX3agA,0.22752976190476187,2014,5,27
UVidAj09Sx00oX1mTfRwYQ,0.28062584984459993,2016,5,51
Qdnr91WBsxt5u8HuC-onqA,0.10942754054456179,2014,5,3
GN0h9xk0gYvphjO369aZuQ,0.05357142857142856,2016,5,23
KR4uXawG5oHMW6FeASJc6A,0.3549007936507936,2015,5,21
1RP6dFdwbJSCdoQSQcLz6A,0.17753623188405795,2016,5,204
Ha5DM6AMoHBBOT456swzFQ,0.15623828907410997,2017,5,23
W-AhXxLiB-l-XHTTBxAEPA,0.215,2014,4,2
jl05ov_eb7hMcGJPA3Uquw,0.19959021204783914,2014,4,31
FafBD1048iWdknKk5dOjbQ,0.24358974358974358,2014,4,0
bIkmoGLlrF78BD5AkOy_Eg,0.06190476190476192,2016,4,0
5KcD154gmyW52ylKfkKHMw,0.2191550522648083,2013,4,36
zbM-ItaiNO42PSJ9SoZzEA,0.08333333333333333,2014,4,2
A4pa3mDHcOrkvH2aIk82Ww,0.35104166666666664,2017,4,2
ZQdR9D9dL7xVomc4E1WbLA,-0.11666666666666667,2014,4,2
O8D2eO6QH5XUyMrf4TLESA,0.10048245614035088,2014,4,27
J0NKNP5rYA3PPS_V3i8k-g,0.2238496718335428,2013,4,17
g6s-w7urYtEBRgoeIZcFkg,0.29012037037037036,2013,4,1
8SOJP7KTtEwGF9qetW3-2g,0.17608787878787877,2015,4,68
37gn42ghMd1U64C6CbnVFg,0.2805803571428572,2014,4,22
xptdthPmJwVgAjYhCT1W_A,-0.02756288756288755,2014,4,0
qfRZWqZE3oQ2fjF7ODCvHQ,0.06666666666666667,2014,4,0
UGT_J4SEdD7qRtm8ppTaRw,0.19122953869047615,2014,4,69
kL_cIyvdtpfc9ByE5QqfRg,0.35843468468468465,2014,3,1
_2HfL4zerJPUkNrt41aTDw,-0.17708333333333331,2016,3,6
JbCG645QaFMff9S-MtdDEg,0.32916666666666666,2018,3,11
TFkueCkBP667qSbfXSygKA,0.07728174603174602,2017,3,38
fsTb2TNrsUbBPYF-rYhVVQ,0.11249999999999999,2015,3,53
XBn6xqF_ukJhCHrIBT4V0Q,0.39999999999999997,2015,3,7
bhEN1ndBUllqJ3BTVzgC5A,0.16785714285714287,2013,3,1
QQ5UaFSWqs1bnf2W2-AlFQ,0.1515406468531469,2015,3,15
kc_yeMFUDzqmdl1Sb6Yqjg,0.2907518796992481,2016,3,2
JjZmzvSIpaC_yAY-WlpjeA,0.02275793650793651,2016,3,1
4WQgNMSCxfkyELGTIMtvHA,0.2930701754385964,2017,3,0
RZqkz0UZB_0se_lo1Dq5gw,0.65,2017,3,14
JQVAK1K6dqyVfoVCuzhy8A,0.39545454545454545,2015,3,28
mqPeH3lVBvp-kBLuI_uukw,0.18134571521668294,2016,3,0
Jc9p1S4t4peOjMcGYY6uvQ,0.24861111111111114,2017,3,5
wEnc4zyxGq-RJN_uqYgklQ,0.1402907177363699,2015,3,20
6-Bdpr26HgopKnvFLy19iA,0.28798260381593715,2014,3,2
lFsskZuGqB4xfZyvX2IuWw,0.21095238095238095,2017,3,62
HH-SoVB7Vos0vG_krR9qow,-0.375,2017,3,0
B_G3RhWH2Zt3oZHA4KBvFw,-0.07333333333333333,2014,3,1
v96-zfnP629RR87PAHJtow,0.09845454545454548,2015,3,4
oGu795BL8mBqGwba8XXMiw,0.3366666666666667,2017,3,28
mXUs8iV11cwga4wOt5j_-w,-0.014814814814814824,2014,3,3
