review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
t5XSuoAEkfGpaJZIEhV4bQ,0.36726190476190473,2018,37,382
xxuP4Bhym1Lol26Gg6JCCw,0.14862308429118773,2017,35,178
NORbjntpcZXnfDUooMgrvQ,0.14239766081871347,2017,32,546
42hwDDfnzCmJi3joVW5kVg,0.39857097763347754,2011,32,411
XePP6axBfL5PyhpybUZkMA,0.19024000305250308,2012,29,145
L2LBpxh_hFez5eFz5UjsbQ,0.3243936453039713,2010,29,87
Fpj8TP8NNtITaGyPa6FBtQ,0.15090832568105295,2009,27,625
-XmC4NhrAmZOcOjZCdzmwg,0.14056166056166053,2009,26,625
ORbbkB9Z-e_fIh9B2GW_tw,0.19223558091739912,2014,24,1004
cbyixy-tEH6ZqdXJ1eYK4Q,0.1447181171319102,2013,24,108
x40f4kc2GC3GU8f_gAMJkA,0.2514166666666667,2011,23,544
orAg74-DmZkhMBrwtaeOqA,0.30000000000000004,2010,23,625
g2BcZokLebO9A9X4LzAP7Q,0.22349116161616164,2018,21,218
RlpSIBAp5oa2_qmcjgU6TQ,-0.012611304684475409,2016,21,157
nyWbEKbg1V3pyTA9PVVeQw,0.11491228070175437,2016,21,123
Dbvw9vPPUvNq0ztcM31CdA,0.17016888150609077,2013,20,210
bLUluPW7ARWd4P04j1yoSw,0.24380952380952384,2014,20,328
rp-6IFM5PdzY3-V-MmCeUg,0.1605347189042841,2012,20,1004
_eLgoMnXzOd7JVptTUnpDg,0.27581275720164605,2011,17,1004
rIlg3bPWu-7QCk9YX2yVog,0.202427536231884,2013,16,210
Ejox92AZah52q0hyl0Z3Pg,0.418125,2012,14,24
sMwxw3yvxBHXEz7tHGVrEQ,0.43118421052631584,2015,13,20
8BLHPyHbTzE94lBHiNIRRA,0.2354545454545455,2015,13,641
QHgusZr7rSGNlIOYAuOB1w,0.08866694899303597,2017,12,10
q78r-nU6y8JUhN20Bd65AA,0.3301111111111111,2011,12,51
7qTBYkouQNlXNfpFEsTvCw,0.21097670250896053,2011,12,68
Xtupf1To6tjBoKA582pitA,0.23713924963924965,2010,11,53
cKkyNFEUa35aVV2AStFIww,0.2841666666666667,2010,11,789
pLEdh7GyAMRO0MSARLD59A,0.24005681818181815,2010,11,420
_6X2w065Kcatr3gbAL2pjA,0.11014492753623192,2015,10,319
VcQqIlHSshjB5G8j3Pg5zw,0.11857066544566547,2017,10,1
LCU2CHa9qdnU9ytkNhUUrQ,0.5080272108843538,2018,9,45
w5u8vW70WM-MXFoGDBDYCg,0.3005208333333333,2016,9,11
M5AkhvCO6dn88EZ8jikFrQ,0.33026315789473687,2015,9,164
sLXolGEKmXblo6pLSzd-2g,0.1898165869218501,2009,9,203
FNBCB_Hz_oFqf3MudGHEAw,0.10037434895833335,2008,9,116
braKK7BTWHLB8unDohhEGw,0.17979500891265596,2014,9,113
Z-o-1vy6A6nQgLWq6WTfnA,0.14442432567432567,2016,9,88
uE0SAvF1B7breSmRURFn3A,0.18968253968253967,2012,9,5
RXHPpVhl_SZM672hJwn2uQ,0.1516945773524721,2014,8,82
-QWriMGFiCnntSQWQBNJrA,0.17777777777777778,2008,8,31
BrV_vZidgK6P2jcpiDEvoQ,0.12744444444444447,2009,8,51
QtITuU7QcRFuLNPssZ4-pQ,0.20317222635582008,2013,8,539
C0Z_MM-3eYktsRXWqnDgPA,0.5442307692307693,2011,8,146
9Bn3Y2eCJjroP3P9uq3kBg,0.2029671717171717,2014,8,348
eo51FqAM0CBzlvCL64pJcQ,0.1449911816578483,2014,8,219
OIRbOkKaLIJz40tnIXyNDQ,0.3207755102040817,2012,8,11
wnt8MgTtHBaxxPP86kGreg,0.15306372549019606,2008,8,121
aNfcWIMTbpBmw-4RdWxVIA,0.5214285714285714,2014,8,43
Lq9EP-C-tuBylkoVa4BWwQ,0.4920068027210884,2013,8,87
c_rcSiifI2UGyuPjXPFRfw,0.1437003968253968,2012,7,31
GOCDNDS_uRUN-Mhfhvi_HA,0.24838293650793652,2009,7,62
IyUenHhQt9McmGupDMTacQ,0.14798771641933028,2008,7,19
rcK_nD0eo9llADTWFl1aFg,0.23593795093795095,2011,7,420
DjzXdMsjxbP6-Gzw6SHDzw,0.3722222222222222,2015,7,127
W1OBM5_auE0QgdyyWg-Ywg,0.4232142857142857,2013,7,95
dOxnMOTQx8jHZ1bCj9vXxQ,0.21834795321637426,2014,7,28
w-qUz2BQOWCiwovhDRHmgg,0.23010296934865898,2013,7,251
34KXFRWtJcO9tUqwiGct5g,0.4089583333333333,2013,7,172
7v3zBHQd89ALbUEKhvDhgA,0.1828499152362788,2012,7,141
qqxyUuTOWH71SH8y8GdmLw,0.10334967320261436,2014,7,0
5SSfSREJLlp87ZxTQNJ-ug,0.10378125,2007,7,35
-2Gh4j410mfhGIBfoYuYtg,0.09877248247783958,2010,7,63
AUiBmn4wosoI7DykA1oWtw,0.28948002754820934,2009,7,40
rEu-EhAUf7mS1n5eyEqlkw,0.31,2018,7,54
DfUpxk_lSimHRn-eqGn3tA,0.26808583959899746,2018,7,18
xdzklnuVwb_KF5mBJOu8aQ,0.2040659053590088,2011,7,38
fVsMSlG_pd7BTkgrNCB4sA,0.24105297157622738,2009,7,217
rvk4EB8lmJRMN4mnXpT8Wg,0.15,2008,6,4
lDVlp2IqRCVrMKe3FDITYg,0.24757352941176472,2012,6,1
YxmxkEzRLbRY-1urtd9Vqg,0.2755288967153373,2012,6,12
t9Bk1YIQORrOwcch_fbeew,0.2735197368421052,2016,6,66
O4ovIJcP8RzMvNcsYXGMHQ,0.2435185185185185,2018,6,7
rkwFwS3_W_AP11lpSDNnSw,0.1581196581196581,2009,6,190
2nuT-2qQKwGnNTu7JFhlWg,0.16037933817594835,2011,6,236
NA3EYBgcROkFGiueJf9BtQ,0.15052083333333335,2015,6,2
RJyuIc-n_tdvlebl0HTU8A,0.25963768115942026,2016,6,83
S0SJokr67NC0CxtOTtuRUw,-0.2552083333333333,2015,6,14
X2K-GVqiP3dHPb--EEDhSw,0.031166125541125547,2012,6,82
cA2clU0l_meDGHUVg9giFA,0.1142857142857143,2014,6,79
VZcC_nzqqSzUBTmgblzu5g,0.22417292674645614,2014,6,46
pJqZf0ienoHcQrzvuumdFw,0.31279106858054223,2017,6,82
Z2SzuGWYNn97G6ACpDuyhQ,0.22559923134094814,2009,6,48
IU6krxurviVeGHBnCF9SJA,-0.10324074074074072,2010,5,22
kHfeVw7HWdl_hfzq1VKgBQ,0.1423555611055611,2010,5,119
Twl9jqSQFm9LpKEVcdLL2Q,0.007857142857142863,2018,5,7
Z4MTAuRlrGE512135zXbIg,0.2013839285714286,2011,5,42
1CUhHCyGkEUSqF9Exw4aeA,0.28971471471471477,2008,5,55
7-hJh89ZZUrm7BK8YIq-ww,0.20433333333333334,2018,5,5
wjsCh3oxxqG5cdhlND8I5g,0.24426406926406924,2015,5,34
VQ7Vh3IzgdgLPka2x4iCBw,0.23931818181818182,2014,5,111
aag3rYLGHGxlii9t5Mqjcw,0.3097165532879819,2012,5,170
zm442il2KGd5kKxjg7ucnw,0.3730392156862745,2008,5,24
Dw3QfFDBB7JyAJ3pFhFyWg,0.09460084033613446,2015,5,38
mZbZTh-5HiVE50_JpciBnw,0.27073412698412697,2018,5,12
Xm7ixCDHexOQQ1kFlb8Fmg,0.10973239723239722,2017,5,33
gqB7viMRseCxRqCEeptuaA,0.2631578947368421,2011,5,55
-RiBK8Wp_-f6WBuMbZmbEw,0.28095238095238095,2017,5,95
rHlFG3wqsG55xKP8bom23Q,0.20662878787878788,2015,5,155
