review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
cjQws6FFBtEcKO-Fx0_J1w,0.21933853496353495,2015,158,468
TLrtXAQ1FMhOGJw7Re4ipw,0.43392857142857144,2016,42,311
LihOk429f6gilp3VqqP-Fg,0.05651404151404152,2013,42,405
s7zsX4O5l8_g3pt235QgKw,0.17596130952380953,2016,34,152
UrtPAiqLEDVbBSEaHTK6gA,0.16456597222222227,2016,31,769
HElnlPQKiK8gEuuzMB2ZmA,0.19521768707482992,2013,23,263
nkNmYP1Y4_G6ymJIJGhuSw,0.11739130434782609,2012,22,697
oVsK83MCKsIjB7IF-egH3w,0.34238095238095234,2017,20,55
ecZOQX4XxIXvIdCSc_eQKg,0.1342616959064328,2013,20,1
KlUDtyX3ChTxt-CQdJ5p4A,0.026909722222222203,2016,19,34
DVzL1A7JuIlyNRXk_LzB1Q,0.17928571428571427,2016,18,641
d93COXmMGQE_XIHeBxUZaA,0.08272893772893773,2014,18,172
YFSfND9MKKpM-U1I5ADIWg,0.26656695156695154,2018,18,19
RjXH_B1yE2KeM90sXjnmfA,0.30743055555555554,2013,17,378
Csn83ghBvGPdlS7NDgnncQ,0.10733333333333335,2015,16,283
zF-CyMeoxWTXTGe2MTpuFg,0.41950000000000004,2017,16,63
ygLPIs6MBKiM5b7eT2_DQA,0.17001054501054502,2017,16,503
8EreWOnyvRX7Xli6FKL9Tg,0.40888835263835255,2017,16,45
4xxgL8rMdEd4Ybb4kV6N7Q,0.12471938775510204,2014,15,915
n4eEjDp6L-pjkKJIcRHYRQ,0.21008470695970693,2013,14,236
1M-Aaa10COzZV9PvKBg8mQ,0.19076420890937024,2015,14,376
x9cuvdlg82vbaW4Jet0bzw,0.3067361111111111,2015,13,61
ff4wjBuDzjsPtx-iQfF5KQ,-0.05231481481481481,2016,13,18
0HI7rehoMoC5FU2Udy0_rg,-0.23334986772486774,2013,13,7
hrNPM-0O_i8JFgHtMP3BQQ,0.10892857142857144,2013,12,48
ZwWPOV5ixDSOCs50xJR5qQ,0.046871377210360256,2014,12,20
kvF3-JXzfNAC8Y0-vg9MBw,0.15805555555555556,2017,12,61
4ZR5OmDQWxRv6Mlxy8mkEA,0.3400178253119429,2017,12,103
LmykO9gE3Mkwmqi4IQxyLg,0.2919590643274853,2015,11,70
5QxEKk_H-2nVmQ9Cx4fgLg,0.1024621212121212,2018,11,233
43l22xc1h0QgPBIdW9A1Ag,0.02251855287569572,2013,11,2
PesJhmcUh3cK78fcVlz95Q,0.3576206140350877,2017,11,42
wdB628stt1LlsI6XkCrLRQ,0.21629356452726017,2013,11,57
U-aLaLg-ef0YlbCVUqG-og,0.19233614951356884,2013,11,218
u0zyKCLF7NFtmGkhCg1SZw,0.10476041666666669,2015,11,117
i-dLj8rXbutFPaGTsQsSKg,0.4286630036630037,2018,10,36
gpW-24pa-nkZhFqzbeN4hw,0.20894607843137256,2013,10,251
r3-AsgatEU6oLF3RAfuxpQ,0.2281913367756741,2013,10,165
6uwwCRGHnJdHmkCXRKCoqQ,0.2300352733686067,2018,10,148
ShW9TR9yYVO-TOznRkn1_g,0.29743589743589743,2018,10,56
PU5RXTIsVH6IE1N7IJd5Ig,0.3651207010582011,2016,10,149
-YcpqZxWyTYitkqgQ8ARUw,0.45391025641025645,2018,10,26
32_ywXkOK_ioPwr3GfRqEw,0.2992063492063492,2013,10,61
oCqFkJwhUbmNFRwD3S0uXw,0.22756410256410253,2017,10,105
yAYlpdkJlyGAdLIr7MsqxA,-0.032857142857142856,2013,10,11
9o7gTeUc7H-cuh84-nUvAg,0.3070601325757576,2018,9,35
GUiaQebQD4lQgLB_bzLSpA,0.15776190476190477,2017,9,206
dXpc1jLG5dPbbGToQYdjfw,0.13393308080808083,2017,9,148
vO8PB_RJjYjYF81bfcKDWA,0.19237179487179487,2018,9,164
FyrhPo9y2yOmkd01BY3rNg,0.10882642998027613,2018,8,70
fRPDZr-4yCGycpFzXNvL9g,0.13879419191919193,2015,8,18
xKD5qMz1E9Kf7hU3qS2Eiw,0.0811590909090909,2016,8,87
FvHT_SgTesXEbjGBlJNlsA,0.06356764928193501,2013,8,2
7hOpQM3GXen-J-66jKelkQ,0.20964912280701756,2017,8,415
K3i7KsLZ3_oMeOj6SFuI0A,0.32916666666666666,2016,8,133
HW7tgq1G5oEpza-9oGmpoA,0.18788919413919414,2016,8,86
H7rqWEWHWG4Esiw5WaC98g,0.06397707231040564,2013,8,44
uMrUDAA8p3adytvnfg9w2A,0.1999084249084249,2015,8,44
X0EyTIOlD8gd8PvED12_dg,0.19552299552299557,2018,8,94
AT3XCOuCcoHABZ86XrH0fw,0.3113960345210345,2013,8,82
3FKiFVv9sCo_4AzSub2YCQ,0.3507246376811594,2016,7,59
FMQ07OrywnjdjtfRU69XUg,0.09905982905982907,2014,7,142
bFV0gPmSN4hZLkwZ1WNQIw,-0.03828914141414142,2017,7,23
gOsJheqP10QXReOlhLpFDQ,0.11319444444444447,2016,7,8
Sowy7RgMexpBDF6Sui2a9g,0.05826543898809523,2013,7,7
8_n9bREpEMRlA4YsiDv_Cw,-0.1280982905982906,2013,7,1
