review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
aUafkp9nHBO0r6cVF-Qvwg,0.11025641025641025,2015,41,137
IKosN5UoCSi5iWgpUR-xDA,0.2183636463844797,2014,29,71
7IBcuxpVqmmznp-DoOMYIw,0.1917027417027417,2017,23,110
-x5u6vwOIRAGCfs07OPK9w,0.45324675324675323,2014,22,46
JZmAkM63RiWsu2IVACAoTw,0.1853174603174603,2014,21,477
1ZHH6VlMKw-98U9ml_UeyQ,0.15664930555555556,2014,15,894
CXQoA3EoL2-SC1xwp2ZIaQ,0.14768518518518517,2013,15,136
5mBDqcZNhlpZevtDrgP3gA,0.34921157059314956,2014,13,1105
i09RxXfETP2V7M9ocTJzdw,0.1419156810451453,2017,12,102
RE_bAt-Gaf8-k0or_Mum6g,0.4477607709750567,2014,12,193
f_qqEcFH0YUVfhXEVL1uhw,0.3103463203463203,2016,11,228
bEzSfUIAymyOBaW29Np6sA,0.09331831831831834,2014,10,16
at_Qxmi6-4YRpFILRe81DQ,0.0212962962962963,2017,10,47
UO--7TxB2PucxVA40mv4tA,0.40055871212121213,2016,9,44
00zbA31V6GXcl2NJpSzjBA,0.22523412698412695,2015,9,51
5byl2_Zs1v_So5eO8VPA2g,0.1829862666069563,2013,8,24
wxXJillb9VnxLpsr515i2w,0.2269230769230769,2014,8,33
NOxvYqV0uaLtNwXcqh8WoQ,0.15208333333333335,2016,7,6
fNUo5JDNc3R6bQA_Ze9bHA,0.28382876382876376,2016,7,47
YSBay-3o_0nzX0EF4Fvbng,0.31599845921274483,2015,7,78
SUMrwkVHJAHqdaoU3wrGmw,0.143646004378763,2014,6,86
UUzU31MTGdvR8apdjXyDfg,0.2623196248196248,2014,6,551
e_SIgGg0RvOxSd0p5P20Wg,0.23979591836734693,2016,6,14
hvQT1gyJ__HHT4w5Ju0xMA,0.31611866969009816,2013,6,0
33uR8vQ-Kddg8zAWq4oDow,0.32086772486772486,2014,6,41
d8igK8M7UG9I1WNiICRVRA,0.08333333333333333,2015,6,19
JyfqGVOwUVVIyjXTtpGqXQ,0.13402255639097743,2014,6,90
SS6_y0gyHH7VW26gRmDs0Q,0.22820512820512823,2014,6,24
nqA3IFfeTGNGAS-dyN-CCg,0.5005112942612944,2013,5,32
JdrwKspI6NQ1KwNYRcGj7Q,0.05888888888888888,2014,5,20
TpaScp8PlHYkgZCsSFcqpA,0.049545454545454545,2014,5,24
u6phaneqJfYByy4LUfDsFA,0.25729166666666664,2015,5,82
14vtInzVCDAQeSgcdCuF_w,0.1549908424908425,2017,5,39
ACLv-YYuVGxglJr4zyurPA,0.04013605442176871,2013,5,5
YwmvMr78pxpjj7rFh0174g,0.21034798534798535,2016,4,27
TkPhan6GnHidFjmR5pXFvQ,0.043736979166666655,2013,4,2
GwWD7sDqWMn7K2GD4fpOlw,0.22976388888888888,2014,4,155
qKqHO_zga-p5NXu_RX20sg,0.5078703703703703,2015,4,12
D5oPUoZW-QUZjoU87Enc6Q,0.39125,2016,4,0
R1jjomEhQ0JHyWwxLpXO1Q,0.1410590277777778,2016,4,7
vFkdugam3xqR2V1KN0ew0g,0.20284090909090907,2016,4,62
DElnPKzI928TdFO0wlGMJA,0.4163352272727273,2017,4,7
0ttb5f92wBFixk_mdA2eig,-0.105578231292517,2016,4,7
ND9NAC13ENaseYLh1aF2uQ,0.3175595238095238,2013,4,103
