review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
wH4TIHbZMTq3tsaMyIhOjA,0.4479947916666666,2016,50,469
rAJyNhWjt5_vIxOBY6xJSw,-0.005502645502645513,2018,33,142
9TI5bvKk_NzxiDrK78rrXQ,0.04156462585034014,2018,30,220
UsfKMS6TDiFwSSS6zpUABQ,0.05714285714285715,2016,29,397
nuRlBtbXSrLpdL9R4xbYFA,0.08970734126984127,2014,29,507
Pi26rpJh8YkZuDwXoVGGfA,0.3829251700680272,2015,21,406
UX9Ftj7FRZ5_SiGrqzbLyQ,0.14047619047619048,2017,20,91
qAUZ2N08yHqlwPePJeuOJg,-0.07786629378762998,2015,19,136
98vw5JvrYKjD3upA6j9mQA,-0.46875,2012,19,625
Se2h6--KY1feQ2KB51waSA,0.06914682539682541,2012,18,210
cJaLPy5Ax5WBtYg_M-LCQA,0.2928571428571428,2012,18,295
Q0Qcsz_NVzfq8_8MQqx0AQ,0.23869047619047615,2015,18,92
mQ07qPJ5LAAvaJSZG2V91g,-0.09795548654244307,2015,17,153
sKy342JCgZxv-QBRh6ZNhg,0.2248798076923077,2017,17,254
ZtS-NNoq_93cInxioSAtxQ,0.03235930735930737,2012,15,79
03j4qHgRvyx05K4o6iBDLw,0.11246081504702192,2016,14,2
BupYQ5bWkuj1sNI_GcPBbg,0.083,2015,14,743
fqwEde0cFZleWYN6377Zag,0.12594444444444444,2017,13,539
1cqVaw0_gFnrbgxWnO0-vQ,0.1373397435897436,2014,13,258
Wc_7Kj1txuSYbLI4lrIDCg,0.15507246376811593,2013,12,18
kNhmPAJO0Dm6VcFpEY-F5w,0.4226190476190476,2015,11,53
BoWeb94tEoj2alvMDhfaXQ,0.26528822055137846,2016,11,70
94vLi6GdKsGBsUWn1M4YpA,0.24919146825396826,2012,11,18
eyZmG-S6Y2hOi6QuZC4Myg,0.20843452380952385,2013,11,174
wwrOdx_vAFkdp7yc-23S3g,0.06504010695187167,2014,11,82
CfrX0s64_is95xvUFihzyA,0.24179824561403507,2010,11,98
C4a1xAvc-IWFlot0RzWKnQ,0.21388888888888888,2009,10,53
PjD_SkdCpUiBny-73hai_Q,-0.033866567460317465,2017,10,20
tHclWtpYbWUIAbLdz_tp2Q,0.3265530303030303,2017,10,127
vFOm9PDPDddZ-Jcz1gYhCQ,-0.15,2011,10,328
dWW368zjvtMv9vfja4BTwA,0.011407456922162797,2015,10,161
hzgHQEjXEuTfUXNy8o8udw,0.08138888888888889,2010,9,38
Y0eP98MsJLujTUl2jYPprA,0.16549272486772487,2012,9,55
492E-u_pniiO_60Q_KtADw,0.13538194444444446,2017,9,98
_biQHSpG0--qjXf9Jc3Xtg,0.5048611111111111,2013,9,286
aBXW-nlkAkoVw9pomLGGqQ,0.20751133786848067,2012,9,235
3zZHFIK3joZwERWf25z6Lw,0.09377777777777778,2014,8,102
iYuYlrJKk8YNcie1930lRg,0.13393055555555555,2007,8,36
4v8yj1D1Yjmexe9Lu9KpZQ,0.05082512315270936,2014,8,154
XaOtofEONfTzP7EC0zNR8A,0.09702380952380953,2016,8,73
oMrBnyO3sA5nwNsO3UFUHQ,0.13462643678160924,2013,8,512
EoQsV0hPuqQhnnpl23zCMQ,-0.11865079365079365,2014,8,17
3Uhne_oW0mYtfq4o_fOQ-A,0.202991452991453,2010,8,55
Fcs3jWGfnaFTru4BPYOCUA,0.11666666666666667,2009,8,355
pmQLzq2E-qFHsxriGXoj4Q,0.26249999999999996,2008,7,93
ODvlHQJfl3MERy3ntIMsNQ,0.09813852813852814,2009,7,476
jHIWQlskYvckX5l-ZckH3Q,0.17095238095238094,2016,7,11
yFFBHBsdyt-olWRRaA9hFA,0.2246212121212121,2011,7,253
kYMqhZpZeUdUz7aiJ1RaHg,0.34750000000000003,2017,7,470
E1bHMlugO0et05s9fNOFlQ,0.3291071428571429,2009,7,27
pRf05jZIS8yKQEhox6PjMw,0.2621428571428572,2015,7,181
EgsOldI7WDezw_CfM1XvNA,0.44722222222222224,2009,7,82
I8STJhxVzzdCsxOARSx1RQ,0.3484375,2015,7,190
Fw7i-uCmbUOPTAVJk7ZMPA,0.1465821812596006,2016,7,30
iHZBVviHngZVagMuRO_gcw,0.19436507936507938,2017,7,26
eE7KkS1Emt_QtMeirZEa1Q,0.025000000000000005,2014,7,641
m2YKMThWKZYkLXtt_0zNpA,0.36663461538461534,2011,7,293
y7OH0mooHdxJxD5G25zLRg,0.17625,2017,7,416
n6PQROQ92MxpvFQ7j34_mg,0.2844512195121951,2010,7,78
ceFDwRxcmxnqJGydzhoyTw,0.10110873694207029,2012,6,46
IarpJusyy1KPncVElscGBA,0.44266666666666676,2014,6,46
0JfbS4Y7OXoZlH6upUtfwA,0.034123645840063756,2013,6,4
