review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
5_B1C2ZZiD_9MFr43ao2mg,0.1915116567460318,2013,12,61
WKoX1Tn5T0E8tcEYbD4lgg,0.12965367965367966,2009,11,1
Wmbn2rpJ6xHXrNWdzfMB1g,0.10955882352941175,2011,9,2
QzdKVjpe4jYR-8FYzRZjhw,0.003333333333333318,2012,9,0
SXDEsdjAAXez0S4VyW2olw,-0.017433862433862433,2011,8,2
MgSKnjvH6eGAuzYzJm1K5Q,0.015236952861952867,2014,7,0
X0CyRIaXoJNHMmtWljvWKg,0.19809782608695653,2011,7,24
LQeANSqytVQSzyhJ79ieJg,-0.16433531746031746,2016,7,11
qKWj8LVW9MtBkZkjIMWb-A,0.07613211951447246,2013,6,2
BBgMUPnVjb42vSp0zE-AYA,0.17593795093795098,2017,6,101
PbBgr4MNHDBmEGFuTFCrQQ,0.25416666666666665,2010,6,402
NDN6DZ34ckY36iuN1LZFow,0.24741161616161617,2016,6,12
Koyx70pbsGxITNGZpdUyZA,0.19402597402597402,2012,6,36
WixAJXZLGYlyHhFMVp913Q,-0.03434782608695652,2016,6,142
k_mNprHUIXEveHu7834ejg,0.05310800310800311,2011,5,0
r5oixk5U6rs6t5NZeyD9lg,0.16670289855072462,2010,5,5
iimzEyYHpq3Uy8Te5I2rJA,-0.14508597883597882,2018,5,0
rOAlF3U0g0LNkVV_1Cs-hQ,0.2970175438596491,2013,5,29
cM0itxKWlQe4gX9GyCTwLA,0.06019345238095238,2011,5,18
u5lfmeJQVljsBSQgak8zKg,0.16030092592592593,2009,5,648
WPclPJrgBMsZeWP-r7uESw,0.2600462962962963,2016,5,528
kNhvmYlRIqbzvgyFk-1WSw,-0.053072390572390576,2016,4,0
j51QZqumuaWA-u9H7GKQDg,0.28910714285714284,2010,4,0
ifnny0CdzcP6rtwu04QTJQ,0.3132015306122449,2010,4,7
ABAPcwWcehMeMuuaxLN3Rw,0.02750000000000001,2010,4,0
W6I45x7WIdT_VqczT-0cug,0.01770833333333335,2016,4,0
phMiiIfaqJHSOQxYt2QZSQ,0.24088624338624343,2016,4,19
AvhsqngaSwMwJbT3elfNYA,0.43154761904761907,2016,4,9
qvt2KdeVKOZZ_rFdl3kp9A,0.2681972789115646,2012,4,37
9ucbNVN-1kIcDLeD-EQfNg,0.321957671957672,2017,4,218
g5MWVoUeR0KT04_8NKnXgw,0.09102564102564105,2010,4,2
ns7j5VA0-wOgRJY78HISIg,0.06178104575163396,2012,4,15
AGd5opplRMxdEsKTHBl6NA,-0.054761904761904776,2017,4,0
zNskUw1EmBOiRl7eCFSY6Q,0.40964285714285714,2013,4,34
ZTyUuW-rmrIvrPNYt4qCaA,0.00041152263374483807,2009,4,29
tRVHlhpPYOAjp4R1PtNOfw,0.05833333333333335,2013,4,344
BZuQdilSSEIvFOtrEWaK8Q,-0.07215691137566135,2016,4,0
w_pez9OkwJCKrQ8FHrgbuw,0.3132919254658385,2010,4,4
_cmg6r2gWZbgs8BqQ48GsQ,0.07894707949055775,2010,4,0
linQX-sawjAfgILhulsqYg,-0.005357142857142832,2009,3,0
Dgrb5fGUUDqulc4Q05IDYg,0.367,2010,3,3
lJDi2benV0uh5_0W0rny0g,0.12045454545454547,2009,3,3
Mhoxi4LsR8fkGHPMJRmm5w,0.06835833333333331,2009,3,51
9A8jsj1EWSg3TPOcS0YNFQ,0.07559523809523809,2010,3,8
b-eiXVka0Oun-q7DOK6tkQ,0.39880952380952384,2010,3,31
dQcAOsUN7W_aKa3ONESQlQ,0.037142857142857165,2015,3,0
7_8T7CXejC_RVXHWqcJRXg,-0.012783446712018148,2018,3,0
jQGq0utuT44YB4OlQBc-FQ,0.04351851851851851,2009,3,150
rhWrWAafr377GL8v1vm05A,0.29446428571428573,2009,3,1
vtaoUepjTDo7A2_wGf4SsA,0.12699275362318843,2011,3,0
EtS4iNgwKTj5c_V_G2RKrg,0.018806572215663144,2011,3,6
geQ2YznpZzrohBGFkvmaaQ,0.03697089947089949,2017,3,27
QkUtuXlv0usZhTma8CxZuQ,0.028716931216931203,2016,3,0
3t-9mH_OLjHgcXNFsukWXA,0.38291666666666674,2016,3,4
VNc6lTzUln3R2yaSWRzAeA,0.2095238095238095,2016,3,9
jIfBkG2hb5drF742lWBBpw,0.21543209876543207,2016,3,0
eAOvrJxnNfQeOxG2-9I-3g,0.0318763326226013,2017,3,0
al4MCq8NB7yuC0MCgmP-Wg,0.03769841269841269,2012,3,5
qaAxv0q3UF9fBgc-v9Omsw,0.18903769841269838,2016,2,1
lJDgXk6BRuNhzSUMvsSfLA,0.41250000000000003,2010,2,7
5nSIOEq-h9Uyzium8Shg1A,0.23360881542699727,2010,2,32
iaMJVvBc-9ZcYcoT2xSrXg,0.21291666666666667,2009,2,0
tLziKPciw1L7EOuIHfEiaA,-0.15784313725490198,2013,2,2
aiS6ixvw02Fot1_WdpRfrA,0.1877020202020202,2010,2,16
GVBAghJ-0gsgI6Asuye5bw,-0.07828125,2016,2,10
0O1P8H9wJ6oZkOvVZDfOWQ,0.26776957417582414,2012,2,11
gbySMJb0I5UJKiFGKyyMBA,0.1234920634920635,2016,2,2
e1IUCJ00MTkNeRNeCbXdbA,-0.08020833333333335,2013,2,0
NoQAI-FneVtY_yZnHnt-Sg,0.4364795918367346,2018,2,7
H9tmsdKD4BvUY__yW2KnCw,0.5,2010,2,1
2wbDhzrJlndaa9glm9I5dw,0.4108333333333333,2009,2,11
xTx10IpH0NJ38Rxg9ILqrQ,0.0886904761904762,2015,2,1
zvd_Y4ssd8jC4sRoY4PsNQ,0.13854166666666667,2015,2,90
fn6_3EeXSlIz-vOsNsgVfw,-0.088,2016,2,4
GW7KpCWmqN0gi3E2XeeIHQ,0.09444444444444444,2015,2,1
Fks_HoP7NX1dChZSSOx0dQ,0.24277777777777784,2010,2,4
8YXRMZ64tCh_CXnrrro7DA,0.05000000000000001,2016,2,0
tR39a3qtfhq683gfU_-6Jg,0.31033549783549785,2009,2,16
e46QBorYgbigU5lg4nmi9A,0.12854018912529552,2013,2,4
QfeSq2QV-SvFkgy-2v-4jA,0.11274812585788195,2013,2,0
gRgtpYOeYJAze10V7d2SlA,0.12793650793650793,2016,2,95
-ls_2KIZgVVi1tWoGob40A,0.1646325690770135,2013,2,8
3nh6skY0GLGR8ko0K2ELuw,0.265,2010,2,2
QbPsoSEMz4U7j_9HgNUX4w,0.2530381944444444,2010,2,2
GBfj9ifTzTPy8F2NT7PI-g,0.04416666666666667,2016,2,0
HEy8KdipWpQicUGj0tkcyw,-0.014123376623376633,2017,2,0
MYdVEvDnz11uE3qMA-bNRQ,0.4896875,2010,2,0
SXuZlOCoCH3d8DLWLe03VQ,0.003645833333333348,2011,2,0
ugqNUz8tU7623BRZXaxHGw,0.05930440771349861,2012,2,10
7WTbjGmULkvL24w7_XP1Rg,0.25,2016,2,0
gYUrtLjZMBPPKnIMYBO_1A,0.09763888888888887,2015,2,9
q0OlCV05iFpM5cdR9pbmNQ,-0.25,2015,2,2
8-dveLXp9pN6TXXatAbmRw,0.11906850459482037,2016,2,0
ZBobW8HxBShcmD1v8RmHog,0.29363636363636364,2011,2,0
R_5s72TY-YPDs80yPvASww,-0.00396825396825397,2016,2,5
3wVyzV75pmi-qHO5f4xk9A,0.038858695652173925,2016,2,0
2SzohcddDmRQxq0P9iCZsw,0.05714285714285713,2010,2,2
JTL3h8woWcsh0XOIJWIjfA,-0.004166666666666676,2009,2,0
odnjKrx1zW8AIZfeVsQDyQ,0.20367647058823532,2017,2,11
eZEkbm00VxnSYcvXwFcwTg,-0.06915584415584412,2016,2,0
HF35UTO0qXC_fWW3aWwb-Q,0.074120082815735,2013,2,0
zj2Qwrulo93gVzLc7GrW6g,0.08712301587301587,2016,2,55
YToEHt54k2bfqG-_kqzUpA,0.03571428571428571,2013,2,5
Dks1ZcKDHjzkTFe8bS-GTQ,0.18100961538461538,2012,2,25
_6KYhRXO84Vsz0ktkZTrfQ,0.17305555555555557,2017,2,10
UpnWfwVshLjP-gQY7CjYPA,0.23607142857142857,2008,2,0
N5yT4PpelZaOh8ShMrYiRg,0.2981481481481481,2011,2,14
QZ_BeWw-UfnT6gZ4YA8Jig,0.012618508942038358,2011,2,174
8U3UNsg002hl_r-sMCItVw,0.14727648202137997,2015,2,0
63vHcuI7XEYt2uCmXlEgaA,0.2119444444444444,2011,2,4
FAvgp_rs0gAYqubusdwrUg,0.2882812499999999,2012,2,203
YRqJN5tCbk2XImUlwkpJhw,0.06000000000000002,2010,2,1
51QsOv87fc67h0HND33N2Q,0.33373015873015877,2012,1,0
wtmtaUsXPdXq1K2aFDLHPA,0.4666666666666666,2013,1,17
tiWzRf_RlYaPWLeiI74Hsw,0.24554945054945054,2009,1,93
YN82rBCVrl9EtvFf2vRPIg,0.18189102564102566,2013,1,36
vcv-kaKKTc7pDxqmbYlyrA,0.2133333333333333,2014,1,20
k_xOkh-L8xzpGrWgd0ZuWw,0.19259259259259254,2015,1,6
6atwjLNV4G0TSzGORWcPlw,0.1425653594771242,2012,1,0
-19TjM2NyhjBuZ8wwWaQeg,0.07916666666666666,2018,1,0
cqE-Qt3ShhTSi-Xdk90Qiw,0.24083333333333332,2014,1,2
2UFKxk941HNEAqMzLlfKbQ,0.20116995073891625,2011,1,3
pO9PaOWJ1f2yju80GYgIpA,0.3458333333333334,2017,1,0
1i1-waZ0i_YmRLtz5zGBHA,0.25583333333333336,2009,1,27
CyiNulToJE6kGBciGDe26Q,0.21666666666666665,2010,1,0
JtZdrH2dG-DHwvNElXo_-A,0.26046626984126986,2010,1,124
VQHlaZB3Cs8B4l9dZLHcoA,0.5395833333333333,2017,1,0
VwMz-ozgZdMKhehcE3nk4w,0.21200000000000002,2016,1,0
iuIkMHR7TYFGfDuXAiNxDw,0.33571428571428574,2016,1,1
-0-HJ0fuFTYTKRLGjFQhiQ,0.2796915584415584,2010,1,1
QY2aIqf6LaCmM-ZjCNsvAw,0.17709595959595953,2010,1,14
xmkA7faZSJwwMvqTFRdayA,0.41875,2012,1,0
1bajxwnRIkvFd2wEH7bzeQ,0.06547619047619051,2018,1,0
jgqVXEy1W7qNXMZmE7OoTg,0.2611111111111112,2011,1,7
bJRfWY4ddVz55lM1BDGzig,0.42857142857142855,2009,1,1
GXTXp8oC3EU-tVO6b-CHtw,0.23250000000000007,2012,1,15
oq9Vidk0pcu621Gh65sKQg,-1.0,2015,1,0
wLGgcoDBsdWLn2g4BhFzOw,0.2291666666666667,2010,1,0
B0WfKOoSEBue9HTtA8BjQA,0.19285094246031745,2012,1,15
Ii11jwOMOsNunB74QOG9Vg,0.43083333333333335,2015,1,14
JYCG6JRyqDL9evfXFK_JrQ,0.14656249999999996,2016,1,21
zHNnJUdKptMnJd1BgzM5jg,0.4416666666666667,2017,1,0
FTbNF72gaiyXr2HyXibrVg,0.2261363636363636,2009,1,4
R2WGk93aFdcc0vSaeusqug,0.16044745484400655,2017,1,9
9kWdIKAjav3E_EEYMPZIFg,0.395,2011,1,6
vLPQvKFiuDdQK2Mch7lWcQ,0.0,2014,1,0
wmmmAU-27GH4EarBM8KHpA,0.03816137566137567,2013,1,11
OLK4V02Io288Qp_JkzFwQA,0.555448717948718,2014,1,0
UQImxuVk2gso0euilg3x8g,-0.11728395061728393,2008,1,1
Ls_0CypdAZZN6X_nIPPNSA,0.2915922619047619,2013,1,23
j382Eqo3rYf9FQCzlhXjdw,0.25416666666666665,2011,1,0
hkNh-MAi2ZKkCpTvLEcvTg,0.5083333333333333,2016,1,0
Un4ccoCgqle0afOwNXQFiw,0.5777777777777778,2012,1,1
sKXe4K8ub826T87FLcafoQ,0.3486871693121693,2012,1,0
NvYc-A-wZgqPBjkxrwkr5w,0.321875,2016,1,0
5_IOFyt3in_bWnGF70H_KQ,0.18727272727272729,2015,1,1
etGjQBWnV-yOlrkk_j3Otg,0.20665584415584415,2016,1,0
yVS8JwUmvw83rMW0Ua2E_A,0.20724619708994718,2013,1,42
HvyAH_zz38Z7JYTkaqMxFQ,0.20697691197691204,2009,1,2
0ODaL2iXcL4gvlaDxOnwkg,0.12278338945005612,2016,1,0
