review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
3kal6h-DrkqDIgSoP6ACMw,0.3398650568181818,2016,13,87
E0gxB56h3Ywn0fnoqBhMJw,0.28939393939393937,2018,12,62
rl3JF-HRnd88-HiNwWfbGw,0.33631365740740743,2017,12,87
s4hkWuLPvwLye8btJjEIQw,0.34581140841916697,2014,11,9
4k4YVR4OL4uSLD3__gnD2g,0.36983374384236456,2010,10,21
IwqvU7jW4Jjk8lGsuWaKfw,0.18595737595737594,2010,9,101
Rbu2E07tMm1inG-1Cm6xQg,0.16712454212454214,2017,9,218
yj20nlcfkzDd2q7L4RLSQg,0.36039179981203007,2010,8,2
J2bILfmDs2dDNhgih6an5w,0.4888888888888889,2010,8,8
BzCatUof-aEq__FhNjVVPg,0.25125915750915756,2015,8,38
Rc5Ux2Qs0pynJKaeF2tEbg,0.312012987012987,2015,8,16
urVNnZd_uOwYI8isIJBSKQ,0.08307291666666668,2015,8,0
MYY-G13tRAScLkLMkuI-rA,0.14904411764705883,2013,8,28
PFPVhVMiD7RPXtbDLcgOgA,0.28469632768361586,2012,7,344
9s4FXHlkRxCrU2PCbntuug,0.5255681818181818,2009,7,93
keYCHoWtnRTpAXS2RqvRcg,0.02974537037037037,2016,7,0
vxK-M4YB6OPRvSzbi9l2_Q,0.043955026455026455,2014,7,5
wte7pQa6S-zSVplCzIry2Q,0.12422008547008548,2010,6,5
M2qo1At8Zde2E9n16x-tZw,0.25535714285714284,2015,6,62
dq1AODPgiSO3SVrBl-s3bg,0.2455128205128205,2011,6,6
4tP25dF11RWUYKKZxIkaTA,0.16621136173767753,2013,6,56
djWj62p3CA7ckcbW5BayHg,0.1567307692307692,2017,6,12
2-LTOmCz0gk1vafo9aSCLw,0.18554865424430644,2015,6,126
PbrfWR7s3VzE-RKgyGhYnw,0.3320039682539683,2012,5,106
HycjFZ8QT8C0ApJnX44MFQ,0.40606060606060607,2009,5,6
oa6Yoz5u0xjtExnSycuKlw,-0.215,2015,5,1
-55ROK8EG-5mS-KA5Q1lCQ,-0.16333333333333336,2015,5,3
DgS2wOU-Lzts8fbKjbdQKg,0.02037273242630387,2011,5,8
Ee1I2GKF6RR9Nc8yYVgRZw,0.10366666666666667,2016,5,5
Y2P8PQipLe2mQT9tHRQ0Ww,0.28634453781512603,2018,4,35
e4Q8XYlwSc6KPJ8PMg7FIQ,0.05,2016,4,4
-351gTdLLABZE48JAH2P6Q,0.17696759259259262,2010,4,117
Pe3TXp_0pkVHxbWINoidhg,0.21634711779448623,2010,4,1
FgA84xX5lWKKw03Pb_VBsA,-0.052619047619047586,2014,4,8
lOqlbwTEXh9c_ZiTrbBcpw,0.2859656084656084,2011,4,16
yzyWrCgnmHw9YMNoZJOTzg,0.4926736111111111,2010,4,402
sQ3ciZ9PTyGtrjEKhS_h_Q,0.009374999999999994,2017,4,15
_j9-4tLbl3h6zN6w8CCdXg,0.005659722222222211,2016,4,0
XTZlrep8L1Ik4RU8XtTajQ,0.39214015151515147,2010,4,20
f2wiJrRG_xykmXTgtbiCHA,0.19261904761904766,2011,4,9
GzlwO_sZ9oq_Ir0K_tWQNA,0.2589247311827957,2011,4,14
wF7RGDoQIoikLa9ShF7u8Q,0.21784539473684209,2010,4,117
JSHaneBZ-mwqRgn1uEQjhQ,0.2505434782608696,2017,4,37
rTSwptAFLF0ttlG1euqb8A,0.002922077922077942,2011,4,40
P47oHY8lpcCImNkhIR4Zqw,0.3738095238095238,2016,4,23
WK_MGy8zRnwx4W1qS93zRw,0.3746600458365165,2009,4,0
