review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
sqpsLYT7iV-3VwjznhUfrw,0.3141975308641976,2015,13,61
JDasijg-zupiQEue6ESdjQ,0.2675925925925926,2016,10,17
QNMvAYOJEEB1CRpPFHy3yA,0.004193548387096767,2017,7,2
uXJwaer454e3Md_I6BMKKQ,0.5395089285714285,2015,7,63
jQ4nAzDyY-VIlC0UxJgIFw,0.11585714285714288,2011,7,648
g4N3fdD9jwSN4uMZSKK5Dw,0.04522066596194505,2009,6,154
J2wuDD423qMyfURM9OGp5w,0.18984962406015035,2017,6,37
Zk4cnPDTULluV4ZVMsiGSg,0.31792328042328044,2014,6,89
LX9vATBaQ9cExiNPBgWeWQ,0.1760204081632653,2011,5,124
YTwVpFjVHf876Rtsb-31mA,0.12785714285714284,2013,5,15
h5uvoAhoAUiors_YX4rNOQ,0.245,2010,5,72
rAd6zcQbMiVXs6tdw3dh5Q,0.2730508207070707,2010,5,27
hRXgqsClVUNHG4qIcwTJEg,0.4431818181818182,2014,5,30
ZVF9hC79xjKqmS4637xjbw,0.353876811594203,2015,5,528
9f0rCyyFSubXTv99zlPKmw,0.19240362811791384,2017,4,16
dGuRCJV66l-K7flfrwEgaA,0.33631161236424384,2014,4,50
8WgW56kgHDLQ2tLc9iDttA,0.44202898550724634,2013,4,2
r1glyQe7skQtSwwPayWO_w,0.2428830227743271,2010,4,402
Ev_18TxiADamJ_nTc1frgg,0.4272727272727273,2010,4,63
JmD1ZZTSzU15u56l4qVd3A,-0.13318181818181818,2016,4,0
tSdtGb_TdwDV9HRE53FSlg,0.1202294685990338,2012,4,106
km7zPBaSn3t2jiWaYXdiqA,0.39496252204585536,2011,4,61
XKsnCm9qQTKCesHUC8ccOw,0.08512121212121211,2010,4,15
9BSxj-3UuR1CmhHZZ8-R4Q,0.08944444444444444,2016,4,90
JRCMDT35quAtKvHBPmyE2A,0.7408465608465609,2013,3,2
RbMdRpcLSvP_nbx4WbBhHw,0.209267353017353,2015,3,29
oJg0AzHGbNn2m-mR5Mms5Q,0.17305996472663138,2018,3,17
fW6efHMG1pOJBuqhVQle1Q,0.3107450738916256,2010,3,13
TxXG5HSGu1pQAl23GabX7g,0.21182155657962107,2011,3,21
3VRex5knhXXYDZ1I54ihUg,0.12169540229885059,2010,3,1
q93hNo3huDxhktXVrzCqpQ,0.19615384615384615,2018,3,34
uPXYxYPAvxJcz6cUhQZQSg,0.39838624338624334,2016,3,27
22pWyfdrd4cSZLyZh_25nw,-0.022055555555555547,2018,3,74
_S6_EXojH1KIvQ1WM8oDgQ,0.34768518518518515,2013,3,17
3CV-m6JlQOT0b2oawX6V-Q,0.1261904761904762,2010,3,7
erGB7wD84FGsK1t9pwJ9CA,0.1402777777777778,2015,3,32
wzesJMpADnHUzNkWL3CfUA,-0.010416666666666675,2015,3,11
bqKARkik8vFFOXorPwDilA,0.2578790366721401,2011,3,29
zEpZ3NEHbnreidpFKODJ0Q,0.2980246913580246,2010,3,203
9musgzsgdDrFPF77W-lEeg,0.27934491978609627,2012,3,17
K6of78MP4YsuIlnfOHLlnQ,0.19530075187969922,2010,3,0
VdgdZpvLT5LOExkdyswy3w,0.38333333333333336,2011,3,0
