review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
E1cOTPRJcwyzD9HJwmHM2Q,-0.015138888888888875,2018,126,122
Rc5orUUva9KTB4kMp7EgMw,-0.15357142857142858,2009,24,63
D5uQxyyK1zQ2j892QwSlYA,0.30624999999999997,2015,24,166
m08r9j0Kw3n_2ZsgaokDOg,0.015652544070512826,2010,22,185
ILn3-hAjnAesK7QezrWvoA,0.12956349206349208,2009,21,175
IACwgpobEfiwu_vNQzfsxg,-0.109375,2015,19,0
BJEXBiNTlBXyRffuHs8ifw,-0.0061649659863945595,2009,18,78
K4mZnQJ1aN3-fNfZ23WELA,0.328030303030303,2009,17,35
M-c1Fl054VcWMFyMD70dhA,0.2858124613481756,2016,16,120
fTWd8vJkSNj1NopDznqbTg,-0.005076628352490424,2018,15,448
34XI5KU3NTwC7A6a60P6Sw,0.10728114478114477,2012,15,23
d_2eplmTDr6fhWarsspfOw,-0.04624999999999999,2012,13,2
S3WWQaj-m0lA-oxNnaX5Cw,0.08772186147186146,2018,13,102
eFzQ_d5Vt7QLsP2BbV5bgQ,0.26028344671201814,2016,13,191
FCdSMSCmoG-PUwvK4m0osg,-0.00563725490196079,2009,12,7
AmvXA-Nd5pWa5O8_2onoSw,0.1261659509844994,2014,12,123
s8UTzsCI7mhcatnmDNpKpg,-0.043688387635756054,2012,12,9
jrCIRX21YwOhVK5DN2NijQ,-0.10852761243386243,2010,12,33
53l9PwQ7yk2hltZsEsVGRA,0.16822916666666668,2010,12,112
QhAjmkd-Au7RdTqNOMFnzA,0.11000000000000001,2016,12,66
MvdaSBHee_IVPJzpPkU-5g,0.2578668036295155,2010,11,10
WVv_aTiaAwAp8j8OQIgB_Q,-0.01752136752136752,2016,11,7
9ePXnIoYlMgYKf-5RvM5ag,0.18010828625235403,2014,11,112
sbdXXM6ne1tJJN68CEKclQ,-0.04881161848903785,2011,11,9
-5WcGG2hJmafbJhf0Q_kaA,-0.1383838383838384,2013,10,4
_PXv7ZJ6p5XmTuvXu2mAHQ,0.17565746753246755,2017,10,49
hMLIESHXdYXtzMRoxRoOyA,0.1347310294441442,2018,10,78
GXW3PQ8YZkGJlAcKNLTnkg,-0.3436111111111111,2014,10,1
E6zH_-8xd4kaqMvAwlfKUA,-0.07936507936507937,2014,9,0
avOOSCyIvGL7D0sXZUOK0g,-0.15000000000000002,2013,9,71
HgmTjy0gmRPVjHCd6j2Y-g,0.1018062397372742,2010,9,141
ujNyBIhPHvGbGoFcprGRHQ,0.08993243009413067,2007,9,61
