review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
XvMaQ8q_3pgVTKUXWcvQZQ,0.22673469387755096,2015,25,220
JSEN3Isa_61WHSi-gL7hZw,0.09344907407407407,2014,24,193
OKZoqqrG9LAE4RTnccvQPw,0.508718487394958,2016,23,30
PYOgRkB2RDqFUJzSpH_20w,0.23837448559670785,2011,23,262
lbAyT0vL7quls1MsIqqylA,0.3581953071083506,2011,20,124
UHDqzQ4OX4QffwEXJenAvQ,0.11519130869130872,2011,18,551
IbxMbO3mxkubkCAnC4V7Lg,0.25885454545454545,2017,18,47
smjNK2bI6_LrjO_y8vujCA,0.41240234375,2015,15,451
bc3u02W1QqZfnGAFIOT5LQ,0.37821454339311483,2015,15,16
kYS7DyDMz5AyuuxVUPx9Zg,-0.1725104166666666,2016,14,1
KwisHNnrfxF5OyevwXR4Mg,0.36151996151996146,2011,13,42
tjK-aCkVQVa1RuZ08vIrLA,0.34913733609385783,2011,13,8
cWcKdejkM4aL9xGRvmSpVA,0.5278846153846154,2014,12,38
9aXSeoHOSc9Sr_GRCNM0Nw,0.19706196581196583,2015,12,193
swnSRxXjP1Nek-jwsx4sfg,0.3,2012,10,156
ZWzxs1BEe21GboAj4K2XxA,0.20736961451247168,2014,10,79
gKH5hlbdNIYiwwZt59S44w,0.21901002506265657,2016,8,94
cR4rZru-67NRKzlyOSVJuA,-0.43928571428571433,2014,8,16
xgjDddM99zCAIijyfyOwgQ,0.28235129068462406,2012,8,59
_mqZlF8-H7fiTTCFNg3ZtA,0.0,2011,7,0
ww2Klk4rGhyDZ3IocRxAjg,0.12666666666666668,2014,7,86
J10DI0WfterzxqbrF5RALw,0.2359649122807017,2011,7,64
W-4i_YpzYrWqpZHyvjLOVw,-0.1,2011,7,0
O_XeEyM8YMXeTmq1OwsmtA,0.2340277777777778,2011,7,179
WWs-f8ndeaphDsDo5hRoFg,0.03333333333333334,2012,7,73
tvG3lPcGQ8MI4L56Q1f-4w,0.20448051948051946,2011,7,76
gepSdocMLvXBawtm1GUUFg,-0.07435897435897434,2014,7,11
-u0B88XFHbeoivDQkUfwiQ,0.24146997929606623,2011,7,9
8sxA0UUFE1X9fxNnunk-0A,0.13,2017,6,41
iFK9h-kNYbL6j6kRy3L6CQ,0.3420767195767196,2014,6,78
UXgam5f3WQ6GYokNx4FW2Q,0.21851173020527861,2011,6,7
Fff1EmzmruDtjFJO6gtUdw,0.41999999999999993,2013,6,2
WVLUbR3iGc9t98ix50Vqfg,0.27652777777777776,2012,6,13
lFHAR2NDDsKqVWtEvxBGCg,0.14225589225589225,2011,6,99
UpoJijxeoPTHHJYT6kXttw,0.20579250295159388,2011,6,78
eJdBNuDm6rweNkL3ul-Dfg,-0.12045454545454545,2015,6,13
Ssxd4INYkRKs1WMKa2J38Q,0.15468749999999998,2011,6,42
uCkbhgYgWfJl4MYmOAgNVw,0.0392857142857143,2013,6,9
qDxCfyYuNs47ydT8fCUSaw,0.3056818181818182,2012,5,69
tjQJcl_jQYLYf3f3NUWmgQ,-0.12436868686868685,2011,5,1
qgbfh6exiXScEHGl5HHW-w,0.2799514991181658,2012,5,43
lPhqUms5gvsNKCVP5GObcA,0.2860135957792208,2011,5,11
YqB8rfgFjJ44xOB9Ly7OUQ,0.2928819444444445,2014,5,111
gmntFOx-fo2Dmq6kOstdhA,0.2893154761904762,2011,5,10
bFzMNTOzk8W069HsEQIkqA,0.24357142857142858,2011,5,35
SS5Fr2XDRZY4UWBTLCG0Wg,0.18820105820105817,2015,5,6
cvyo7lD6jlLpRcM6sx_VWQ,0.33782051282051284,2011,5,4
5IiezLMD7nf7yYhhTSkYHg,0.30048148148148146,2011,5,42
