review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
5WR1_pB7xTWBPDzPtkbB8g,0.24547325102880657,2016,46,193
oqzZePW4v5SGPwnDCFaUDw,0.2721774193548387,2017,19,191
aSBi6nMQUKNn2eL255PCuA,0.17678125,2016,18,37
K0vfgGocY5Nkqv3HfaydPA,-0.007692307692307697,2008,16,8
AUwAdthljcivJ9iJpA_j6Q,0.13744488536155203,2016,16,133
2XaqlXsX4kpVU_Bp6SwPyQ,0.3300325655624569,2013,15,5
9xDjKLp1lr6Zmh_xGJZd4A,0.2411038961038961,2017,14,79
FJMCFB6s89KUyX4mWUhm4w,0.23660714285714293,2016,14,101
pTbFqyzgkbBJb5a8I9okJw,0.1925324675324675,2017,13,51
XyRTpuo9gkrXOPP_wlYW-A,0.14640151515151517,2015,13,75
5EBsWFyJTl_4ofV5Mfxqgg,0.22435185185185183,2018,12,155
mXcp_Rh5hdBThhntr8DeZQ,0.09324723639455783,2017,9,112
utX_hKDwXoe26lQQkdz97Q,-0.2727272727272727,2008,9,3
RtmqZSR0Z4Xef5adWkRCLQ,0.176576278659612,2014,9,28
NxwuylwFONkgpoMqEGB_sQ,0.0735185185185185,2018,8,33
yLpdjNwMa1QGAiGxXY_hGA,0.33202614379084966,2016,8,22
gg74qv-pDKd1-YsL85Qq9Q,0.07253513394817743,2008,8,112
MaI0MxnN_oAiiycT4ksIUg,0.2735443722943723,2016,8,55
c0L1of2mQ8aEaNYHkMs36w,0.4351190476190476,2016,7,10
AWNnS_KACc_5aUGpCBayTw,0.2275510204081633,2011,7,35
ITihR9ew1_J0s8ZdDZFl-A,0.31119047619047624,2014,7,127
UfMmu-BJk032dbGLnb4kFA,0.29609375,2017,7,16
WAdqWOsJw2ggfve14nDmEA,0.23134057971014493,2015,7,580
cOBkFPezjU1WLLLE43NeeQ,0.017307692307692333,2015,6,32
LRYNdeOwrryVyBqf6Uy-OA,0.24166666666666667,2014,6,41
S6INq4XBcqsdC8u3Zgi4Tw,0.28051948051948056,2013,6,11
UtAU1fxsRnmXQrbMxaGejQ,0.3240740740740741,2018,6,94
g3c3IKjlaL2weeh3ds92sQ,-0.013621794871794891,2016,6,17
mPcolwd9SjHvueu50Wg6xQ,0.27331405895691613,2013,6,7
tRjTFE5LcwnLmhr5CKtKrA,0.13707046332046333,2017,6,49
rBul7dPPy94VU5T0P1kvYA,0.18756157635467982,2017,5,123
4RPkoR4hUZPcJcQGgn2NuQ,0.13461458333333334,2008,5,22
2QZL_Jg-fnvXYETpkoYkmQ,0.425,2018,5,7
s-IoBEqn78lTCYTqi5ktfg,0.3584615384615385,2013,5,36
mLsCTK2yN97kv5RmJITa1g,0.3098421186656481,2016,5,1
rwRvfS0k-6ipwcE7GwV_lQ,0.2944444444444445,2013,5,2
j5-Hm-EgsIYKNfISSK0eyg,0.47333333333333333,2013,5,0
zpyzB4l6E2DVpWFy0kpR6w,0.23028164924506386,2007,5,2
