review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
nvGjMliVUMCJ9TqOBTSTuw,0.29519922254616143,2013,13,452
CI5ijEp5wlE-q6JpNID8gg,0.43915343915343913,2017,12,49
I9CsfSiod3yi0pZc-m0UNw,0.34270833333333334,2018,9,19
40nWyDI1zx0pKuY4lbKLzA,0.12971698113207544,2010,8,402
3mMZwS3iMeLw3JMwpwxnpA,0.279004329004329,2018,7,112
hwffOmaFsOJRkp6HClKWXA,0.17475895316804407,2010,7,2
MyyfF_1CMsuIebphbNxYHQ,0.22730034722222223,2011,6,21
ujpgxVo1D6GxDz5JgsbXLQ,0.2305555555555555,2017,6,62
GGysZS_qQbJJwvUchQrMEA,0.26701149425287357,2010,5,37
3Epm3zDeAVIUXDnskIBxnw,0.2043831168831169,2012,5,93
1yQBtp0ZPlZYLdyjNz6sfA,0.26298280423280423,2013,5,13
eorITIb36Ls1goC5BKVY5g,0.3323203842940685,2016,5,19
yI9_O66rQxImwB-9J3wCag,0.23463541666666662,2013,5,17
wpvdxCRI7A9TuoDoQiuntg,0.2089175029515939,2016,5,0
DXYQw22rfNQre_xKwNUCaw,0.14583333333333334,2012,4,70
KwX3gjSRdiWYMbDih7G-Yw,0.16141304347826085,2010,4,124
jwmxbwEI19ScP8TXvq_33g,0.13186431623931627,2012,4,2
9b_NXO94wtR31QYUXl5Wqw,0.32583705357142856,2016,4,28
irKW7kwrVnnGFo5Juwiklw,0.06717296113847838,2011,4,150
UDK5SQCQG1pSKnqH2VDu9Q,0.3393939393939394,2010,4,20
4fWUSC08rc54TGkyTWCtnw,0.24640460729746444,2014,4,27
Du2owPsHl5q56vZ0YCxc4A,0.18641084093211746,2011,4,25
5mEaXKWZDP5fINnKwdzdMA,0.3071319218975469,2015,4,27
Kv5CtZcjojzHwFJISXxsoA,0.3239166666666667,2012,3,74
HWirhs2K87JMKLk9U3flQg,0.18020833333333333,2010,3,4
VmnDvx0GJXjBa5vEShbOPQ,0.3746938775510204,2010,3,0
bhfMyKEvblBhlQta90_MnQ,0.3022135416666667,2010,3,7
w2DWRMbH3ArfKeBcqrndPg,0.5039285714285715,2017,3,0
7dOFnhBH3Rv5Z8A3tM8YCg,0.3546474358974359,2010,3,7
mwZ6gpI8jdwLyg4mewAJuQ,0.3672061011904762,2011,3,3
Vfnem0Nx3cP__EakJb117Q,0.11096445824706694,2012,3,528
KsSPvqWjUAJtba-_fRw7ZQ,0.5076923076923077,2016,3,16
MXe1JCl4vHAFWaBzCsADLw,0.30034401555234874,2017,3,45
u8MmKBbVY7-4FfTrwuCzow,0.17945578231292522,2018,3,218
PzV9SgdAUyL7MskJRcE0nw,0.2508333333333333,2017,3,2
Mf1F8uFsvhrhmDDl8lcodQ,0.3763131313131313,2013,3,1
knXWr453bdjXu28dOzLgIw,0.2631368768164542,2012,3,2
TgM-G-G1EYnQslgYPmwr2w,0.20909090909090908,2012,2,6
WHa6r-Qn4M6ZaFuZRfE4cQ,0.45999999999999996,2014,2,11
YGCG5Bh3jZLL9CXvoz8Vhg,0.300094696969697,2017,2,26
g2ea3n6svLGB2BoYr5AQIw,0.2759848484848485,2018,2,16
tTfzjkHCtY_CusVmx8m4sQ,0.44861111111111107,2018,2,7
Jm-lETjm9m_WaIwA6YfVpA,0.25833333333333336,2011,2,15
h0hEkZ2yM4zRrZlMqYdtMQ,0.31,2017,2,0
6xtYNKnMUM-Vf89J3xu-FA,0.48821022727272734,2010,2,1
kMr_LYN-uOZoRAIagF2_Ww,0.2649270482603816,2011,2,106
w3KWx9LqpwrVUxIsfr_4Ng,0.31794104308390014,2011,2,98
Qi9vPSopYJftbHKZR0blEQ,0.15961891643709825,2016,2,54
07h02yQ0sg0-OGfiXmYhPA,0.2017857142857143,2017,2,45
FHd8jqTbByfqvW5Yn8pV4w,0.27361111111111114,2017,2,29
QhaJZ82vd1vbPktN5lTeVw,0.15581323438466296,2010,2,2
HRbQvQ6Rn9t2jV83DqZAiQ,0.19597222222222224,2010,2,0
T3qKKfh6CtpCLEDseqmXTQ,0.3196022727272727,2017,2,7
ejxmoij8hNnAetjx6vSV4Q,0.35385827850877194,2011,2,43
prEwmt3S2mGXkWai20c8MQ,0.3066666666666667,2014,2,53
