review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
_6fJqpfX_t9VyQiVYq3gUw,0.13308982683982684,2017,41,235
vfg8ky9xcriHXn47Cy5Z7w,0.4637012987012987,2017,25,182
aMk-Xj1QKyhC3dTP1u0NnA,0.29406565656565653,2016,17,452
Yc3rc0vhUbJco8j1DA1YQw,0.257361673414305,2017,16,528
w5rbMdf9AO5lcNYinRjpCA,0.4587962962962963,2013,12,4
NNuYPuYrmVtCnYiW8s-vng,0.20662878787878788,2015,10,20
lq6ONYD8QHgj93cjSfGYHA,0.14829931972789115,2017,9,762
mrIl2VDMIHuvIe1EgE704A,0.012152777777777781,2014,9,0
dH51vqnb1DG-BH-uLkB4VA,0.12719298245614036,2018,9,112
wratrrza1HYZy9qyPy3sbw,0.26034077380952375,2014,8,3
9rAe9kJfgcSjYoN0eR3Ucg,0.3480555555555556,2015,8,18
x0255FoDm4WJ3aZhztVJ8A,0.18505291005291005,2018,7,391
ig6I9Z2lfWrqCEKP1XEKiQ,0.38863636363636367,2010,7,32
tw2hGze2pRi2zNsF8l7D_g,0.21595052083333333,2009,7,32
TDxKDsjCTdT27VU_vJq40Q,0.21006069094304386,2018,6,12
yM1kRZtRoouStn3mcLgSnQ,0.5927083333333333,2010,6,5
mTKfLStT17UFVDBp2xgDFg,0.26703296703296703,2013,6,90
jsAzQ86EkqrHM5ba8kkuKw,0.07026041666666666,2014,6,23
hu9X4-7BIbjtVvpMyw7knw,0.253448275862069,2014,6,83
oqTNdbple5tm2897oqJcmQ,0.30331168831168837,2018,5,63
cCNFQ2gNtvs6X-MQ1Rm2bQ,0.18862433862433864,2013,5,6
AE8ZtAua4gw_aK_MSWafWg,0.1379440665154951,2010,5,25
Q2s8GkSmV5q-q-5OnR-6EQ,0.3074404761904762,2008,5,150
zrayat74r_h0iBArVano1w,0.018888888888888893,2017,5,78
1cRf_4hepi34Nt8WS0BoqQ,0.28046875,2013,5,10
ej90V8_HCjuu-eONPj1VFg,0.24028520499108735,2011,5,106
otIvp2Eka1GEMBT1Sc8KzQ,0.3808748196248196,2012,5,0
-YsMB64fIjWXN6KyfBDHaA,0.21473214285714287,2011,5,377
SCxKbuqYgkN7W_qwVNAN-w,0.2727272727272727,2011,5,154
XDnIWOI6iw-3oTv8bq4vHQ,-0.1261428571428571,2018,4,16
Lqen6ihXVtHpseGc1mol3g,0.24212962962962964,2010,4,154
hm7ZjVthSBmxasLcjE3AQw,0.3072562358276643,2014,4,0
gVRTBMXG48aNHssFVb86Xw,0.22199248120300755,2011,4,402
_zlJNYu-G2ouxR3v8Ok4TA,0.07844611528822056,2014,4,6
0RYyTUlbmi0z_If7LPp95w,0.4008771929824561,2009,3,18
z928rN7snuziqAtqlnZ2xA,0.22202380952380954,2018,3,12
ZMk1r-ONwJbmLur9b6DRIw,0.07523310023310023,2015,3,13
03NcmWyGhzVNFlDIaLNAuw,0.31590909090909086,2011,3,15
2L_pXnt0_owR5-yJ_y05gA,0.31542328042328044,2013,3,37
GWsyXttgPbDyJ6VE6Hn73Q,0.3458333333333334,2012,3,528
S9MmQmZvom_foP0dFoFmvQ,0.26958333333333334,2013,3,0
p_bhQJM9DX-mPfoEVOwd2w,0.16573934837092733,2013,3,14
IoBpxeJT1O3Oyyz_dyPjbQ,0.2785714285714286,2011,3,21
W3dxiICOMCRtUScFOJE6dw,0.09741567460317462,2010,3,25
Wzz78pi2ndBOyulmDx7eSg,0.21535087719298246,2014,3,0
K8w317np5PAN4j74Z0Ntkg,0.32142857142857145,2012,3,10
TrkIBV8qxcUY8_UGOV-JFQ,0.44901960784313716,2016,3,98
FHRxLSoyl0USU60Ro5kKdA,0.27325251436781606,2011,3,190
zSMoki7oQ_RvORGiQQqusw,0.26951349431818183,2013,3,0
gwY-I-UPuqKfpB9fn-pNRQ,0.3111111111111111,2016,3,69
ScsgpLSmpXzYn2BFUQUjJA,0.24532509157509158,2016,3,34
qX306G9ohuyXvDh3VLr2Bw,0.25138888888888883,2016,3,32
YeaY9-BD-p_JXp01lVNpAg,0.19384259259259262,2018,3,73
FTE45z164Da2CXxf0zcqyg,0.4144230769230769,2010,2,20
Vwr-sBJmifj0gE2mZr0tHQ,0.16672857142857145,2012,2,2
P9xy_Mta_1K9oFFV6uqddw,0.3546938775510204,2012,2,14
ns5mMBMbIXIwWhJyLCEUhA,0.16048179160021264,2018,2,46
MPd2ap4bLnQv1kAYZeaz6w,0.2236111111111111,2016,2,0
pmy5cTkwbir7AGXXS7PeEQ,-0.01106575963718821,2012,2,7
FLBKMlo28lkF41YKXYliOA,0.22033492822966508,2017,2,6
3WeriitZnyocvHcwUdmEmg,-0.2,2018,2,0
tkBJhKxMbPrYzGxrumRrxQ,0.3958333333333333,2012,2,0
a5mkXAIKqweI10trI8SIpg,0.03703703703703704,2016,2,9
hrQ-ayswABYyrnE6ExGwaA,-0.0425,2014,2,0
br0ZO9nFXhe4Voe1mg1ecw,0.29966666666666675,2016,2,9
zA7PCw20Y8_OK-1J0fmulA,0.17721230158730156,2017,2,8
QJ6RjzF1m6dK0n9N0M2tOQ,0.2983333333333334,2011,2,10
AjpVLW4hD5b2wjI3Os_VDA,0.04666666666666667,2017,2,12
tzi4THzZ8NYianN_eJde-g,0.10653061224489797,2013,2,0
NAwa-zslRpRWWGG5U5ri6w,0.7583333333333333,2014,2,2
Vs_7KDJ8reyzALxJD98ESA,0.4354166666666667,2016,2,2
e2AnT1Q_g5ZuVcbdZRq0_Q,0.22999999999999995,2017,2,13
acYOjlqg5S_VkbfrY12T9A,0.18766666666666668,2011,2,0
VQS7rcYeMsF2cQ_2UNkk1A,0.6111111111111112,2018,2,26
6-V8kOJavcIGnaNmRu5RAg,0.3625,2012,2,17
2s0ZWgjiWREApw-DLRzo4w,0.1725063131313131,2010,2,8
WW14AviAUUHV5n27R0e7tw,0.4416666666666667,2011,2,0
SzjceZnUpUyFdNwEUh9hMQ,0.19236111111111112,2013,2,55
rgclyES7o_vKR6sFK7JjAg,0.24615384615384617,2009,2,18
CNc6FFbHrsF4NQ7H0vL6WQ,0.31214543269230777,2013,2,94
ouXmyvBiIejLNbas3v_lcA,0.2976488095238095,2017,2,15
RtndLf74-2z6AKHbiS6qJQ,0.4225,2014,2,9
zM3-57FrmKdzwE_7xFRmeA,0.22518796992481202,2008,2,6
3tRHKJpy95-0FvAX_AXnYw,0.34500000000000003,2018,2,137
KW0T5o9bPNXBXcxFFN41Bg,0.37083333333333335,2010,2,9
TurLkmTRYLsBfvsWbIXzMw,0.47593406593406595,2018,2,11
hElcOXwfpq4ybp8Sz1u48w,0.3647575757575757,2016,2,6
0TdSexnoPROmCO02Pg3hAA,0.33194444444444443,2017,2,17
