review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
3ePy5EfJtLKuJjCB2HzUKg,0.19443334443334445,2013,11,0
6myXQOU8hbQN6Mi_eYDdOg,0.24308412698412696,2014,9,50
hL0X-68E65nZAUUVH-d0Tg,0.15892857142857142,2012,9,48
02NTWxM9o55nRT7vTsHouQ,0.2800324675324676,2010,7,154
uKv0I5a_OxgM6bjvblafnQ,0.2146504820936639,2015,6,27
Uo2UFDjkp5bISV3eyVz0aw,0.0781967291967292,2009,6,0
y9TxArJ9HlAB2kg-G-mgmw,0.13095779220779222,2009,6,56
crMG_ppYkU3jL0i2MapfIA,0.13310606060606062,2013,5,18
OYDINcQo3G9FrBue2-wK4g,0.11599107142857143,2012,5,47
C_G_JQX7R_RiDk-Jt4O4rw,0.22105343980343983,2011,5,1
DIAIMGQ3QXKfumB5g3PmHw,0.15919857919857913,2015,5,29
5Y5xr3PgCLXbSXYq8kIoXQ,0.25925099206349206,2010,5,32
2QfqwSwR7zUqZaGpX61NHw,0.21727327624066756,2013,5,7
7fvjyI6w8GNwawd4zL0ZBw,0.164375,2009,5,1
Wnoom2_XeHDjrc_FKB0mVA,0.434280303030303,2018,4,90
TtjbWgA1kUouTGkpJq2I7w,0.22333333333333333,2016,4,50
0mO-w3ziddAxRvg-sguZsg,0.25401069518716585,2017,4,19
41Id7XB_yvxnfdWxT-kyFQ,-0.01125000000000001,2014,4,0
GrKpxPvrM4_FOwKl3wkrog,0.14385964912280702,2010,4,2
isu9DP8mY0LR-Hj4H-iGWQ,0.24894781144781147,2013,4,14
Yv2AtMzNEPfx5QnCTzjJew,0.21249999999999997,2016,4,19
uEbIDi2S1nr-Rb4lnsU55g,-0.05374331550802141,2016,4,0
1Fyz7aHyKTSTM7RrrzRcww,0.4666193181818181,2009,3,3
N9npcnNsB7-mzRqNx1btNg,0.2288461538461538,2011,3,40
Xad667MPvVl2KZp8RqNoWA,0.14244897959183672,2013,3,3
Jo38IKHmaDWzfKcIzQHBpw,0.15729166666666666,2017,3,1
ZYq8kBY5T5DwNlPv1OKJXg,0.24350877192982456,2017,3,9
j8NJD_6y43O9fVV9W23tYA,-0.06068571428571429,2017,3,0
lu2orfxCuqd_DZqKegZyZw,0.22269734380845493,2011,3,74
JA6pOdsJqOaip0OUuZmnCQ,0.31722222222222224,2009,3,5
-BVPicJIW_1kCz37oTGoag,0.1492864693446089,2007,3,27
UhVO-LukaOcpF9UNxwsRkA,0.21000000000000002,2014,3,10
