review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
KkLZZiUMUdU3UT47hYYnOA,0.370959595959596,2016,51,340
DkdJq_Kemnv0r9_nnG2Wog,0.5230482456140352,2015,49,309
ei0NRtF3mfO5nRw4yASw0Q,0.1921319102353585,2013,39,730
x32Sc7Iumu_UeORebRfb1g,0.27022727272727276,2015,27,4
A-s2z4DAt43BdhhQd6sSLg,0.27735690235690236,2018,26,180
kC-Nf72D_MnQuPPZkAluzw,0.3278645833333334,2013,26,251
ssWV-t0wGfNZz-K_v4_c2Q,0.14572420634920635,2015,22,556
5XO1LW7eH_yZbRF3JeohTQ,0.06816599539700804,2016,22,104
Lv6QPpBw9-aKqNbYGnUUgQ,0.2816975308641975,2014,21,263
GMeX9AnkWmymd13oysKJmg,0.16317704303075395,2013,20,378
rI7KeOkHzl6Jwq6vgZWYzg,0.28179563492063486,2016,19,218
efpYepkQvTxfDHRseENQtw,0.13019179894179894,2013,19,39
JytNi_kDLto2VyNi8XDZeQ,0.09833333333333333,2016,18,101
-bFlvUsbf4gWwdRzegMupw,-0.00872477804681194,2017,18,153
pDwzvgYw5U9KtNCFX6xalA,0.23647274968297693,2015,18,81
ToXxrrtzH6lDY0nb3kA2tQ,0.31416316526610644,2013,17,67
7pBaJnPxTVbQ9o0EWI3JAg,0.15895390070921986,2013,17,180
dB5Xb2frERZSXJfoTuWCBA,0.35377535273368604,2013,17,140
dLqZ0yu_zvmhsNPgmLRMKg,0.3193218773096822,2013,17,219
oljyGE6mC58hynv55pK2WQ,0.21950844854070664,2013,16,378
cS0J89Z3mDCuoT2TlJINGg,0.1653373015873016,2013,16,148
xK_9kUQcPTBO0b_vPTmRWw,0.29416666666666663,2016,15,92
qzXOy1N04yOFq-ga-sV47A,0.09499999999999999,2015,15,142
3rBkPE_CKP3EdvW9CKDjrA,0.11364237614237614,2014,15,104
GxiU76SBuS6IRKp5yYBZdQ,0.17604166666666668,2014,15,57
UFJNdX9emmbUEmD_dDnxGw,0.26156045751633983,2013,14,48
PJwkxV42ySTuVslJSwcqfQ,0.029551820728291316,2015,14,24
ZI_yfE1pk9mgSCgkpGwE7Q,0.21086843711843717,2014,14,13
ilINYZlzu5eYLce9ebqhbg,-0.0028939909297052042,2016,14,0
WXoe9nTOfnpc7jV5ksbNzA,0.07763056835637479,2015,14,106
gnJwV1Ye2B4YET5aO-P1Ww,0.1607638888888889,2012,13,39
b206Qy4TyZInSgLPG7P7hg,0.21599011189175124,2014,13,88
ynGOxvc9UMVXIm2a3lVXFw,0.14004166666666673,2013,12,178
GGIXdbtKy1o1E2cL08EQXw,0.1258509199134199,2012,12,49
231qRXJgOhWSis0AXiRsdA,0.33708829365079357,2016,12,127
id4zOUU2GCJcd_tL8yMnNQ,0.09194444444444444,2016,12,81
7eweq9L16r4EDbbQYxBiwg,0.29400013010668746,2014,12,123
LjyNUfBiJB02sGsrgALckw,0.18653439153439152,2014,12,912
XaycfT-LhNnIBQjNII5Zdg,0.3015360983102919,2016,11,44
vfG5yP8tDIdchmntLyedxw,0.2131868131868132,2016,11,44
sqITKRTCjJ26ltr55nnclg,0.21153846153846154,2015,11,76
