review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
A1NMu9XOdq6pn23bQ06vLg,0.41979166666666673,2015,49,137
ZND-3GIDjyx9M_gHaS0now,0.21524725274725276,2014,42,73
_cTvgSHjlapN_Sezz6ZQUQ,0.19133771929824558,2017,40,122
T0sMBwWvfyrVDk5JPJM7rA,0.23173280423280423,2007,21,262
XkrSodQgZhJAQvw2GJ_LDA,0.29375,2015,16,46
Xy10Wcl-f5OlKDWvLgqonw,-0.016657848324514998,2017,14,155
Hn2svoNQE5pLx-RUK8WXiA,0.546780303030303,2013,13,33
SIsaIzFgSEbuBfuFmKYmpQ,0.44409090909090915,2013,12,71
DeBLFfyxdCVW5wmsm-CT2A,0.36106770833333335,2008,12,262
iA6_wsrxxeipwglJJgCmSg,0.3680902777777778,2011,11,110
lKKvmdK3JBibQQlTMMP_7g,0.5458333333333333,2015,11,98
ox3Vq2vHjPQ_8apKeXjWRw,0.14324915824915824,2008,10,894
X8SJV_9HuYXfPLTaRJnSEw,0.20255952380952377,2014,10,271
rvBtRznay7oHTTJuL14meg,0.2757683982683983,2016,9,155
dEAELhsaRxGu28pLRYHt0A,0.24728697228697227,2008,9,19
MlQYcpoENPD8gZTi-qrRkA,0.28733870967741937,2017,9,89
caAazjjBeQvZAZtuHbsNYg,0.09285714285714286,2013,9,14
rB4w2yxUHKMX08r_tfNiow,0.12499999999999999,2009,8,132
IrU52gebVaB6S5hnBoi2AA,0.16085858585858584,2013,8,411
Yx-3C8u_nHo4DUM7rVK7_w,0.26836734693877556,2011,8,110
8sT2kNsulipl-SDE-dHDMw,0.2164915966386555,2014,8,153
tAlaPhox55ESvIWeXI1iUA,0.39285714285714285,2013,8,71
Nc4i9THLkGpFWrdSBLwIyQ,0.16160714285714284,2013,8,75
gpmTvUWA49BbmluMV7YMAA,0.28059523809523806,2017,8,103
8pF2whKtSG-eCS5Cx-Ac9Q,0.1273780007870917,2018,7,4
Tz2YWzZD0bNMh6p2a3GfjQ,0.39794642857142853,2014,7,240
1ikrEky2sohg5C7VMUECHA,0.5519166666666667,2016,7,94
Z1UzMA-O6chsjBv85A0Tqg,0.03963194444444444,2009,6,124
nM5xwibfExQoKh6j72evEQ,0.22749999999999998,2015,6,451
8tNzNb5w5qD32YC-wHGnkQ,0.30007639419404125,2012,6,127
4KRIMeGRJAhiX3N5sqraXg,0.28731884057971013,2008,6,21
D5W1ASl0Kkj-hqJWD_LCZw,0.07455555555555554,2015,6,24
Dj2IhDwFf5uSvmyrDfBBpg,-0.1375,2011,6,78
_egQNWEFCCbZyk-UYTUuQQ,0.09791666666666667,2014,6,18
fNvO1r-O8_JOdmLQ9uVBJg,0.27871944444444446,2016,6,76
C6KMGqRW44fOEidGjwifqA,0.038235294117647055,2015,6,17
FF5K_zOKHs44iwUoXt3wWw,-0.07832936507936508,2015,6,0
vFr1UQW_dsmBD12fL23oaw,0.35473985890652554,2015,6,29
ssQfy5hlfe_152j3cponsQ,0.2921221532091097,2017,6,18
09y7aIWb_m2jp3kVvA-h7w,0.07188985442661915,2013,6,86
tUAlJ0LupvnTZUB1jlS6zg,0.625,2018,6,73
ooaA2bbyPliLIiiqXPEuKg,0.17065778214034028,2007,6,62
BZejCx7RcvhyrbYlGPEURA,-0.0056547619047619,2014,6,49
O4ZIr-C78bbTeEnNspmMsQ,-0.25,2015,6,0
0nomg7UoXzHI4PZosqnZIQ,0.1314153439153439,2016,6,1
fCYR5S5o-Cb1uveh6P5Nkg,0.2093205574912892,2013,5,14
HoJ_GhAfjjtMfwgDGp4hZg,0.12175324675324677,2018,5,2
ilaUsQ-90HdofCIsXP01MA,0.08998015873015874,2016,5,24
sllHm6SVHz-zsd3KyohjLA,0.15159259259259258,2012,5,738
4PTbzXnuq477wK0NS9Araw,0.24413580246913577,2007,5,7
aNk5m7NKF4Br2WpCqrtGdg,0.16152882205513788,2015,5,18
FoWbWgUpVMEBZdegCp5dHQ,0.3458333333333333,2008,5,45
7YUgjU7gZ4CNa7NaULd95Q,0.13571428571428573,2012,5,133
eBG7OVAHfvaYEUz2C3hHzw,0.10476190476190476,2015,5,1
i8PrlFQNDXDGp8BGPGK2lA,-0.1217948717948718,2007,5,30
l6uAzGQRsRQ8ClZa7Fci6g,0.1297619047619048,2011,5,1
oPdvA0EeZgPJ2Mav9sSJtQ,0.34296875000000004,2012,5,6
zSfObtgE8wjJ2Xk6Z6ApDg,0.1722857142857143,2017,5,47
sqhYTL__-JYcwqxr44zkBw,0.21626428091397845,2008,5,44
