review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
nN74Try3MicUUK2HaeuvKg,-0.15687500000000004,2016,107,697
EluNPWga0_kYeVHj9W7pdw,0.23863636363636365,2017,98,309
4ofwBKCQmeNEeyYitVXCCw,0.13406723484848485,2015,49,283
XxlWtz9r8yWTSf-ZKWAHqQ,0.2540076754385965,2015,49,274
vkP-5G4vvXHBsXK0w9oxnA,0.21694444444444447,2017,42,699
yhxraP8EefDRuL-rssxDTw,0.08194444444444443,2018,40,297
cFykg1KVs17d4AMvff0K7g,0.2081989247311828,2018,40,55
ddljOZmbZA5L24Xrl4DVcA,0.3109470390720391,2017,40,178
20uaqvM0FUCzOxJnWD21tA,0.22461309523809528,2016,40,378
SF3ydIhaLMpwXoRVugN64g,0.1012770562770563,2016,35,328
PL2Nf-U61j1-SDCbhP_HDg,0.0701962676962677,2017,35,235
HJFUqKWFr2HXqcAh715f2g,0.1733333333333333,2017,33,198
Cs1yCjedjQkh5tPRTcjf1A,0.14037433155080214,2015,28,152
wKDl-XMKsluoaoOJMq24gA,0.17869918699186993,2015,24,263
FmvjHMO-AYOIMqYIUJmo2Q,0.14358024691358026,2017,23,110
H0GP-1SgAx3bhmEAnu60eA,0.14318840579710143,2017,22,244
FGMv39oK-QG5TEoDeHm46g,0.12060889929742391,2017,22,228
6qtQ3rSMAfZfOE0sF-a_Pg,0.15314896687237115,2015,22,539
S2W-nnKHDbe5GeFRgSyksw,0.30330405060056226,2017,21,91
Y7S7bYx6tAF429Qt8IzuXw,0.09008223684210524,2015,20,378
PONcx1yvkoXNnroQ_94uug,0.16929469901168015,2018,20,103
XT2EaAF_LjdvyO1JY1al6A,0.19702638631210054,2015,20,137
g-nVQeqniuZO6AbKes1DTA,0.11004551820728292,2018,19,80
TapEtYpAWQkdBXhcQ7P8aw,0.19609375,2016,19,406
OjKtO2CIQl8BZkGX9A91tA,0.12014693264693264,2017,18,256
f80s-4kkxVEH9zInurgxnw,0.1844803476946334,2016,16,195
9cP1FBkvDhVZKbctMeapoQ,0.25820793650793655,2016,15,50
pQ2c6VXrzM-m9VXXl6-HaQ,0.02277732683982685,2015,15,283
swuyqOsnouELprZAEQwSOQ,0.2597896034007145,2017,14,134
RRa_4k9Z5S7VRo5YC8tXKw,0.10662338185923086,2018,14,236
kEZgMhzS2DxGLjyglJPcyQ,0.059687105429292946,2016,14,97
CxmylRblOAmVt8l8cxC_og,0.24209385521885518,2015,13,212
6tg7AwZp3uOOFnjUymJWjA,0.018106575963718813,2017,13,72
6urrsK_gxqtkVlk_5f7RWQ,0.2402859237536657,2015,12,219
qY8TwEuaBwA8bdQ_Q_ouhA,0.09543209876543211,2017,12,89
A3mdeJtIwqjnl5SGwJcxUA,0.25142857142857145,2015,12,192
T4i7Of4fPPpvuAiOYgte6g,0.09364341085271317,2016,12,251
abHX3yzDOQXeLIIIeflXUA,0.2314174107142857,2018,12,94
iIYbe7BwIHf4scrO4HkEUg,0.09593197278911562,2018,12,470
fiIE2oTfhvfHOrmLzYKmGA,-0.04802235179786199,2017,11,230
nqgvkwDlJYAjy66NKWc_Zw,0.07261904761904762,2015,11,376
Lbl6KU5xqRvWLMG7kC6_-w,0.22565023291925468,2015,11,142
TNDj2IEZPJfxASh0WHzpcg,0.08452380952380953,2015,11,119
-rwEXUmDs6LF0h0mBUeY-Q,0.14227642276422767,2017,11,117
_thBhPXjd8y8QcizyluDuA,0.1644683441558442,2015,11,70
uFSahaFyBt8C2oO8X512Ng,0.024794238683127582,2017,11,110
zRhw7FdAvg_-FsYX8CDSxQ,0.2692778792388167,2017,11,21
HSRmlU36Y3E7g12L6Gbe5Q,0.07626623376623376,2015,11,641
LYhln_Ddku6nJwzmo2BRkQ,0.16315597667638485,2016,10,209
5JMOnJqJnqOY_H6BbAt8VQ,0.2913928571428572,2016,10,272
7lR5nX9VCSfsAjg5GhJI7w,0.09078293788580247,2016,10,167
9y3jaUKrOKb0LSsiQFTXLw,0.17916865079365077,2015,10,81
PZ8c2ojF3j4AJ66iTbNNvw,0.24346726190476192,2016,9,123
FliWtOQ2PyT0xo8wK-FvWQ,0.03169841269841269,2015,9,24
Jo9mejzUT4BEzxXhEASKwQ,0.25793197278911567,2018,9,76
HQ8ledD9-kErJN_kQk2--g,0.11472222222222223,2018,9,283
Adk-j4cF5vYowSTk90EMig,0.1956326912787587,2015,9,891
ZajCSq__CHJDgeKPSGlM4g,0.15161587530635148,2017,9,131
oxJ-5uFAoCpbTD3ATLLD3g,0.2779181547619048,2017,9,77
NLM5LVRYQTsVtabOIefoyQ,0.1191550355774494,2015,9,546
-Xd4yyWQ_PqvFxI6cDd1Gg,0.20335144927536233,2018,8,202
oorGLdmuzGPC9VfpUoznpg,0.3011363636363637,2018,8,96
BrzHcTPZbWb1Z8OI_1_Gkg,0.1383730158730159,2016,8,61
dPR2I1h-kQJAXmb63jkkuQ,0.14361111111111108,2017,8,74
gEDUs-Hu9IxmOo3qaDNUQw,0.10561868686868686,2016,8,97
0UCEEEMsB881u2WWIaVK2g,0.11058333333333333,2017,8,332
a3GIv0uqwTTD-pBHDoQIHw,-0.043129151570048305,2015,8,12
HiCdeq7lnOVAiKxK5IUxkw,0.09190000000000004,2015,8,47
poxjqJazOnFbZ2_IrptDVA,0.3464285714285714,2017,8,43
jHOP3T5ExHc27BlO-Wtl3g,0.20686507936507936,2017,8,11
44tGjOU0unV124BplkQfYw,0.15795918367346942,2015,8,48
