review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
W_7ceHHVNXt11fvztNwlVQ,0.1477398205659075,2016,53,1098
nMpCqv9kBohPM12_6BzqnA,0.3211111111111111,2016,37,154
9owAQQCF5IGcaJRZIjyiww,0.3451428571428571,2015,27,319
4InWe1kYv2w4cEUvqaezig,0.15490147783251235,2017,25,896
xrbeTJWJrPpjqxurzO15WA,0.18409090909090908,2018,23,641
K5GXsLtE-3Tz8_nqUEoJ0A,0.27054761904761904,2013,15,20
tRm76z4AvucaaUCDKIYgfg,0.1581845238095238,2017,12,194
BLJAamBmDM7nAtiP2TVHYQ,0.4666666666666666,2016,12,160
SrYYI_EfyCrDeiggxZvwrQ,0.382852733686067,2017,12,163
qHTAi_MLGBqqSWLR2ohqSw,0.1751945412311266,2013,12,180
g0Y4ENfFPBq-J4BM3eJMbQ,0.2747301805337519,2013,11,17
L9jj7Zq-93fyIx0EJIQ6Wg,0.2333800186741363,2016,11,71
ZO_D-w4iuynhO3ZZUcIv_A,0.13128289473684213,2017,11,127
dsgcvIGAgV-1FWFYmPLgAw,0.17953216374269007,2018,9,10
H4DFu2QnQ-_LHuG76B1Y6w,0.2736111111111111,2016,9,33
a8nP5PZq0k3NncnWtGTkeA,0.25479497354497355,2016,8,58
I56yi45LT67RsnCHDXwLrA,0.09225987554112554,2016,8,102
crn_BpX0gfdYs47X28sXaw,0.2522727272727273,2016,8,82
4bEZQDsFqwQOPT7RL8py-Q,0.31531746031746033,2016,7,128
Gw8ImP48aRCwy7bL8wNF9g,0.36597420634920635,2017,7,43
Xoin_Iiq7tpqsmwFtUQZ-Q,0.044049971767363076,2015,7,133
DXh21tQhN5AHmlaPiuCEVA,0.18500000000000003,2018,7,10
dj2sdZshIS2XLpls0wZPEA,0.28525641025641024,2014,7,35
lOtXySyAVNpq46nqYJhLPQ,0.2822222222222222,2015,7,37
yfPQYWkjh-NgHAT1YfKfQg,0.2304425705467372,2015,7,54
x0bcFGnPoSTC1VKWg452_A,0.25479497354497355,2016,7,58
ImCW4-4m2l23N12IAVfKQw,0.1403735632183908,2016,6,41
CYsoIBsiWMf0d1LMt0B3GQ,0.2506865079365079,2018,6,17
AklKpnxvNQBkyP9gmI0zVA,0.4304513888888888,2016,6,19
t_smtRXSR-OZXdLb2NO11Q,0.3536458333333333,2018,6,214
1T1qqpNDsppIw4ptCkBoPA,0.1300132575757576,2015,6,89
oydJMi0qY3uwvSOBOfLsMA,0.32103809523809523,2018,6,38
zabGNmUybrLSxoskrLHfPw,0.2871988795518208,2016,6,17
GA_HjAGLhOkq2xTxMKmkmg,0.08916666666666669,2014,6,17
ovbeFoFBbzpPTrUz6_UZKQ,0.20642361111111113,2016,6,172
6ZZ_xuv9WB7zzzJ_0At0rw,0.26553864168618274,2013,6,68
45pqnOfHvkHKH-QL34127A,0.29375,2015,6,643
CiXHeFXZIBUgZiB27I18fg,0.1732142857142857,2013,6,77
ONrT_f-0rSTG7GI5iErk3g,0.3522222222222222,2013,5,7
7vRyXDCex1QjgRa1Y84N9A,0.19924242424242425,2017,5,114
usKnEHYzWZ1I-h_zmGYBxw,0.3462489557226399,2017,5,7
1_G4co39zI-gwyEsBZryIQ,0.26818181818181813,2013,5,1
avAPi7llQREnGCHk7nDQug,0.28829365079365077,2018,5,38
mD9U-HEmeallVN-AVYnL2A,0.27414062499999997,2014,5,0
dpiTTVQu_dG-d1j7AuZ-SA,0.06944444444444445,2013,5,376
bLaDVlwmnfmBURkLY0PT0w,0.21547619047619046,2016,5,76
Wf9JKBHwR8gdcEzY7Rz1mQ,0.4517857142857143,2018,5,7
MR2gQaQGm-Y81wSorSFUXA,0.24765625,2018,5,10
_btQx54z-IKggxk9TnXZdQ,0.2708333333333333,2017,5,10
-g78da76OvwU7jqaLVErYQ,0.19999999999999998,2017,5,48
_CN9x022dNBuTgGfqhCXkA,0.20881369248035916,2017,5,13
GQe1PNwUMpVjP1Lr5MwmyA,0.3294444444444445,2014,5,43
AXVXTjO2ig5pFS9ojx-vbg,0.23981481481481481,2016,5,22
RvPUnzlZrDFWGQzNYCdQDA,0.25379008746355686,2014,5,145
f65Y8NmS9sDmtzosM-oIew,0.33406250000000004,2017,4,19
a7iLoyvh-aBc_2y6usGJ-A,0.3197777777777777,2013,4,5
s1m5u1XbO5jkdAPmYisEyQ,0.4151515151515152,2014,4,16
5G1rVSYsK-Hoo1bDlVGV3w,0.24668253968253964,2016,4,22
_ZkLjY7gyM1A-NTqoc_TgA,0.38224747474747484,2016,4,32
v7CW8s-5srrYRVDMNlKypQ,0.3621759259259259,2016,4,5
qURwI13cVIKNfYvL6cNl5g,0.3843256743256743,2018,4,0
OKv3QQfnfcE9E2_z4vaTwQ,0.3248418972332016,2016,4,40
Lci5zTitGlzyyDAJQq4_Bg,0.4928571428571429,2016,4,16
qIJwUcYdB0MT-Y7zsZordQ,0.24279100529100528,2015,4,29
qkYVxSmIRjIjZocd1suRig,0.22403846153846155,2016,4,50
6WDTbPvWkFcSglwSEqRkzw,0.24000000000000005,2016,4,24
CFiXJMczr30d0Cd8Er70qg,0.325,2016,4,16
wxvWv39qSM4M1Kt7G4jinA,0.2561363636363636,2017,4,0
rzlX-Z05MnbJNHh0ubVxtA,0.31270833333333325,2014,4,56
91L9PU-eXwljlhqC41_p_w,0.3714285714285714,2016,4,66
IOzm9k26y__vBNEZkUfjpw,0.16435858585858587,2016,4,47
4XmRQ3YonUB1D6fu4Hy0Yw,0.27307142857142863,2014,4,1
CXM5p945nP8QqOxDUYo_mQ,0.2432142857142857,2017,4,1
1ud6C1zNOVO8jXvhSX3utQ,0.041666666666666664,2013,4,17
FgjVYvGCDMxWoCnu45joog,-0.11862745098039215,2017,4,242
lCfOhLL288S27Hj2U4CE2Q,0.5780952380952381,2013,4,5
QEtz6R-bJp6gxNVCXRfr1w,0.3309,2018,4,13
UnK0Y_I4WJEh2nZkqPYgvg,0.18863636363636366,2017,4,25
WPMku3arhRKrpIzDT6aoPQ,0.2668333333333333,2015,4,119
CL4KUXZvJwwYUk78ecPi_Q,0.3444444444444444,2017,3,19
gOgdmvfblcpjnzvE1f_-TA,0.3133333333333334,2018,3,27
Xo7tvVIf-sLiNw2gkN9ygw,0.4310606060606061,2016,3,1
MMqW0j7LDrVj8ZABBEx9Vw,0.27499999999999997,2013,3,0
CLK4jCrGXE-BJ6CfkGxxsg,0.105982905982906,2017,3,11
4auI17FWiSpUHaqi88qamA,0.3721536796536796,2017,3,12
I-Wbi_it2WfHNTUixAs19g,0.4875,2016,3,1
jBaJVkTxypKq5Ssc10jb9A,0.506060606060606,2018,3,4
b8cCAxbvEcug27QMmQYMjQ,0.25306122448979596,2013,3,60
kayNB7V62pZBqikj-kvFow,0.1498106060606061,2014,3,20
EsoO19sFGARaoDxvFgWGIw,0.3352272727272727,2013,3,41
19nds9Wm0Z1-41TSwPgDWA,0.20897466730800063,2014,3,19
X2AeSUZUJ2TNRd-OIBZLxQ,0.12940613026819922,2017,3,12
pcZPiiqTFPL_o6Pf_JE7og,0.38333333333333336,2015,3,38
LKtaiHjmTIsizK3xWn9z9A,0.6857142857142857,2014,3,30
iWzfLei6-eLwzb2oqb5QLQ,0.42000000000000004,2015,3,1
RFfIyeTzzNNLI8rnRnl5FA,0.1650297619047619,2015,3,20
SgoKixKUVaNgz5fVbQM7EA,0.16488095238095238,2014,3,15
PcEXsYhA8VU4gDnGVoGLfw,-0.007222222222222233,2014,3,34
FZ3Qasz5Sp8okghn4H0Cww,0.191,2016,3,36
1eXLJ6Bh7GAbmyPXAo6paA,0.12735690235690234,2016,3,17
v70Om9tc3QviIS1pZExsHg,0.27708333333333335,2017,3,38
WFK5GotvSqbXk7Cm7WC9Cw,0.23902857142857145,2017,3,32
Wx8ikNMhm-31I9InBJBWgg,0.3814285714285714,2018,3,0
LIMeDGDwOrwB7cXnRrmxzg,0.6071428571428573,2018,3,4
uLgRE6bwHYH7uilazsERgQ,0.11666666666666668,2014,3,23
pDQWLXw2knBfK6RnV8sfoA,0.31039473684210533,2014,3,18
1HobixSzaceOih3SVnVyaQ,0.2199404761904762,2016,3,101
xFZwGwFiiDE1LdfT9ChDyw,0.09103030303030302,2017,3,3
PbhzxBdorCq9gm_8U8irXA,0.2769047619047619,2016,3,61
qj41jMv4bsecJURza5EjXQ,0.33,2017,3,30
IW4PCUN0ShRNmS9rFS0XYQ,0.18690476190476185,2014,3,1
slMy1rNfPT-RUmQ8TVFj8A,0.17261904761904762,2014,3,6
emmp3ibSewm3eGjQ2orkQw,0.12063054790327518,2015,3,1
zm9Ob2CK2UhKMcz9NfldTQ,-0.05143467643467643,2017,3,2
G7cXXPTVpt2rCMhCOB8mrg,0.33125000000000004,2017,3,5
4tD2v5AqTQ75gGXTTE3pLw,0.75,2016,3,25
z_Llw780-RjVc4sVXwkOLw,0.5234375,2018,3,4
xh4t3j74vC6bZ_IzUWHq1w,0.20714285714285716,2014,3,95
bg_Qb11YDFqN-SobgkCJYA,0.27818181818181814,2014,3,1
qDuiuYc5vocEgw7l6gkU_A,0.28076923076923077,2017,3,18
UtE7cxs402ZeuXJbjVTB9g,0.3375,2015,3,9
pk0DMFMZV6hqr1uTO0SlyA,0.38625541125541135,2018,3,154
Wsiq8f42oqjdIRNkaRxJZg,0.24702020202020197,2016,3,11
xl631cH3Htcl68fqTOezaQ,0.38428571428571434,2016,3,4
50wh0Ke5lkKkPEOIzAOEdA,-0.03028846153846155,2016,3,50
EJdUIml4rW7__nuMV_rJ0g,0.31833333333333336,2017,3,9
iFNqtTatvzkp32SL-08j4A,0.4060897435897436,2017,3,50
oRHlPbyfgimz51uTc9FjNw,0.4911830357142857,2018,3,4
0_m1odSXBJBGi-5oyTXA-g,0.010940040118611544,2015,3,0
BPjcussMBMN6FjaWRLAp8Q,0.32322798295454547,2015,3,33
Da1GISWh-okuSKtfpdSRfg,0.19642094017094017,2016,3,68
BkYzWsY-JEFS6PpYgS35NA,0.2544166666666666,2014,3,54
m1zNuFISO8jiRN--1xw2PA,0.22642156862745091,2018,3,10
8BGyf4rDcgdI-JSKZ9TVRQ,0.0,2017,2,131
pF7BInQirPbLWjAznsIL1g,0.16962962962962963,2018,2,2
WUfHcizZx5fZcu_L0QXsKw,0.0,2015,2,27
gIbKsOTs36Li82khPdRtXQ,0.18351934523809527,2017,2,1
9GUqPqXK3co2Nupm0TOfqQ,0.465909090909091,2015,2,19
WCstKPgygR-Ntnr7SbTDbA,0.45143678160919537,2018,2,2
jZW5D85v5jXqtVzowocUiA,0.3325,2015,2,7
TQvmOXM4B8GKUgnPRgg2Ww,0.30833333333333335,2014,2,2
Kd0i4_Fm0d55XkuLzkRr9A,0.39305555555555555,2016,2,0
UMKvXkyv2l5qt-6IMe22ew,0.178532196969697,2018,2,8
gxbP7aTjXrluxXyErJq1Ow,0.55,2016,2,13
9d05NXA0lOj2orZjYIIsJA,0.19300213675213673,2015,2,29
dClMTYA73qVDaWozj2rTvA,0.26999999999999996,2018,2,4
mWx5jszJsKbVVUaBTKMXwQ,0.27888888888888885,2018,2,94
OI69HrmhJIy9H7oQ4rG5BQ,0.29627594627594633,2016,2,3
NKfslLiXJ6_LxcuJ3NVMsQ,0.2941666666666667,2015,2,16
rerPl-GLBrDEbaSZpZQYwQ,0.34166666666666673,2018,2,4
NMvCmWN5ABEIhW89taReFg,0.5022058823529412,2016,2,9
Jz5teZnRn2Jcd4pbxq4Tzg,0.7027777777777778,2018,2,34
0XC5uzivI0Q3mmuepaP5jw,0.0758224526369688,2017,2,1
gOQyTjZ1FSxs6LZ7LY64iQ,0.4274425287356322,2016,2,21
DAAvFUJ83q3TzPahZcD7Ng,0.1708333333333333,2016,2,13
ffXXsOIDae9YDw43Chk3uw,0.47114035087719297,2016,2,19
8rioJ3w7oJS_u52P4Zm75Q,0.18503968253968253,2016,2,9
0OxHg75EAFk3psyrZU_gTw,0.284375,2017,2,11
LGK-ubr5ODxs6UmXmU4dLA,0.3742592592592593,2017,2,1
HRm6DuZyl7kQKKn3ejWXUw,0.2342013888888889,2015,2,39
JiZwQhgbiWZ03Hk1I7ZiGA,0.4225925925925926,2017,2,4
T7UAfcHMvubPVQVOfpVqnA,0.2742043650793651,2017,2,7
sFoBt8YS-r1RXK2Yz8rKEg,0.3618328100470958,2017,2,16
OPCAmwsfvOmY0EeVMl-xwA,0.3555555555555555,2018,2,35
dHYeJIq7KMQDGFvVDiOh_A,0.22910056446821153,2017,2,1
DjgWGZZ8T_--35f7f_74-A,0.38428571428571434,2016,2,4
I7l8XRwW2ukL56fKzNPM9Q,0.35624999999999996,2015,2,2
VzB4umwPaBE4-zV4Cbsgvg,0.1195833333333333,2016,2,13
iBpmizs0jQ77f_OUkZdA9Q,0.12164786967418546,2015,2,11
nd63ZYb_EWm8jeSjvtNm6w,0.4546875,2016,2,14
Jt2Ds-7Kgdb97aMoWyqs-g,0.3292857142857143,2017,2,30
KOxNrIS5DD4IxHN8njgy-A,0.2769607843137254,2018,2,1
y-NkCTPBkPsah7w0W-2jvA,0.4547619047619048,2013,2,1
yqqUmuBDJbJHYqBGNx2Oug,0.1692307692307692,2017,2,11
9hKNXHoLQIVp7LXwtPbkhg,0.29291666666666666,2018,2,2
lmK1HnY_Qb2jEze6J9Fb8w,0.39000000000000007,2017,2,8
DYkEBBOCJKxwURKHKHlPtw,0.2769345238095238,2015,2,34
OcKVmXmhOoXX8rKdjUD2JA,0.2569444444444445,2018,2,0
cWKg_PKdw5isFXb1Cxc_IQ,-0.35,2017,2,143
EmttuP8E1E6uanivTOi3Kg,0.21334325396825402,2017,2,0
d2Sc4sqzqWcgnJds6k3fmA,0.4564876033057852,2013,2,13
eDx2uVlpQRr8Tz35qZvaXw,0.5194444444444445,2018,2,0
jGwyHhESucbrL0mNy5uKQQ,0.2861111111111111,2017,2,19
CMFrpMqQqsLj6j9RjBR5pA,0.25625,2016,2,0
tNAhC1VnCZwTMJ1-c3yMiw,-0.24833333333333335,2015,2,3
zTs5j16eLCpzCJKqvQO3nw,0.48200000000000004,2018,2,8
0yz10TSWqnOEKmqYtzJS2g,0.1375,2014,2,1
sI6oEMYQDuRxNkF9P6tnzg,0.42366666666666664,2018,2,3
Hy5ZXyn10Sn2NOhio9MkBg,0.1653846153846154,2017,2,4
dhxO6yIV_RjjfPWJzhJsyQ,0.45859375,2016,2,31
JDDtjw0h3kotabFuQYjSjA,0.57,2015,2,25
k36tjOXohHpz5Ase14wH8A,0.5066666666666666,2016,2,15
-rI5-CWVqElO3BOKNlfnJA,0.3958888888888889,2014,2,3
-b21RXHo7P1TtRxo439j0Q,0.09557291666666669,2017,2,24
SlJPRqXsMaIrSMszshjVfA,0.09230769230769233,2018,2,1
zBopdHTAxOOyg-ugbfVLPA,0.22678674500103074,2015,2,11
nCvc-AMYMTvYW0DHEAuzsQ,0.3972438672438673,2015,2,10
JTq7xUhpMxznvZPNVHJsnA,0.9700000000000001,2016,2,0
JaJDruj0uMx2lV9lBr4kzw,-0.08333333333333333,2017,2,6
nWTAleswnR5hm_xZNS5gvw,0.47361111111111115,2016,2,0
Z6SuiZqy4Ug1O-sm2GAkgg,0.3007575757575757,2018,2,7
0nk7LEyxFxKzBXmSQokf6w,0.3292857142857143,2018,2,0
ghtf2qKGbiOrc3M1y1jvvA,0.28157738095238094,2016,2,46
JnFe4nZj_5CSGfl42sX-uw,0.6166666666666667,2013,2,0
HPrCz4TNz_ywxC5COS1a0g,0.2708333333333333,2017,2,2
4r1nSfF3OMlHnmMrHsIvAg,0.2188271604938271,2015,2,18
vTw1I5ccuTzQ7oRsQDvcMg,0.37367816091954026,2015,2,43
LtDiszyaON8hV8-5nStNoA,0.34067460317460324,2018,2,8
9WuU3ryfn473KrwrYL0Tqw,0.22148919753086427,2016,2,14
x9-oFnLhWP44sOf3g_JAAw,0.5763888888888888,2015,2,48
sceBH18gc3fNVb4DYuKXPA,0.5597222222222222,2018,2,17
ghNSRvjMZPSsB03VZN6oFQ,0.33981481481481485,2016,2,21
0WJKd_ZN1AQDELsQiefbVA,0.37395833333333334,2014,2,1
-xAccnkVFrC8q9wPhU2iAg,0.18346560846560844,2014,2,33
YZZDa_LyRZU6YC9ASi-_yA,0.30124999999999996,2016,2,0
fm4YtRT9Hd0bN3-4FuZUcw,0.30910138248847924,2013,2,5
QDxlLNCehEQxhCNnAT5biw,-0.019088904922238262,2015,2,6
uT77qPSk2hE8rUuepqGH6w,0.6308035714285715,2013,2,0
BHo81rRKLfn4X1GaV9QPwg,-0.5449999999999999,2016,2,2
g5Kqc_FpTDqxoV00_n3hug,0.3257575757575758,2013,2,0
YDOaFF3h6bfAgUSGUeO6iQ,0.0,2017,2,2
LwDx3N3d6nm2xpWB1I-67w,0.59375,2017,2,9
GbqATYbmn9bmXjreJypwyg,0.29639832559039875,2015,2,12
i1iTSTTtpeDp6nGXJfnQow,0.38630952380952377,2018,2,2
hj87aRtiN9EcoihH7s687g,0.3238354037267081,2015,2,44
ODIKQ_qJXysRnZfxVAFEqw,0.1381060606060606,2015,2,6
ScRahxECLiBXCD7sFd1BTw,0.4519230769230769,2018,2,5
GgaNIvHdXe3oGq69eXUKZg,0.47870370370370374,2018,2,9
o-Xrh0wIwK-WzvuB-kj43g,-0.13931327160493823,2016,2,0
fOfqKs4qVJcycATd3C71-Q,0.15357142857142855,2016,2,2
ufY70ioyyPU62aG0tVczeA,0.21636972903639573,2016,2,25
ctOXbys5HDlE8NUsbz2rSA,0.21805555555555556,2017,2,1
-GiIDoWF2T2WaSrQ4AkItQ,0.43865877712031554,2013,2,5
Pd_8lZ35OlPLaUCBEQkupQ,0.5942893518518519,2018,2,2
N3aUte_hXdyqisemTOrDvg,0.38571428571428573,2018,1,1
nA4mkQz2yXq1A6iXBLZTIg,0.378125,2015,1,0
3aIyZodXPBxjKfXWZN3oug,0.032870370370370376,2018,1,29
kIRkTj7njKPpaL6S4T_5jw,0.55,2015,1,0
GnZeTfqHOsE_9DViDmdMLw,0.6419270833333334,2015,1,21
4r8PF_tRlbLo17_7bJmntw,0.3814814814814815,2018,1,0
b2aa0m0TKOPwIK7YtHvDUw,0.275,2018,1,0
6o70mTTKrXAhR7qstAMvew,0.39999999999999997,2018,1,1
infu1h0kHFgXZA3UJPH0mw,0.2325757575757576,2015,1,12
Ltn_B71890-MYK_LWTyK4w,0.1,2016,1,0
UT7aRsIMKltcCqFDNI0RSQ,0.3225,2016,1,7
Sd8cw0onJ7jtLdRtmZo5bA,0.39479166666666665,2014,1,14
lMp-jygc007YK2j7Vp2QjQ,0.20731972789115646,2018,1,8
