review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
7C4an-C5sQlvokd1zfSFrQ,-0.050202907293071225,2012,175,109
BI6iC5HOjbZeXbwySSrjhA,0.16835714285714284,2018,85,122
GHK3o_38UkOGMCpxxxheGQ,0.056013431013431,2017,83,309
D2GxDsSgXnXzTzYfuiSZlQ,0.20980392156862743,2016,61,176
jmmPKcJ_o477CnZQtA35lw,0.3055785123966942,2011,60,295
j3ZoafLdCs2z1i3_zKGbiA,0.12321428571428572,2016,59,469
ZInFPJMXINNuxbiVHGMJWA,0.11975108225108225,2016,56,969
JvFUtLfC2s48_lTA1JYnbg,0.10606060606060606,2015,55,128
C-nM5G44V8ftfzN7wazSeg,0.04230769230769231,2012,50,2964
WQ_vhoPgJasUZfxVefkfnw,-0.03529651352231997,2015,50,661
aF5JDjX5PGX4EYE7cfr56A,0.05138079041140266,2014,50,340
8YeM3jbmd8LtIKG4DlXYcw,0.08782051282051283,2016,46,245
lNR3HaNQOfqW19KW-PucXg,0.07608611626468768,2018,44,172
nZJGhQkeUOyFqROTkaAeUw,0.1626984126984127,2015,43,470
Zu49lJF0_AfH05AXjcvnIQ,0.11699213776419659,2018,42,108
Y06qJDKImuaoB1IgWT8Iuw,0.20477196414696414,2011,41,730
Bt5yI7Xt38LnGGnelnRBMQ,0.1203125,2018,39,556
6n7AJGiNpMNeiNlCPtDrVg,0.3163829365079365,2017,37,134
XUWBhq6iHryrRcwBDW8sWA,0.17637648809523807,2017,37,699
bvGIx16IhhzTJ2OeCeUbfw,0.06847222222222221,2015,36,336
iG-_hs9LLbxgXr554H4FeQ,0.12346938775510202,2014,33,411
iHNZGBlAMkFns3PjxDsbAA,-0.0018121212121212339,2015,30,119
NnEPcFN4qcmS8Ok9FJa5qw,-0.1258060515873016,2013,29,1169
i5WZuMnhnrAVITmuKchLzw,0.13809523809523808,2018,28,359
h1-pFTUCIThGM0OdUzqhKA,0.3159090909090909,2011,28,305
v8Nf8L_gBR8zRA7O889YOw,0.08590067340067338,2011,27,544
HHBKHgxAxVx2SwZnwo_nnQ,0.015857683982683963,2012,24,98
umRLEOv7gvmi56Dt9YjLLg,0.1335294117647059,2015,24,6
g0PgmFMguVGBQT_SyRoQug,0.19966931216931216,2011,22,697
RmolDv_yxxgO_T5cX1gCoA,0.2972562680375181,2011,21,364
Pf1TZkwR_yyOiG0NkLOC2g,0.15754385964912282,2013,21,214
wCbnaH8lbj614Q_yJGIeHw,0.09882054673721341,2017,21,138
E54kIPszDaur8YBe-vhgsQ,0.04436529473842908,2017,20,11
wpCdCeVWtsATpFddm6Bvnw,0.0451058201058201,2014,20,175
5CC16_ZT3bLoEYzAXOlXmA,-0.04583333333333332,2012,18,96
hrcQCf3v12FqMBJENOGQ-w,0.05083573833573833,2012,18,319
fozq-6RVPKEYewXOkXfYyA,0.080489417989418,2015,17,641
BgIy412TSQZQ7EQvOlMK8Q,0.07064333814333813,2012,17,119
hNjDdJesYCpt53nTRbxNtA,0.02512626262626263,2013,17,38
nlncIilPmdv7syVYPFDbHg,0.036944444444444446,2014,17,258
XKlBqsAznGqUTDl_QQP_tg,0.33995535714285713,2012,17,172
0jhoLGJz6VM7bAxPNC8aVg,0.20986842105263157,2011,17,33
7F2-j_zS1Ea99K69wYsnEw,0.1130248335893497,2013,16,121
Kk4R5bnsndxmXUeAHcAVLw,0.21501736111111114,2011,16,1698
N5J0mE0pJ_9zloYvEVSw_g,0.10555555555555556,2015,16,111
AWebVvrlDZOKm5QyN_WZYQ,0.11057692307692307,2017,15,192
hwyGeLBSaZPE8ioFvYU01w,0.030984126984126992,2012,15,366
88Uv5T6rQ_vlj2UcHdyuxA,0.18022073412698414,2011,15,210
DTggW1g7PvAKM_1PAykswg,0.05034722222222222,2017,15,113
cJNBes67BYAybxeLZUanPg,0.058600427350427364,2014,15,1698
cgLfRlA95gUqgm01QhiZgg,0.15438846801346798,2012,15,121
wMmqI-wvQAEu2AFqteTlNg,0.16098356009070297,2012,15,201
LqW4qLwl72pzI45mWzuICw,0.05198412698412698,2017,15,174
nEC7o8W51ftOMpNyQnH7qw,0.11565656565656567,2016,15,229
bSh76dOmIzIIOsAY3s18Iw,0.17436400103519667,2017,14,153
pA8Qp4L9G79wVV-QpdzQOQ,0.011926211926211927,2012,14,33
l4jcTff2PHS_uw2XjOneyg,0.05205555555555554,2016,14,354
pqB838y20Trgq4H5WDCI5A,0.061214010856868,2015,14,111
u46a22XU5gJ8WYQQkvWScA,0.14322562358276641,2016,14,200
zx5cEjTuvjaD-EZEMT2jkQ,0.2121357808857809,2012,14,263
aJvBXhhByGCagI8pmmQKsg,-0.1365637400793651,2011,14,379
pgirrop3YVbIIjdM2qtZZA,0.08578508297258297,2011,14,180
GgQhTt9IuSYXDraDT59Dnw,0.07476190476190477,2014,14,385
6LwrvM9QdC8Eb5XrWchgWQ,0.05906349206349205,2015,14,149
QPhRFZndJKcEVyKspRPHHQ,0.4051020408163265,2017,14,79
E17FiN7aBnM4GackJVAMjA,-0.009033203125000003,2012,13,378
7djK1OqO7wVsESMf6VXLMA,-0.023214285714285715,2016,13,426
X1kkwVB3z0PNRRzyAWspuQ,0.016666666666666656,2017,13,89
EAs-XUN3BYF5nYmYJ0fCLQ,0.11788888888888889,2018,13,74
jSOxUYDo6sXz8zFYIflKBQ,0.17479087752525252,2014,13,738
6eVuQoFgGZW1rKhWon4x8g,0.20249999999999999,2012,13,293
oBeN89K0ZMxTPbzgkAbFUA,0.11248196248196249,2014,12,81
d1rw8jC7FecE9NkprV2Xww,0.15508786848072567,2012,12,82
pp9kwXAI3PpcGwD-jfSnIg,0.0274611191277858,2013,12,121
EnZbGRNQR4aLGLy5p9QqVQ,0.013555839002267565,2017,12,285
I2SJTkYX48VXXAb4W2roHA,0.03859649122807017,2017,12,94
VvMiyIHQLDGZFxMNtqqBCg,0.08958333333333333,2016,12,350
XsPbKIugW9d8gmQv06jGFg,0.2263888888888889,2017,12,156
7Y1ETolowSezZY9OSpiV7g,0.17961073318216178,2015,12,17
KDXuAkArlhoOwFcln7Pnbg,0.30703125,2013,12,1004
Vg8TSsYx3JoaqC541z_Y9A,0.07948288690476189,2017,11,72
0sfDDtfcMDz8vxpMGtyW4w,0.1903845324361628,2016,11,28
FqWTzlamX_i_IAU991CHBg,0.15,2014,11,663
5zzxU8G9gfOvngpakwnVqA,0.13449808935920046,2014,11,148
2ZaYqAMdHPeAGwRxj6deVw,0.06410400299289187,2016,11,27
3ScAJgex_ujwPZnXK-mNgg,-0.006175595238095237,2011,11,148
3dWQyZXjJtuFMbUCwClVIg,0.07306998556998558,2015,11,106
54ayKPvw0krukrqFSYnkbQ,-0.10011238761238762,2015,11,16
QU-C1qx0TR3wePnyvTemOA,0.2556712962962963,2018,11,114
aMcquKZhQpv0Wp1KD37fQA,-0.25000000000000006,2018,11,134
lm-UOTnHLDCNrEUQW6A08A,0.20040760869565213,2014,11,136
uUf2-YizMEpXH1b0s7B-5w,0.18118193655303028,2011,11,19
W96Uamj3FD2WagJkQj_V5w,0.16976325757575755,2017,11,1462
tkk0tTIzaR-rACiNIWS-Hg,0.13113876863876864,2018,10,112
eUyBV3bfiPdl3bRapkCb9A,0.14074074074074078,2016,10,67
yco4b5WPd_MOwTC8P4_Ufw,0.008193277310924365,2016,10,158
__Ldm2BK44n2ecjc9HGHTA,0.007004830917874386,2017,10,68
CHfHAUgYAQjs9sfcU7MZFA,-0.0065430402930402925,2017,10,106
gzLYkEBrv4dW6fNL4SPP3w,0.09336734693877549,2014,10,156
ChnSZmny5z8_Voaair1cHQ,0.16170868347338932,2016,10,112
DIqmYwkcPFcYnEpWvzXeOQ,0.03770786092214665,2012,10,236
1akqTBGqG2D-wE8NWDxORw,0.02359584859584858,2016,10,156
GEAhYqf7-U8Unw9ZI42mwA,0.016496674057649662,2013,10,19
09yodfcpW24UW-pclqRH0Q,0.2359375,2013,10,22
s_-6m16kl8pxlSTIlx4gcw,0.09947916666666667,2014,9,437
Xu-A1PH_dwG2eM6vHqFz5g,0.15212481962481966,2011,9,539
Wqxt70fg8d-1q0P2wwjoGw,0.12708333333333335,2016,9,158
t8WbJY1XMEVa3lR-ldFu1g,0.10863395863395861,2016,9,285
xgkToaWzDMWagODBEVUGQw,0.14635714285714288,2017,9,63
RK_eQgag7-M9zKfi-AbLWQ,0.008705357142857134,2015,9,199
6yDwaD3BHSryWqyZlrskjw,-0.11013257575757572,2012,9,125
0QfUUXuV_5GeazF2OVA06w,0.20833333333333334,2012,9,547
UqF3ezjDrThAXRUe9L0UMw,0.059502359502359506,2018,9,36
UJfAnWWTOgqiRSKXUkJbiQ,0.051984126984126966,2016,9,91
EamdHg2eusbngaPT99HWPg,0.21401515151515152,2014,9,172
GTf1ih14qz0fkOwR_QH54g,0.17304761904761903,2014,9,135
aOdEZm5QAy4MozwgpTw3iQ,0.2284722222222222,2012,9,181
iv2GBV7-iA-9RZyFkhlkug,-0.05542685542685542,2016,9,9
JW9xoTcweuGjMbnl9tATEQ,0.12105263157894738,2011,9,80
Rtd7Vp7LKN8oVOgSr3A8sA,-0.09500000000000001,2012,9,17
yYZMUxw0uQ8y-gvIZ8EcXw,0.15810185185185188,2015,8,230
SkY2KL1je6jpax22RofK2g,0.127266081871345,2012,8,43
3i1u7kKEfId8LwhBTrriIQ,0.07388888888888889,2018,8,148
sHX7I94B-x0adK71cKOKZw,0.12426470588235293,2018,8,43
0gYkmVQc4132VIA_kdgagA,0.2098453508297258,2016,8,55
gQTK-F7rvsA5P_0dZwS2CA,0.16989795918367348,2017,8,27
cUxww8DYo5rQ3qJTsbXAvA,-0.025216450216450217,2014,8,35
h7HJ96OwvTCgTAddV4blCA,0.2090482026143791,2017,8,49
pg1lZPOTanCGcT38rdBzwQ,0.1440957190957191,2017,8,61
