review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
PAN7D4F6gzHELLMKsfwISQ,0.36048387096774204,2018,215,358
jipVLh8Vr_oUjM623heCXw,0.22274146451033242,2013,59,697
ZMkDXgw0XieQd5Y0seo68Q,0.2544871794871795,2018,46,536
5smtKH5TYXXoApoiSR_JwA,0.21071367521367523,2015,42,36
_0SYMk_glwlqz0FFBqjcAA,0.12422764227642277,2017,37,328
x86QsHpyJD7PhCOAIVecRg,0.3814068619872191,2016,32,125
gpnSIm9k72UMtrF9IjubSw,0.27316440999476715,2017,28,263
DMCjmUvVnxVuk1-Yebcd7A,0.3730936819172113,2016,28,78
bhETg5fkIcIL0Oxm93MPCQ,0.31074735449735447,2013,24,75
X8mXTUwFOrlsSIU3aV68Ug,0.22881481481481486,2016,24,262
CIAXSiNS8tKrhaXdqVUpCQ,0.3299619047619048,2013,23,328
CkFdRW6DeYRK5qnuBhAMSQ,0.05123015873015873,2014,23,283
qa6QGzn3IvqJPZYgYomJuw,0.2844357638888889,2015,23,769
5cCU7cKTd9E2W3aZBh_DMQ,0.19004065040650403,2013,21,251
Se2O9LR0HGoWgNj7vVajCw,0.3315873015873016,2014,20,228
qN2csnaIm_wGLx7UPdKYmw,0.17708333333333334,2017,20,192
WcONXPsG6SZQxKNb15foaw,0.20797879260994015,2013,19,26
a8mEVsBT7V_0Ytv3jsX8Pw,0.1873989898989899,2013,19,263
f8f3zqt6qZ6xgetMFtBzFQ,0.5692708333333333,2016,17,14
8mvwtcQ8eJpTh3MCvxxjPQ,0.4303419111752446,2015,17,16
NftmVzsFZb6vA_EoLhYv6w,0.037922705314009646,2014,16,89
cRWRKIpZT8cyRdb37v4QMw,0.33521739130434786,2017,16,99
OwBpEz67fgKER0SFAJTXew,0.1714852607709751,2015,16,149
W-FbfUyL_pMooc0RRgb6Gw,0.08260163447663446,2014,16,378
mUchYhuZunv6FSSCY_96_Q,0.4127415105386417,2014,15,125
lHv8m1zN7qP_ENQ7LqTR3A,0.3087585034013606,2015,15,97
Z_HCXsMsWNZoXqEg2lQ-mQ,0.3110294117647059,2015,15,641
Abh2rzu0KTWKnsNjbCskag,0.28305769230769234,2017,14,79
902Wepuap2nbFj1wmMZ58A,0.19608178053830225,2015,14,912
Mo_FJo7VOHhrW4zb8hiXVg,0.45476190476190476,2018,13,1065
WmLIaDwOvzs_nQvi1tRNHw,0.24047275641025637,2018,13,88
b7CLuZmPqOIDpbPYbF6QzA,0.27503965731238456,2016,12,110
a0j88WWAtcTsEPRe3mFPGg,0.2704119113210023,2014,12,15
TWH8VGIuO74_TedV5rFqDw,0.2658095238095237,2014,12,48
YBWQEXaztfChXP3_SSQqmQ,0.12847222222222224,2015,12,121
VALJHGtxqVTesThgx79wGQ,0.22326388888888887,2015,12,76
0VnGp9rBVOUOvj5i9EowYw,0.22406836219336218,2016,12,82
GG0s_N1FidNenUjpQfFmaw,0.24900298114583827,2015,12,34
AKQumFqcpRY5-ILWVTPEUA,0.21273674242424245,2013,12,159
i544QW4tFvpytcJSR_8v8A,0.17633333333333331,2013,11,54
trd6EgBXwIrGBWDkXQCCdw,0.20760869565217394,2014,11,62
GVFxv4qMaClB72Kav6vCiw,0.4191840277777778,2013,11,26
Re1wmFWL9pxLbCsvmXLseQ,0.20874165252361274,2013,11,13
Q_lYsdB-LG9GSh2yxZr8sw,0.09795833333333334,2014,11,57
6FcaZw0NFTBAaBFiIcsbqg,0.028125000000000004,2014,11,40
9TBHcFR8MkykopDTswxK_A,-0.0758448360582507,2015,11,0
zRXJ4FlbGXEUrJpIf7LonA,0.35313265306122443,2013,10,0
aam7PG8JYdxKh9LwhUm_ng,0.37864583333333335,2016,10,112
57Aq6Hnhj3lEhKoBBqAIHw,0.3666666666666667,2017,10,142
dAoSFQN53037KjW0aq_gQw,0.2969352869352869,2014,10,378
WxzXcuvUcq7zvO8CPS3H-A,0.22838827838827838,2014,10,1443
XYQERdV28CCSzc18JGH_Hw,0.20999862938596486,2014,10,46
2LcXlH0hluRfwunr1S9a7g,0.004924704924704933,2015,10,165
SmXHhSeWw92t-f8DKHO0yw,0.042288110212638515,2014,10,0
